,TGT
2020-05-12,106.95426940917969
2020-05-13,106.73030090332031
2020-05-14,107.44698333740234
2020-05-15,108.34282684326172
2020-05-18,112.15911102294922
2020-05-19,110.92530822753906
2020-05-20,107.73721313476562
2020-05-21,106.88166046142578
2020-05-22,105.80995178222656
2020-05-26,103.67556762695312
2020-05-27,105.73792266845703
2020-05-28,106.6565170288086
2020-05-29,110.16880798339844
2020-06-01,107.61112976074219
2020-06-02,107.03475189208984
2020-06-03,109.62846374511719
2020-06-04,108.03441619873047
2020-06-05,109.44832611083984
2020-06-08,110.204833984375
2020-06-09,108.71885681152344
2020-06-10,108.07044219970703
2020-06-11,106.27826690673828
2020-06-12,105.27861785888672
2020-06-15,106.40435028076172
2020-06-16,107.35897064208984
2020-06-17,106.51241302490234
2020-06-18,105.63884735107422
2020-06-19,108.57475280761719
2020-06-22,110.25885009765625
2020-06-23,109.42131042480469
2020-06-24,107.81827545166016
2020-06-25,107.8993148803711
2020-06-26,105.38668060302734
2020-06-29,106.78258514404297
2020-06-30,108.00740814208984
2020-07-01,107.13382720947266
2020-07-02,107.27792358398438
2020-07-06,107.38597106933594
2020-07-07,106.32329559326172
2020-07-08,105.99907684326172
2020-07-09,106.17920684814453
2020-07-10,107.04376983642578
2020-07-13,106.92670440673828
2020-07-14,108.14249420166016
2020-07-15,109.57441711425781
2020-07-16,109.82657623291016
2020-07-17,109.57441711425781
2020-07-20,107.90834045410156
2020-07-21,108.25055694580078
2020-07-22,110.89828491210938
2020-07-23,110.18682861328125
2020-07-24,111.41161346435547
2020-07-27,110.49300384521484
2020-07-28,111.0333480834961
2020-07-29,111.38460540771484
2020-07-30,112.19512176513672
2020-07-31,113.36588287353516
2020-08-03,115.13104248046875
2020-08-04,117.48157501220703
2020-08-05,116.5089111328125
2020-08-06,116.18470764160156
2020-08-07,118.65233612060547
2020-08-10,119.72401428222656
2020-08-11,118.62530517578125
2020-08-12,121.21902465820312
2020-08-13,121.40812683105469
2020-08-14,122.95713806152344
2020-08-17,124.49713134765625
2020-08-18,123.8998031616211
2020-08-19,139.5750732421875
2020-08-20,137.78311157226562
2020-08-21,139.04110717773438
2020-08-24,138.6881561279297
2020-08-25,138.33518981933594
2020-08-26,138.20848083496094
2020-08-27,136.036376953125
2020-08-28,136.52513122558594
2020-08-31,136.8509521484375
2020-09-01,136.2536163330078
2020-09-02,135.6110076904297
2020-09-03,132.16282653808594
2020-09-04,133.24887084960938
2020-09-08,130.32559204101562
2020-09-09,133.53848266601562
2020-09-10,132.171875
2020-09-11,133.6289825439453
2020-09-14,134.34397888183594
2020-09-15,134.9141387939453
2020-09-16,133.9366912841797
2020-09-17,133.5927734375
2020-09-18,134.6878662109375
2020-09-21,135.62911987304688
2020-09-22,139.44839477539062
2020-09-23,136.669921875
2020-09-24,137.56590270996094
2020-09-25,139.69273376464844
2020-09-28,141.60238647460938
2020-09-29,142.03680419921875
2020-09-30,142.47122192382812
2020-10-01,143.53915405273438
2020-10-02,143.99168395996094
2020-10-05,146.15472412109375
2020-10-06,143.36720275878906
2020-10-07,145.42161560058594
2020-10-08,146.4895782470703
2020-10-09,148.16392517089844
2020-10-12,148.9422607421875
2020-10-13,149.91061401367188
2020-10-14,148.39920043945312
2020-10-15,149.7477569580078
2020-10-16,149.25900268554688
2020-10-19,148.4716033935547
2020-10-20,149.21377563476562
2020-10-21,147.7837677001953
2020-10-22,144.4442138671875
2020-10-23,145.01438903808594
2020-10-26,142.96900939941406
2020-10-27,142.11825561523438
2020-10-28,140.4710693359375
2020-10-29,139.60227966308594
2020-10-30,137.7650146484375
2020-11-02,139.7289581298828
2020-11-03,141.8467254638672
2020-11-04,141.74720764160156
2020-11-05,143.56631469726562
2020-11-06,146.1637725830078
2020-11-09,140.1995391845703
2020-11-10,143.05946350097656
2020-11-11,144.52566528320312
2020-11-12,144.380859375
2020-11-13,147.4127197265625
2020-11-16,149.4943389892578
2020-11-17,148.16748046875
2020-11-18,151.6299285888672
2020-11-19,155.7375946044922
2020-11-20,156.59190368652344
2020-11-23,161.36297607421875
2020-11-24,161.6356201171875
2020-11-25,163.4168243408203
2020-11-27,163.3713836669922
2020-11-30,163.15325927734375
2020-12-01,162.71707153320312
2020-12-02,160.3179168701172
2020-12-03,158.96383666992188
2020-12-04,159.0637664794922
2020-12-07,157.1371612548828
2020-12-08,156.96450805664062
2020-12-09,158.1913299560547
2020-12-10,156.6736602783203
2020-12-11,156.04660034179688
2020-12-14,155.3922882080078
2020-12-15,155.77398681640625
2020-12-16,156.02845764160156
2020-12-17,155.6195068359375
2020-12-18,154.874267578125
2020-12-21,156.092041015625
2020-12-22,156.6282501220703
2020-12-23,158.95472717285156
2020-12-24,159.20919799804688
2020-12-28,160.29971313476562
2020-12-29,159.07284545898438
2020-12-30,158.01866149902344
2020-12-31,160.4269256591797
2021-01-04,161.42662048339844
2021-01-05,163.91664123535156
2021-01-06,171.6867218017578
2021-01-07,173.6678466796875
2021-01-08,175.9398193359375
2021-01-11,177.46653747558594
2021-01-12,180.93809509277344
2021-01-13,178.86607360839844
2021-01-14,179.94752502441406
2021-01-15,177.03038024902344
2021-01-19,170.9960479736328
2021-01-20,171.12326049804688
2021-01-21,173.82235717773438
2021-01-22,174.4039764404297
2021-01-25,172.80455017089844
2021-01-26,170.5780029296875
2021-01-27,162.0172882080078
2021-01-28,166.8338623046875
2021-01-29,164.64364624023438
2021-02-01,166.8247528076172
2021-02-02,168.66049194335938
2021-02-03,168.22425842285156
2021-02-04,171.38682556152344
2021-02-05,171.63221740722656
2021-02-08,176.25790405273438
2021-02-09,176.56689453125
2021-02-10,174.88560485839844
2021-02-11,173.04080200195312
2021-02-12,173.96775817871094
2021-02-16,173.8218231201172
2021-02-17,176.56703186035156
2021-02-18,174.56971740722656
2021-02-19,172.2075653076172
2021-02-22,172.3626251220703
2021-02-23,169.96400451660156
2021-02-24,170.62063598632812
2021-02-25,168.79660034179688
2021-02-26,167.30091857910156
2021-03-01,169.71774291992188
2021-03-02,158.22630310058594
2021-03-03,158.3357391357422
2021-03-04,154.8792266845703
2021-03-05,157.4237060546875
2021-03-08,161.30892944335938
2021-03-09,163.41567993164062
2021-03-10,162.86846923828125
2021-03-11,163.54336547851562
2021-03-12,164.17263793945312
2021-03-15,165.16677856445312
2021-03-16,164.35507202148438
2021-03-17,162.70431518554688
2021-03-18,163.807861328125
2021-03-19,171.04928588867188
2021-03-22,171.49615478515625
2021-03-23,172.29876708984375
2021-03-24,171.715087890625
2021-03-25,175.74620056152344
2021-03-26,183.2703857421875
2021-03-29,180.7714385986328
2021-03-30,182.084716796875
2021-03-31,180.64373779296875
2021-04-01,183.06060791015625
2021-04-05,187.2832489013672
2021-04-06,187.35621643066406
2021-04-07,186.46240234375
2021-04-08,185.55955505371094
2021-04-09,187.2923583984375
2021-04-12,187.05520629882812
2021-04-13,186.90933227539062
2021-04-14,187.61155700683594
2021-04-15,187.6571502685547
2021-04-16,190.20172119140625
2021-04-19,190.29290771484375
2021-04-20,189.03433227539062
2021-04-21,188.5783233642578
2021-04-22,187.48390197753906
2021-04-23,187.88516235351562
2021-04-26,185.71456909179688
2021-04-27,186.3803253173828
2021-04-28,186.47154235839844
2021-04-29,189.13465881347656
2021-04-30,189.0251922607422
2021-05-03,192.69151306152344
2021-05-04,192.99249267578125
2021-05-05,193.72210693359375
2021-05-06,194.26022338867188
2021-05-07,195.8197479248047
2021-05-10,195.1995849609375
2021-05-11,190.83102416992188
2021-05-12,185.10350036621094
2021-05-13,190.25643920898438
2021-05-14,192.58206176757812
2021-05-17,191.5424041748047
2021-05-18,188.87977600097656
2021-05-19,200.39024353027344
2021-05-20,202.9338836669922
2021-05-21,205.95335388183594
2021-05-24,206.24615478515625
2021-05-25,206.1455078125
2021-05-26,207.80162048339844
2021-05-27,208.0395050048828
2021-05-28,207.6277618408203
2021-06-01,207.94802856445312
2021-06-02,208.96363830566406
2021-06-03,209.69561767578125
2021-06-04,211.67196655273438
2021-06-07,211.26025390625
2021-06-08,215.11231994628906
2021-06-09,212.22096252441406
2021-06-10,211.96478271484375
2021-06-11,213.13597106933594
2021-06-14,213.25489807128906
2021-06-15,212.7974395751953
2021-06-16,211.59881591796875
2021-06-17,211.56219482421875
2021-06-18,210.93084716796875
2021-06-21,213.89541625976562
2021-06-22,217.0429229736328
2021-06-23,217.1344451904297
2021-06-24,219.44932556152344
2021-06-25,220.09898376464844
2021-06-28,220.7486114501953
2021-06-29,221.28843688964844
2021-06-30,221.18780517578125
2021-07-01,222.77072143554688
2021-07-02,225.61630249023438
2021-07-06,224.58238220214844
2021-07-07,226.5038604736328
2021-07-08,227.4462890625
2021-07-09,227.4462890625
2021-07-12,230.7951202392578
2021-07-13,230.34671020507812
2021-07-14,232.0669708251953
2021-07-15,231.42642211914062
2021-07-16,229.79779052734375
2021-07-19,229.77035522460938
2021-07-20,233.05511474609375
2021-07-21,234.2812042236328
2021-07-22,235.15960693359375
2021-07-23,238.8377685546875
2021-07-26,238.68228149414062
2021-07-27,236.394775390625
2021-07-28,235.5347442626953
2021-07-29,239.4142608642578
2021-07-30,238.8560791015625
2021-08-02,235.37001037597656
2021-08-03,239.90834045410156
2021-08-04,238.38034057617188
2021-08-05,239.17630004882812
2021-08-06,237.97769165039062
2021-08-09,240.10052490234375
2021-08-10,241.619384765625
2021-08-11,240.6494903564453
2021-08-12,239.6155242919922
2021-08-13,239.30445861816406
2021-08-16,240.77755737304688
2021-08-17,233.79983520507812
2021-08-18,227.3087158203125
2021-08-19,225.31639099121094
2021-08-20,232.65219116210938
2021-08-23,231.8533935546875
2021-08-24,230.1273651123047
2021-08-25,230.58642578125
2021-08-26,228.57571411132812
2021-08-27,228.77769470214844
2021-08-30,228.94297790527344
2021-08-31,226.7578125
2021-09-01,226.19775390625
2021-09-02,225.6836395263672
2021-09-03,224.30645751953125
2021-09-07,222.84666442871094
2021-09-08,225.95909118652344
2021-09-09,225.3439483642578
