,IRM
2019-05-23,23.064638137817383
2019-05-24,22.759336471557617
2019-05-28,22.577611923217773
2019-05-29,22.337736129760742
2019-05-30,22.381351470947266
2019-05-31,22.279584884643555
2019-06-03,22.59214973449707
2019-06-04,22.323196411132812
2019-06-05,22.86837387084961
2019-06-06,22.563072204589844
2019-06-07,22.672109603881836
2019-06-10,22.861101150512695
2019-06-11,23.02829360961914
2019-06-12,22.99921417236328
2019-06-13,23.319053649902344
2019-06-14,23.512460708618164
2019-06-17,24.00152587890625
2019-06-18,23.927425384521484
2019-06-19,24.127500534057617
2019-06-20,24.12009048461914
2019-06-21,23.75699234008789
2019-06-24,23.34943389892578
2019-06-25,22.882596969604492
2019-06-26,22.571365356445312
2019-06-27,22.882596969604492
2019-06-28,23.193819046020508
2019-07-01,22.76403045654297
2019-07-02,23.430946350097656
2019-07-03,23.690303802490234
2019-07-05,23.408720016479492
2019-07-08,23.319799423217773
2019-07-09,23.41612434387207
2019-07-10,23.764404296875
2019-07-11,21.9859676361084
2019-07-12,22.35647201538086
2019-07-15,22.534317016601562
2019-07-16,22.652877807617188
2019-07-17,22.341650009155273
2019-07-18,22.630653381347656
2019-07-19,22.274959564208984
2019-07-22,22.252727508544922
2019-07-23,22.556549072265625
2019-07-24,22.430572509765625
2019-07-25,22.282365798950195
2019-07-26,22.16380500793457
2019-07-29,22.16380500793457
2019-07-30,22.134170532226562
2019-07-31,21.79330062866211
2019-08-01,22.845542907714844
2019-08-02,23.297565460205078
2019-08-05,23.038209915161133
2019-08-06,22.83072280883789
2019-08-07,22.86036491394043
2019-08-08,23.134538650512695
2019-08-09,22.660289764404297
2019-08-12,23.038209915161133
2019-08-13,22.956695556640625
2019-08-14,22.682518005371094
2019-08-15,22.964101791381836
2019-08-16,23.334613800048828
2019-08-19,23.638431549072266
2019-08-20,23.253101348876953
2019-08-21,23.505054473876953
2019-08-22,23.453174591064453
2019-08-23,23.075260162353516
2019-08-26,23.364253997802734
2019-08-27,23.12713050842285
2019-08-28,23.39389419555664
2019-08-29,23.579151153564453
2019-08-30,23.60137939453125
2019-09-03,23.98670768737793
2019-09-04,24.394264221191406
2019-09-05,24.520238876342773
2019-09-06,24.4906005859375
2019-09-09,24.772184371948242
2019-09-10,24.846290588378906
2019-09-11,25.120466232299805
2019-09-12,25.298307418823242
2019-09-13,24.559633255004883
2019-09-16,24.355913162231445
2019-09-17,24.325735092163086
2019-09-18,24.257827758789062
2019-09-19,24.257827758789062
2019-09-20,24.14464569091797
2019-09-23,23.63157081604004
2019-09-24,23.541030883789062
2019-09-25,23.541030883789062
2019-09-26,24.076736450195312
2019-09-27,24.28046226501465
2019-09-30,24.438907623291016
2019-10-01,24.355913162231445
2019-10-02,24.159740447998047
2019-10-03,24.582265853881836
2019-10-04,24.3030948638916
2019-10-07,24.34836196899414
2019-10-08,24.129554748535156
2019-10-09,23.963558197021484
2019-10-10,24.371002197265625
2019-10-11,24.325735092163086
2019-10-14,24.521907806396484
2019-10-15,24.7407169342041
2019-10-16,24.68035888671875
2019-10-17,24.725629806518555
2019-10-18,25.276426315307617
2019-10-21,25.60841178894043
2019-10-22,25.631052017211914
2019-10-23,25.880048751831055
2019-10-24,25.789499282836914
2019-10-25,25.72159194946289
2019-10-28,25.397153854370117
2019-10-29,25.52541732788086
2019-10-30,25.261337280273438
2019-10-31,24.74826431274414
2019-11-01,25.291522979736328
2019-11-04,25.932861328125
2019-11-05,25.19342803955078
2019-11-06,25.3745059967041
2019-11-07,25.261337280273438
2019-11-08,24.55208396911621
2019-11-11,24.793535232543945
2019-11-12,24.642623901367188
2019-11-13,24.619993209838867
2019-11-14,25.10289192199707
2019-11-15,25.3367919921875
2019-11-18,25.510324478149414
2019-11-19,25.623504638671875
2019-11-20,25.706504821777344
2019-11-21,25.31415367126465
2019-11-22,25.495241165161133
2019-11-25,25.69141387939453
2019-11-26,24.59735679626465
2019-11-27,24.129554748535156
2019-11-29,24.23518943786621
2019-12-02,24.106922149658203
2019-12-03,24.371002197265625
2019-12-04,24.559633255004883
2019-12-05,24.446456909179688
2019-12-06,24.710535049438477
2019-12-09,24.899168014526367
2019-12-10,24.823719024658203
2019-12-11,24.650177001953125
2019-12-12,24.69544792175293
2019-12-13,24.294763565063477
2019-12-16,24.456266403198242
2019-12-17,24.14095115661621
2019-12-18,24.456266403198242
2019-12-19,24.540863037109375
2019-12-20,24.579315185546875
2019-12-23,24.410123825073242
2019-12-24,24.425498962402344
2019-12-26,24.479341506958008
2019-12-27,24.463956832885742
2019-12-30,24.371667861938477
2019-12-31,24.510103225708008
2020-01-02,23.38726806640625
2020-01-03,23.56415367126465
2020-01-06,23.971755981445312
2020-01-07,23.825634002685547
2020-01-08,23.80256462097168
2020-01-09,23.771799087524414
