,CVS
2016-05-24,75.98487854003906
2016-05-25,76.11754608154297
2016-05-26,75.64936828613281
2016-05-27,75.64156341552734
2016-05-31,75.25921630859375
2016-06-01,75.36066436767578
2016-06-02,75.22020721435547
2016-06-03,75.09535217285156
2016-06-06,75.14998626708984
2016-06-07,75.39187622070312
2016-06-08,76.71055603027344
2016-06-09,75.68058776855469
2016-06-10,75.43090057373047
2016-06-13,74.73641967773438
2016-06-14,75.21241760253906
2016-06-15,74.92369079589844
2016-06-16,74.54135131835938
2016-06-17,74.00293731689453
2016-06-20,72.74666595458984
2016-06-21,72.73107147216797
2016-06-22,73.13681030273438
2016-06-23,73.36312103271484
2016-06-24,72.98857879638672
2016-06-27,72.75447845458984
2016-06-28,73.11339569091797
2016-06-29,73.66742706298828
2016-06-30,74.7052230834961
2016-07-01,74.12779235839844
2016-07-05,74.1122055053711
2016-07-06,74.95491790771484
2016-07-07,74.5179443359375
2016-07-08,75.48552703857422
2016-07-11,75.56352996826172
2016-07-12,75.26703643798828
2016-07-13,76.17997741699219
2016-07-14,76.04730987548828
2016-07-15,75.75860595703125
2016-07-18,75.58692169189453
2016-07-19,75.94354248046875
2016-07-20,76.02193450927734
2016-07-21,75.98271179199219
2016-07-22,75.66923522949219
2016-07-25,73.70206451416016
2016-07-26,73.55313873291016
2016-07-27,72.67538452148438
2016-07-28,73.19268035888672
2016-07-29,72.66754150390625
2016-08-01,73.2710189819336
2016-08-02,76.85267639160156
2016-08-03,76.35892486572266
2016-08-04,75.99840545654297
2016-08-05,76.3118896484375
2016-08-08,76.16297912597656
2016-08-09,76.37460327148438
2016-08-10,76.10811614990234
2016-08-11,76.02193450927734
2016-08-12,76.35892486572266
2016-08-15,76.47649383544922
2016-08-16,76.46080017089844
2016-08-17,76.45296478271484
2016-08-18,76.16297912597656
2016-08-19,76.02193450927734
2016-08-22,76.80564880371094
2016-08-23,76.23355102539062
2016-08-24,76.15515899658203
2016-08-25,73.49828338623047
2016-08-26,73.09077453613281
2016-08-29,72.94969177246094
2016-08-30,72.72239685058594
2016-08-31,73.20050048828125
2016-09-01,73.17696380615234
2016-09-02,73.54534149169922
2016-09-06,73.16915130615234
2016-09-07,73.36506652832031
2016-09-08,72.97320556640625
2016-09-09,71.72708892822266
2016-09-12,72.13460540771484
2016-09-13,71.26467895507812
2016-09-14,70.09689331054688
2016-09-15,70.65335845947266
2016-09-16,70.62983703613281
2016-09-19,69.88529205322266
2016-09-20,70.52793884277344
2016-09-21,70.73955535888672
2016-09-22,70.98252868652344
2016-09-23,71.00602722167969
2016-09-26,70.47310638427734
2016-09-27,70.97468566894531
2016-09-28,70.6768798828125
2016-09-29,70.18311309814453
2016-09-30,69.74422454833984
2016-10-03,68.25514221191406
2016-10-04,67.57331085205078
2016-10-05,67.5576171875
2016-10-06,67.7848892211914
2016-10-07,67.71438598632812
2016-10-10,68.05138397216797
2016-10-11,67.71438598632812
2016-10-12,68.55297088623047
2016-10-13,68.96834564208984
2016-10-14,69.5953369140625
2016-10-17,67.91814422607422
2016-10-18,68.33351135253906
2016-10-19,67.71438598632812
2016-10-20,68.7579574584961
2016-10-21,68.84458923339844
2016-10-24,69.30925750732422
2016-10-25,68.84458923339844
2016-10-26,68.97059631347656
2016-10-27,68.67131805419922
2016-10-28,65.65479278564453
2016-10-31,66.23761749267578
2016-11-01,65.7256851196289
2016-11-02,66.11947631835938
2016-11-03,64.2449722290039
2016-11-04,64.82778930664062
2016-11-07,65.67840576171875
2016-11-08,57.91261672973633
2016-11-09,60.29906463623047
2016-11-10,60.866146087646484
2016-11-11,59.14127731323242
2016-11-14,59.858001708984375
2016-11-15,59.101898193359375
2016-11-16,58.723846435546875
2016-11-17,58.49545669555664
2016-11-18,58.314300537109375
2016-11-21,58.440311431884766
2016-11-22,57.95985794067383
2016-11-23,58.02289581298828
2016-11-25,58.33005142211914
2016-11-28,58.897117614746094
2016-11-29,59.763511657714844
2016-11-30,60.558963775634766
2016-12-01,60.45660400390625
2016-12-02,61.133907318115234
2016-12-05,61.42533874511719
2016-12-06,62.55158615112305
2016-12-07,63.42586135864258
2016-12-08,61.519840240478516
2016-12-09,63.11081314086914
2016-12-12,62.7957763671875
2016-12-13,63.12657165527344
2016-12-14,62.18930435180664
2016-12-15,61.66162109375
2016-12-16,62.661869049072266
2016-12-19,62.95329284667969
2016-12-20,62.882423400878906
2016-12-21,62.890281677246094
2016-12-22,62.05543518066406
2016-12-23,62.33106994628906
2016-12-27,62.44921875
2016-12-28,62.25231170654297
2016-12-29,62.220821380615234
2016-12-30,62.14994812011719
2017-01-03,63.28407669067383
2017-01-04,62.811519622802734
2017-01-05,64.12683868408203
2017-01-06,64.74115753173828
2017-01-09,64.34735870361328
2017-01-10,65.11134338378906
2017-01-11,65.19007873535156
2017-01-12,65.0561752319336
2017-01-13,64.56787872314453
2017-01-17,66.09583282470703
2017-01-18,65.79654693603516
2017-01-19,65.52877044677734
2017-01-20,64.62547302246094
2017-01-23,64.37981414794922
2017-01-24,64.79978942871094
2017-01-25,62.985267639160156
2017-01-26,62.85848617553711
2017-01-27,61.606571197509766
2017-01-30,62.34344482421875
2017-01-31,62.44645309448242
2017-02-01,61.78087615966797
2017-02-02,59.269065856933594
2017-02-03,59.79203414916992
2017-02-06,60.27536392211914
2017-02-07,60.505149841308594
2017-02-08,61.03603744506836
2017-02-09,61.25791549682617
2017-02-10,62.22458267211914
2017-02-13,62.35929489135742
2017-02-14,62.33552551269531
2017-02-15,62.921875
2017-02-16,62.953582763671875
