,SHW
2021-04-23,265.4683837890625
2021-04-26,261.2235107421875
2021-04-27,261.175048828125
2021-04-28,260.66143798828125
2021-04-29,265.00323486328125
2021-04-30,265.419921875
2021-05-03,269.33526611328125
2021-05-04,274.7528381347656
2021-05-05,274.5395812988281
2021-05-06,276.5845031738281
2021-05-07,278.3677978515625
2021-05-10,279.7439270019531
2021-05-11,277.0205993652344
2021-05-12,271.2057189941406
2021-05-13,276.9915466308594
2021-05-14,277.2629089355469
2021-05-17,275.4603271484375
2021-05-18,274.4329833984375
2021-05-19,272.5915832519531
2021-05-20,274.407470703125
2021-05-21,274.93182373046875
2021-05-24,276.71856689453125
2021-05-25,277.3205871582031
2021-05-26,277.36920166015625
2021-05-27,277.4953308105469
2021-05-28,275.3202819824219
2021-06-01,274.65020751953125
2021-06-02,274.2326965332031
2021-06-03,274.3880310058594
2021-06-04,274.9997863769531
2021-06-07,272.67901611328125
2021-06-08,272.8634948730469
2021-06-09,268.9404602050781
2021-06-10,269.814453125
2021-06-11,268.72686767578125
2021-06-14,265.8331298828125
2021-06-15,263.7550964355469
2021-06-16,260.70611572265625
2021-06-17,261.4343566894531
2021-06-18,260.3952941894531
2021-06-21,265.1922607421875
2021-06-22,265.54180908203125
2021-06-23,263.51226806640625
2021-06-24,262.2596740722656
2021-06-25,266.0564880371094
2021-06-28,264.5999450683594
2021-06-29,264.881591796875
2021-06-30,264.5610656738281
2021-07-01,267.3674011230469
2021-07-02,267.2508544921875
2021-07-06,265.5807189941406
2021-07-07,269.37744140625
2021-07-08,265.1825256347656
2021-07-09,268.221923828125
2021-07-12,269.9212341308594
2021-07-13,269.99896240234375
2021-07-14,268.9114074707031
2021-07-15,271.0379333496094
2021-07-16,274.2326965332031
2021-07-19,274.7376403808594
2021-07-20,273.0965270996094
2021-07-21,273.66949462890625
2021-07-22,273.3975524902344
2021-07-23,277.6895751953125
2021-07-26,277.21380615234375
2021-07-27,279.388916015625
2021-07-28,279.21417236328125
2021-07-29,281.0106201171875
2021-07-30,282.6030578613281
2021-08-02,283.1274719238281
2021-08-03,287.4097900390625
2021-08-04,287.6525573730469
2021-08-05,287.0989685058594
2021-08-06,288.3516845703125
2021-08-09,288.79833984375
2021-08-10,287.4971923828125
2021-08-11,293.5758361816406
2021-08-12,294.9159240722656
2021-08-13,296.8094482421875
2021-08-16,298.84869384765625
2021-08-17,296.0908508300781
2021-08-18,292.39117431640625
2021-08-19,294.41473388671875
2021-08-20,298.7145080566406
2021-08-23,296.4381103515625
2021-08-24,294.8719177246094
2021-08-25,294.5022277832031
2021-08-26,294.0546875
2021-08-27,294.6383972167969
2021-08-30,297.0121154785156
2021-08-31,295.41668701171875
2021-09-01,297.5957946777344
2021-09-02,300.3100280761719
2021-09-03,299.07452392578125
2021-09-07,294.6092224121094
2021-09-08,288.6263732910156
2021-09-09,289.2198486328125
2021-09-10,292.46905517578125
2021-09-13,293.8601989746094
2021-09-14,290.7374267578125
2021-09-15,291.2724914550781
2021-09-16,289.92022705078125
2021-09-17,285.7565612792969
2021-09-20,283.840087890625
2021-09-21,282.46844482421875
2021-09-22,284.05413818359375
2021-09-23,286.252685546875
2021-09-24,283.8692932128906
2021-09-27,279.7931213378906
2021-09-28,272.02032470703125
2021-09-29,274.58856201171875
2021-09-30,272.1273498535156
2021-10-01,277.2930908203125
2021-10-04,277.53619384765625
2021-10-05,283.4217834472656
2021-10-06,285.87322998046875
2021-10-07,285.7662658691406
2021-10-08,282.10845947265625
2021-10-11,280.4546813964844
2021-10-12,283.9276428222656
2021-10-13,282.0598449707031
2021-10-14,284.2778625488281
2021-10-15,288.3345642089844
2021-10-18,289.2684631347656
2021-10-19,290.17315673828125
2021-10-20,293.6753845214844
2021-10-21,298.4421691894531
2021-10-22,298.2865295410156
2021-10-25,301.3022766113281
2021-10-26,307.4310302734375
2021-10-27,308.75408935546875
2021-10-28,312.68426513671875
2021-10-29,308.0049743652344
2021-11-01,301.6622314453125
2021-11-02,304.2888488769531
2021-11-03,305.7188720703125
2021-11-04,309.93121337890625
2021-11-05,310.3592224121094
2021-11-08,312.08111572265625
2021-11-09,315.24273681640625
2021-11-10,315.78753662109375
2021-11-11,317.1397705078125
2021-11-12,322.39300537109375
2021-11-15,323.8036193847656
2021-11-16,329.43621826171875
2021-11-17,324.1051940917969
2021-11-18,322.2830505371094
2021-11-19,323.7544250488281
2021-11-22,321.3768005371094
2021-11-23,319.11614990234375
2021-11-24,319.6325378417969
2021-11-26,315.0332336425781
2021-11-29,325.7324523925781
2021-11-30,322.7701721191406
2021-12-01,322.4877014160156
2021-12-02,330.9846496582031
2021-12-03,333.6448669433594
2021-12-06,332.4073181152344
2021-12-07,333.0309753417969
2021-12-08,333.46942138671875
2021-12-09,335.0772705078125
2021-12-10,337.60101318359375
2021-12-13,337.1528625488281
2021-12-14,333.99560546875
2021-12-15,336.80206298828125
2021-12-16,339.3453063964844
2021-12-17,331.7349853515625
2021-12-20,327.1064453125
2021-12-21,325.93707275390625
2021-12-22,330.05902099609375
2021-12-23,329.7276306152344
2021-12-27,336.71429443359375
2021-12-28,339.4914245605469
2021-12-29,342.37567138671875
2021-12-30,341.4013671875
2021-12-31,343.1552734375
2022-01-03,330.44873046875
2022-01-04,327.13568115234375
2022-01-05,327.7495422363281
2022-01-06,325.0308532714844
2022-01-07,314.955322265625
2022-01-10,315.0332336425781
2022-01-11,316.20257568359375
2022-01-12,313.3669738769531
2022-01-13,309.2743835449219
2022-01-14,300.5726623535156
2022-01-18,298.3899841308594
2022-01-19,296.0220947265625
2022-01-20,290.0488586425781
2022-01-21,285.36187744140625
2022-01-24,290.8868713378906
2022-01-25,286.7358093261719
2022-01-26,285.2643737792969
2022-01-27,275.92938232421875
2022-01-28,280.343505859375
2022-01-31,279.1839904785156
2022-02-01,285.59576416015625
2022-02-02,286.7943115234375
2022-02-03,280.4701843261719
2022-02-04,274.5262145996094
2022-02-07,272.0803527832031
2022-02-08,272.5188903808594
2022-02-09,279.2911682128906
2022-02-10,272.7721862792969
2022-02-11,266.11688232421875
2022-02-14,263.5638732910156
2022-02-15,264.6259765625
2022-02-16,265.6588439941406
2022-02-17,260.38720703125
2022-02-18,261.2155456542969
2022-02-22,254.89144897460938
2022-02-23,252.76719665527344
2022-02-24,252.3189239501953
2022-02-25,261.0408020019531
2022-02-28,256.9972839355469
2022-03-01,249.5744171142578
2022-03-02,254.15512084960938
2022-03-03,252.02590942382812
2022-03-04,252.46539306640625
2022-03-07,237.28759765625
2022-03-08,234.25987243652344
2022-03-09,236.07656860351562
2022-03-10,232.01348876953125
2022-03-11,228.14578247070312
2022-03-14,232.09161376953125
2022-03-15,236.78948974609375
2022-03-16,238.68429565429688
2022-03-17,241.75111389160156
2022-03-18,245.6676483154297
2022-03-21,240.0907440185547
2022-03-22,244.33935546875
2022-03-23,241.8682861328125
2022-03-24,244.10491943359375
2022-03-25,239.49496459960938
2022-03-28,244.7397918701172
2022-03-29,253.30538940429688
2022-03-30,247.11314392089844
2022-03-31,243.80215454101562
2022-04-01,249.2618865966797
2022-04-04,253.00262451171875
2022-04-05,251.9575653076172
2022-04-06,256.50897216796875
2022-04-07,257.68096923828125
2022-04-08,257.6126403808594
2022-04-11,255.01458740234375
2022-04-12,250.96131896972656
2022-04-13,252.37753295898438
2022-04-14,247.00570678710938
2022-04-18,240.43255615234375
2022-04-19,246.370849609375
2022-04-20,247.1912841796875
2022-04-21,245.74578857421875
2022-04-22,239.21170043945312
2022-04-25,242.2394256591797
2022-04-26,265.0451965332031
2022-04-27,272.8685607910156
2022-04-28,274.7535705566406
2022-04-29,268.55157470703125
2022-05-02,262.51556396484375
2022-05-03,263.0918273925781
2022-05-04,275.94512939453125
2022-05-05,270.4951477050781
2022-05-06,267.0083923339844
2022-05-09,270.5147399902344
2022-05-10,260.1617736816406
2022-05-11,258.5014343261719
2022-05-12,268.1413269042969
2022-05-13,266.95953369140625
2022-05-16,265.0451965332031
2022-05-17,262.98443603515625
2022-05-18,253.608154296875
2022-05-19,253.91162109375
2022-05-20,252.5215301513672
2022-05-23,253.81369018554688
2022-05-24,252.2278289794922
2022-05-25,259.5406188964844
2022-05-26,266.2464294433594
2022-05-27,270.5342712402344
2022-05-31,262.399169921875
2022-06-01,259.6777038574219
2022-06-02,263.8186340332031
2022-06-03,263.2215270996094
2022-06-06,269.2420349121094
2022-06-07,271.395751953125
2022-06-08,262.4383544921875
2022-06-09,256.4764709472656
2022-06-10,242.21311950683594
2022-06-13,232.8543243408203
2022-06-14,224.650634765625
2022-06-15,224.1709747314453
2022-06-16,214.34228515625
2022-06-17,218.10145568847656
2022-06-21,215.5170135498047
2022-06-22,216.544921875
2022-06-23,220.1572723388672
2022-06-24,226.38340759277344
2022-06-27,222.37950134277344
2022-06-28,218.6105194091797
2022-06-29,220.66632080078125
2022-06-30,219.1978759765625
2022-07-01,230.27964782714844
2022-07-05,237.1323699951172
2022-07-06,237.63160705566406
2022-07-07,234.4499969482422
2022-07-08,233.27525329589844
2022-07-11,236.8680419921875
2022-07-12,241.37118530273438
2022-07-13,240.5489044189453
2022-07-14,239.2958526611328
2022-07-15,240.40206909179688
2022-07-18,238.13087463378906
2022-07-19,242.27186584472656
2022-07-20,244.27870178222656
2022-07-21,251.19012451171875
2022-07-22,253.5592041015625
2022-07-25,253.5592041015625
2022-07-26,248.9385223388672
2022-07-27,227.0882568359375
2022-07-28,237.92527770996094
