,AOS
2021-07-21,66.54560089111328
2021-07-22,64.56983184814453
2021-07-23,65.51068878173828
2021-07-26,65.68001556396484
2021-07-27,65.96228790283203
2021-07-28,65.2942886352539
2021-07-29,66.51253509521484
2021-07-30,66.4180908203125
2021-08-02,65.95533752441406
2021-08-03,67.65522003173828
2021-08-04,67.5418930053711
2021-08-05,67.37191009521484
2021-08-06,67.68356323242188
2021-08-09,67.43801879882812
2021-08-10,67.89131164550781
2021-08-11,68.2313003540039
2021-08-12,67.44745635986328
2021-08-13,67.95741271972656
2021-08-16,68.59960174560547
2021-08-17,67.0130615234375
2021-08-18,66.39920806884766
2021-08-19,66.4180908203125
2021-08-20,67.10749816894531
2021-08-23,67.32469940185547
2021-08-24,67.81576538085938
2021-08-25,68.2313003540039
2021-08-26,67.74966430664062
2021-08-27,68.35407257080078
2021-08-30,68.88291931152344
2021-08-31,68.67516326904297
2021-09-01,68.56183624267578
2021-09-02,69.610107421875
2021-09-03,69.16622161865234
2021-09-07,67.8724365234375
2021-09-08,68.07077026367188
2021-09-09,67.0130615234375
2021-09-10,66.21031951904297
2021-09-13,65.82312774658203
2021-09-14,64.52934265136719
2021-09-15,64.6521224975586
2021-09-16,62.95223617553711
2021-09-17,61.64897155761719
2021-09-20,60.893489837646484
2021-09-21,60.28907775878906
2021-09-22,60.22296905517578
2021-09-23,60.83681869506836
2021-09-24,60.49684524536133
2021-09-27,60.959598541259766
2021-09-28,59.87355041503906
2021-09-29,60.01520919799805
2021-09-30,57.67314910888672
2021-10-01,58.069793701171875
2021-10-04,57.7675895690918
2021-10-05,60.11908721923828
2021-10-06,60.2040901184082
2021-10-07,61.063472747802734
2021-10-08,60.65739440917969
2021-10-11,60.591285705566406
2021-10-12,59.93021774291992
2021-10-13,60.11908721923828
2021-10-14,61.63953399658203
2021-10-15,62.04562759399414
2021-10-18,61.960636138916016
2021-10-19,61.86619186401367
2021-10-20,62.95223617553711
2021-10-21,63.018348693847656
2021-10-22,63.04667663574219
2021-10-25,63.10332489013672
2021-10-26,61.89452362060547
2021-10-27,60.67627716064453
2021-10-28,67.05026245117188
2021-10-29,69.3077163696289
2021-11-01,70.85380554199219
2021-11-02,74.32534790039062
2021-11-03,74.35380554199219
2021-11-04,73.85110473632812
2021-11-05,73.55706787109375
2021-11-08,73.6044921875
2021-11-09,74.65733337402344
2021-11-10,74.4012222290039
2021-11-11,75.56790161132812
2021-11-12,77.8633041381836
2021-11-15,77.55029296875
2021-11-16,78.27115631103516
2021-11-17,78.48931884765625
2021-11-18,78.07197570800781
2021-11-19,78.21424865722656
2021-11-22,78.53675079345703
2021-11-23,78.20475769042969
2021-11-24,78.14785766601562
2021-11-26,76.82942199707031
2021-11-29,76.69664001464844
2021-11-30,74.97982025146484
2021-12-01,75.36871337890625
2021-12-02,76.9052963256836
2021-12-03,77.3985366821289
2021-12-06,77.77793884277344
2021-12-07,78.62211608886719
2021-12-08,78.70747375488281
2021-12-09,78.60314178466797
2021-12-10,79.32400512695312
2021-12-13,79.2386474609375
2021-12-14,77.75896453857422
2021-12-15,79.36194610595703
2021-12-16,79.46627807617188
2021-12-17,76.74406433105469
2021-12-20,75.1884994506836
2021-12-21,76.73458099365234
2021-12-22,77.3985366821289
2021-12-23,78.50828552246094
2021-12-27,80.33892059326172
2021-12-28,81.13568115234375
2021-12-29,81.39176177978516
2021-12-30,80.89852905273438
2021-12-31,81.42970275878906
2022-01-03,79.2671127319336
2022-01-04,80.58554077148438
2022-01-05,79.2386474609375
2022-01-06,79.76980590820312
2022-01-07,78.86872863769531
2022-01-10,78.62211608886719
2022-01-11,79.3904037475586
2022-01-12,79.65599822998047
2022-01-13,78.66954040527344
2022-01-14,76.42156982421875
2022-01-18,76.5069351196289
2022-01-19,75.4541015625
2022-01-20,74.18309020996094
2022-01-21,72.86465454101562
2022-01-24,74.72372436523438
2022-01-25,71.51776123046875
2022-01-26,70.8727798461914
2022-01-27,71.94458770751953
2022-01-28,71.87796020507812
2022-01-31,72.7538070678711
2022-02-01,71.94458770751953
2022-02-02,71.59233093261719
2022-02-03,70.53559112548828
2022-02-04,70.05005645751953
2022-02-07,70.31663513183594
2022-02-08,70.63079833984375
2022-02-09,71.06871795654297
2022-02-10,68.76481628417969
2022-02-11,67.88896179199219
2022-02-14,67.81279754638672
2022-02-15,68.9837875366211
2022-02-16,68.85050964355469
2022-02-17,67.64144134521484
2022-02-18,67.78424835205078
2022-02-22,66.19436645507812
2022-02-23,64.6330337524414
2022-02-24,64.51878356933594
2022-02-25,66.06107330322266
2022-02-28,65.28994750976562
2022-03-01,63.4334716796875
2022-03-02,66.07058715820312
2022-03-03,65.38512420654297
2022-03-04,65.1090316772461
2022-03-07,64.09037780761719
2022-03-08,63.033626556396484
2022-03-09,64.43309783935547
2022-03-10,63.41443634033203
2022-03-11,62.567138671875
2022-03-14,62.719451904296875
2022-03-15,62.966983795166016
2022-03-16,64.08086395263672
2022-03-17,64.73774719238281
2022-03-18,64.78536987304688
2022-03-21,64.66159057617188
2022-03-22,64.5473403930664
2022-03-23,62.23392868041992
2022-03-24,63.052669525146484
2022-03-25,63.75717544555664
2022-03-28,63.462039947509766
2022-03-29,64.2426986694336
2022-03-30,63.071712493896484
2022-03-31,60.82493209838867
2022-04-01,62.719451904296875
2022-04-04,63.84284210205078
2022-04-05,62.252960205078125
2022-04-06,61.5008659362793
2022-04-07,60.29179382324219
2022-04-08,59.85386276245117
2022-04-11,60.32035446166992
2022-04-12,61.39613723754883
2022-04-13,61.596073150634766
2022-04-14,60.72972106933594
2022-04-18,60.30131149291992
2022-04-19,62.23392868041992
2022-04-20,63.11930847167969
2022-04-21,63.11930847167969
2022-04-22,61.6341438293457
2022-04-25,61.5294303894043
2022-04-26,59.37786102294922
2022-04-27,59.87290573120117
2022-04-28,57.252681732177734
2022-04-29,55.87563705444336
2022-05-02,56.72673416137695
2022-05-03,56.5163459777832
2022-05-04,58.94530487060547
2022-05-05,56.35377883911133
2022-05-06,56.80323791503906
2022-05-09,57.176185607910156
2022-05-10,56.382469177246094
2022-05-11,54.86198806762695
2022-05-12,56.47809600830078
2022-05-13,57.386566162109375
2022-05-16,56.4015998840332
2022-05-17,57.711708068847656
2022-05-18,55.2444953918457
2022-05-19,55.89476776123047
2022-05-20,55.2444953918457
2022-05-23,55.818260192871094
2022-05-24,55.79913330078125
2022-05-25,55.980831146240234
2022-05-26,57.02317810058594
2022-05-27,58.543678283691406
2022-05-31,57.49176025390625
2022-06-01,57.797767639160156
2022-06-02,58.48629379272461
2022-06-03,58.18028259277344
2022-06-06,59.165252685546875
2022-06-07,59.09831237792969
2022-06-08,58.41936111450195
2022-06-09,58.15159606933594
2022-06-10,55.52181625366211
2022-06-13,53.637935638427734
2022-06-14,53.207603454589844
2022-06-15,53.590118408203125
2022-06-16,51.24723434448242
2022-06-17,50.788211822509766
2022-06-21,50.57782745361328
2022-06-22,50.74040222167969
2022-06-23,51.763614654541016
2022-06-24,53.379737854003906
2022-06-27,53.40843200683594
2022-06-28,52.76771926879883
2022-06-29,52.404327392578125
2022-06-30,52.289581298828125
2022-07-01,53.58055877685547
2022-07-05,54.881107330322266
2022-07-06,55.42618179321289
2022-07-07,57.00405502319336
2022-07-08,54.479469299316406
2022-07-11,54.211708068847656
2022-07-12,53.685752868652344
2022-07-13,53.06416702270508
2022-07-14,51.763614654541016
2022-07-15,54.173465728759766
2022-07-18,53.03547668457031
2022-07-19,54.995853424072266
2022-07-20,55.34968566894531
2022-07-21,56.3729133605957
2022-07-22,56.420719146728516
2022-07-25,56.34421157836914
2022-07-26,56.45897674560547
2022-07-27,57.893402099609375
2022-07-28,58.594730377197266
2022-07-29,60.785186767578125
2022-08-01,59.49781036376953
2022-08-02,58.09515380859375
2022-08-03,59.065486907958984
2022-08-04,58.8829460144043
2022-08-05,58.22004699707031
2022-08-08,59.08469009399414
2022-08-09,57.931819915771484
2022-08-10,59.27684783935547
2022-08-11,59.96856689453125
2022-08-12,61.36161804199219
2022-08-15,61.56337356567383
2022-08-16,61.80356216430664
2022-08-17,61.688262939453125
2022-08-18,61.592193603515625
2022-08-19,60.170326232910156
2022-08-22,58.8829460144043
2022-08-23,58.3641471862793
2022-08-24,58.56589889526367
2022-08-25,58.71961975097656
2022-08-26,56.13526153564453
2022-08-29,55.43394088745117
2022-08-30,55.184146881103516
2022-08-31,54.23302459716797
2022-09-01,54.204200744628906
2022-09-02,54.060096740722656
2022-09-06,53.69501876831055
2022-09-07,54.96317672729492
2022-09-08,54.617313385009766
2022-09-09,54.079315185546875
2022-09-12,53.964019775390625
2022-09-13,52.05217361450195
2022-09-14,50.21718978881836
2022-09-15,50.84165573120117
2022-09-16,49.68879318237305
2022-09-19,50.524620056152344
2022-09-20,49.20843505859375
2022-09-21,49.05470657348633
2022-09-22,48.535919189453125
2022-09-23,47.87301254272461
2022-09-26,47.46950912475586
2022-09-27,47.392662048339844
2022-09-28,48.468666076660156
2022-09-29,46.81621170043945
2022-09-30,46.6721076965332
2022-10-03,48.641597747802734
2022-10-04,50.30365753173828
2022-10-05,49.4774284362793
2022-10-06,48.78570556640625
2022-10-07,47.55597686767578
2022-10-10,47.63283920288086
2022-10-11,47.37343978881836
2022-10-12,47.200504302978516
2022-10-13,46.94111251831055
2022-10-14,47.114044189453125
2022-10-17,49.58311080932617
2022-10-18,49.727210998535156
2022-10-19,48.77610397338867
2022-10-20,46.84503936767578
2022-10-21,48.16123580932617
2022-10-24,48.80492401123047
2022-10-25,50.053863525390625
2022-10-26,49.909751892089844
2022-10-27,49.86172103881836
2022-10-28,52.54806900024414
2022-10-31,52.93459701538086
2022-11-01,52.76065444946289
2022-11-02,51.89097595214844
2022-11-03,52.53840637207031
2022-11-04,54.09416961669922
2022-11-07,54.992835998535156
2022-11-08,54.084510803222656
2022-11-09,53.19549560546875
2022-11-10,57.282997131347656
2022-11-11,57.97874450683594
2022-11-14,57.5052490234375
2022-11-15,58.35560989379883
2022-11-16,57.78547668457031
2022-11-17,58.075374603271484
2022-11-18,59.21562194824219
2022-11-21,59.33158493041992
2022-11-22,59.81473922729492
2022-11-23,59.45720291137695
2022-11-25,59.776084899902344
2022-11-28,57.746822357177734
2022-11-29,58.45223617553711
2022-11-30,58.69382095336914
2022-12-01,58.44257354736328
2022-12-02,58.345943450927734
2022-12-05,57.8048095703125
2022-12-06,57.36996841430664
2022-12-07,57.273338317871094
2022-12-08,56.45197296142578
2022-12-09,56.33600997924805
2022-12-12,56.5389404296875
2022-12-13,57.36996841430664
2022-12-14,56.89647674560547
2022-12-15,54.88654708862305
2022-12-16,54.161808013916016
2022-12-19,54.17147445678711
2022-12-20,54.44204330444336
2022-12-21,55.31172561645508
2022-12-22,54.33574676513672
2022-12-23,54.983177185058594
2022-12-27,55.72723388671875
2022-12-28,54.8575553894043
