,FTV
2020-07-08,56.08415985107422
2020-07-09,55.26277160644531
2020-07-10,55.246337890625
2020-07-13,55.550254821777344
2020-07-14,56.80697250366211
2020-07-15,58.474388122558594
2020-07-16,58.90150451660156
2020-07-17,59.213626861572266
2020-07-20,58.11297607421875
2020-07-21,58.48259735107422
2020-07-22,58.753662109375
2020-07-23,59.575042724609375
2020-07-24,58.31831741333008
2020-07-27,59.05757141113281
2020-07-28,58.34297180175781
2020-07-29,60.45392608642578
2020-07-30,59.27112579345703
2020-07-31,57.65300369262695
2020-08-03,57.135528564453125
2020-08-04,57.06160736083984
2020-08-05,57.51335906982422
2020-08-06,58.07190704345703
2020-08-07,59.3286247253418
2020-08-10,59.02471160888672
2020-08-11,60.33893203735352
2020-08-12,61.55457305908203
2020-08-13,60.59355926513672
2020-08-14,60.4374885559082
2020-08-17,60.35536575317383
2020-08-18,59.205421447753906
2020-08-19,58.65509414672851
2020-08-20,59.049354553222656
2020-08-21,58.90971374511719
2020-08-24,59.13970947265625
2020-08-25,57.948707580566406
2020-08-26,58.31831741333008
2020-08-27,58.24432373046875
2020-08-28,59.880496978759766
2020-08-31,59.288516998291016
2020-09-01,60.5053596496582
2020-09-02,61.113792419433594
2020-09-03,60.26692581176758
2020-09-04,61.0151252746582
2020-09-08,60.55469512939453
2020-09-09,62.207305908203125
2020-09-10,62.856842041015625
2020-09-11,63.613258361816406
2020-09-14,63.827030181884766
2020-09-15,63.47349166870117
2020-09-16,63.226837158203125
2020-09-17,63.67905044555664
2020-09-18,62.31419372558594
2020-09-21,59.502288818359375
2020-09-22,59.839385986328125
2020-09-23,58.951416015625
2020-09-24,59.80649185180664
2020-09-25,60.98223876953125
