,MET
2022-02-17,64.02632141113281
2022-02-18,63.787879943847656
2022-02-22,63.246742248535156
2022-02-23,62.412132263183594
2022-02-24,60.7337532043457
2022-02-25,62.879878997802734
2022-02-28,61.953556060791016
2022-03-01,59.10122299194336
2022-03-02,60.90801239013672
2022-03-03,61.04557418823242
2022-03-04,58.6793327331543
2022-03-07,56.83586883544922
2022-03-08,56.826683044433594
2022-03-09,59.10122299194336
2022-03-10,58.9544792175293
2022-03-11,58.881107330322266
2022-03-14,59.330509185791016
2022-03-15,59.90831756591797
2022-03-16,61.92604446411133
2022-03-17,62.522193908691406
2022-03-18,62.77900314331055
2022-03-21,63.072479248046875
2022-03-22,64.49408721923828
2022-03-23,63.668636322021484
2022-03-24,64.3748550415039
2022-03-25,65.38371276855469
2022-03-28,65.37454223632812
2022-03-29,65.58547973632812
2022-03-30,65.69554138183594
2022-03-31,64.45738220214844
2022-04-01,64.6591567993164
2022-04-04,63.870426177978516
2022-04-05,64.20975494384766
2022-04-06,64.26478576660156
2022-04-07,63.787879943847656
2022-04-08,64.76004028320312
2022-04-11,64.73252868652344
2022-04-12,64.34734344482422
2022-04-13,64.61328125
2022-04-14,64.78756713867188
2022-04-18,65.32868957519531
2022-04-19,65.88814544677734
2022-04-20,66.43843078613281
2022-04-21,65.6496810913086
2022-04-22,63.79704284667969
2022-04-25,63.35680389404297
2022-04-26,61.19232940673828
2022-04-27,61.357418060302734
2022-04-28,62.155338287353516
2022-04-29,60.238487243652344
2022-05-02,60.66038513183594
2022-05-03,61.118953704833984
2022-05-04,62.650596618652344
2022-05-05,61.90770721435547
2022-05-06,61.94439697265625
2022-05-09,60.650794982910156
2022-05-10,59.88388442993164
2022-05-11,59.246337890625
2022-05-12,58.12830352783203
2022-05-13,58.59954071044922
2022-05-16,58.784339904785156
2022-05-17,60.050209045410156
2022-05-18,58.50714111328125
2022-05-19,57.6478271484375
2022-05-20,57.333675384521484
2022-05-23,59.08925247192383
2022-05-24,59.02458190917969
2022-05-25,59.68985366821289
2022-05-26,61.824275970458984
2022-05-27,62.57270050048828
2022-05-31,62.267791748046875
2022-06-01,61.59326934814453
2022-06-02,61.935150146484375
2022-06-03,61.15900421142578
2022-06-06,61.796546936035156
2022-06-07,62.54499435424805
2022-06-08,62.129188537597656
2022-06-09,60.99268341064453
2022-06-10,58.64574432373047
2022-06-13,56.40044403076172
2022-06-14,57.15811538696289
2022-06-15,57.57391357421875
2022-06-16,56.631439208984375
2022-06-17,56.24336624145508
2022-06-21,57.77718734741211
2022-06-22,57.05647659301758
2022-06-23,56.668399810791016
2022-06-24,59.338741302490234
2022-06-27,58.747379302978516
2022-06-28,58.895225524902344
2022-06-29,58.146785736083984
2022-06-30,58.01742935180664
2022-07-01,58.839778900146484
2022-07-05,57.60163116455078
2022-07-06,57.222801208496094
2022-07-07,58.23918533325195
2022-07-08,57.86958694458008
2022-07-11,57.38911437988281
2022-07-12,57.09343338012695
2022-07-13,55.393287658691406
2022-07-14,53.50835037231445
2022-07-15,54.54322052001953
2022-07-18,54.60789489746094
2022-07-19,56.17868423461914
2022-07-20,56.6222038269043
2022-07-21,56.465126037597656
2022-07-22,56.22488021850586
2022-07-25,56.94559860229492
2022-07-26,56.594482421875
2022-07-27,57.518470764160156
2022-07-28,57.14887237548828
2022-07-29,58.442466735839844
2022-08-01,58.10982131958008
2022-08-02,57.29671096801758
2022-08-03,58.7658576965332
2022-08-04,58.95065689086914
2022-08-05,58.4886589050293
2022-08-08,58.619049072265625
2022-08-09,59.513145446777344
2022-08-10,61.403770446777344
2022-08-11,62.11161422729492
2022-08-12,63.15471649169922
2022-08-15,62.71697235107422
2022-08-16,63.015010833740234
2022-08-17,62.83806228637695
2022-08-18,63.340999603271484
2022-08-19,62.763553619384766
2022-08-22,61.38516616821289
2022-08-23,61.1616325378418
2022-08-24,61.506229400634766
2022-08-25,62.651790618896484
2022-08-26,61.17094421386719
2022-08-29,60.93810272216797
2022-08-30,60.51899719238281
2022-08-31,59.91362380981445
2022-09-01,60.38861083984375
2022-09-02,60.593509674072266
2022-09-06,60.584190368652344
2022-09-07,61.627296447753906
2022-09-08,62.232688903808594
2022-09-09,62.99637985229492
2022-09-12,63.81597137451172
2022-09-13,61.906707763671875
2022-09-14,61.85083770751953
2022-09-15,61.18026351928711
2022-09-16,60.61213684082031
2022-09-19,61.72975158691406
2022-09-20,60.99398422241211
2022-09-21,60.090576171875
2022-09-22,59.112667083740234
2022-09-23,57.61319351196289
2022-09-26,56.681846618652344
2022-09-27,56.58871078491211
2022-09-28,57.61319351196289
2022-09-29,56.87742614746094
2022-09-30,56.60733413696289
2022-10-03,58.321022033691406
2022-10-04,60.9660530090332
2022-10-05,60.7797737121582
2022-10-06,60.1185188293457
2022-10-07,58.90776824951172
2022-10-10,59.03815841674805
2022-10-11,58.972957611083984
2022-10-12,58.28377151489258
2022-10-13,60.761146545410156
2022-10-14,60.649391174316406
2022-10-17,61.720436096191406
2022-10-18,62.75423049926758
2022-10-19,62.71697235107422
2022-10-20,61.48759841918945
2022-10-21,63.387542724609375
2022-10-24,64.61692810058594
2022-10-25,66.06051635742188
2022-10-26,65.98602294921875
2022-10-27,66.26542663574219
2022-10-28,68.1187973022461
2022-10-31,68.18399047851562
2022-11-01,68.86387634277344
2022-11-02,68.51927185058594
2022-11-03,68.09085845947266
2022-11-04,69.022216796875
2022-11-07,69.322265625
2022-11-08,68.83467102050781
2022-11-09,68.23456573486328
2022-11-10,70.06303405761719
2022-11-11,69.84735870361328
2022-11-14,69.19099426269531
2022-11-15,69.65045166015625
2022-11-16,69.72545623779297
2022-11-17,70.22241973876953
2022-11-18,70.7944107055664
2022-11-21,71.16010284423828
2022-11-22,72.12590789794922
2022-11-23,71.93836975097656
2022-11-25,72.15404510498047
2022-11-28,71.01007843017578
2022-11-29,71.3288803100586
