,INTC
2015-12-16,27.898094177246094
2015-12-17,27.589866638183594
2015-12-18,26.76793670654297
2015-12-21,27.060354232788086
2015-12-22,27.447614669799805
2015-12-23,27.66099739074707
2015-12-24,27.645191192626953
2015-12-28,27.60567283630371
2015-12-29,28.008737564086914
2015-12-30,27.65310287475586
2015-12-31,27.22632598876953
2016-01-04,26.86277961730957
2016-01-05,26.7363338470459
2016-01-06,26.14359474182129
2016-01-07,25.163606643676758
2016-01-08,24.902801513671875
2016-01-11,25.337478637695312
2016-01-12,25.827468872070312
2016-01-13,25.218923568725586
2016-01-14,25.874895095825195
2016-01-15,23.519752502441406
2016-01-19,23.551362991333008
2016-01-20,23.38539695739746
2016-01-21,23.440719604492188
2016-01-22,23.65410041809082
2016-01-25,23.39330291748047
2016-01-26,23.662012100219727
2016-01-27,23.559268951416016
2016-01-28,23.685718536376953
2016-01-29,24.515546798706055
2016-02-01,24.357481002807617
2016-02-02,23.551362991333008
2016-02-03,23.391904830932617
2016-02-04,23.7347354888916
2016-02-05,23.152727127075195
2016-02-08,22.977325439453125
2016-02-09,22.969350814819336
2016-02-10,22.506940841674805
2016-02-11,22.498971939086914
2016-02-12,22.833820343017578
2016-02-16,22.945436477661133
2016-02-17,23.495553970336914
2016-02-18,23.4556884765625
2016-02-19,22.889631271362305
2016-02-22,23.399879455566406
2016-02-23,22.961383819580078
2016-02-24,23.272315979003906
2016-02-25,23.61514663696289
2016-02-26,23.758651733398438
2016-02-29,23.591230392456055
2016-03-01,24.21310043334961
2016-03-02,24.348630905151367
2016-03-03,24.380525588989258
2016-03-04,24.420387268066406
2016-03-07,24.667539596557617
2016-03-08,24.364578247070312
2016-03-09,24.611732482910156
2016-03-10,24.914697647094727
2016-03-11,25.321304321289062
2016-03-14,25.05820083618164
2016-03-15,25.23360252380371
2016-03-16,25.2654972076416
2016-03-17,25.496702194213867
2016-03-18,26.054794311523438
2016-03-21,25.783720016479492
2016-03-22,25.767770767211914
2016-03-23,25.51264762878418
2016-03-24,25.416973114013672
2016-03-28,25.432924270629883
2016-03-29,25.81561279296875
2016-03-30,26.078712463378906
2016-03-31,25.791690826416016
2016-04-01,25.87142562866211
2016-04-04,25.51264762878418
2016-04-05,25.432924270629883
2016-04-06,25.576427459716797
2016-04-07,25.153871536254883
2016-04-08,25.21765899658203
2016-04-11,25.249549865722656
2016-04-12,25.401031494140625
2016-04-13,25.616294860839844
2016-04-14,25.353195190429688
2016-04-15,25.08211898803711
2016-04-18,25.23360252380371
2016-04-19,25.193737030029297
2016-04-20,25.51264762878418
2016-04-21,25.488725662231445
2016-04-22,25.22563362121582
2016-04-25,25.02631378173828
2016-04-26,25.034286499023438
2016-04-27,25.313329696655273
2016-04-28,24.80307388305664
2016-04-29,24.141340255737305
2016-05-02,24.40443992614746
2016-05-03,24.205127716064453
2016-05-04,24.004087448120117
2016-05-05,24.04429054260254
2016-05-06,24.15687370300293
2016-05-09,23.96387481689453
2016-05-10,24.23729133605957
2016-05-11,24.172956466674805
2016-05-12,23.93171501159668
