,BK
2019-03-20,43.68852996826172
2019-03-21,43.61288833618164
2019-03-22,42.444610595703125
2019-03-25,42.25970458984375
2019-03-26,42.730384826660156
2019-03-27,42.10841369628906
2019-03-28,42.35215377807617
2019-03-29,42.385780334472656
2019-04-01,43.25147247314453
2019-04-02,43.15902328491211
2019-04-03,43.06657028198242
2019-04-04,43.24307632446289
2019-04-05,43.016151428222656
2019-04-08,43.074981689453125
2019-04-09,42.85645294189453
2019-04-10,43.108604431152344
2019-04-11,43.44478225708008
2019-04-12,44.386138916015625
2019-04-15,44.20963668823242
2019-04-16,44.9156379699707
2019-04-17,40.63756561279297
2019-04-18,40.6879997253418
2019-04-22,40.50307846069336
2019-04-23,40.73842239379883
2019-04-24,40.46946716308594
2019-04-25,40.805667877197266
2019-04-26,40.94091796875
2019-04-29,41.74401092529297
2019-04-30,41.980712890625
2019-05-01,41.786285400390625
2019-05-02,42.12442398071289
2019-05-03,42.24278259277344
2019-05-06,41.70174789428711
2019-05-07,40.69576644897461
2019-05-08,40.619667053222656
2019-05-09,40.39142608642578
2019-05-10,40.661949157714844
2019-05-13,39.85886001586914
2019-05-14,39.74050521850586
2019-05-15,39.31781768798828
2019-05-16,39.343177795410156
2019-05-17,38.95431137084961
2019-05-20,38.86132049560547
2019-05-21,39.064208984375
2019-05-22,39.021942138671875
2019-05-23,38.24420166015625
2019-05-24,38.176578521728516
2019-05-28,37.47494125366211
2019-05-29,37.246681213378906
2019-05-30,36.56193161010742
2019-05-31,36.088539123535156
2019-06-03,36.39286804199219
2019-06-04,37.441123962402344
2019-06-05,36.86627197265625
2019-06-06,37.043800354003906
2019-06-07,37.53410720825195
2019-06-10,37.956783294677734
2019-06-11,37.6186408996582
2019-06-12,37.28049087524414
2019-06-13,37.64400100708008
2019-06-14,37.61018753051758
2019-06-17,37.15369415283203
2019-06-18,36.55348205566406
2019-06-19,36.088539123535156
2019-06-20,36.45204544067383
2019-06-21,36.69719696044922
2019-06-24,36.41822814941406
2019-06-25,36.714107513427734
2019-06-26,36.45204544067383
2019-06-27,36.680294036865234
2019-06-28,37.32277297973633
2019-07-01,37.59328842163086
2019-07-02,37.39038848876953
2019-07-03,37.73698425292969
2019-07-05,37.64400100708008
2019-07-08,36.37596130371094
2019-07-09,36.68873977661133
2019-07-10,36.38440704345703
2019-07-11,36.900081634521484
2019-07-12,36.82399368286133
2019-07-15,36.4774055480957
2019-07-16,36.44358825683594
2019-07-17,37.29740905761719
2019-07-18,37.922969818115234
2019-07-19,38.26957321166992
2019-07-22,38.73451614379883
2019-07-23,39.49534606933594
2019-07-24,39.81657409667969
2019-07-25,39.977203369140625
2019-07-26,40.50478744506836
2019-07-29,39.841064453125
2019-07-30,40.028255462646484
2019-07-31,39.92613983154297
2019-08-01,39.11774444580078
2019-08-02,39.168819427490234
2019-08-05,38.34339904785156
2019-08-06,38.675270080566406
2019-08-07,38.06258773803711
2019-08-08,38.777381896972656
2019-08-09,38.981605529785156
2019-08-12,37.76476287841797
2019-08-13,37.160587310791016
2019-08-14,35.705482482910156
2019-08-15,35.45871353149414
2019-08-16,36.02032470703125
2019-08-19,36.352203369140625
2019-08-20,35.705482482910156
2019-08-21,35.68846893310547
2019-08-22,35.88417053222656
2019-08-23,34.90559768676758
2019-08-26,34.982181549072266
2019-08-27,34.84602737426758
2019-08-28,34.931121826171875
2019-08-29,35.501251220703125
2019-08-30,35.79057693481445
2019-09-03,35.33956527709961
2019-09-04,35.671443939208984
2019-09-05,36.43729019165039
2019-09-06,36.6159782409668
2019-09-09,38.7007942199707
2019-09-10,38.95608139038086
2019-09-11,39.43260192871094
2019-09-12,39.407073974609375
2019-09-13,39.90912628173828
2019-09-16,39.78147888183594
2019-09-17,39.441104888916016
2019-09-18,39.994224548339844
2019-09-19,39.977210998535156
2019-09-20,39.46664810180664
2019-09-23,39.79850387573242
2019-09-24,39.356014251708984
2019-09-25,39.900630950927734
2019-09-26,39.679378509521484
2019-09-27,37.89239501953125
2019-09-30,38.471031188964844
2019-10-01,37.21165084838867
2019-10-02,36.15647888183594
2019-10-03,36.10542297363281
2019-10-04,36.27561950683594
2019-10-07,35.94374465942383
2019-10-08,36.02032470703125
2019-10-09,36.44580078125
2019-10-10,37.01593017578125
2019-10-11,37.54351806640625
2019-10-14,37.36481475830078
2019-10-15,37.74774169921875
2019-10-16,37.81581497192383
2019-10-17,37.76476287841797
2019-10-18,38.5816650390625
2019-10-21,38.862464904785156
2019-10-22,39.26240539550781
2019-10-23,39.76447296142578
2019-10-24,39.381534576416016
2019-10-25,39.732791900634766
2019-10-28,40.16969680786133
2019-10-29,39.94694900512695
2019-10-30,39.938385009765625
2019-10-31,40.04975128173828
2019-11-01,40.40099334716797
2019-11-04,41.73741149902344
2019-11-05,42.1229133605957
2019-11-06,42.088645935058594
2019-11-07,42.3199577331543
2019-11-08,42.148616790771484
2019-11-11,42.02867889404297
2019-11-12,41.89161682128906
2019-11-13,41.42044448852539
2019-11-14,41.480411529541016
2019-11-15,41.60891342163086
2019-11-18,41.74597930908203
2019-11-19,41.711708068847656
2019-11-20,41.874488830566406
2019-11-21,41.60891342163086
2019-11-22,41.805946350097656
