,ES
2017-09-05,49.769039154052734
2017-09-06,49.5002326965332
2017-09-07,49.966697692871094
2017-09-08,50.195980072021484
2017-09-11,50.686161041259766
2017-09-12,49.523948669433594
2017-09-13,49.31048583984375
2017-09-14,49.848087310791016
2017-09-15,49.69789123535156
2017-09-18,49.14421844482422
2017-09-19,49.20795440673828
2017-09-20,48.97693634033203
2017-09-21,48.94506072998047
2017-09-22,48.363529205322266
2017-09-25,48.96896743774414
2017-09-26,48.86539077758789
2017-09-27,48.14046859741211
2017-09-28,48.251983642578125
2017-09-29,48.148433685302734
2017-10-02,48.10063552856445
2017-10-03,47.9652099609375
2017-10-04,48.427268981933594
2017-10-05,48.299800872802734
2017-10-06,48.10063552856445
2017-10-09,48.05283737182617
2017-10-10,48.32368850708008
2017-10-11,48.83353805541992
2017-10-12,49.12828826904297
2017-10-13,49.11236572265625
2017-10-16,48.75387191772461
2017-10-17,49.184059143066406
2017-10-18,48.94506072998047
2017-10-19,49.4389762878418
2017-10-20,49.4947509765625
2017-10-23,49.68593215942383
2017-10-24,49.72578048706055
2017-10-25,49.65407180786133
2017-10-26,49.58236312866211
2017-10-27,50.02052688598633
2017-10-30,49.781532287597656
2017-10-31,49.901023864746094
2017-11-01,49.932891845703125
2017-11-02,50.37103271484375
2017-11-03,50.618003845214844
2017-11-06,50.745460510253906
2017-11-07,51.3986930847168
2017-11-08,51.48631286621094
2017-11-09,51.52614974975586
2017-11-10,51.04021453857422
2017-11-13,51.58987808227539
2017-11-14,52.42634963989258
2017-11-15,51.78108596801758
2017-11-16,51.69344711303711
2017-11-17,51.15172576904297
2017-11-20,50.85699462890625
2017-11-21,50.928688049316406
2017-11-22,50.83308410644531
2017-11-24,51.24734115600586
2017-11-27,51.31901931762695
2017-11-28,51.4305534362793
2017-11-29,51.47038650512695
2017-11-30,51.66157531738281
2017-12-01,52.12362289428711
2017-12-04,52.16346740722656
2017-12-05,51.68547439575195
2017-12-06,51.86869812011719
2017-12-07,51.709381103515625
2017-12-08,51.95632553100586
2017-12-11,52.33871078491211
2017-12-12,51.15172576904297
2017-12-13,51.84481430053711
2017-12-14,51.605812072753906
2017-12-15,51.858604431152344
2017-12-18,51.288822174072266
2017-12-19,50.22950744628906
2017-12-20,49.93257141113281
2017-12-21,49.73996353149414
2017-12-22,50.052947998046875
2017-12-26,49.72391891479492
2017-12-27,50.18135070800781
2017-12-28,50.51840591430664
2017-12-29,50.70298385620117
2018-01-02,50.67891311645508
2018-01-03,50.22950744628906
2018-01-04,49.52328872680664
2018-01-05,49.61156463623047
2018-01-08,49.95665740966797
2018-01-09,49.57946014404297
2018-01-10,49.21030807495117
2018-01-11,49.37080764770508
2018-01-12,49.234375
2018-01-16,48.91337203979492
2018-01-17,49.47514343261719
2018-01-18,48.80103302001953
2018-01-19,48.78498077392578
2018-01-22,48.76091003417969
2018-01-23,49.0497932434082
2018-01-24,49.05783462524414
2018-01-25,51.818477630615234
2018-01-26,51.417232513427734
2018-01-29,50.10911178588867
