,RJF
2021-04-30,82.84549713134766
2021-05-03,83.54231262207031
2021-05-04,83.94772338867188
2021-05-05,85.49339294433594
2021-05-06,86.43728637695312
2021-05-07,86.55764770507812
2021-05-10,85.55042266845703
2021-05-11,84.41651916503906
2021-05-12,81.94595336914062
2021-05-13,83.52332305908203
2021-05-14,84.99298095703125
2021-05-17,84.83460235595703
2021-05-18,83.67533874511719
2021-05-19,83.82738494873047
2021-05-20,84.29615783691406
2021-05-21,84.56855010986328
2021-05-24,85.22102355957031
2021-05-25,83.48529815673828
2021-05-26,84.2898178100586
2021-05-27,83.48529815673828
2021-05-28,83.99210357666016
2021-06-01,84.29615783691406
2021-06-02,83.74503326416016
2021-06-03,84.1884536743164
2021-06-04,83.89071655273438
2021-06-07,82.77582550048828
2021-06-08,83.38394165039062
2021-06-09,81.85728454589844
2021-06-10,81.62923431396484
2021-06-11,83.04820251464844
2021-06-14,81.7242431640625
2021-06-15,82.45907592773438
2021-06-16,82.98484802246094
2021-06-17,80.69168853759766
2021-06-18,78.58856964111328
2021-06-21,81.21746826171875
2021-06-22,80.86273956298828
2021-06-23,82.18669128417969
2021-06-24,83.31427001953125
2021-06-25,83.65633392333984
2021-06-28,81.61022186279297
2021-06-29,82.55409240722656
2021-06-30,82.53504180908203
2021-07-01,83.75495147705078
2021-07-02,83.64057922363281
2021-07-06,83.02427673339844
2021-07-07,83.08147430419922
2021-07-08,80.8512954711914
2021-07-09,83.88201904296875
2021-07-12,85.14642333984375
2021-07-13,84.81602478027344
2021-07-14,83.35467529296875
2021-07-15,83.77403259277344
2021-07-16,81.74081420898438
2021-07-19,78.80538940429688
2021-07-20,80.76869201660156
2021-07-21,82.9289779663086
2021-07-22,81.60104370117188
2021-07-23,81.6455078125
2021-07-26,82.59857940673828
2021-07-27,81.96320343017578
2021-07-28,82.71929931640625
2021-07-29,83.23394012451172
2021-07-30,82.26818084716797
2021-08-02,82.83367156982422
2021-08-03,82.29359436035156
2021-08-04,81.59468078613281
2021-08-05,82.89720153808594
2021-08-06,85.06382751464844
2021-08-09,86.04864501953125
2021-08-10,87.16056060791016
2021-08-11,87.98653411865234
