,KO
2020-02-07,50.691715240478516
2020-02-10,51.17131042480469
2020-02-11,51.0342903137207
2020-02-12,50.880126953125
2020-02-13,51.05141830444336
2020-02-14,51.342594146728516
2020-02-18,50.98291015625
2020-02-19,51.188438415527344
2020-02-20,51.14561462402344
2020-02-21,51.49674606323242
2020-02-24,50.229244232177734
2020-02-25,49.51840591430664
2020-02-26,49.33000183105469
2020-02-27,47.04335021972656
2020-02-28,45.81010437011719
2020-03-02,47.891204833984375
2020-03-03,48.01111602783203
2020-03-04,50.460479736328125
2020-03-05,48.59347915649414
2020-03-06,47.32598114013672
2020-03-09,44.414127349853516
2020-03-10,45.955684661865234
2020-03-11,44.71387481689453
2020-03-12,40.38893508911133
2020-03-13,41.874908447265625
2020-03-16,39.10167694091797
2020-03-17,40.76042938232422
2020-03-18,38.74746322631836
2020-03-19,36.13838577270508
2020-03-20,33.08869171142578
2020-03-23,32.44938659667969
2020-03-24,34.082210540771484
2020-03-25,35.948307037353516
2020-03-26,38.26366424560547
2020-03-27,36.98503875732422
2020-03-30,38.87705993652344
2020-03-31,38.229103088378906
2020-04-01,36.38890838623047
2020-04-02,37.96992111206055
2020-04-03,37.866249084472656
2020-04-06,40.31982421875
2020-04-07,40.18159484863281
2020-04-08,41.3133430480957
2020-04-09,42.33279037475586
2020-04-13,40.5444450378418
2020-04-14,42.263675689697266
2020-04-15,41.13191604614258
2020-04-16,40.691314697265625
2020-04-17,41.520694732666016
2020-04-20,40.198875427246094
2020-04-21,39.20534896850586
2020-04-22,39.46452713012695
2020-04-23,38.93752670288086
2020-04-24,39.2485466003418
2020-04-27,40.41485595703125
2020-04-28,40.38030242919922
2020-04-29,40.70859146118164
2020-04-30,39.64595413208008
2020-05-01,39.39541244506836
2020-05-04,38.998008728027344
2020-05-05,39.22262954711914
2020-05-06,38.66106414794922
2020-05-07,38.5314826965332
2020-05-08,39.83601760864258
2020-05-11,39.34358215332031
2020-05-12,38.7215461730957
2020-05-13,37.96128463745117
2020-05-14,37.753944396972656
2020-05-15,37.37381362915039
2020-05-18,38.851139068603516
2020-05-19,38.47964859008789
2020-05-20,39.64595413208008
2020-05-21,39.023929595947266
2020-05-22,38.902976989746094
2020-05-26,39.81874465942383
2020-05-27,40.37165832519531
2020-05-28,40.682674407958984
2020-05-29,40.328468322753906
2020-06-01,40.596290588378906
2020-06-02,40.518531799316406
2020-06-03,41.38246536254883
2020-06-04,41.399742126464844
2020-06-05,42.41054153442383
2020-06-08,43.067138671875
2020-06-09,42.33279037475586
2020-06-10,42.004486083984375
2020-06-11,39.34358215332031
2020-06-12,39.75331497192383
2020-06-15,40.363563537597656
2020-06-16,40.77330780029297
2020-06-17,40.6076545715332
2020-06-18,40.96509552001953
2020-06-19,40.119468688964844
2020-06-22,39.875362396240234
2020-06-23,39.788185119628906
2020-06-24,38.92511749267578
2020-06-25,39.16922378540039
2020-06-26,37.98359680175781
2020-06-29,38.672298431396484
2020-06-30,38.951271057128906
2020-07-01,39.07332992553711
2020-07-02,39.12562942504883
2020-07-06,39.43075180053711
2020-07-07,39.413326263427734
2020-07-08,39.29126739501953
2020-07-09,38.280006408691406
2020-07-10,39.361019134521484
2020-07-13,39.44819641113281
2020-07-14,39.98869705200195
2020-07-15,40.450740814208984
2020-07-16,40.23280334472656
2020-07-17,40.81689453125
2020-07-20,40.20664596557617
2020-07-21,41.148170471191406
2020-07-22,42.2640495300293
2020-07-23,42.08969497680664
2020-07-24,42.27276611328125
2020-07-27,42.2640495300293
2020-07-28,42.00251770019531
2020-07-29,41.86302947998047
2020-07-30,41.57534408569336
2020-07-31,41.183040618896484
2020-08-03,40.363563537597656
2020-08-04,40.703556060791016
2020-08-05,41.16560363769531
2020-08-06,41.39226150512695
2020-08-07,41.671234130859375
2020-08-10,41.601505279541016
2020-08-11,41.784568786621094
2020-08-12,42.220455169677734
2020-08-13,42.1768798828125
2020-08-14,42.2379035949707
2020-08-17,42.0286750793457
2020-08-18,42.21174621582031
2020-08-19,41.29637908935547
2020-08-20,41.2789421081543
2020-08-21,41.2179069519043
2020-08-24,41.8194465637207
2020-08-25,41.76714324951172
2020-08-26,41.985076904296875
2020-08-27,42.04610824584961
2020-08-28,43.440956115722656
2020-08-31,43.179420471191406
2020-09-01,42.82199478149414
2020-09-02,44.626583099365234
2020-09-03,44.007625579833984
2020-09-04,44.49581527709961
2020-09-08,43.42353439331055
2020-09-09,43.75480651855469
2020-09-10,43.58915328979492
2020-09-11,44.51325607299805
2020-09-14,44.565975189208984
2020-09-15,44.86478805541992
2020-09-16,44.63629150390625
2020-09-17,44.42537307739258
2020-09-18,44.337486267089844
2020-09-21,43.14226150512695
2020-09-22,43.6431999206543
2020-09-23,42.36888122558594
2020-09-24,42.79951858520508
2020-09-25,42.81709289550781
2020-09-28,43.30924606323242
2020-09-29,42.99286651611328
2020-09-30,43.38833999633789
2020-10-01,43.22135543823242
2020-10-02,43.379547119140625
2020-10-05,43.39712905883789
2020-10-06,43.010433197021484
2020-10-07,43.555320739746094
2020-10-08,44.346275329589844
2020-10-09,44.65386962890625
2020-10-12,44.89994430541992
2020-10-13,44.13534927368164
2020-10-14,44.04746627807617
2020-10-15,43.93321990966797
2020-10-16,43.96836853027344
2020-10-19,43.60805130004883
2020-10-20,44.16172790527344
2020-10-21,43.93321990966797
2020-10-22,44.53961944580078
2020-10-23,44.39899444580078
2020-10-26,43.76624298095703
2020-10-27,43.8541259765625
2020-10-28,42.149173736572266
2020-10-29,42.201904296875
2020-10-30,42.237060546875
2020-11-02,42.72920227050781
2020-11-03,43.370750427246094
2020-11-04,43.21257019042969
2020-11-05,43.44985580444336
2020-11-06,43.458648681640625
2020-11-09,46.20063400268555
2020-11-10,47.439796447753906
2020-11-11,47.0882682800293
2020-11-12,46.58731460571289
2020-11-13,46.97401428222656
2020-11-16,47.32554626464844
2020-11-17,47.17613983154297
2020-11-18,46.235782623291016
2020-11-19,46.692771911621094
2020-11-20,46.28851318359375
2020-11-23,46.29729461669922
2020-11-24,46.77187728881836
2020-11-25,46.51701354980469
2020-11-27,46.31488037109375
2020-11-30,45.70372009277344
2020-12-01,46.09344482421875
2020-12-02,46.15544891357422
2020-12-03,46.74888610839844
2020-12-04,47.69662094116211
2020-12-07,46.93489456176758
2020-12-08,47.103179931640625
2020-12-09,47.23603820800781
2020-12-10,46.988037109375
2020-12-11,47.25375747680664
2020-12-14,47.182891845703125
2020-12-15,47.68776321411133
2020-12-16,46.996891021728516
2020-12-17,47.182891845703125
2020-12-18,47.599185943603516
2020-12-21,46.77545928955078
2020-12-22,46.73116683959961
2020-12-23,47.01460266113281
2020-12-24,47.33346176147461
2020-12-28,47.97119903564453
2020-12-29,47.94462203979492
2020-12-30,48.21920394897461
2020-12-31,48.57349395751953
2021-01-04,46.73116683959961
2021-01-05,46.21744155883789
2021-01-06,44.747127532958984
2021-01-07,44.251121520996094
2021-01-08,45.24314498901367
2021-01-11,44.46369552612305
2021-01-12,44.38398361206055
2021-01-13,44.42827224731445
2021-01-14,43.60453796386719
2021-01-15,43.13510513305664
2021-01-19,42.96681213378906
2021-01-20,43.11738967895508
2021-01-21,43.35654067993164
2021-01-22,42.949100494384766
2021-01-25,43.205963134765625
2021-01-26,43.65768814086914
2021-01-27,42.984519958496094
2021-01-28,43.5336799621582
2021-01-29,42.647953033447266
