,BMY
2019-05-29,37.38943862915039
2019-05-30,37.80141067504883
2019-05-31,37.38120651245117
2019-06-03,37.999149322509766
2019-06-04,38.41935348510742
2019-06-05,38.41935348510742
2019-06-06,38.023868560791016
2019-06-07,38.51821517944336
2019-06-10,37.90851974487305
2019-06-11,38.61708068847656
2019-06-12,39.2432746887207
2019-06-13,38.99608612060547
2019-06-14,39.18559646606445
2019-06-17,39.72114181518555
2019-06-18,39.37508773803711
2019-06-19,40.05071258544922
2019-06-20,40.28139877319336
2019-06-21,40.65217208862305
2019-06-24,37.636619567871094
2019-06-25,37.71076965332031
2019-06-26,37.01044845581055
2019-06-27,37.15874099731445
2019-06-28,37.364723205566406
2019-07-01,38.048580169677734
2019-07-02,38.460548400878906
2019-07-03,38.70158386230469
2019-07-05,38.144683837890625
2019-07-08,38.04492950439453
2019-07-09,38.26937484741211
2019-07-10,38.20286560058594
2019-07-11,37.014225006103516
2019-07-12,36.7981071472168
2019-07-15,36.731597900390625
2019-07-16,36.947723388671875
2019-07-17,36.68173599243164
2019-07-18,36.615234375
2019-07-19,36.01675796508789
2019-07-22,35.5512809753418
2019-07-23,35.78401184082031
2019-07-24,35.93363571166992
2019-07-25,37.73738479614258
2019-07-26,37.71244430541992
2019-07-29,37.72907257080078
2019-07-30,37.039161682128906
2019-07-31,36.91447067260742
2019-08-01,37.57113265991211
2019-08-02,38.22779846191406
2019-08-05,37.72075271606445
2019-08-06,37.97843933105469
2019-08-07,38.43560791015625
2019-08-08,39.30839157104492
2019-08-09,39.33332443237305
2019-08-12,38.66004180908203
2019-08-13,38.643409729003906
2019-08-14,37.93687438964844
2019-08-15,38.0283088684082
2019-08-16,39.05070495605469
2019-08-19,39.4496955871582
2019-08-20,39.59100341796875
2019-08-21,39.70737075805664
2019-08-22,39.782188415527344
2019-08-23,38.718223571777344
2019-08-26,39.989990234375
2019-08-27,39.84036636352539
2019-08-28,40.44716262817383
2019-08-29,40.122989654541016
2019-08-30,39.95673751831055
2019-09-03,39.93180847167969
2019-09-04,39.99829864501953
2019-09-05,40.322479248046875
2019-09-06,40.122989654541016
2019-09-09,39.973358154296875
2019-09-10,40.364036560058594
2019-09-11,40.92927169799805
2019-09-12,41.23682403564453
2019-09-13,41.08720016479492
2019-09-16,41.120452880859375
2019-09-17,41.34488296508789
2019-09-18,41.44462585449219
2019-09-19,41.61918258666992
2019-09-20,42.034793853759766
2019-09-23,41.99321746826172
2019-09-24,41.569297790527344
2019-09-25,41.42799758911133
2019-09-26,41.53606414794922
