,DIS
2021-03-01,192.60067749023438
2021-03-02,191.5733642578125
2021-03-03,189.9138641357422
2021-03-04,185.73548889160156
2021-03-05,187.6715850830078
2021-03-08,199.4461212158203
2021-03-09,192.1364288330078
2021-03-10,192.67970275878906
2021-03-11,194.34909057617188
2021-03-12,194.7540740966797
2021-03-15,194.3589630126953
2021-03-16,191.86972045898438
2021-03-17,192.85752868652344
2021-03-18,189.93362426757812
2021-03-19,188.8075408935547
2021-03-22,190.5065460205078
2021-03-23,186.4269561767578
2021-03-24,182.4658966064453
2021-03-25,184.629150390625
2021-03-26,183.65122985839844
2021-03-29,182.59429931640625
2021-03-30,183.26600646972656
2021-03-31,182.26832580566406
2021-04-01,186.6640167236328
2021-04-05,186.1997528076172
2021-04-06,187.4147491455078
2021-04-07,185.27122497558594
2021-04-08,185.03416442871094
2021-04-09,185.5972137451172
2021-04-12,184.2142791748047
2021-04-13,183.2264862060547
2021-04-14,185.17245483398438
2021-04-15,183.66110229492188
2021-04-16,184.97488403320312
2021-04-19,185.14279174804688
2021-04-20,180.55943298339844
2021-04-21,180.87551879882812
2021-04-22,180.52980041503906
2021-04-23,180.78662109375
2021-04-26,182.02137756347656
2021-04-27,182.38685607910156
2021-04-28,181.15213012695312
2021-04-29,183.0684356689453
2021-04-30,183.75001525878906
2021-05-03,183.24624633789062
2021-05-04,182.00161743164062
2021-05-05,179.2950439453125
2021-05-06,179.57164001464844
2021-05-07,182.58441162109375
2021-05-10,182.05101013183594
2021-05-11,179.45309448242188
2021-05-12,175.67971801757812
2021-05-13,176.1637420654297
2021-05-14,171.58035278320312
2021-05-17,168.00454711914062
2021-05-18,167.60939025878906
2021-05-19,167.2044219970703
2021-05-20,169.2689208984375
2021-05-21,170.2962188720703
2021-05-24,172.18292236328125
2021-05-25,174.0202178955078
2021-05-26,174.31654357910156
2021-05-27,176.85519409179688
2021-05-28,176.46994018554688
2021-06-01,176.6576385498047
2021-06-02,174.840087890625
2021-06-03,174.08937072753906
2021-06-04,175.01788330078125
2021-06-07,174.83021545410156
2021-06-08,174.1782684326172
2021-06-09,173.89178466796875
2021-06-10,174.41534423828125
2021-06-11,175.2154541015625
2021-06-14,176.0056915283203
2021-06-15,173.71401977539062
2021-06-16,172.5286407470703
2021-06-17,172.5187530517578
2021-06-18,170.31597900390625
2021-06-21,171.84706115722656
2021-06-22,171.3828125
2021-06-23,173.1904754638672
2021-06-24,175.75872802734375
2021-06-25,176.1736297607422
2021-06-28,174.41534423828125
