,VTRS
2016-08-10,41.90790557861328
2016-08-11,41.83919906616211
2016-08-12,41.624454498291016
2016-08-15,41.87355041503906
2016-08-16,41.68458557128906
2016-08-17,42.00239562988281
2016-08-18,42.36314392089844
2016-08-19,41.79624557495117
2016-08-22,41.1434440612793
2016-08-23,39.185054779052734
2016-08-24,37.06346130371094
2016-08-25,36.8057746887207
2016-08-26,36.96037673950195
2016-08-29,37.123592376708984
2016-08-30,36.719879150390625
2016-08-31,36.3848876953125
2016-09-01,36.006954193115234
2016-09-02,34.33201217651367
2016-09-06,34.70136260986328
2016-09-07,34.62405014038086
2016-09-08,34.84738540649414
2016-09-09,34.26329803466797
2016-09-12,35.500179290771484
2016-09-13,35.13942337036133
2016-09-14,35.07929229736328
2016-09-15,35.637611389160156
2016-09-16,35.895294189453125
2016-09-19,35.637611389160156
2016-09-20,35.44004440307617
2016-09-21,35.99836349487305
2016-09-22,36.58245086669922
2016-09-23,36.12721252441406
2016-09-26,35.371341705322266
2016-09-27,35.48299789428711
2016-09-28,34.5467529296875
2016-09-29,33.04359817504883
2016-09-30,32.74296569824219
2016-10-03,32.81167984008789
2016-10-04,32.61412811279297
2016-10-05,32.665653228759766
2016-10-06,31.643522262573242
2016-10-07,30.87046241760254
2016-10-10,33.38717269897461
2016-10-11,32.90616989135742
2016-10-12,31.841075897216797
2016-10-13,32.53681945800781
2016-10-14,31.34288787841797
2016-10-17,31.299938201904297
2016-10-18,32.11593246459961
2016-10-19,31.95273780822754
2016-10-20,32.304901123046875
2016-10-21,31.79813003540039
2016-10-24,32.26195526123047
2016-10-25,33.22397232055664
2016-10-26,32.70861053466797
2016-10-27,32.657073974609375
2016-10-28,31.944141387939453
2016-10-31,31.351484298706055
2016-11-01,31.918380737304688
2016-11-02,31.49749183654785
2016-11-03,29.324363708496094
2016-11-04,30.063058853149414
2016-11-07,31.42877960205078
2016-11-08,31.875438690185547
2016-11-09,33.430118560791016
2016-11-10,32.880393981933594
2016-11-11,32.57976150512695
2016-11-14,33.017822265625
2016-11-15,33.20679473876953
2016-11-16,32.55400085449219
2016-11-17,32.26195526123047
2016-11-18,31.325706481933594
2016-11-21,31.506093978881836
2016-11-22,31.196868896484375
2016-11-23,31.652103424072266
2016-11-25,31.506093978881836
2016-11-28,31.557621002197266
2016-11-29,30.97353744506836
2016-11-30,31.445955276489258
2016-12-01,30.94777488708496
2016-12-02,30.91341209411621
2016-12-05,30.621376037597656
2016-12-06,30.8017520904541
