,FITB
2019-04-17,22.2513370513916
2019-04-18,22.082706451416016
2019-04-22,22.130878448486328
2019-04-23,22.7652587890625
2019-04-24,22.70905113220215
2019-04-25,22.692989349365234
2019-04-26,22.805416107177734
2019-04-29,23.086463928222656
2019-04-30,23.142677307128906
2019-05-01,22.885711669921875
2019-05-02,23.150705337524414
2019-05-03,23.271156311035156
2019-05-06,23.126611709594727
2019-05-07,22.548452377319336
2019-05-08,22.275421142578125
2019-05-09,22.34769630432129
2019-05-10,22.508296966552734
2019-05-13,21.74543571472168
2019-05-14,21.98634147644043
2019-05-15,21.681201934814453
2019-05-16,21.873924255371094
2019-05-17,21.906042098999023
2019-05-20,21.978309631347656
2019-05-21,22.018463134765625
2019-05-22,21.97028350830078
2019-05-23,21.697265625
2019-05-24,21.86589241027832
2019-05-28,21.72134780883789
2019-05-29,21.8819522857666
2019-05-30,21.592870712280273
2019-05-31,21.279699325561523
2019-06-03,21.335908889770508
2019-06-04,21.946191787719727
2019-06-05,21.817716598510742
2019-06-06,21.75347137451172
2019-06-07,21.544687271118164
2019-06-10,21.697265625
2019-06-11,22.010438919067383
2019-06-12,21.769535064697266
2019-06-13,21.849830627441406
2019-06-14,21.994375228881836
2019-06-17,21.65711212158203
2019-06-18,22.387845993041992
2019-06-19,21.91407585144043
2019-06-20,21.922103881835938
2019-06-21,21.97028350830078
2019-06-24,21.825742721557617
2019-06-25,21.75347137451172
2019-06-26,21.889982223510742
2019-06-27,22.108718872070312
2019-06-28,22.602907180786133
2019-07-01,22.94316291809082
2019-07-02,22.448978424072266
2019-07-03,22.764934539794922
2019-07-05,22.967470169067383
2019-07-08,22.732526779174805
2019-07-09,22.894556045532227
2019-07-10,22.392269134521484
2019-07-11,22.72442626953125
2019-07-12,22.845949172973633
2019-07-15,22.529993057250977
2019-07-16,22.56239891052246
2019-07-17,22.343660354614258
2019-07-18,22.529993057250977
2019-07-19,22.635313034057617
2019-07-22,22.538097381591797
2019-07-23,23.696592330932617
2019-07-24,24.028749465942383
2019-07-25,23.947734832763672
2019-07-26,24.336605072021484
2019-07-29,24.117868423461914
2019-07-30,24.206981658935547
2019-07-31,24.053058624267578
2019-08-01,22.983675003051758
2019-08-02,22.854047775268555
2019-08-05,21.857572555541992
2019-08-06,22.08441162109375
2019-08-07,21.501115798950195
2019-08-08,21.744159698486328
2019-08-09,21.663145065307617
2019-08-12,21.128450393676758
2019-08-13,21.420103073120117
2019-08-14,20.66667366027832
2019-08-15,20.43172836303711
2019-08-16,20.796295166015625
2019-08-19,20.99882698059082
2019-08-20,20.58565902709961
2019-08-21,20.699077606201172
2019-08-22,20.885412216186523
2019-08-23,20.318307876586914
2019-08-26,20.58565902709961
2019-08-27,20.496540069580078
2019-08-28,20.877307891845703
2019-08-29,21.31478500366211
2019-08-30,21.428199768066406
2019-09-03,20.85300636291504
2019-09-04,21.02313995361328
2019-09-05,21.671245574951172
2019-09-06,21.679344177246094
2019-09-09,22.303152084350586
2019-09-10,22.619104385375977
2019-09-11,22.513795852661133
2019-09-12,22.70822525024414
2019-09-13,22.99177360534668
2019-09-16,23.097095489501953
2019-09-17,22.829748153686523
2019-09-18,22.918859481811523
2019-09-19,22.64341163635254
2019-09-20,22.546199798583984
2019-09-23,22.45707893371582
2019-09-24,22.238344192504883
2019-09-25,22.408475875854492
2019-09-26,22.18973159790039
2019-09-27,22.45944595336914
2019-09-30,22.377714157104492
2019-10-01,21.633968353271484
2019-10-02,21.200803756713867
2019-10-03,21.315221786499023
2019-10-04,21.658493041992188
2019-10-07,21.486860275268555
2019-10-08,20.800321578979492
2019-10-09,20.971954345703125
2019-10-10,21.396949768066406
2019-10-11,21.944543838500977
2019-10-14,22.058963775634766
2019-10-15,22.377714157104492
2019-10-16,22.206083297729492
2019-10-17,22.132516860961914
2019-10-18,22.336843490600586
2019-10-21,22.900781631469727
2019-10-22,23.129629135131836
2019-10-23,23.10511016845703
2019-10-24,23.039724349975586
2019-10-25,23.742605209350586
2019-10-28,24.06135368347168
2019-10-29,24.216638565063477
2019-10-30,23.930583953857422
2019-10-31,23.767126083374023
2019-11-01,24.159427642822266
2019-11-04,24.584426879882812
2019-11-05,24.805095672607422
2019-11-06,24.870485305786133
2019-11-07,24.935867309570312
2019-11-08,24.976734161376953
2019-11-11,24.62529182434082
2019-11-12,24.60894775390625
2019-11-13,24.36375617980957
2019-11-14,24.339237213134766
2019-11-15,24.57625389099121
2019-11-18,24.396451950073242
2019-11-19,24.41279411315918
2019-11-20,24.32288932800293
2019-11-21,24.339237213134766
2019-11-22,24.60077476501465
2019-11-25,24.788747787475586
2019-11-26,24.70702362060547
2019-11-27,24.756061553955078
2019-11-29,24.67432975769043
2019-12-02,24.60894775390625
2019-12-03,24.10222053527832
2019-12-04,24.24933433532715
2019-12-05,24.41279411315918
2019-12-06,24.723369598388672
2019-12-09,24.70702362060547
2019-12-10,24.8786563873291
2019-12-11,24.79692840576172
2019-12-12,25.736820220947266
2019-12-13,25.311824798583984
2019-12-16,25.270963668823242
2019-12-17,25.58970832824707
2019-12-18,25.499807357788086
2019-12-19,25.33634376525879
2019-12-20,25.45893669128418
2019-12-23,25.295480728149414
2019-12-24,25.303653717041016
2019-12-26,25.434417724609375
2019-12-27,25.254613876342773
2019-12-30,25.164003372192383
2019-12-31,25.320512771606445
2020-01-02,25.551143646240234
2020-01-03,25.073400497436523
2020-01-06,24.867475509643555
2020-01-07,24.587417602539062
2020-01-08,24.64507484436035
2020-01-09,24.916898727416992
2020-01-10,24.513286590576172
2020-01-13,24.595653533935547
2020-01-14,24.496809005737305
2020-01-15,23.911989212036133
2020-01-16,24.208515167236328
2020-01-17,24.257938385009766
2020-01-21,23.903749465942383
2020-01-22,24.16733169555664
2020-01-23,24.18380355834961
2020-01-24,23.7554874420166
2020-01-27,23.47542381286621
2020-01-28,23.77195930480957
2020-01-29,23.45071029663086
2020-01-30,24.043771743774414
2020-01-31,23.43423843383789
2020-02-03,23.870800018310547
2020-02-04,24.28264808654785
2020-02-05,24.85923957824707
2020-02-06,24.4309139251709
2020-02-07,24.2908878326416
2020-02-10,24.216754913330078
2020-02-11,24.307361602783203
2020-02-12,24.41443634033203
2020-02-13,24.570938110351562
2020-02-14,24.38149070739746
2020-02-18,24.084959030151367
2020-02-19,24.41443634033203
2020-02-20,24.570938110351562
2020-02-21,24.216754913330078
2020-02-24,23.318920135498047
2020-02-25,22.29753303527832
2020-02-26,21.951580047607422
2020-02-27,20.748979568481445
2020-02-28,20.09825897216797
2020-03-02,21.185537338256836
2020-03-03,20.131206512451172
2020-03-04,20.732505798339844
2020-03-05,19.50519561767578
2020-03-06,18.286115646362305
2020-03-09,15.07369327545166
2020-03-10,15.864447593688965
2020-03-11,14.546525955200195
2020-03-12,13.096814155578613
2020-03-13,14.521818161010742
2020-03-16,11.358811378479004
2020-03-17,11.490602493286133
2020-03-18,9.612568855285645
2020-03-19,10.7657470703125
2020-03-20,10.633955955505371
2020-03-23,10.016180038452148
2020-03-24,11.869504928588867
2020-03-25,12.207218170166016
2020-03-26,14.266468048095703
2020-03-27,14.126439094543457
2020-03-30,13.281194686889648
2020-03-31,12.427584648132324
2020-04-01,11.264328002929688
2020-04-02,11.950566291809082
2020-04-03,11.247591972351074
2020-04-06,12.946446418762207
2020-04-07,13.272829055786133
2020-04-08,13.967434883117676
2020-04-09,14.91309928894043
2020-04-13,14.53650951385498
2020-04-14,14.352396011352539
2020-04-15,13.164031028747559
2020-04-16,12.360634803771973
2020-04-17,13.917222023010254
2020-04-20,13.959063529968262
2020-04-21,13.607577323913574
2020-04-22,13.808426856994629
2020-04-23,14.109701156616211
2020-04-24,14.327287673950195
2020-04-27,15.356640815734863
2020-04-28,15.549126625061035
2020-04-29,16.478055953979492
2020-04-30,15.641179084777832
2020-05-01,14.871257781982422
2020-05-04,14.76246452331543
2020-05-05,14.53650951385498
2020-05-06,14.042752265930176
2020-05-07,14.503032684326172
2020-05-08,15.147427558898926
2020-05-11,14.385869979858398
2020-05-12,13.632683753967285
2020-05-13,13.13892650604248
2020-05-14,13.666159629821777
2020-05-15,13.4904146194458
2020-05-18,14.954946517944336
2020-05-19,14.251969337463379
2020-05-20,14.812676429748535
2020-05-21,14.603456497192383
2020-05-22,14.737356185913086
2020-05-26,16.05961799621582
2020-05-27,17.549251556396484
2020-05-28,16.846282958984375
2020-05-29,16.226991653442383
2020-06-01,16.586849212646484
2020-06-02,16.913230895996094
2020-06-03,17.875638961791992
2020-06-04,19.005414962768555
2020-06-05,19.65817642211914
2020-06-08,20.7293758392334
2020-06-09,20.15192985534668
2020-06-10,18.745981216430664
2020-06-11,16.528270721435547
2020-06-12,17.41535758972168
2020-06-15,17.959321975708008
2020-06-16,18.44470977783203
2020-06-17,17.976058959960938
2020-06-18,18.068115234375
2020-06-19,17.398618698120117
2020-06-22,17.59109878540039
2020-06-23,17.641313552856445
2020-06-24,16.645431518554688
2020-06-25,17.15592384338379
2020-06-26,15.699762344360352
2020-06-29,15.91203498840332
2020-06-30,16.37055015563965
