,ZTS
2016-12-09,49.01816940307617
2016-12-12,48.10186767578125
2016-12-13,48.22466278076172
2016-12-14,48.02629089355469
2016-12-15,49.42437744140625
2016-12-16,49.55663299560547
2016-12-19,49.490501403808594
2016-12-20,50.16121292114258
2016-12-21,50.18008804321289
2016-12-22,50.31234359741211
2016-12-23,50.8035774230957
2016-12-27,50.74689865112305
2016-12-28,50.48239517211914
2016-12-29,50.652427673339844
2016-12-30,50.567405700683594
2017-01-03,50.624088287353516
2017-01-04,51.11530303955078
2017-01-05,50.945281982421875
2017-01-06,51.10586166381836
2017-01-09,50.964168548583984
2017-01-10,50.945281982421875
2017-01-11,50.359588623046875
2017-01-12,50.43513870239258
2017-01-13,50.76578903198242
2017-01-17,50.274574279785156
2017-01-18,50.449676513671875
2017-01-19,50.638973236083984
2017-01-20,51.08384323120117
2017-01-23,50.8756103515625
2017-01-24,50.90401077270508
2017-01-25,51.11223602294922
2017-01-26,50.96079635620117
2017-01-27,51.727481842041016
2017-01-30,51.367794036865234
2017-01-31,52.001976013183594
2017-02-01,52.36165237426758
2017-02-02,52.721336364746094
2017-02-03,52.9295539855957
2017-02-06,52.78758239746094
2017-02-07,52.98635482788086
2017-02-08,52.9674186706543
2017-02-09,52.9674186706543
2017-02-10,52.74971389770508
2017-02-13,52.1912841796875
2017-02-14,52.077693939208984
2017-02-15,52.200740814208984
2017-02-16,49.95748519897461
2017-02-17,49.7019157409668
2017-02-21,50.61057662963867
2017-02-22,50.5254020690918
2017-02-23,50.71470642089844
2017-02-24,50.9986572265625
2017-02-27,50.95132827758789
2017-02-28,50.459136962890625
2017-03-01,51.00812530517578
2017-03-02,50.515933990478516
2017-03-03,50.56324768066406
2017-03-06,50.241432189941406
2017-03-07,50.231964111328125
2017-03-08,50.16571807861328
2017-03-09,50.81880569458008
2017-03-10,50.48753356933594
2017-03-13,50.695770263671875
2017-03-14,50.56324768066406
2017-03-15,51.377262115478516
2017-03-16,51.519248962402344
2017-03-17,51.11223602294922
2017-03-20,51.377262115478516
2017-03-21,50.53484344482422
2017-03-22,50.98917770385742
2017-03-23,50.92292785644531
2017-03-24,50.97025680541992
2017-03-27,51.08384323120117
2017-03-28,51.263675689697266
2017-03-29,50.94186019897461
2017-03-30,50.61057662963867
2017-03-31,50.515933990478516
2017-04-03,50.326622009277344
2017-04-04,49.933048248291016
2017-04-05,49.9520149230957
2017-04-06,49.9520149230957
2017-04-07,49.8287239074707
2017-04-10,50.01840591430664
2017-04-11,50.12272262573242
2017-04-12,50.47362518310547
2017-04-13,50.35980987548828
2017-04-17,50.739166259765625
2017-04-18,50.78660202026367
2017-04-19,51.071102142333984
2017-04-20,51.48841857910156
2017-04-21,51.39356994628906
2017-04-24,52.15230178833008
2017-04-25,52.275577545166016
2017-04-26,52.70235061645508
2017-04-27,53.546424865722656
2017-04-28,53.21449279785156
2017-05-01,53.37571716308594
2017-05-02,53.555908203125
2017-05-03,52.72133255004883
2017-05-04,55.832069396972656
2017-05-05,56.40110778808594
2017-05-08,55.77516174316406
2017-05-09,56.36316680908203
2017-05-10,56.808902740478516
2017-05-11,56.63819885253906
2017-05-12,56.78994369506836
2017-05-15,56.90373992919922
2017-05-16,57.21671676635742
2017-05-17,56.64768600463867
2017-05-18,56.818397521972656
2017-05-19,57.19774627685547
2017-05-22,57.19774627685547
2017-05-23,58.25994110107422
2017-05-24,59.08505630493164
2017-05-25,59.35060501098633
2017-05-26,59.379051208496094
2017-05-30,59.047119140625
2017-05-31,59.06609344482422
2017-06-01,59.40750503540039
2017-06-02,59.27473831176758
2017-06-05,59.43596649169922
2017-06-06,59.72997283935547
2017-06-07,59.99551773071289
2017-06-08,59.35060501098633
2017-06-09,59.3600959777832
2017-06-12,58.658287048339844
2017-06-13,58.86254119873047
2017-06-14,59.1190299987793
2017-06-15,59.271034240722656
2017-06-16,59.42304229736328
2017-06-19,59.87904357910156
2017-06-20,59.85054397583008
2017-06-21,59.85054397583008
2017-06-22,60.335052490234375
2017-06-23,59.64154815673828
2017-06-26,59.58453369140625
2017-06-27,59.62253952026367
2017-06-28,59.80305099487305
2017-06-29,59.37553405761719
2017-06-30,59.261531829833984
2017-07-03,59.53704071044922
2017-07-05,59.42304229736328
2017-07-06,58.701026916503906
2017-07-07,59.46104049682617
2017-07-10,59.347042083740234
2017-07-11,59.100032806396484
2017-07-12,59.43254089355469
2017-07-13,59.898040771484375
2017-07-14,60.18303680419922
2017-07-17,59.917030334472656
2017-07-18,59.3375358581543
2017-07-19,59.29954147338867
2017-07-20,59.6130485534668
2017-07-21,60.00254821777344
2017-07-24,60.12604904174805
2017-07-25,58.216529846191406
2017-07-26,58.95753479003906
2017-07-27,58.9100341796875
2017-07-28,59.100032806396484
2017-07-31,59.39453887939453
2017-08-01,59.15703582763672
2017-08-02,58.463531494140625
2017-08-03,59.166526794433594
2017-08-04,59.0145378112793
2017-08-07,58.73904037475586
2017-08-08,57.00051498413086
2017-08-09,57.77003860473633
2017-08-10,56.753517150878906
2017-08-11,56.744014739990234
2017-08-14,57.70352554321289
2017-08-15,57.979034423828125
2017-08-16,58.4255256652832
2017-08-17,57.855525970458984
2017-08-18,57.7130241394043
2017-08-21,58.28303527832031
2017-08-22,58.52053451538086
2017-08-23,58.29253005981445
2017-08-24,58.32103729248047
2017-08-25,58.264034271240234
2017-08-28,58.463531494140625
2017-08-29,58.4255256652832
2017-08-30,58.84354019165039
2017-08-31,59.565547943115234
2017-09-01,59.7270393371582
2017-09-05,60.01203918457031
2017-09-06,60.22104263305664
2017-09-07,61.60804748535156
2017-09-08,61.4655647277832
2017-09-11,62.01656723022461
2017-09-12,62.13056945800781
2017-09-13,62.01656723022461
2017-09-14,61.988067626953125
2017-09-15,61.94055938720703
2017-09-18,61.94055938720703
2017-09-19,61.54156494140625
2017-09-20,61.25655746459961
2017-09-21,61.0285530090332
2017-09-22,60.95255661010742
2017-09-25,60.48704528808594
2017-09-26,60.16405487060547
2017-09-27,60.050052642822266
