,EVRG
2018-02-09,38.840511322021484
2018-02-12,38.894493103027344
2018-02-13,38.50886154174805
2018-02-14,38.41632080078125
2018-02-15,39.07188415527344
2018-02-16,39.110450744628906
2018-02-20,38.29291915893555
2018-02-21,37.737613677978516
2018-02-22,38.33148193359375
2018-02-23,39.14900588989258
2018-02-26,38.91762924194336
2018-02-27,37.88414764404297
2018-02-28,37.58336639404297
2018-03-01,37.91500473022461
2018-03-02,37.6759033203125
2018-03-05,38.67854309082031
2018-03-06,38.34690475463867
2018-03-07,38.046119689941406
2018-03-08,38.52820587158203
2018-03-09,38.6837158203125
2018-03-12,38.66816329956055
2018-03-13,38.8081169128418
2018-03-14,39.14247512817383
2018-03-15,38.96363830566406
2018-03-16,39.73341369628906
2018-03-19,39.422393798828125
2018-03-20,39.19689178466797
2018-03-21,39.52348709106445
2018-03-22,39.313533782958984
2018-03-23,38.86255645751953
2018-03-26,39.445716857910156
2018-03-27,40.19218063354492
2018-03-28,40.38657760620117
2018-03-29,40.89198303222656
2018-04-02,40.26994323730469
2018-04-03,40.63539505004883
2018-04-04,40.51099395751953
2018-04-05,40.44099807739258
2018-04-06,39.873390197753906
2018-04-09,40.03666687011719
2018-04-10,39.95114517211914
2018-04-11,40.028900146484375
2018-04-12,39.38352584838867
2018-04-13,39.70232009887695
2018-04-16,40.39435577392578
2018-04-17,40.837562561035156
2018-04-18,40.51875686645508
2018-04-19,40.53430938720703
2018-04-20,40.32437515258789
2018-04-23,40.61984634399414
2018-04-24,41.18746566772461
2018-04-25,41.24966812133789
2018-04-26,41.87949752807617
2018-04-27,42.20606994628906
2018-04-30,42.128318786621094
2018-05-01,42.0272331237793
2018-05-02,41.5140380859375
2018-05-03,42.0272331237793
2018-05-04,42.602622985839844
2018-05-07,42.21385192871094
2018-05-08,41.3585319519043
2018-05-09,41.179691314697266
2018-05-10,41.50625228881836
2018-05-11,41.8250732421875
2018-05-14,42.13609313964844
2018-05-15,41.91061019897461
2018-05-16,41.72398376464844
2018-05-17,41.13302993774414
2018-05-18,41.07861328125
2018-05-21,41.43628692626953
2018-05-22,41.57624435424805
2018-05-23,42.15941619873047
2018-05-24,42.43933868408203
2018-05-25,43.66011428833008
2018-05-29,44.01252746582031
2018-05-30,44.67035675048828
2018-05-31,44.404090881347656
2018-06-01,43.13541030883789
2018-06-04,42.289608001708984
2018-06-05,42.48539733886719
2018-06-06,40.950435638427734
2018-06-07,40.66851043701172
2018-06-08,40.1907958984375
2018-06-11,40.38657760620117
2018-06-12,40.91912078857422
2018-06-13,40.864295959472656
2018-06-14,40.684173583984375
2018-06-15,41.33417510986328
2018-06-18,41.45165252685547
2018-06-19,42.266117095947266
2018-06-20,42.44624328613281
2018-06-21,42.42273712158203
2018-06-22,42.63418960571289
2018-06-25,43.00226593017578
2018-06-26,43.23720932006836
2018-06-27,43.43300247192383
2018-06-28,43.62877655029297
2018-06-29,43.97337341308594
2018-07-02,44.490238189697266
2018-07-03,44.286617279052734
2018-07-05,44.29446029663086
2018-07-06,44.45108413696289
2018-07-09,42.89263153076172
2018-07-10,43.07276153564453
2018-07-11,43.832401275634766
2018-07-12,43.66011428833008
2018-07-13,43.7854118347168
2018-07-16,43.85588836669922
2018-07-17,43.8793830871582
2018-07-18,43.50347900390625
2018-07-19,43.97337341308594
2018-07-20,43.62877655029297
2018-07-23,43.111907958984375
2018-07-24,43.06492233276367
2018-07-25,43.10407257080078
2018-07-26,43.448665618896484
2018-07-27,43.33119583129883
2018-07-30,43.39384460449219
2018-07-31,43.926368713378906
2018-08-01,43.54262924194336
2018-08-02,43.71493148803711
2018-08-03,43.99685287475586
2018-08-06,43.97337341308594
2018-08-07,44.34144973754883
2018-08-08,44.14564514160156
2018-08-09,44.65469741821289
2018-08-10,45.17156982421875
2018-08-13,45.11676025390625
2018-08-14,44.983612060546875
2018-08-15,45.17940139770508
2018-08-16,45.17156982421875
2018-08-17,45.320369720458984
2018-08-20,45.30470657348633
2018-08-21,44.96012496948242
2018-08-22,44.63121032714844
2018-08-23,44.592041015625
2018-08-24,44.99143981933594
2018-08-27,44.60770797729492
2018-08-28,44.92351150512695
2018-08-29,45.08932113647461
2018-08-30,45.27879333496094
2018-08-31,45.04195022583008
2018-09-04,45.40512466430664
2018-09-05,46.20252990722656
2018-09-06,46.54202651977539
2018-09-07,46.02883529663086
2018-09-10,46.17095184326172
2018-09-11,46.115692138671875
2018-09-12,45.91041564941406
2018-09-13,45.87093734741211
2018-09-14,45.602500915527344
2018-09-17,45.55513000488281
2018-09-18,45.38143539428711
2018-09-19,44.14189147949219
2018-09-20,44.03136444091797
2018-09-21,44.110321044921875
2018-09-24,43.93662643432617
2018-09-25,43.4392204284668
2018-09-26,42.81550598144531
2018-09-27,42.87866973876953
2018-09-28,43.36027526855469
2018-10-01,43.52608108520508
2018-10-02,43.77082443237305
2018-10-03,43.33658981323242
2018-10-04,43.62080764770508
2018-10-05,43.991886138916016
2018-10-08,44.30768966674805
2018-10-09,44.51295852661133
2018-10-10,44.2997932434082
2018-10-11,43.84977722167969
2018-10-12,43.91293716430664
2018-10-15,43.99977493286133
2018-10-16,44.3234748840332
2018-10-17,44.220848083496094
2018-10-18,44.41823196411133
2018-10-19,45.01826477050781
2018-10-22,44.852455139160156
2018-10-23,44.55244445800781
