,ZBH
2017-12-05,106.15788269042969
2017-12-06,106.4244155883789
2017-12-07,105.50524139404297
2017-12-08,104.2183837890625
2017-12-11,104.33788299560547
2017-12-12,104.36547088623047
2017-12-13,104.34708404541016
2017-12-14,103.70362091064453
2017-12-15,105.9280776977539
2017-12-18,105.18352508544922
2017-12-19,111.5719223022461
2017-12-20,111.38811492919922
2017-12-21,110.25751495361328
2017-12-22,110.41374969482422
2017-12-26,110.26667785644531
2017-12-27,110.43214416503906
2017-12-28,112.13607025146484
2017-12-29,111.141357421875
2018-01-02,114.26365661621094
2018-01-03,115.05574798583984
2018-01-04,114.88995361328125
2018-01-05,116.03201293945312
2018-01-08,116.25309753417969
2018-01-09,114.38339233398438
2018-01-10,112.85445404052734
2018-01-11,112.63340759277344
2018-01-12,112.45841217041016
2018-01-16,112.07159423828125
2018-01-17,112.817626953125
2018-01-18,112.54130554199219
2018-01-19,113.72943878173828
2018-01-22,116.23465728759766
2018-01-23,114.67810821533203
2018-01-24,115.1478500366211
2018-01-25,114.88995361328125
2018-01-26,116.26229858398438
2018-01-29,117.33069610595703
2018-01-30,115.99517059326172
2018-01-31,117.0820083618164
2018-02-01,118.0675277709961
2018-02-02,115.8570556640625
2018-02-05,113.45311737060547
2018-02-06,112.64260864257812
2018-02-07,111.24264526367188
2018-02-08,106.40721893310547
2018-02-09,107.19931030273438
2018-02-12,107.31906127929688
2018-02-13,106.77562713623047
2018-02-14,108.40585327148438
2018-02-15,110.3308334350586
2018-02-16,110.96635437011719
2018-02-20,109.3453140258789
2018-02-21,109.30847930908203
2018-02-22,108.29534149169922
2018-02-23,109.46503448486328
2018-02-26,110.41370391845703
2018-02-27,108.81110382080078
2018-02-28,107.07036590576172
2018-03-01,104.58357238769531
2018-03-02,107.80718231201172
2018-03-05,108.80191040039062
2018-03-06,108.76506805419922
2018-03-07,111.44525909423828
2018-03-08,110.7176513671875
2018-03-09,111.31632995605469
2018-03-12,108.92163848876953
2018-03-13,108.6084976196289
2018-03-14,107.0611572265625
2018-03-15,106.76642608642578
2018-03-16,107.60458374023438
2018-03-19,105.68881225585938
2018-03-20,105.36644744873047
2018-03-21,105.34803771972656
2018-03-22,102.5849380493164
2018-03-23,98.9560546875
2018-03-26,101.09285736083984
2018-03-27,99.91392517089844
2018-03-28,99.84008026123047
2018-03-29,100.65238189697266
2018-04-02,98.21544647216797
2018-04-03,98.89852905273438
2018-04-04,99.10162353515625
2018-04-05,100.01545715332031
2018-04-06,97.08930206298828
2018-04-09,98.03081512451172
2018-04-10,99.03700256347656
2018-04-11,97.87390899658203
2018-04-12,98.23392486572266
2018-04-13,97.44929504394531
2018-04-16,98.9908218383789
2018-04-17,100.44930267333984
2018-04-18,101.61238098144531
2018-04-19,102.22161865234375
2018-04-20,101.83390045166016
2018-04-23,102.68315124511719
2018-04-24,101.02161407470703
2018-04-25,102.08313751220703
2018-04-26,106.24620819091797
2018-04-27,107.92621612548828
2018-04-30,106.31084442138672
2018-05-01,107.95392608642578
2018-05-02,108.42467498779297
2018-05-03,106.32008361816406
2018-05-04,107.28009033203125
2018-05-07,107.99085998535156
2018-05-08,107.0677490234375
2018-05-09,107.2708511352539
2018-05-10,108.2770004272461
2018-05-11,107.48316192626953
2018-05-14,106.33855438232422
2018-05-15,104.483154296875
2018-05-16,105.72931671142578
2018-05-17,106.2000961303711
2018-05-18,105.69239044189453
2018-05-21,105.51701354980469
2018-05-22,104.26161193847656
2018-05-23,104.04009246826172
2018-05-24,103.14468383789062
2018-05-25,102.53545379638672
2018-05-29,100.86467742919922
2018-05-30,102.13853454589844
2018-05-31,102.93238067626953
2018-06-01,103.94776153564453
2018-06-04,104.91697692871094
2018-06-05,104.43701171875
2018-06-06,105.3969955444336
2018-06-07,104.92621612548828
2018-06-08,105.69239044189453
2018-06-11,105.4246826171875
2018-06-12,105.36932373046875
2018-06-13,105.21237182617188
2018-06-14,106.04315948486328
2018-06-15,104.65853881835938
2018-06-18,103.23698425292969
2018-06-19,103.20928192138672
2018-06-20,103.46775817871094
2018-06-21,102.93238067626953
2018-06-22,103.16313934326172
2018-06-25,102.21240234375
2018-06-26,103.90162658691406
2018-06-27,101.59391784667969
2018-06-28,102.93529510498047
