,MA
2019-08-12,262.2362365722656
2019-08-13,266.6360168457031
2019-08-14,259.4681701660156
2019-08-15,264.0718688964844
2019-08-16,266.4708557128906
2019-08-19,270.07421875
2019-08-20,269.0739440917969
2019-08-21,273.90093994140625
2019-08-22,272.6966247558594
2019-08-23,264.0718688964844
2019-08-26,268.4813537597656
2019-08-27,268.68536376953125
2019-08-28,270.2393493652344
2019-08-29,273.2891540527344
2019-08-30,273.2793273925781
2019-09-03,272.0555725097656
2019-09-04,277.87335205078125
2019-09-05,283.6813049316406
2019-09-06,283.0015869140625
2019-09-09,275.2120666503906
2019-09-10,264.499267578125
2019-09-11,262.18768310546875
2019-09-12,268.4522399902344
2019-09-13,268.3745422363281
2019-09-16,266.19891357421875
2019-09-17,268.3065185546875
2019-09-18,267.1896057128906
2019-09-19,267.9763488769531
2019-09-20,263.3726501464844
2019-09-23,265.29571533203125
2019-09-24,263.3241271972656
2019-09-25,264.9071960449219
2019-09-26,266.014404296875
2019-09-27,261.3913269042969
2019-09-30,263.7611083984375
2019-10-01,263.1492919921875
2019-10-02,256.8750305175781
2019-10-03,260.5754699707031
2019-10-04,266.17950439453125
2019-10-07,264.3632507324219
2019-10-08,259.7054443359375
2019-10-09,264.73291015625
2019-10-10,266.2790222167969
2019-10-11,268.3016662597656
2019-10-14,268.75860595703125
2019-10-15,270.87860107421875
2019-10-16,270.5965270996094
2019-10-17,268.8851013183594
2019-10-18,263.16717529296875
2019-10-21,266.7359924316406
2019-10-22,254.05564880371094
2019-10-23,253.6569366455078
2019-10-24,261.3390197753906
2019-10-25,262.7393798828125
2019-10-28,268.3210754394531
2019-10-29,266.7262878417969
2019-10-30,269.5074768066406
2019-10-31,269.17681884765625
2019-11-01,271.3551025390625
2019-11-04,268.7100524902344
2019-11-05,261.5821838378906
2019-11-06,262.4184875488281
2019-11-07,265.2677001953125
2019-11-08,267.309814453125
2019-11-11,269.3616027832031
2019-11-12,269.4977111816406
2019-11-13,270.4020690917969
2019-11-14,271.9190979003906
2019-11-15,273.037353515625
2019-11-18,273.1151123046875
2019-11-19,277.4424133300781
2019-11-20,277.51043701171875
2019-11-21,276.6062316894531
2019-11-22,274.77801513671875
2019-11-25,279.67901611328125
2019-11-26,281.40020751953125
2019-11-27,283.6562194824219
2019-11-29,284.17169189453125
2019-12-02,278.5705261230469
2019-12-03,279.17340087890625
2019-12-04,278.93023681640625
2019-12-05,281.8572998046875
2019-12-06,282.3919677734375
2019-12-09,281.0889892578125
2019-12-10,280.6513977050781
2019-12-11,282.0517578125
2019-12-12,284.15216064453125
2019-12-13,287.9251403808594
2019-12-16,288.7711486816406
2019-12-17,287.8376770019531
2019-12-18,286.6123962402344
2019-12-19,289.325439453125
2019-12-20,290.3367919921875
2019-12-23,289.07269287109375
2019-12-24,289.27685546875
2019-12-26,290.9494323730469
2019-12-27,292.4469299316406
2019-12-30,289.5102233886719
2019-12-31,290.3561706542969
2020-01-02,295.0238952636719
2020-01-03,292.1454772949219
2020-01-06,292.92340087890625
2020-01-07,291.9315185546875
2020-01-08,297.0825500488281
2020-01-09,300.9774169921875
2020-01-10,302.9930725097656
2020-01-13,306.9268493652344
2020-01-14,302.4769592285156
2020-01-15,305.9920959472656
2020-01-16,311.8830871582031
2020-01-17,315.15478515625
2020-01-21,313.4703369140625
2020-01-22,315.7877502441406
2020-01-23,316.4400939941406
2020-01-24,315.16455078125
2020-01-27,307.47210693359375
2020-01-28,311.85382080078125
2020-01-29,311.902587890625
2020-01-30,315.9338684082031
2020-01-31,307.6377258300781
2020-02-03,315.9921875
2020-02-04,320.4714050292969
2020-02-05,319.6922302246094
2020-02-06,320.64654541015625
2020-02-07,318.40704345703125
2020-02-10,321.60089111328125
2020-02-11,322.2240295410156
2020-02-12,325.37896728515625
2020-02-13,327.0147399902344
2020-02-14,331.9904479980469
2020-02-18,332.2728576660156
2020-02-19,335.505615234375
2020-02-20,335.3984680175781
2020-02-21,330.7733459472656
2020-02-24,316.13836669921875
2020-02-25,294.9306335449219
2020-02-26,290.2080383300781
2020-02-27,278.3091735839844
2020-02-28,282.6227722167969
2020-03-02,298.679443359375
2020-03-03,284.3267517089844
2020-03-04,294.41448974609375
2020-03-05,283.0901794433594
2020-03-06,279.46795654296875
2020-03-09,255.12490844726562
2020-03-10,273.1971740722656
2020-03-11,262.6712341308594
2020-03-12,235.15383911132812
2020-03-13,262.9145812988281
2020-03-16,229.4575653076172
2020-03-17,231.62896728515625
2020-03-18,221.9404296875
