,SRE
2016-11-21,38.41365432739258
2016-11-22,38.59858322143555
2016-11-23,38.016841888427734
2016-11-25,38.31733322143555
2016-11-28,39.00694274902344
2016-11-29,39.0146484375
2016-11-30,38.44832229614258
2016-12-01,38.27496337890625
2016-12-02,38.486846923828125
2016-12-05,38.10544967651367
2016-12-06,38.009132385253906
2016-12-07,38.3404541015625
2016-12-08,38.36357116699219
2016-12-09,38.79889678955078
2016-12-12,39.67728042602539
2016-12-13,40.05482864379883
2016-12-14,38.775794982910156
2016-12-15,38.82200241088867
2016-12-16,39.349815368652344
2016-12-19,39.8814697265625
2016-12-20,39.71965026855469
2016-12-21,39.2342414855957
2016-12-22,39.34596252441406
2016-12-23,39.16874694824219
2016-12-27,39.291019439697266
2016-12-28,38.782554626464844
2016-12-29,39.197853088378906
2016-12-30,39.0620231628418
2017-01-03,39.25220489501953
2017-01-04,39.58988952636719
2017-01-05,39.4967155456543
2017-01-06,39.94696044921875
2017-01-09,39.34922790527344
2017-01-10,39.22502517700195
2017-01-11,39.64032745361328
2017-01-12,39.52777862548828
2017-01-13,39.500606536865234
2017-01-17,40.133262634277344
2017-01-18,40.28075408935547
2017-01-19,39.62092971801758
2017-01-20,39.760650634765625
2017-01-23,39.66750717163086
2017-01-24,39.84992599487305
2017-01-25,39.81110763549805
2017-01-26,39.69855499267578
2017-01-27,39.37252426147461
2017-01-30,39.13186264038086
2017-01-31,39.74124526977539
2017-02-01,39.36476135253906
2017-02-02,39.86933898925781
2017-02-03,39.896507263183594
2017-02-06,39.82275390625
2017-02-07,39.80335235595703
2017-02-08,40.4476432800293
2017-02-09,40.23029708862305
2017-02-10,40.50199508666992
2017-02-13,40.81639862060547
2017-02-14,40.494232177734375
2017-02-15,40.49034881591797
2017-02-16,41.103599548339844
2017-02-17,41.084197998046875
2017-02-21,41.32871627807617
2017-02-22,41.58877182006836
2017-02-23,42.11663055419922
2017-02-24,42.34174346923828
2017-02-27,42.23307800292969
2017-02-28,42.80752944946289
2017-03-01,42.559104919433594
2017-03-02,42.59793472290039
2017-03-03,42.39609146118164
2017-03-06,42.671669006347656
2017-03-07,42.920082092285156
2017-03-08,42.0894775390625
2017-03-09,41.9381103515625
2017-03-10,42.462074279785156
2017-03-13,42.60181427001953
2017-03-14,42.368934631347656
2017-03-15,43.17236328125
2017-03-16,42.757076263427734
2017-03-17,42.98994445800781
2017-03-20,42.846336364746094
2017-03-21,43.508392333984375
2017-03-22,43.77431106567383
2017-03-23,43.63352584838867
2017-03-24,43.98155975341797
2017-03-27,43.6413459777832
2017-03-28,43.82514190673828
2017-03-29,43.516204833984375
