,EOG
2021-02-12,49.9093017578125
2021-02-16,51.61056137084961
2021-02-17,51.97045135498047
2021-02-18,49.54124069213867
2021-02-19,51.12799072265625
2021-02-22,54.06431579589844
2021-02-23,55.49566650390625
2021-02-24,59.19266128540039
2021-02-25,57.73677062988281
2021-02-26,52.80472183227539
2021-03-01,53.148250579833984
2021-03-02,52.73111343383789
2021-03-03,54.792259216308594
2021-03-04,58.423805236816406
2021-03-05,61.00025939941406
2021-03-08,61.008419036865234
2021-03-09,60.20685958862305
2021-03-10,61.43374252319336
2021-03-11,61.59733200073242
2021-03-12,61.34377670288086
2021-03-15,60.820316314697266
2021-03-16,57.785858154296875
2021-03-17,59.86335754394531
2021-03-18,56.3544807434082
2021-03-19,57.31963348388672
2021-03-22,55.806480407714844
2021-03-23,56.96791458129883
2021-03-24,59.33169937133789
2021-03-25,59.74066162109375
2021-03-26,61.24563980102539
2021-03-29,60.231407165527344
2021-03-30,59.92058563232422
2021-03-31,59.323524475097656
2021-04-01,61.62185287475586
2021-04-05,58.71825408935547
2021-04-06,59.13541030883789
2021-04-07,59.95332336425781
2021-04-08,59.04545211791992
2021-04-09,58.70188903808594
2021-04-12,57.33597946166992
2021-04-13,57.58135223388672
2021-04-14,60.6240119934082
2021-04-15,59.90267562866211
2021-04-16,57.99446487426758
2021-04-19,58.63603973388672
2021-04-20,56.398834228515625
2021-04-21,56.7195930480957
2021-04-22,56.21788024902344
2021-04-23,56.80183792114258
2021-04-26,57.435176849365234
2021-04-27,58.95680236816406
2021-04-28,61.67105484008789
2021-04-29,62.45243453979492
2021-04-30,60.56890106201172
2021-05-03,62.48532485961914
2021-05-04,61.695735931396484
2021-05-05,63.0939826965332
2021-05-06,63.3160514831543
2021-05-07,68.34973907470703
2021-05-10,69.5423812866211
2021-05-11,67.56016540527344
2021-05-12,66.91859436035156
2021-05-13,65.45455932617188
2021-05-14,67.9384994506836
2021-05-17,69.9947509765625
2021-05-18,68.2428207397461
2021-05-19,66.24414825439453
2021-05-20,66.22770690917969
2021-05-21,65.85757446289062
2021-05-24,65.91514587402344
2021-05-25,64.71430206298828
2021-05-26,65.47100067138672
2021-05-27,66.07142639160156
2021-05-28,66.07965087890625
2021-06-01,69.57527923583984
2021-06-02,70.13458251953125
2021-06-03,71.4012222290039
2021-06-04,71.93582916259766
2021-06-07,71.5821762084961
2021-06-08,71.87828063964844
2021-06-09,70.57872009277344
2021-06-10,70.87482452392578
2021-06-11,70.2743911743164
2021-06-14,69.79735565185547
2021-06-15,70.406005859375
2021-06-16,69.67398071289062
2021-06-17,66.97618103027344
2021-06-18,65.23248291015625
2021-06-21,69.90428161621094
2021-06-22,69.87137603759766
2021-06-23,70.48823547363281
2021-06-24,70.80902862548828
2021-06-25,72.0921401977539
2021-06-28,68.2428207397461
2021-06-29,67.69998168945312
2021-06-30,68.62940216064453
2021-07-01,70.72677612304688
2021-07-02,70.54582214355469
2021-07-06,68.85968780517578
2021-07-07,66.69652557373047
2021-07-08,65.70954132080078
2021-07-09,67.93029022216797
2021-07-12,68.51424407958984
2021-07-13,68.04542541503906
2021-07-14,65.52034759521484
2021-07-15,63.79790496826172
2021-07-16,61.88874816894531
2021-07-19,58.8994026184082
2021-07-20,59.870731353759766
2021-07-21,62.123226165771484
2021-07-22,61.71290588378906
2021-07-23,60.716461181640625
2021-07-26,62.1064453125
2021-07-27,60.90066909790039
2021-07-28,61.37796401977539
2021-07-29,61.72128677368164
2021-07-30,61.0095329284668
2021-08-02,59.97122573852539
2021-08-03,61.696163177490234
2021-08-04,59.234336853027344
2021-08-05,59.234336853027344
2021-08-06,59.39344787597656
2021-08-09,58.09554672241211
2021-08-10,57.551265716552734
2021-08-11,58.16252517700195
2021-08-12,58.43885803222656
2021-08-13,56.93999099731445
2021-08-16,55.19829559326172
2021-08-17,55.24017333984375
2021-08-18,54.72938537597656
2021-08-19,53.80829620361328
2021-08-20,53.98413848876953
2021-08-23,56.63854217529297
2021-08-24,57.316795349121094
2021-08-25,57.551265716552734
2021-08-26,56.462703704833984
2021-08-27,58.30488204956055
2021-08-30,56.42920684814453
2021-08-31,56.538055419921875
2021-09-01,55.56673049926758
2021-09-02,57.2414436340332
2021-09-03,56.93162155151367
2021-09-07,56.66366958618164
2021-09-08,56.25336456298828
2021-09-09,56.39571762084961
2021-09-10,56.21986770629883
2021-09-13,58.6900520324707
2021-09-14,58.212772369384766
2021-09-15,63.06105041503906
2021-09-16,61.938987731933594
2021-09-17,62.17344665527344
2021-09-20,59.895851135253906
2021-09-21,60.46525192260742
2021-09-22,62.46651840209961
2021-09-23,64.36731719970703
2021-09-24,65.39725494384766
2021-09-27,68.50383758544922
2021-09-28,68.43685150146484
2021-09-29,69.14022064208984
2021-09-30,67.21430969238281
2021-10-01,70.26227569580078
2021-10-04,72.3472900390625
2021-10-05,72.93344116210938
2021-10-06,72.48965454101562
2021-10-07,71.83651733398438
