,TSN
2020-03-04,61.40192413330078
2020-03-05,58.45351791381836
2020-03-06,56.394874572753906
2020-03-09,53.106266021728516
2020-03-10,54.7462043762207
2020-03-11,51.07377243041992
2020-03-12,45.18567657470703
2020-03-13,45.805015563964844
2020-03-16,39.297584533691406
2020-03-17,41.748779296875
2020-03-18,38.538665771484375
2020-03-19,47.287940979003906
2020-03-20,46.77328872680664
2020-03-23,50.245079040527344
2020-03-24,52.32990264892578
2020-03-25,55.12129592895508
2020-03-26,53.41156768798828
2020-03-27,51.108665466308594
2020-03-30,51.59716033935547
2020-03-31,50.48060989379883
2020-04-01,48.273658752441406
2020-04-02,47.23561096191406
2020-04-03,46.94775390625
2020-04-06,49.24192428588867
2020-04-07,50.04445266723633
2020-04-08,50.95166015625
2020-04-09,53.15859603881836
2020-04-13,54.24026107788086
2020-04-14,53.568580627441406
2020-04-15,52.469482421875
2020-04-16,53.106266021728516
2020-04-17,54.37983322143555
2020-04-20,55.70574951171875
2020-04-21,54.00473403930664
2020-04-22,52.26883316040039
2020-04-23,53.12370300292969
2020-04-24,51.44887161254883
2020-04-27,52.05949020385742
2020-04-28,54.78110122680664
2020-04-29,55.217254638671875
2020-04-30,54.248985290527344
2020-05-01,52.34734344482422
2020-05-04,48.25621032714844
2020-05-05,49.712974548339844
2020-05-06,47.78516387939453
2020-05-07,49.948486328125
2020-05-08,52.678829193115234
2020-05-11,53.001583099365234
2020-05-12,52.408409118652344
2020-05-13,50.69868469238281
2020-05-14,51.60588455200195
2020-05-15,50.77718734741211
2020-05-18,53.06264877319336
2020-05-19,50.908042907714844
2020-05-20,52.90563201904297
2020-05-21,51.68438720703125
2020-05-22,51.63206100463867
2020-05-26,53.76921081542969
2020-05-27,54.737483978271484
2020-05-28,54.658973693847656
2020-05-29,53.95641326904297
2020-06-01,54.98390197753906
2020-06-02,54.887306213378906
2020-06-03,52.779640197753906
2020-06-04,56.26606750488281
2020-06-05,57.012535095214844
2020-06-08,60.3057746887207
2020-06-09,58.63719940185547
2020-06-10,56.678829193115234
2020-06-11,52.56007385253906
2020-06-12,54.623844146728516
2020-06-15,55.11563491821289
2020-06-16,56.9510612487793
2020-06-17,55.7567253112793
2020-06-18,56.2221565246582
2020-06-19,55.51959991455078
2020-06-22,53.93885040283203
2020-06-23,53.71051788330078
2020-06-24,52.20001983642578
2020-06-25,52.5776481628418
2020-06-26,51.18130111694336
2020-06-29,52.04195022583008
2020-06-30,52.43712615966797
2020-07-01,51.43598937988281
2020-07-02,51.330604553222656
2020-07-06,52.208805084228516
2020-07-07,51.54136657714844
2020-07-08,50.87394714355469
2020-07-09,48.810184478759766
2020-07-10,51.3920783996582
2020-07-13,50.95298767089844
2020-07-14,51.64674758911133
2020-07-15,53.14847183227539
2020-07-16,53.01674270629883
2020-07-17,53.41192626953125
2020-07-20,52.83232498168945
2020-07-21,53.20116424560547
2020-07-22,52.99917984008789
2020-07-23,53.49097442626953
2020-07-24,53.41192626953125
2020-07-27,53.55244064331055
2020-07-28,53.34168243408203
2020-07-29,54.448204040527344
2020-07-30,54.070579528808594
2020-07-31,53.9651985168457
2020-08-03,54.825828552246094
2020-08-04,57.18817901611328
2020-08-05,55.26492691040039
2020-08-06,54.8521728515625
2020-08-07,55.15077209472656
2020-08-10,56.696388244628906
2020-08-11,57.267215728759766
2020-08-12,57.70630645751953
2020-08-13,56.73151397705078
2020-08-14,56.15190887451172
2020-08-17,55.9235725402832
2020-08-18,55.91478729248047
2020-08-19,55.7479362487793
2020-08-20,55.238582611083984
2020-08-21,55.256141662597656
2020-08-24,55.80940246582031
2020-08-25,55.800628662109375
2020-08-26,55.721588134765625
2020-08-27,56.16946029663086
2020-08-28,56.12556076049805
2020-08-31,55.51560592651367
2020-09-01,55.374149322509766
2020-09-02,56.03715896606445
2020-09-03,54.490142822265625
2020-09-04,55.17967224121094
2020-09-08,54.42827224731445
2020-09-09,54.13654708862305
2020-09-10,56.09020233154297
