,PNW
2016-05-04,52.72046661376953
2016-05-05,52.355796813964844
2016-05-06,52.184181213378906
2016-05-09,52.60605239868164
2016-05-10,52.59891128540039
2016-05-11,52.727603912353516
2016-05-12,53.228145599365234
2016-05-13,53.06368637084961
2016-05-16,53.321109771728516
2016-05-17,52.112674713134766
2016-05-18,50.589637756347656
2016-05-19,51.061553955078125
2016-05-20,51.16881561279297
2016-05-23,50.82559585571289
2016-05-24,51.533485412597656
2016-05-25,51.46198654174805
2016-05-26,52.105525970458984
2016-05-27,52.3343505859375
2016-05-31,52.62034606933594
2016-06-01,53.149505615234375
2016-06-02,53.09944534301758
2016-06-03,54.17201232910156
2016-06-06,53.81447982788086
2016-06-07,54.014705657958984
2016-06-08,54.343631744384766
2016-06-09,55.180233001708984
2016-06-10,54.86562728881836
2016-06-13,54.81557083129883
2016-06-14,55.35185623168945
2016-06-15,54.86562728881836
2016-06-16,55.423336029052734
2016-06-17,55.61640548706055
2016-06-20,55.40188980102539
2016-06-21,55.416202545166016
2016-06-22,55.11586380004883
2016-06-23,55.280330657958984
2016-06-24,55.73796463012695
2016-06-27,56.58171844482422
2016-06-28,56.524532318115234
2016-06-29,56.588871002197266
2016-06-30,57.961769104003906
2016-07-01,57.9760627746582
2016-07-05,59.034324645996094
2016-07-06,59.02003479003906
2016-07-07,57.88311004638672
2016-07-08,58.04045867919922
2016-07-11,57.9760627746582
2016-07-12,56.80337905883789
2016-07-13,57.2109489440918
2016-07-14,56.739044189453125
2016-07-15,56.86774444580078
2016-07-18,57.067962646484375
2016-07-19,56.975013732910156
2016-07-20,56.59603500366211
2016-07-21,56.96071243286133
2016-07-22,57.62566375732422
2016-07-25,57.53989791870117
2016-07-26,56.832008361816406
2016-07-27,56.24565887451172
2016-07-28,56.5735969543457
2016-07-29,56.84749984741211
2016-08-01,57.301578521728516
2016-08-02,56.78261947631836
2016-08-03,56.328529357910156
2016-08-04,56.328529357910156
2016-08-05,55.62218475341797
2016-08-08,55.70867919921875
2016-08-09,55.81679916381836
2016-08-10,55.9249153137207
2016-08-11,56.00419616699219
2016-08-12,56.162776947021484
2016-08-15,55.10324478149414
2016-08-16,54.447322845458984
2016-08-17,55.18250274658203
2016-08-18,55.99699401855469
2016-08-19,55.247371673583984
2016-08-22,55.57893753051758
2016-08-23,55.39154815673828
2016-08-24,55.254600524902344
2016-08-25,55.305057525634766
2016-08-26,53.93557357788086
2016-08-29,54.34640121459961
2016-08-30,53.79140853881836
2016-08-31,54.086944580078125
2016-09-01,53.921142578125
2016-09-02,54.82932662963867
2016-09-06,55.55730056762695
2016-09-07,55.463623046875
2016-09-08,55.39154815673828
2016-09-09,53.30127716064453
2016-09-12,54.23108673095703
2016-09-13,53.63284683227539
2016-09-14,53.7481689453125
2016-09-15,54.29595184326172
2016-09-16,54.98790740966797
2016-09-19,55.41317367553711
2016-09-20,55.377113342285156
2016-09-21,56.4438591003418
2016-09-22,57.006065368652344
2016-09-23,57.22229766845703
2016-09-26,57.2150764465332
2016-09-27,56.58802032470703
2016-09-28,56.12672424316406
2016-09-29,55.3266716003418
2016-09-30,54.77164840698242
2016-10-03,54.043697357177734
2016-10-04,52.616554260253906
2016-10-05,52.479610443115234
2016-10-06,52.59494400024414
2016-10-07,52.393123626708984
2016-10-10,53.17876434326172
2016-10-11,52.54448318481445
2016-10-12,53.05622482299805
2016-10-13,53.56076431274414
2016-10-14,53.0922737121582
2016-10-17,53.51030349731445
2016-10-18,54.14459991455078
2016-10-19,54.02925491333008
2016-10-20,53.87790298461914
2016-10-21,53.39497375488281
2016-10-24,53.87790298461914
2016-10-25,54.20225524902344
2016-10-26,54.173423767089844
2016-10-27,53.97159957885742
2016-10-28,54.24427032470703
2016-10-31,55.356807708740234
2016-11-01,54.3824348449707
2016-11-02,54.178829193115234
2016-11-03,53.967979431152344
2016-11-04,53.88798522949219
2016-11-07,54.57149887084961
2016-11-08,55.073219299316406
2016-11-09,53.79345703125
2016-11-10,52.949974060058594
2016-11-11,53.40081024169922
2016-11-14,53.13903045654297
2016-11-15,53.85163116455078
2016-11-16,53.626216888427734
2016-11-17,53.626216888427734
2016-11-18,53.269927978515625
2016-11-21,53.88071823120117
2016-11-22,54.57875061035156
2016-11-23,53.7789192199707
2016-11-25,54.78236389160156
2016-11-28,55.72037887573242
2016-11-29,55.7567138671875
2016-11-30,53.757110595703125
2016-12-01,53.17538833618164
2016-12-02,53.47351837158203
2016-12-05,53.6771240234375
2016-12-06,54.21519470214844
2016-12-07,54.61511993408203
2016-12-08,54.63694763183594
2016-12-09,55.40041732788086
2016-12-12,56.09121322631836
2016-12-13,56.840152740478516
2016-12-14,55.24045181274414
2016-12-15,55.153202056884766
2016-12-16,55.74946594238281
2016-12-19,56.0621337890625
2016-12-20,56.09121322631836
2016-12-21,56.03302001953125
2016-12-22,56.42570495605469
2016-12-23,56.46931838989258
2016-12-27,56.60747528076172
2016-12-28,55.938499450683594
2016-12-29,56.8983268737793
2016-12-30,56.73834228515625
2017-01-03,56.22209548950195
2017-01-04,56.53475570678711
2017-01-05,57.000125885009766
2017-01-06,57.072837829589844
2017-01-09,56.15665817260742
2017-01-10,56.083927154541016
2017-01-11,56.5129508972168
2017-01-12,56.35298156738281
2017-01-13,56.178462982177734
2017-01-17,56.716556549072266
2017-01-18,56.63655090332031
2017-01-19,56.02577209472656
2017-01-20,56.00394058227539
2017-01-23,56.13484191894531
2017-01-24,56.309356689453125
2017-01-25,56.09121322631836
2017-01-26,55.97486877441406
2017-01-27,55.822174072265625
2017-01-30,56.06052017211914
2017-01-31,56.933258056640625
2017-02-01,56.24387741088867
2017-02-02,57.05060958862305
2017-02-03,57.226600646972656
2017-02-06,57.0946044921875
2017-02-07,57.14595413208008
2017-02-08,57.622657775878906
2017-02-09,57.299957275390625
2017-02-10,57.695987701416016
2017-02-13,57.73265838623047
2017-02-14,57.2706184387207
2017-02-15,57.204627990722656
2017-02-16,57.60798645019531
2017-02-17,57.71798324584961
2017-02-21,58.50272750854492
2017-02-22,58.466041564941406
2017-02-23,59.038082122802734
2017-02-24,59.72747039794922
2017-02-27,59.53679656982422
2017-02-28,60.27753829956055
2017-03-01,60.431549072265625
2017-03-02,61.10627365112305
2017-03-03,60.893585205078125
2017-03-06,60.84223175048828
2017-03-07,60.53421401977539
2017-03-08,59.360801696777344
2017-03-09,59.309444427490234
2017-03-10,59.85215377807617
2017-03-13,59.90348815917969
2017-03-14,60.05017852783203
2017-03-15,61.311614990234375
2017-03-16,60.541568756103516
2017-03-17,61.04025650024414
2017-03-20,60.52688980102539
2017-03-21,61.377620697021484
2017-03-22,61.355621337890625
2017-03-23,61.30428695678711
2017-03-24,61.69297790527344
2017-03-27,61.707645416259766
2017-03-28,61.75164031982422
2017-03-29,61.2529296875
2017-03-30,61.076927185058594
2017-03-31,61.15026092529297
2017-04-03,61.245601654052734
2017-04-04,61.41427993774414
2017-04-05,61.61965560913086
2017-04-06,61.95698547363281
2017-04-07,61.7956428527832
2017-04-10,62.17701721191406
2017-04-11,62.18434524536133
2017-04-12,62.609737396240234
2017-04-13,62.50704574584961
2017-04-17,62.881080627441406
2017-04-18,63.2037467956543
2017-04-19,62.78572082519531
2017-04-20,62.573055267333984
2017-04-21,62.94709777832031
2017-04-24,63.2037467956543
2017-04-25,63.335784912109375
2017-04-26,63.25508499145508
2017-04-27,63.6283073425293
2017-04-28,62.88190841674805
2017-05-01,62.12074279785156
2017-05-02,62.593685150146484
2017-05-03,62.34244155883789
2017-05-04,62.408931732177734
2017-05-05,62.71934509277344
2017-05-08,62.748878479003906
2017-05-09,62.179847717285156
2017-05-10,62.21678924560547
2017-05-11,62.29069900512695
2017-05-12,62.638004302978516
2017-05-15,62.4606819152832
2017-05-16,61.99509811401367
2017-05-17,62.15027618408203
2017-05-18,62.52717971801758
2017-05-19,62.497615814208984
2017-05-22,62.92625045776367
2017-05-23,63.39181137084961
2017-05-24,63.87956237792969
2017-05-25,64.63334655761719
2017-05-26,64.58900451660156
2017-05-30,64.82546997070312
2017-05-31,65.29106140136719
2017-06-01,65.79358673095703
2017-06-02,65.93401336669922
2017-06-05,65.29843139648438
2017-06-06,65.00285339355469
2017-06-07,65.0767593383789
2017-06-08,64.92156219482422
2017-06-09,65.02500915527344
2017-06-12,64.62593841552734
2017-06-13,64.66290283203125
2017-06-14,65.0767593383789
2017-06-15,65.50537109375
2017-06-16,65.7122802734375
2017-06-19,65.5497055053711
2017-06-20,65.63099670410156
2017-06-21,65.47581481933594
2017-06-22,65.15805053710938
2017-06-23,64.9141616821289
