,ALLE
2022-03-04,112.7840347290039
2022-03-07,110.32238006591797
2022-03-08,107.149169921875
2022-03-09,110.13968658447266
2022-03-10,108.56269836425781
2022-03-11,107.03376770019531
2022-03-14,107.64916229248047
2022-03-15,110.47696685791016
2022-03-16,112.37825775146484
2022-03-17,113.68115234375
2022-03-18,114.01895904541016
2022-03-21,113.1600112915039
2022-03-22,113.37232208251953
2022-03-23,109.24162292480469
2022-03-24,108.66255187988281
2022-03-25,108.38267517089844
2022-03-28,109.5215072631836
2022-03-29,111.03673553466797
2022-03-30,109.39604187011719
2022-03-31,105.95056915283203
2022-04-01,107.6298599243164
2022-04-04,107.41755676269531
2022-04-05,106.2883529663086
2022-04-06,103.23859405517578
2022-04-07,104.66696166992188
2022-04-08,102.9780044555664
2022-04-11,102.80427551269531
2022-04-12,102.10940551757812
2022-04-13,104.41603088378906
2022-04-14,103.68254089355469
2022-04-18,102.88150024414062
2022-04-19,105.47766876220703
2022-04-20,108.66255187988281
2022-04-21,108.18000030517578
2022-04-22,110.51557922363281
2022-04-25,110.71825408935547
2022-04-26,110.24534606933594
2022-04-27,111.972900390625
2022-04-28,115.04197692871094
2022-04-29,110.25499725341797
2022-05-02,110.77615356445312
2022-05-03,111.37451934814453
2022-05-04,114.32779693603516
2022-05-05,109.79174041748047
2022-05-06,108.64323425292969
2022-05-09,109.87859344482422
2022-05-10,106.84813690185547
2022-05-11,104.81173706054688
2022-05-12,107.30172729492188
2022-05-13,108.84593200683594
2022-05-16,107.85186004638672
2022-05-17,109.69522857666016
2022-05-18,105.3521957397461
2022-05-19,105.014404296875
2022-05-20,105.27499389648438
2022-05-23,104.7248764038086
2022-05-24,104.24231719970703
2022-05-25,104.32916259765625
2022-05-26,106.91568756103516
2022-05-27,109.57941436767578
2022-05-31,107.75534057617188
2022-06-01,107.9386978149414
2022-06-02,110.12952423095703
2022-06-03,107.55267333984375
2022-06-06,108.17034149169922
2022-06-07,109.40570068359375
2022-06-08,106.60685729980469
2022-06-09,104.74417114257812
2022-06-10,103.38336944580078
2022-06-13,99.52288818359375
2022-06-14,97.73741912841797
2022-06-15,97.57269287109375
2022-06-16,93.38643646240234
2022-06-17,92.70809936523438
2022-06-21,92.13636779785156
2022-06-22,92.49491119384766
2022-06-23,93.81281280517578
2022-06-24,96.51643371582031
2022-06-27,96.16757202148438
2022-06-28,95.35358428955078
2022-06-29,95.3438949584961
2022-06-30,94.86907196044922
2022-07-01,96.52611541748047
2022-07-05,97.30135345458984
2022-07-06,97.5823745727539
2022-07-07,97.88278198242188
2022-07-08,95.48925018310547
2022-07-11,94.85936737060547
2022-07-12,93.90971374511719
2022-07-13,92.50460815429688
2022-07-14,92.64027404785156
2022-07-15,94.00662994384766
2022-07-18,92.68873596191406
2022-07-19,97.37887573242188
2022-07-20,98.46420288085938
2022-07-21,100.25692749023438
2022-07-22,100.18909454345703
2022-07-25,99.82085418701172
2022-07-26,99.5107650756836
2022-07-27,100.9643325805664
2022-07-28,101.08061218261719
2022-07-29,102.42757415771484
2022-08-01,102.10780334472656
2022-08-02,99.55921173095703
2022-08-03,100.32476806640625
2022-08-04,100.04373931884766
2022-08-05,99.05532836914062
2022-08-08,99.6852035522461
2022-08-09,96.0706787109375
2022-08-10,98.7161636352539
2022-08-11,99.64643096923828
2022-08-12,103.1156005859375
2022-08-15,103.8811264038086
2022-08-16,105.10213470458984
2022-08-17,105.20873260498047
2022-08-18,105.73201751708984
2022-08-19,103.15435791015625
2022-08-22,99.94683837890625
2022-08-23,98.76461029052734
2022-08-24,98.7161636352539
2022-08-25,100.12126159667969
2022-08-26,94.63648986816406
2022-08-29,93.72560119628906
2022-08-30,93.69652557373047
2022-08-31,92.15574645996094
2022-09-01,92.76625061035156
2022-09-02,91.95223999023438
2022-09-06,91.70999145507812
2022-09-07,94.96597290039062
2022-09-08,95.111328125
2022-09-09,96.54550170898438
2022-09-12,98.07659149169922
2022-09-13,92.92129516601562
2022-09-14,92.20420837402344
2022-09-15,90.6567611694336
2022-09-16,87.28937530517578
2022-09-19,89.7419204711914
2022-09-20,88.66162872314453
2022-09-21,88.69083404541016
2022-09-22,88.2042007446289
2022-09-23,89.57647705078125
2022-09-26,87.77598571777344
2022-09-27,86.60810089111328
2022-09-28,89.3428955078125
2022-09-29,86.88060760498047
2022-09-30,87.2796401977539
2022-10-03,89.97549438476562
2022-10-04,93.27474975585938
2022-10-05,93.39155578613281
2022-10-06,91.88304901123047
2022-10-07,89.94630432128906
2022-10-10,89.33316802978516
2022-10-11,89.12879180908203
2022-10-12,88.07769012451172
2022-10-13,89.73218536376953
2022-10-14,87.5326919555664
2022-10-17,91.0265884399414
2022-10-18,92.63243103027344
2022-10-19,89.64458465576172
2022-10-20,87.39643859863281
2022-10-21,90.306396484375
2022-10-24,91.8343734741211
2022-10-25,94.92926025390625
2022-10-26,94.7248764038086
2022-10-27,100.69080352783203
