,PWR
2019-04-18,39.395992279052734
2019-04-22,39.208892822265625
2019-04-23,39.888309478759766
2019-04-24,39.8587646484375
2019-04-25,39.54368591308594
2019-04-26,39.93754577636719
2019-04-29,39.90800857543945
2019-04-30,39.9769287109375
2019-05-01,39.78984832763672
2019-05-02,39.139976501464844
2019-05-03,38.18486785888672
2019-05-06,38.125789642333984
2019-05-07,37.387290954589844
2019-05-08,37.21989822387695
2019-05-09,36.93434524536133
2019-05-10,36.875274658203125
2019-05-13,34.85673522949219
2019-05-14,35.17182159423828
2019-05-15,35.12258529663086
2019-05-16,35.2505989074707
2019-05-17,34.55148696899414
2019-05-20,34.197017669677734
2019-05-21,34.777950286865234
2019-05-22,34.30533218383789
2019-05-23,34.31516647338867
2019-05-24,34.60071563720703
2019-05-28,34.561336517333984
2019-05-29,34.689334869384766
2019-05-30,34.82719421386719
2019-05-31,34.226558685302734
2019-06-03,34.85673522949219
2019-06-04,36.560184478759766
2019-06-05,36.77680587768555
2019-06-06,36.323875427246094
2019-06-07,36.727569580078125
2019-06-10,36.61924743652344
2019-06-11,36.668495178222656
2019-06-12,36.707881927490234
2019-06-13,37.36759948730469
2019-06-14,37.20021057128906
2019-06-17,36.94419860839844
2019-06-18,37.83037185668945
2019-06-19,38.145469665527344
2019-06-20,38.657501220703125
2019-06-21,38.06669998168945
2019-06-24,37.613765716552734
2019-06-25,37.41683578491211
2019-06-26,37.150970458984375
2019-06-27,37.406986236572266
2019-06-28,37.643550872802734
2019-07-01,38.52082061767578
2019-07-02,38.294105529785156
2019-07-03,38.333534240722656
2019-07-05,38.027976989746094
2019-07-08,37.781551361083984
2019-07-09,37.623836517333984
2019-07-10,37.03242111206055
2019-07-11,36.894432067871094
2019-07-12,37.63369369506836
2019-07-15,37.38726043701172
2019-07-16,37.535125732421875
2019-07-17,37.367557525634766
2019-07-18,37.397125244140625
2019-07-19,37.298553466796875
2019-07-22,36.83528518676758
2019-07-23,37.1704216003418
2019-07-24,37.761844635009766
2019-07-25,37.10141372680664
2019-07-26,37.25912857055664
2019-07-29,37.367557525634766
2019-07-30,37.47598648071289
2019-07-31,36.88456344604492
2019-08-01,35.00190734863281
2019-08-02,33.03052520751953
2019-08-05,32.19268035888672
2019-08-06,32.59680938720703
2019-08-07,32.39967346191406
2019-08-08,33.17835998535156
2019-08-09,33.81907272338867
2019-08-12,32.78409194946289
2019-08-13,33.16852569580078
2019-08-14,31.946250915527344
2019-08-15,31.995542526245117
2019-08-16,32.695369720458984
2019-08-19,33.0699462890625
2019-08-20,32.7939453125
2019-08-21,32.95166015625
2019-08-22,33.00094985961914
2019-08-23,32.93194580078125
2019-08-26,32.73481369018555
2019-08-27,32.19268035888672
2019-08-28,32.49824905395508
2019-08-29,33.05023193359375
2019-08-30,33.41493225097656
2019-09-03,32.41938018798828
2019-09-04,33.138938903808594
2019-09-05,33.858497619628906
2019-09-06,33.73035430908203
2019-09-09,34.96247482299805
2019-09-10,37.722408294677734
2019-09-11,37.564693450927734
2019-09-12,37.485836029052734
2019-09-13,37.564693450927734
2019-09-16,38.36310958862305
2019-09-17,37.67312240600586
2019-09-18,37.85055160522461
2019-09-19,37.337982177734375
2019-09-20,37.05213928222656
2019-09-23,37.57455062866211
2019-09-24,36.99299240112305
2019-09-25,37.209842681884766
2019-09-26,37.08169937133789
2019-09-27,37.22956466674805
2019-09-30,37.29862594604492
2019-10-01,36.065216064453125
2019-10-02,35.91720199584961
2019-10-03,36.104679107666016
2019-10-04,36.607906341552734
2019-10-07,36.83487319946289
2019-10-08,36.57831954956055
2019-10-09,36.7855339050293
2019-10-10,37.338104248046875
2019-10-11,38.30510711669922
2019-10-14,38.31497573852539
2019-10-15,38.75900650024414
2019-10-16,38.62086486816406
2019-10-17,38.77873611450195
2019-10-18,39.68654251098633
2019-10-21,40.002296447753906
2019-10-22,40.31803894042969
2019-10-23,40.702877044677734
2019-10-24,40.65353775024414
2019-10-25,40.890357971191406
2019-10-28,41.521873474121094
2019-10-29,41.29491424560547
2019-10-30,41.423187255859375
2019-10-31,41.49226379394531
2019-11-01,42.508602142333984
2019-11-04,43.159854888916016
2019-11-05,43.169708251953125
2019-11-06,42.75529098510742
2019-11-07,42.567806243896484
2019-11-08,42.360591888427734
2019-11-11,42.27177810668945
2019-11-12,42.084312438964844
2019-11-13,41.61067199707031
2019-11-14,41.44292068481445
2019-11-15,41.857364654541016
2019-11-18,41.502132415771484
2019-11-19,41.44292068481445
2019-11-20,41.69948196411133
2019-11-21,41.17650604248047
2019-11-22,41.31465148925781
2019-11-25,41.59093475341797
2019-11-26,41.11730194091797
2019-11-27,41.51199722290039
2019-11-29,41.08769607543945
2019-12-02,40.8114128112793
2019-12-03,40.10095977783203
2019-12-04,39.706268310546875
2019-12-05,39.883880615234375
2019-12-06,39.96281433105469
2019-12-09,39.95295333862305
2019-12-10,39.38063430786133
2019-12-11,39.64706039428711
2019-12-12,40.9988899230957
2019-12-13,40.515384674072266
2019-12-16,40.13056564331055
2019-12-17,40.712738037109375
2019-12-18,40.1700439453125
2019-12-19,40.25884246826172
2019-12-20,40.72260665893555
2019-12-23,40.72260665893555
2019-12-24,40.48579025268555
2019-12-26,40.69300842285156
2019-12-27,40.27858352661133
2019-12-30,40.3377799987793
2019-12-31,40.2192268371582
2020-01-02,40.59463882446289
2020-01-03,40.3674201965332
2020-01-06,40.37730026245117
2020-01-07,40.18959426879883
2020-01-08,40.11055374145508
2020-01-09,40.82187271118164
2020-01-10,40.574886322021484
2020-01-13,40.545257568359375
2020-01-14,40.11055374145508
2020-01-15,39.7548942565918
2020-01-16,40.43657684326172
2020-01-17,40.762596130371094
2020-01-21,40.723079681396484
2020-01-22,40.59463882446289
2020-01-23,40.614410400390625
2020-01-24,39.88331604003906
2020-01-27,39.063331604003906
2020-01-28,39.665985107421875
2020-01-29,39.68572998046875
2020-01-30,39.45851135253906
2020-01-31,38.67803192138672
2020-02-03,38.99417495727539
2020-02-04,38.934898376464844
2020-02-05,39.87344741821289
2020-02-06,38.63851547241211
2020-02-07,38.42115783691406
2020-02-10,38.8855094909668
2020-02-11,39.69561767578125
2020-02-12,40.278507232666016
2020-02-13,40.30813980102539
2020-02-14,40.011756896972656
2020-02-18,39.665985107421875
2020-02-19,39.0238151550293
2020-02-20,38.94477844238281
2020-02-21,39.53755569458008
2020-02-24,38.95466613769531
2020-02-25,37.50238037109375
2020-02-26,36.63298416137695
2020-02-27,38.94477844238281
2020-02-28,37.67033004760742
2020-03-02,38.361900329589844
2020-03-03,38.09514236450195
2020-03-04,39.7548942565918
2020-03-05,38.64839172363281
2020-03-06,37.77900314331055
2020-03-09,32.81953048706055
2020-03-10,33.72843551635742
2020-03-11,32.14772415161133
2020-03-12,29.25304412841797
2020-03-13,32.058807373046875
2020-03-16,28.798585891723633
2020-03-17,29.500024795532227
2020-03-18,26.832578659057617
2020-03-19,26.654747009277344
2020-03-20,24.82704734802246
2020-03-23,23.51308250427246
2020-03-24,27.267274856567383
2020-03-25,30.043394088745117
2020-03-26,31.110380172729492
2020-03-27,29.48027229309082
