,HUBB
2020-02-12,135.45257568359375
2020-02-13,135.8068084716797
2020-02-14,134.0083770751953
2020-02-18,132.6641387939453
2020-02-19,133.46343994140625
2020-02-20,133.24542236328125
2020-02-21,131.26541137695312
2020-02-24,128.26805114746094
2020-02-25,124.04452514648438
2020-02-26,123.8083267211914
2020-02-27,121.40350341796875
2020-02-28,121.8332748413086
2020-03-02,128.09683227539062
2020-03-03,122.00700378417969
2020-03-04,128.47174072265625
2020-03-05,124.88731384277344
2020-03-06,123.02197265625
2020-03-09,111.63783264160156
2020-03-10,119.07180786132812
2020-03-11,111.6286849975586
2020-03-12,97.76653289794922
2020-03-13,108.94038391113281
2020-03-16,99.2204360961914
2020-03-17,99.38501739501953
2020-03-18,88.39404296875
2020-03-19,92.70081329345703
2020-03-20,88.3117446899414
2020-03-23,79.28672790527344
2020-03-24,90.17711639404297
2020-03-25,98.06829833984375
2020-03-26,103.36259460449219
2020-03-27,97.81226348876953
2020-03-30,103.29859924316406
2020-03-31,104.91706848144531
2020-04-01,100.81147003173828
2020-04-02,102.95112609863281
2020-04-03,98.57122039794922
2020-04-06,105.94117736816406
2020-04-07,106.3343734741211
2020-04-08,109.78160858154297
2020-04-09,113.78663635253906
2020-04-13,108.94952392578125
2020-04-14,113.00940704345703
2020-04-15,109.16898345947266
2020-04-16,107.86139678955078
2020-04-17,110.15650939941406
2020-04-20,106.94701385498047
2020-04-21,104.83475494384766
2020-04-22,107.86139678955078
2020-04-23,108.52888488769531
2020-04-24,109.20555877685547
2020-04-27,112.10417938232422
2020-04-28,113.1465835571289
2020-04-29,115.93546295166016
2020-04-30,113.77750396728516
2020-05-01,111.6286849975586
2020-05-04,109.72676086425781
2020-05-05,111.17149353027344
2020-05-06,108.9769515991211
2020-05-07,109.11409759521484
2020-05-08,111.98526763916016
2020-05-11,111.08917236328125
2020-05-12,104.52387237548828
2020-05-13,100.39999389648438
2020-05-14,103.0882797241211
2020-05-15,103.8655014038086
2020-05-18,109.05010986328125
2020-05-19,107.66937255859375
2020-05-20,108.55633544921875
2020-05-21,107.7059555053711
2020-05-22,106.85557556152344
2020-05-26,110.4948501586914
2020-05-27,114.60958099365234
2020-05-28,114.57273864746094
2020-05-29,112.75822448730469
2020-06-01,115.12539672851562
2020-06-02,118.50575256347656
2020-06-03,120.82685852050781
2020-06-04,123.02824401855469
2020-06-05,126.92438507080078
2020-06-08,126.8875503540039
2020-06-09,124.96249389648438
2020-06-10,121.17687225341797
2020-06-11,113.44902801513672
2020-06-12,114.9135513305664
2020-06-15,115.50303649902344
2020-06-16,117.46492767333984
2020-06-17,118.56101989746094
2020-06-18,116.78334045410156
2020-06-19,116.23989868164062
2020-06-22,115.88068389892578
2020-06-23,115.55831146240234
2020-06-24,109.57130432128906
2020-06-25,110.48316955566406
2020-06-26,109.41472625732422
2020-06-29,112.46348571777344
2020-06-30,115.46620178222656
2020-07-01,113.25562286376953
2020-07-02,114.09379577636719
2020-07-06,115.85307312011719
2020-07-07,115.1346206665039
2020-07-08,115.549072265625
2020-07-09,114.87670135498047
2020-07-10,114.81221771240234
2020-07-13,114.19511413574219
2020-07-14,119.37157440185547
2020-07-15,121.50845336914062
2020-07-16,121.2229232788086
2020-07-17,121.49923706054688
2020-07-20,120.05316162109375
