,GD
2017-06-12,167.47021484375
2017-06-13,169.2850799560547
2017-06-14,169.90126037597656
2017-06-15,170.53433227539062
2017-06-16,171.07456970214844
2017-06-19,172.6361541748047
2017-06-20,172.0790557861328
2017-06-21,172.1043701171875
2017-06-22,169.8843994140625
2017-06-23,169.93502807617188
2017-06-26,168.98959350585938
2017-06-27,167.8416290283203
2017-06-28,169.52142333984375
2017-06-29,166.2547149658203
2017-06-30,167.21701049804688
2017-07-03,168.53384399414062
2017-07-05,170.16131591796875
2017-07-06,168.70338439941406
2017-07-07,170.60215759277344
2017-07-10,170.44107055664062
2017-07-11,169.45773315429688
2017-07-12,170.4749755859375
2017-07-13,169.66119384765625
2017-07-14,170.50885009765625
2017-07-17,169.65274047851562
2017-07-18,170.73776245117188
2017-07-19,171.51760864257812
2017-07-20,171.5684814453125
2017-07-21,173.3909149169922
2017-07-24,173.71304321289062
2017-07-25,172.55177307128906
2017-07-26,165.00747680664062
2017-07-27,164.3124542236328
2017-07-28,167.78785705566406
2017-07-31,166.423095703125
2017-08-01,166.59263610839844
2017-08-02,167.87261962890625
2017-08-03,168.96615600585938
2017-08-04,169.59335327148438
2017-08-07,170.5003662109375
2017-08-08,168.51687622070312
2017-08-09,170.3817138671875
2017-08-10,168.0760498046875
2017-08-11,167.7454376220703
2017-08-14,169.7883758544922
2017-08-15,169.10174560546875
2017-08-16,170.0511016845703
2017-08-17,167.83026123046875
2017-08-18,168.45751953125
2017-08-21,168.45751953125
2017-08-22,170.57666015625
2017-08-23,169.3220977783203
2017-08-24,169.0847625732422
2017-08-25,168.72879028320312
2017-08-28,167.72850036621094
2017-08-29,170.33932495117188
2017-08-30,170.56825256347656
2017-08-31,170.67848205566406
2017-09-01,169.5340118408203
2017-09-05,168.45751953125
2017-09-06,166.7706756591797
2017-09-07,167.0249786376953
2017-09-08,167.72850036621094
2017-09-11,169.8137664794922
2017-09-12,168.6863555908203
2017-09-13,166.8639373779297
2017-09-14,167.52508544921875
2017-09-15,168.06764221191406
2017-09-18,171.38197326660156
2017-09-19,172.1787872314453
2017-09-20,173.15362548828125
2017-09-21,174.38270568847656
2017-09-22,174.11997985839844
2017-09-25,173.66220092773438
2017-09-26,174.05218505859375
2017-09-27,175.29823303222656
2017-09-28,173.79783630371094
2017-09-29,174.26405334472656
2017-10-02,176.92578125
2017-10-03,178.46002197265625
2017-10-04,179.11276245117188
2017-10-05,181.6573486328125
2017-10-06,180.93399047851562
2017-10-09,181.72547912597656
2017-10-10,180.8914337158203
2017-10-11,181.1297149658203
2017-10-12,181.88717651367188
2017-10-13,181.5637664794922
2017-10-16,181.6488494873047
2017-10-17,180.03187561035156
2017-10-18,179.05316162109375
2017-10-19,180.11697387695312
2017-10-20,182.00631713867188
2017-10-23,180.85739135742188
2017-10-24,180.49147033691406
2017-10-25,176.38087463378906
2017-10-26,173.53831481933594
2017-10-27,174.45750427246094
2017-10-30,175.46168518066406
2017-10-31,172.74685668945312
2017-11-01,171.58938598632812
2017-11-02,173.4617156982422
2017-11-03,173.6659698486328
2017-11-06,172.2277069091797
2017-11-07,173.41064453125
2017-11-08,172.44046020507812
2017-11-09,169.24900817871094
2017-11-10,170.0149688720703
2017-11-13,170.3213348388672
2017-11-14,170.39794921875
2017-11-15,169.3511505126953
2017-11-16,169.54689025878906
2017-11-17,168.3128662109375
2017-11-20,169.13841247558594
2017-11-21,170.29588317871094
2017-11-22,170.2447509765625
2017-11-24,170.210693359375
2017-11-27,171.121337890625
2017-11-28,173.77659606933594
2017-11-29,173.75958251953125
2017-11-30,176.30426025390625
2017-12-01,172.45748901367188
2017-12-04,171.64895629882812
2017-12-05,170.13417053222656
2017-12-06,170.38941955566406
2017-12-07,170.3553924560547
2017-12-08,171.121337890625
2017-12-11,169.90431213378906
2017-12-12,166.959716796875
2017-12-13,167.34271240234375
2017-12-14,166.9937286376953
2017-12-15,169.2235107421875
2017-12-18,168.89157104492188
2017-12-19,170.06605529785156
2017-12-20,171.31704711914062
2017-12-21,172.3213348388672
2017-12-22,172.45748901367188
2017-12-26,171.88729858398438
2017-12-27,172.52557373046875
2017-12-28,173.49575805664062
2017-12-29,173.14682006835938
2018-01-02,170.62770080566406
2018-01-03,171.69158935546875
2018-01-04,174.6447296142578
2018-01-05,174.2106475830078
2018-01-08,174.2106475830078
2018-01-09,175.2149200439453
2018-01-10,174.2532196044922
2018-01-11,174.89999389648438
2018-01-12,179.22332763671875
2018-01-16,175.59788513183594
2018-01-17,177.46168518066406
2018-01-18,177.56422424316406
2018-01-19,178.67507934570312
2018-01-22,177.906005859375
2018-01-23,177.29080200195312
2018-01-24,187.36532592773438
2018-01-25,193.5689239501953
2018-01-26,193.32107543945312
2018-01-29,192.6887969970703
2018-01-30,191.6463165283203
2018-01-31,190.10826110839844
2018-02-01,192.44102478027344
2018-02-02,189.4587860107422
2018-02-05,180.48663330078125
2018-02-06,181.54620361328125
2018-02-07,183.67385864257812
2018-02-08,176.0689239501953
2018-02-09,181.2385711669922
2018-02-12,179.0425262451172
2018-02-13,180.99072265625
2018-02-14,186.4937286376953
2018-02-15,192.6033935546875
2018-02-16,191.56939697265625
2018-02-20,189.55282592773438
2018-02-21,188.62998962402344
2018-02-22,188.1087188720703
2018-02-23,188.8435821533203
2018-02-26,193.78253173828125
2018-02-27,191.31304931640625
2018-02-28,190.0825958251953
2018-03-01,187.26275634765625
2018-03-02,190.8430633544922
2018-03-05,191.95394897460938
2018-03-06,192.09922790527344
2018-03-07,193.35531616210938
2018-03-08,193.67147827148438
2018-03-09,196.4912872314453
2018-03-12,191.95394897460938
2018-03-13,190.85165405273438
2018-03-14,189.43316650390625
2018-03-15,190.21075439453125
2018-03-16,190.33038330078125
2018-03-19,191.32159423828125
2018-03-20,192.58628845214844
2018-03-21,191.19346618652344
2018-03-22,186.59622192382812
2018-03-23,186.97222900390625
2018-03-26,190.95420837402344
2018-03-27,188.90338134765625
2018-03-28,185.66482543945312
2018-03-29,188.75811767578125
2018-04-02,187.0320281982422
2018-04-03,188.2624969482422
2018-04-04,186.74147033691406
2018-04-05,189.03155517578125
2018-04-06,184.3489532470703
2018-04-09,183.6824188232422
2018-04-10,183.24661254882812
2018-04-11,184.8445587158203
2018-04-12,187.2732391357422
2018-04-13,187.4362335205078
2018-04-16,187.42764282226562
2018-04-17,190.0108184814453
2018-04-18,193.51220703125
2018-04-19,193.07455444335938
2018-04-20,191.4697265625
2018-04-23,193.91558837890625
2018-04-24,190.5343017578125
2018-04-25,184.10650634765625
2018-04-26,181.72073364257812
2018-04-27,174.82090759277344
2018-04-30,172.7612762451172
2018-05-01,169.31993103027344
2018-05-02,167.92965698242188
2018-05-03,167.34613037109375
2018-05-04,167.40618896484375
2018-05-07,168.5904998779297
2018-05-08,171.3109588623047
2018-05-09,172.53819274902344
2018-05-10,173.0701904296875
2018-05-11,175.00112915039062
2018-05-14,174.27169799804688
2018-05-15,173.0530242919922
2018-05-16,172.06613159179688
2018-05-17,173.14747619628906
2018-05-18,173.79962158203125
2018-05-21,176.58877563476562
