,NKE
2019-11-22,87.89374542236328
2019-11-25,87.47942352294922
2019-11-26,87.8843002319336
2019-11-27,88.64705657958984
2019-11-29,88.26470184326172
2019-12-02,88.33078002929688
2019-12-03,87.29228210449219
2019-12-04,88.48184204101562
2019-12-05,90.43614959716797
2019-12-06,91.57852935791016
2019-12-09,91.22919464111328
2019-12-10,91.58797454833984
2019-12-11,91.74845886230469
2019-12-12,92.25827026367188
2019-12-13,92.30547332763672
2019-12-16,93.287353515625
2019-12-17,94.08040618896484
2019-12-18,94.94898986816406
2019-12-19,95.49658203125
2019-12-20,94.37310028076172
2019-12-23,94.44860076904297
2019-12-24,94.54301452636719
2019-12-26,95.0811767578125
2019-12-27,95.89310455322266
2019-12-30,95.1661376953125
2019-12-31,95.64763641357422
2020-01-02,96.48788452148438
2020-01-03,96.2235336303711
2020-01-06,96.1385726928711
2020-01-07,96.09134674072266
2020-01-08,95.87421417236328
2020-01-09,95.80814361572266
2020-01-10,95.26055908203125
2020-01-13,96.45012664794922
2020-01-14,97.16764068603516
2020-01-15,97.04490661621094
2020-01-16,97.59248352050781
2020-01-17,98.68766784667969
2020-01-21,98.73487091064453
2020-01-22,98.64990234375
2020-01-23,97.2620620727539
2020-01-24,96.32738494873047
2020-01-27,94.63744354248047
2020-01-28,94.7979507446289
2020-01-29,94.25979614257812
2020-01-30,92.70201110839844
2020-01-31,90.91765594482422
2020-02-03,93.72162628173828
2020-02-04,95.7137222290039
2020-02-05,94.9206771850586
2020-02-06,94.66576385498047
2020-02-07,93.88211822509766
2020-02-10,94.42971801757812
2020-02-11,94.42971801757812
2020-02-12,97.24317169189453
2020-02-13,97.59248352050781
2020-02-14,97.75298309326172
2020-02-18,96.2990493774414
2020-02-19,96.73334503173828
2020-02-20,96.7994384765625
2020-02-21,94.6468734741211
2020-02-24,90.5494384765625
2020-02-25,87.70767974853516
2020-02-26,86.85794830322266
2020-02-27,83.600830078125
2020-02-28,84.61854553222656
2020-03-02,87.74275207519531
2020-03-03,86.0859603881836
2020-03-04,88.7936019897461
2020-03-05,85.75460815429688
2020-03-06,83.65289306640625
2020-03-09,79.6292953491211
2020-03-10,83.59608459472656
2020-03-11,79.52515411376953
2020-03-12,70.24720764160156
2020-03-13,71.55368041992188
2020-03-16,63.23196029663086
2020-03-17,66.11946105957031
2020-03-18,64.41536712646484
2020-03-19,66.59284210205078
2020-03-20,63.85679626464844
2020-03-23,59.45452117919922
2020-03-24,68.4768295288086
2020-03-25,74.80095672607422
2020-03-26,79.80915832519531
2020-03-27,78.79617309570312
2020-03-30,80.83161926269531
2020-03-31,78.33226013183594
2020-04-01,75.00924682617188
2020-04-02,75.87075805664062
2020-04-03,74.6589584350586
2020-04-06,80.12157440185547
2020-04-07,79.6766128540039
2020-04-08,80.75589752197266
2020-04-09,82.16650390625
2020-04-13,79.96063232421875
2020-04-14,82.81028747558594
2020-04-15,80.5097427368164
2020-04-16,81.70260620117188
2020-04-17,85.12030792236328
2020-04-20,83.2173843383789
2020-04-21,80.66122436523438
2020-04-22,84.041015625
2020-04-23,82.6966781616211
2020-04-24,83.662353515625
2020-04-27,84.60909271240234
2020-04-28,84.0694580078125
2020-04-29,83.37832641601562
2020-04-30,82.53572845458984
2020-05-01,80.98310089111328
2020-05-04,81.1819076538086
2020-05-05,82.55465698242188
2020-05-06,83.7286148071289
2020-05-07,83.84221649169922
2020-05-08,85.64098358154297
2020-05-11,86.0859603881836
2020-05-12,83.55821228027344
2020-05-13,81.43753051757812
2020-05-14,81.93930053710938
2020-05-15,82.3558578491211
2020-05-18,86.19011688232422
2020-05-19,86.63508605957031
2020-05-20,87.99834442138672
2020-05-21,89.23857116699219
2020-05-22,88.75575256347656
2020-05-26,91.47284698486328
2020-05-27,94.5497055053711
2020-05-28,93.21482849121094
2020-05-29,93.56124877929688
2020-06-01,94.47235870361328
2020-06-02,95.61127471923828
2020-06-03,98.8097152709961
2020-06-04,96.12379455566406
2020-06-05,97.48097229003906
2020-06-08,98.98054504394531
2020-06-09,97.4050521850586
2020-06-10,96.9210205078125
2020-06-11,90.32483673095703
2020-06-12,91.52070617675781
2020-06-15,92.8589096069336
2020-06-16,93.99781799316406
2020-06-17,94.1591796875
2020-06-18,93.43785095214844
