,SJM
2017-12-22,101.9016342163086
2017-12-26,101.94230651855469
2017-12-27,101.55169677734375
2017-12-28,101.6330795288086
2017-12-29,101.10411834716797
2018-01-02,100.6809310913086
2018-01-03,100.42054748535156
2018-01-04,101.22618103027344
2018-01-05,102.17017364501953
2018-01-08,103.09786224365234
2018-01-09,103.17925262451172
2018-01-10,101.03900909423828
2018-01-11,100.21709442138672
2018-01-12,100.44496154785156
2018-01-16,100.91694641113281
2018-01-17,102.40615844726562
2018-01-18,102.2759780883789
2018-01-19,103.78144836425781
2018-01-22,103.65937805175781
2018-01-23,104.19649505615234
2018-01-24,103.30133056640625
2018-01-25,105.42530059814453
2018-01-26,106.65409088134766
2018-01-29,105.31950378417969
2018-01-30,103.72449493408203
2018-01-31,103.2606430053711
2018-02-01,102.560791015625
2018-02-02,97.7513427734375
2018-02-05,94.91123962402344
2018-02-06,97.58856964111328
2018-02-07,97.51535034179688
2018-02-08,96.95836639404297
2018-02-09,97.90031433105469
2018-02-12,97.80203247070312
2018-02-13,98.03955841064453
2018-02-14,99.12081909179688
2018-02-15,100.46416473388672
2018-02-16,101.94674682617188
2018-02-20,101.46347045898438
2018-02-21,98.96517181396484
2018-02-22,100.6197738647461
2018-02-23,102.02047729492188
2018-02-26,104.04366302490234
2018-02-27,103.7323989868164
2018-02-28,103.45391845703125
2018-03-01,103.94539642333984
2018-03-02,105.21501159667969
2018-03-05,106.50100708007812
2018-03-06,106.22249603271484
2018-03-07,105.43617248535156
2018-03-08,106.21430969238281
2018-03-09,106.41911315917969
2018-03-12,106.73853302001953
2018-03-13,107.73786163330078
2018-03-14,107.18089294433594
2018-03-15,102.2662124633789
2018-03-16,103.07711791992188
2018-03-19,103.44570922851562
2018-03-20,102.74126434326172
2018-03-21,98.42457580566406
2018-03-22,96.88462829589844
2018-03-23,97.27780151367188
2018-03-26,99.68599700927734
2018-03-27,100.26757049560547
2018-03-28,100.99658203125
2018-03-29,101.5781478881836
2018-04-02,98.10509490966797
