,RVTY
2016-05-03,50.13180160522461
2016-05-04,48.98114776611328
2016-05-05,49.49797058105469
2016-05-06,52.881690979003906
2016-05-09,52.618404388427734
2016-05-10,53.54478454589844
2016-05-11,53.125484466552734
2016-05-12,53.125484466552734
2016-05-13,53.09623336791992
2016-05-16,53.58378982543945
2016-05-17,53.06696701049805
2016-05-18,52.881690979003906
2016-05-19,52.62814712524414
2016-05-20,52.60865783691406
2016-05-23,52.559913635253906
2016-05-24,53.613040924072266
2016-05-25,54.178619384765625
2016-05-26,53.603302001953125
2016-05-27,53.62279510498047
2016-05-31,53.388755798339844
2016-06-01,53.45703125
2016-06-02,53.55453109741211
2016-06-03,53.22300338745117
2016-06-06,53.281494140625
2016-06-07,52.988956451416016
2016-06-08,53.62279510498047
2016-06-09,52.94019317626953
2016-06-10,52.3551139831543
2016-06-13,51.779781341552734
2016-06-14,51.92606735229492
2016-06-15,51.584754943847656
2016-06-16,51.41898727416992
2016-06-17,51.048423767089844
2016-06-20,51.82855224609375
2016-06-21,51.614017486572266
2016-06-22,51.91631317138672
2016-06-23,52.881690979003906
2016-06-24,50.580360412597656
2016-06-27,49.18593215942383
2016-06-28,49.59547805786133
2016-06-29,50.33658218383789
2016-06-30,51.116703033447266
2016-07-01,51.3507194519043
2016-07-05,50.75588607788086
2016-07-06,51.14594650268555
2016-07-07,51.28247833251953
2016-07-08,52.60865783691406
2016-07-11,52.618404388427734
2016-07-12,53.388755798339844
2016-07-13,54.355377197265625
2016-07-14,54.57017517089844
2016-07-15,54.072235107421875
2016-07-18,53.92577362060547
2016-07-19,53.77933120727539
2016-07-20,54.33586120605469
2016-07-21,53.886722564697266
2016-07-22,54.02341842651367
2016-07-25,53.49617385864258
2016-07-26,54.13081741333008
2016-07-27,54.49207305908203
2016-07-28,54.27727508544922
2016-07-29,55.57585525512695
2016-08-01,55.351295471191406
2016-08-02,54.589717864990234
2016-08-03,54.433494567871094
2016-08-04,54.40420150756836
2016-08-05,53.55473709106445
2016-08-08,53.30087661743164
2016-08-09,53.42782211303711
2016-08-10,53.25205993652344
2016-08-11,53.42782211303711
2016-08-12,53.12514877319336
2016-08-15,53.32041931152344
2016-08-16,53.418060302734375
2016-08-17,53.61333084106445
2016-08-18,53.66215896606445
2016-08-19,53.99413299560547
2016-08-22,53.798851013183594
2016-08-23,54.61901092529297
2016-08-24,52.81270217895508
2016-08-25,52.802940368652344
2016-08-26,52.79316329956055
2016-08-29,53.12514877319336
2016-08-30,52.49048614501953
2016-08-31,51.99252700805664
2016-09-01,52.00231170654297
2016-09-02,52.19757080078125
2016-09-06,52.500240325927734
2016-09-07,53.19348907470703
2016-09-08,53.55473709106445
2016-09-09,51.50434112548828
2016-09-12,51.77772903442383
2016-09-13,50.74277114868164
2016-09-14,50.713470458984375
2016-09-15,51.9046630859375
2016-09-16,52.060874938964844
2016-09-19,52.549072265625
2016-09-20,52.060874938964844
2016-09-21,53.00797653198242
2016-09-22,54.29679489135742
2016-09-23,54.21868896484375
2016-09-26,53.92577362060547
2016-09-27,54.706878662109375
2016-09-28,54.83381652832031
2016-09-29,53.837894439697266
2016-09-30,54.785003662109375
2016-10-03,54.27727508544922
