,FDS
2022-07-28,411.8366394042969
2022-07-29,420.17803955078125
2022-08-01,413.45013427734375
2022-08-02,411.6117858886719
2022-08-03,413.12750244140625
2022-08-04,415.3864440917969
2022-08-05,413.9488830566406
2022-08-08,414.1836242675781
2022-08-09,414.379150390625
2022-08-10,425.2825927734375
2022-08-11,423.5712890625
2022-08-12,431.3161926269531
2022-08-15,436.7141418457031
2022-08-16,437.789794921875
2022-08-17,442.8357238769531
2022-08-18,444.1851806640625
2022-08-19,436.4989318847656
2022-08-22,433.8977966308594
2022-08-23,429.2919006347656
2022-08-24,432.15716552734375
2022-08-25,442.3761291503906
2022-08-26,435.2765808105469
2022-08-29,431.5899658203125
2022-08-30,428.8169860839844
2022-08-31,424.6134033203125
2022-09-01,431.1979675292969
2022-09-02,421.771728515625
2022-09-06,427.6019287109375
2022-09-07,435.81317138671875
2022-09-08,439.80120849609375
2022-09-09,444.2497863769531
2022-09-12,447.87530517578125
2022-09-13,437.8708801269531
2022-09-14,439.8207702636719
2022-09-15,437.6748962402344
2022-09-16,437.03802490234375
2022-09-19,437.4691467285156
2022-09-20,432.7461853027344
2022-09-21,421.78155517578125
2022-09-22,386.8004455566406
2022-09-23,384.7624206542969
2022-09-26,380.59796142578125
2022-09-27,383.2533874511719
2022-09-28,385.1445007324219
2022-09-29,388.8680114746094
2022-09-30,392.052490234375
2022-10-03,399.9012451171875
2022-10-04,413.8054504394531
2022-10-05,415.2654724121094
2022-10-06,410.8070983886719
2022-10-07,405.3590393066406
2022-10-10,404.4673767089844
2022-10-11,406.3584899902344
2022-10-12,393.57135009765625
2022-10-13,400.82232666015625
2022-10-14,386.6338806152344
2022-10-17,398.8038024902344
2022-10-18,401.04766845703125
2022-10-19,397.92193603515625
2022-10-20,391.48419189453125
2022-10-21,398.8919677734375
2022-10-24,401.9100036621094
2022-10-25,410.81689453125
2022-10-26,409.23931884765625
2022-10-27,414.9029541015625
2022-10-28,421.7325439453125
2022-10-31,416.9213562011719
2022-11-01,417.6661682128906
2022-11-02,406.8974609375
2022-11-03,404.21258544921875
2022-11-04,400.2245788574219
2022-11-07,405.86859130859375
2022-11-08,414.2464599609375
2022-11-09,409.7586364746094
2022-11-10,427.494140625
2022-11-11,412.75701904296875
2022-11-14,416.03955078125
2022-11-15,424.2018737792969
2022-11-16,432.58941650390625
2022-11-17,427.9056701660156
2022-11-18,428.95416259765625
2022-11-21,437.6160888671875
2022-11-22,442.7603759765625
2022-11-23,444.6025390625
2022-11-25,446.40545654296875
2022-11-28,443.24053955078125
2022-11-29,440.943115234375
2022-11-30,452.89154052734375
2022-12-01,463.56365966796875
2022-12-02,462.572021484375
2022-12-05,450.7315979003906
2022-12-06,445.88153076171875
2022-12-07,442.0918273925781
2022-12-08,443.08343505859375
2022-12-09,441.5518493652344
2022-12-12,441.6991271972656
2022-12-13,448.6404113769531
2022-12-14,441.11981201171875
2022-12-15,423.2119445800781
2022-12-16,420.5807189941406
2022-12-19,412.255126953125
2022-12-20,390.04693603515625
2022-12-21,397.135498046875
2022-12-22,391.2447509765625
2022-12-23,390.7930908203125
2022-12-27,388.34844970703125
2022-12-28,387.3371887207031
2022-12-29,399.0990905761719
2022-12-30,393.9053955078125
2023-01-03,398.56890869140625
2023-01-04,400.3656311035156
2023-01-05,386.3848571777344
2023-01-06,397.09619140625
2023-01-09,397.2532653808594
2023-01-10,401.82843017578125
2023-01-11,405.3040466308594
2023-01-12,406.3446960449219
2023-01-13,413.68853759765625
2023-01-17,420.8949279785156
2023-01-18,421.601806640625
2023-01-19,413.77691650390625
2023-01-20,416.0448303222656
2023-01-23,416.4474182128906
2023-01-24,411.9998779296875
2023-01-25,406.30548095703125
2023-01-26,412.8343505859375
2023-01-27,417.69427490234375
2023-01-30,412.9620361328125
2023-01-31,415.2397766113281
2023-02-01,418.78411865234375
2023-02-02,425.4111633300781
2023-02-03,419.775634765625
2023-02-06,419.1080627441406
2023-02-07,426.1180419921875
2023-02-08,423.9286804199219
2023-02-09,419.48114013671875
2023-02-10,420.5119934082031
2023-02-13,426.5107421875
2023-02-14,421.9945373535156
2023-02-15,427.3452453613281
2023-02-16,419.3927917480469
2023-02-17,423.37884521484375
2023-02-21,414.2285461425781
2023-02-22,414.6703186035156
2023-02-23,418.71527099609375
2023-02-24,413.7179870605469
2023-02-27,413.1473388671875
2023-02-28,407.8639221191406
2023-03-01,406.1126708984375
2023-03-02,407.9525146484375
2023-03-03,414.40667724609375
2023-03-06,411.5731201171875
2023-03-07,403.04296875
2023-03-08,401.4589538574219
2023-03-09,399.4813232421875
2023-03-10,389.24908447265625
2023-03-13,391.0594177246094
2023-03-14,402.944580078125
2023-03-15,398.1629943847656
2023-03-16,398.66473388671875
2023-03-17,399.264892578125
2023-03-20,404.9123229980469
2023-03-21,412.43896484375
2023-03-22,408.9461975097656
2023-03-23,386.25811767578125
2023-03-24,392.42694091796875
2023-03-27,388.0487365722656
2023-03-28,394.9949035644531
2023-03-29,401.0555114746094
2023-03-30,404.0563659667969
2023-03-31,408.3952331542969
2023-04-03,409.3495788574219
2023-04-04,403.1610412597656
2023-04-05,395.5557556152344
2023-04-06,398.2514953613281
2023-04-10,397.18896484375
2023-04-11,399.50103759765625
2023-04-12,405.07958984375
2023-04-13,410.53021240234375
2023-04-14,407.2933044433594
2023-04-17,409.7235107421875
2023-04-18,410.2350769042969
