,BEN
2020-08-21,17.31661605834961
2020-08-24,17.79511070251465
2020-08-25,17.704360961914062
2020-08-26,17.572359085083008
2020-08-27,17.613611221313477
2020-08-28,17.597108840942383
2020-08-31,17.374364852905273
2020-09-01,17.341365814208984
2020-09-02,17.960111618041992
2020-09-03,17.75385856628418
2020-09-04,17.572359085083008
2020-09-08,16.96186637878418
2020-09-09,16.829866409301758
2020-09-10,16.557621002197266
2020-09-11,16.68961524963379
2020-09-14,16.805118560791016
2020-09-15,16.82162094116211
2020-09-16,17.374364852905273
2020-09-17,17.32486915588379
2020-09-18,17.506362915039062
2020-09-21,16.582368850708008
2020-09-22,16.39261817932129
2020-09-23,16.153369903564453
2020-09-24,15.897624015808105
2020-09-25,16.2028751373291
2020-09-28,16.887615203857422
2020-09-29,16.75385284423828
2020-09-30,17.013023376464844
2020-10-01,16.712051391601562
2020-10-02,17.15514373779297
2020-10-05,17.389230728149414
2020-10-06,17.48119354248047
2020-10-07,18.175086975097656
2020-10-08,18.65998077392578
2020-10-09,18.88570785522461
2020-10-12,19.20339584350586
2020-10-13,19.36223602294922
2020-10-14,19.571243286132812
2020-10-15,19.746809005737305
2020-10-16,19.638126373291016
2020-10-19,19.39567756652832
2020-10-20,19.21175193786621
2020-10-21,19.02783203125
2020-10-22,19.378955841064453
2020-10-23,19.412397384643555
2020-10-26,19.09471321105957
2020-10-27,16.494686126708984
2020-10-28,15.583423614501953
2020-10-29,15.583423614501953
2020-10-30,15.675385475158691
2020-11-02,16.377639770507812
2020-11-03,16.728775024414062
2020-11-04,16.085037231445312
2020-11-05,16.82909393310547
2020-11-06,16.227163314819336
2020-11-09,17.07154083251953
2020-11-10,17.355789184570312
2020-11-11,17.02138328552246
2020-11-12,16.561569213867188
2020-11-13,17.146780014038086
2020-11-16,17.78215789794922
2020-11-17,17.957721710205078
2020-11-18,17.82396125793457
2020-11-19,17.431028366088867
2020-11-20,17.213668823242188
2020-11-23,17.7737979888916
2020-11-24,18.7017822265625
2020-11-25,18.65998077392578
2020-11-27,18.618179321289062
2020-11-30,18.38409423828125
2020-12-01,18.693422317504883
2020-12-02,18.802104949951172
2020-12-03,19.195035934448242
2020-12-04,19.82204818725586
2020-12-07,19.70500946044922
2020-12-08,20.031055450439453
2020-12-09,20.047775268554688
2020-12-10,20.2818603515625
2020-12-11,20.340381622314453
2020-12-14,19.838773727416992
2020-12-15,20.58283042907715
2020-12-16,20.691509246826172
2020-12-17,21.034276962280273
2020-12-18,20.908876419067383
2020-12-21,20.750028610229492
2020-12-22,20.52430534362793
2020-12-23,20.683147430419922
2020-12-24,20.733308792114258
2020-12-28,20.9339599609375
2020-12-29,20.733308792114258
2020-12-30,20.953161239624023
2020-12-31,21.130727767944336
2021-01-04,20.581111907958984
2021-01-05,20.530378341674805
2021-01-06,21.587339401245117
2021-01-07,21.55351448059082
2021-01-08,21.37594223022461
2021-01-11,21.773357391357422
2021-01-12,22.432897567749023
2021-01-13,22.365257263183594
2021-01-14,22.931791305541992
2021-01-15,22.458271026611328
2021-01-19,22.948698043823242
2021-01-20,22.855688095092773
2021-01-21,22.373714447021484
2021-01-22,22.382169723510742
2021-01-25,22.41598892211914
2021-01-26,23.354576110839844
2021-01-27,22.97406578063965
2021-01-28,23.447582244873047
2021-01-29,22.229969024658203
2021-02-01,22.475181579589844
2021-02-02,21.663436889648438
2021-02-03,21.86637306213379
2021-02-04,21.714168548583984
2021-02-05,21.86637306213379
2021-02-08,22.4836368560791
2021-02-09,22.509004592895508
2021-02-10,23.219280242919922
2021-02-11,23.016340255737305
2021-02-12,23.354576110839844
2021-02-16,23.743534088134766
2021-02-17,23.405305862426758
2021-02-18,22.821863174438477
2021-02-19,23.261554718017578
2021-02-22,23.117813110351562
2021-02-23,22.889507293701172
2021-02-24,23.616697311401367
2021-02-25,22.66120147705078
2021-02-26,22.128496170043945
2021-03-01,22.99943733215332
2021-03-02,22.796491622924805
2021-03-03,22.6104736328125
2021-03-04,21.663436889648438
2021-03-05,22.382169723510742
2021-03-08,22.390625
2021-03-09,22.03548240661621
2021-03-10,24.200138092041016
2021-03-11,24.34388542175293
2021-03-12,24.377708435058594
2021-03-15,25.307828903198242
2021-03-16,25.16408348083496
2021-03-17,25.586870193481445
2021-03-18,24.93578338623047
2021-03-19,25.257095336914062
2021-03-22,25.350109100341797
2021-03-23,24.22550392150879
2021-03-24,24.174772262573242
2021-03-25,24.6229248046875
2021-03-26,24.859682083129883
2021-03-29,25.460033416748047
2021-03-30,25.033281326293945
2021-03-31,25.263729095458984
2021-04-01,25.741687774658203
2021-04-05,26.066022872924805
2021-04-06,25.955066680908203
2021-04-07,25.989206314086914
2021-04-08,25.827043533325195
2021-04-09,26.18551254272461
2021-04-12,26.680543899536133
2021-04-13,25.280799865722656
2021-04-14,25.400287628173828
2021-04-15,25.852643966674805
2021-04-16,25.647802352905273
2021-04-19,25.57952308654785
2021-04-20,24.828439712524414
2021-04-21,25.246654510498047
2021-04-22,24.469970703125
2021-04-23,25.110097885131836
2021-04-26,25.460033416748047
2021-04-27,25.451496124267578
2021-04-28,25.716081619262695
2021-04-29,26.117229461669922
2021-04-30,25.605127334594727
2021-05-03,25.827043533325195
2021-05-04,27.346277236938477
2021-05-05,28.737485885620117
2021-05-06,29.0020694732666
2021-05-07,29.104496002197266
2021-05-10,29.599533081054688
2021-05-11,28.83991241455078
2021-05-12,27.909589767456055
2021-05-13,29.08742332458496
2021-05-14,29.48004150390625
2021-05-17,29.53125
2021-05-18,28.677745819091797
2021-05-19,28.55825424194336
2021-05-20,28.35341453552246
2021-05-21,28.626535415649414
2021-05-24,28.5838623046875
2021-05-25,28.233924865722656
2021-05-26,28.421695709228516
2021-05-27,29.181304931640625
2021-05-28,29.198383331298828
2021-06-01,29.454429626464844
2021-06-02,29.85557746887207
2021-06-03,30.33354377746582
2021-06-04,30.504249572753906
2021-06-07,30.256731033325195
2021-06-08,29.975069046020508
2021-06-09,29.693418502807617
2021-06-10,29.39468765258789
2021-06-11,29.693418502807617
2021-06-14,28.950862884521484
2021-06-15,29.258129119873047
2021-06-16,28.882583618164062
2021-06-17,27.516979217529297
2021-06-18,26.825641632080078
2021-06-21,27.670608520507812
2021-06-22,27.474300384521484
2021-06-23,27.39748764038086
2021-06-24,27.764495849609375
2021-06-25,28.31927490234375
2021-06-28,27.773029327392578
2021-06-29,27.480318069458008
2021-06-30,27.54058265686035
2021-07-01,27.773027420043945
2021-07-02,27.506145477294922
2021-07-06,27.20482635498047
2021-07-07,27.643892288208008
2021-07-08,26.757152557373047
2021-07-09,27.678329467773438
2021-07-12,27.790245056152344
2021-07-13,26.430004119873047
2021-07-14,26.025375366210938
2021-07-15,25.990943908691406
2021-07-16,25.319427490234375
2021-07-19,24.604873657226562
2021-07-20,25.241947174072266
2021-07-21,25.75849151611328
2021-07-22,25.345258712768555
2021-07-23,25.2247314453125
2021-07-26,25.70684051513672
2021-07-27,25.345258712768555
2021-07-28,25.138641357421875
2021-07-29,25.65518569946289
2021-07-30,25.439956665039062
2021-08-02,25.62936019897461
2021-08-03,26.438613891601562
2021-08-04,26.34391212463379
2021-08-05,26.722715377807617
2021-08-06,27.256479263305664
2021-08-09,27.884946823120117
2021-08-10,28.255136489868164
2021-08-11,28.771684646606445
2021-08-12,28.56507110595703
2021-08-13,28.212093353271484
2021-08-16,28.091564178466797
2021-08-17,27.256479263305664
2021-08-18,26.696889877319336
2021-08-19,26.386959075927734
2021-08-20,26.80019760131836
2021-08-23,27.153175354003906
2021-08-24,27.60945701599121
2021-08-25,28.01408576965332
2021-08-26,27.66971778869629
2021-08-27,28.358448028564453
2021-08-30,27.91077423095703
2021-08-31,27.927995681762695
2021-09-01,27.78163719177246
2021-09-02,27.927995681762695
2021-09-03,27.549192428588867
2021-09-07,26.886289596557617
2021-09-08,26.946552276611328
2021-09-09,26.998210906982422
2021-09-10,26.963769912719727
2021-09-13,27.333965301513672
2021-09-14,26.963769912719727
2021-09-15,27.58363151550293
2021-09-16,27.26508903503418
2021-09-17,26.972381591796875
2021-09-20,25.62936019897461
2021-09-21,25.508827209472656
2021-09-22,26.309476852416992
2021-09-23,26.998210906982422
2021-09-24,27.256479263305664
2021-09-27,27.7127628326416
2021-09-28,26.645235061645508
2021-09-29,26.46279525756836
2021-09-30,25.81989860534668
2021-10-01,26.15003204345703
2021-10-04,25.672210693359375
2021-10-05,26.23691177368164
2021-10-06,26.445417404174805
2021-10-07,26.506229400634766
2021-10-08,26.10659408569336
2021-10-11,26.011028289794922
2021-10-12,25.098819732666016
2021-10-13,25.13357162475586
2021-10-14,26.184783935546875
2021-10-15,26.10659408569336
2021-10-18,25.86334228515625
2021-10-19,26.002342224121094
2021-10-20,26.454105377197266
2021-10-21,26.245595932006836
2021-10-22,26.697359085083008
2021-10-25,27.027488708496094
2021-10-26,26.97536849975586
2021-10-27,26.375913619995117
2021-10-28,27.13174819946289
2021-10-29,27.35762596130371
2021-11-01,30.53733253479004
2021-11-02,32.735321044921875
2021-11-03,32.361751556396484
2021-11-04,31.51036262512207
2021-11-05,31.171533584594727
2021-11-08,31.049909591674805
2021-11-09,31.03253746032715
2021-11-10,30.41570281982422
2021-11-11,30.824026107788086
2021-11-12,31.197595596313477
2021-11-15,31.049909591674805
2021-11-16,30.971717834472656
2021-11-17,30.407014846801758
2021-11-18,30.25063705444336
2021-11-19,30.129009246826172
2021-11-22,29.97262954711914
2021-11-23,30.137697219848633
2021-11-24,29.920503616333008
2021-11-26,28.79109764099121
2021-11-29,29.321054458618164
2021-11-30,28.148212432861328
2021-12-01,27.64432144165039
2021-12-02,28.356714248657227
2021-12-03,27.705137252807617
2021-12-06,28.08739471435547
2021-12-07,28.6520938873291
2021-12-08,28.973543167114258
2021-12-09,28.895353317260742
2021-12-10,29.581680297851562
2021-12-13,29.642494201660156
2021-12-14,29.30367660522461
2021-12-15,30.068199157714844
2021-12-16,29.677248001098633
2021-12-17,28.86060333251953
2021-12-20,27.92232894897461
2021-12-21,28.59996795654297
2021-12-22,28.55653190612793
2021-12-23,29.03435516357422
2021-12-27,29.581680297851562
2021-12-28,29.590370178222656
2021-12-29,29.40792465209961
2021-12-30,29.302772521972656
2021-12-31,29.346590042114258
2022-01-03,29.276487350463867
2022-01-04,29.98627281188965
2022-01-05,29.670814514160156
2022-01-06,29.881114959716797
2022-01-07,30.80997657775879
2022-01-10,30.599668502807617
2022-01-11,31.510995864868164
2022-01-12,30.77492332458496
2022-01-13,30.608430862426758
2022-01-14,30.906368255615234
2022-01-18,30.021320343017578
2022-01-19,29.635765075683594
2022-01-20,28.67185401916504
