,JBHT
2021-05-17,170.74017333984375
2021-05-18,168.1800994873047
2021-05-19,166.0951690673828
2021-05-20,164.67941284179688
2021-05-21,165.52304077148438
2021-05-24,165.91090393066406
2021-05-25,162.59445190429688
2021-05-26,164.31088256835938
2021-05-27,167.0455322265625
2021-05-28,166.34732055664062
2021-06-01,166.9291229248047
2021-06-02,164.94119262695312
2021-06-03,164.37876892089844
2021-06-04,162.02232360839844
2021-06-07,158.61859130859375
2021-06-08,160.48045349121094
2021-06-09,160.56771850585938
2021-06-10,159.2294921875
2021-06-11,160.24774169921875
2021-06-14,159.6270751953125
2021-06-15,161.7313995361328
2021-06-16,159.53012084960938
2021-06-17,153.82810974121094
2021-06-18,151.17103576660156
2021-06-21,154.85601806640625
2021-06-22,155.49603271484375
2021-06-23,154.4196319580078
2021-06-24,155.63180541992188
2021-06-25,157.09613037109375
2021-06-28,156.88275146484375
2021-06-29,156.76637268066406
2021-06-30,158.017333984375
2021-07-01,161.88658142089844
2021-07-02,160.305908203125
2021-07-06,158.08522033691406
2021-07-07,161.88658142089844
2021-07-08,157.39669799804688
2021-07-09,160.7616729736328
2021-07-12,160.44163513183594
2021-07-13,161.85748291015625
2021-07-14,164.49514770507812
2021-07-15,162.68173217773438
2021-07-16,159.95680236816406
2021-07-19,154.84634399414062
2021-07-20,159.36524963378906
2021-07-21,158.6767578125
2021-07-22,158.70582580566406
2021-07-23,162.18719482421875
2021-07-26,160.5386505126953
2021-07-27,160.3834686279297
2021-07-28,159.51072692871094
2021-07-29,162.34231567382812
2021-07-30,163.35084533691406
2021-08-02,162.4005126953125
2021-08-03,166.0369873046875
2021-08-04,162.5653533935547
2021-08-05,162.10874938964844
2021-08-06,162.2836456298828
2021-08-09,160.65159606933594
2021-08-10,162.35165405273438
2021-08-11,167.83070373535156
2021-08-12,168.20957946777344
2021-08-13,170.5994110107422
2021-08-16,171.76515197753906
2021-08-17,169.88050842285156
2021-08-18,168.30674743652344
2021-08-19,166.63583374023438
2021-08-20,169.5113525390625
2021-08-23,169.90965270996094
2021-08-24,169.09364318847656
2021-08-25,170.2108154296875
2021-08-26,169.95822143554688
2021-08-27,174.4366912841797
2021-08-30,177.49684143066406
2021-08-31,172.3383331298828
2021-09-01,174.02867126464844
2021-09-02,177.71055603027344
2021-09-03,175.91334533691406
2021-09-07,174.2035369873047
2021-09-08,172.095458984375
2021-09-09,167.83070373535156
2021-09-10,168.82162475585938
2021-09-13,166.80096435546875
2021-09-14,163.35227966308594
2021-09-15,167.08270263671875
2021-09-16,166.30552673339844
2021-09-17,163.90599060058594
2021-09-20,164.26544189453125
2021-09-21,165.81979370117188
2021-09-22,163.70199584960938
