,HCA
2015-11-02,65.3227767944336
2015-11-03,64.43309020996094
2015-11-04,64.31130981445312
2015-11-05,64.23639678955078
2015-11-06,65.52882385253906
2015-11-09,65.5381851196289
2015-11-10,65.63185119628906
2015-11-11,63.36542892456055
2015-11-12,60.977291107177734
2015-11-13,62.23223876953125
2015-11-16,62.934627532958984
2015-11-17,64.85453033447266
2015-11-18,65.75358581542969
2015-11-19,61.23951721191406
2015-11-20,63.140663146972656
2015-11-23,63.0844612121582
2015-11-24,64.61102294921875
2015-11-25,64.58292388916016
2015-11-27,65.04180908203125
2015-11-30,63.74007034301758
2015-12-01,66.64326477050781
2015-12-02,65.56627655029297
2015-12-03,63.103206634521484
2015-12-04,62.9814453125
2015-12-07,62.204158782958984
2015-12-08,62.9814453125
2015-12-09,63.103206634521484
2015-12-10,64.08656311035156
2015-12-11,62.091758728027344
2015-12-14,61.3050651550293
2015-12-15,61.49238586425781
2015-12-16,61.3050651550293
2015-12-17,60.630775451660156
2015-12-18,60.3779182434082
2015-12-21,63.31861877441406
2015-12-22,62.6161994934082
2015-12-23,65.1261215209961
2015-12-24,64.54544830322266
2015-12-28,63.72134017944336
2015-12-29,64.61102294921875
2015-12-30,64.09590911865234
2015-12-31,63.33734893798828
2016-01-04,62.0823974609375
2016-01-05,62.222877502441406
2016-01-06,61.792076110839844
2016-01-07,60.20933532714844
2016-01-08,60.19060516357422
2016-01-11,63.524658203125
2016-01-12,62.419559478759766
2016-01-13,60.82744216918945
2016-01-14,60.986663818359375
2016-01-15,60.19060516357422
2016-01-19,59.44138717651367
2016-01-20,58.842010498046875
2016-01-21,59.96584701538086
2016-01-22,61.642234802246094
2016-01-25,61.41745376586914
2016-01-26,62.70988082885742
2016-01-27,63.18749237060547
2016-01-28,63.224979400634766
2016-01-29,65.16357421875
2016-02-01,66.51216125488281
2016-02-02,67.39250183105469
2016-02-03,65.74421691894531
2016-02-04,65.67864990234375
2016-02-05,64.79833221435547
2016-02-08,62.53190994262695
2016-02-09,62.27907180786133
2016-02-10,63.02829360961914
2016-02-11,60.17189025878906
2016-02-12,61.82018280029297
2016-02-16,61.43619155883789
2016-02-17,62.794158935546875
2016-02-18,63.234317779541016
2016-02-19,63.328006744384766
2016-02-22,65.51009368896484
2016-02-23,65.4070816040039
2016-02-24,65.68803405761719
2016-02-25,65.55691528320312
2016-02-26,65.96900177001953
2016-02-29,64.8170394897461
2016-03-01,66.29678344726562
2016-03-02,66.77440643310547
2016-03-03,68.30094909667969
2016-03-04,68.36650085449219
2016-03-07,68.31031036376953
2016-03-08,66.95233917236328
2016-03-09,67.67347717285156
2016-03-10,67.61727142333984
2016-03-11,70.19270324707031
2016-03-14,69.97732543945312
2016-03-15,68.52568817138672
2016-03-16,69.7619400024414
2016-03-17,69.04080200195312
2016-03-18,70.67034912109375
2016-03-21,70.72655487060547
2016-03-22,72.262451171875
2016-03-23,72.06578063964844
2016-03-24,71.52259826660156
2016-03-28,71.58815002441406
2016-03-29,72.6370620727539
2016-03-30,73.14276885986328
2016-03-31,73.095947265625
2016-04-01,74.17295837402344
2016-04-04,73.73279571533203
2016-04-05,73.27388763427734
2016-04-06,74.07930755615234
2016-04-07,73.8358383178711
2016-04-08,74.11677551269531
2016-04-11,74.51949310302734
2016-04-12,74.71614837646484
2016-04-13,75.4841079711914
2016-04-14,75.59649658203125
2016-04-15,75.23124694824219
2016-04-18,75.74629974365234
2016-04-19,74.71614837646484
2016-04-20,75.02519226074219
2016-04-21,75.12823486328125
2016-04-22,75.77444458007812
2016-04-25,75.03459167480469
2016-04-26,76.02728271484375
2016-04-27,76.58920288085938
2016-04-28,76.75778198242188
2016-04-29,75.50285339355469
2016-05-02,76.0553970336914
2016-05-03,74.04186248779297
2016-05-04,74.73489379882812
2016-05-05,75.49346923828125
2016-05-06,75.76506042480469
2016-05-09,75.83998107910156
2016-05-10,75.79312896728516
2016-05-11,75.15631866455078
2016-05-12,72.75881958007812
2016-05-13,72.97421264648438
2016-05-16,72.87118530273438
2016-05-17,72.3654556274414
2016-05-18,71.71925354003906
2016-05-19,71.85037994384766
2016-05-20,72.2249984741211
2016-05-23,71.38213348388672
2016-05-24,72.6370620727539
2016-05-25,72.79627990722656
2016-05-26,72.2999038696289
2016-05-27,72.44977569580078
2016-05-31,73.06787109375
2016-06-01,73.3956527709961
2016-06-02,73.9669418334961
2016-06-03,73.18026733398438
2016-06-06,73.6766128540039
2016-06-07,74.21041870117188
2016-06-08,75.83998107910156
2016-06-09,75.8868179321289
2016-06-10,74.5007553100586
2016-06-13,73.00230407714844
2016-06-14,73.05850982666016
2016-06-15,72.87118530273438
2016-06-16,72.730712890625
2016-06-17,72.51531219482422
2016-06-20,73.58295440673828
2016-06-21,73.75152587890625
2016-06-22,74.2666244506836
2016-06-23,74.68804931640625
2016-06-24,71.85037994384766
2016-06-27,69.70574188232422
2016-06-28,71.11051940917969
2016-06-29,72.15943908691406
2016-06-30,72.1219711303711
2016-07-01,71.7942123413086
2016-07-05,71.27909851074219
2016-07-06,71.33529663085938
2016-07-07,72.10323333740234
2016-07-08,73.24580383300781
2016-07-11,73.19895935058594
2016-07-12,73.42375183105469
2016-07-13,74.5007553100586
2016-07-14,73.33946228027344
2016-07-15,73.71405792236328
2016-07-18,74.5007553100586
2016-07-19,74.32279968261719
2016-07-20,75.41854858398438
2016-07-21,75.51219177246094
2016-07-22,75.24999237060547
2016-07-25,74.6412124633789
2016-07-26,74.603759765625
2016-07-27,73.03040313720703
2016-07-28,72.9367446899414
2016-07-29,72.2343521118164
2016-08-01,70.72655487060547
2016-08-02,70.27703094482422
2016-08-03,70.90447998046875
2016-08-04,70.47368621826172
2016-08-05,71.02623748779297
2016-08-08,71.41020965576172
2016-08-09,71.30718994140625
2016-08-10,71.62561798095703
2016-08-11,72.2249984741211
2016-08-12,71.77545166015625
2016-08-15,72.50592041015625
2016-08-16,71.27909851074219
2016-08-17,69.32176208496094
2016-08-18,69.92115020751953
2016-08-19,69.7806625366211
2016-08-22,70.04289245605469
2016-08-23,70.21147155761719
2016-08-24,69.32176208496094
2016-08-25,70.25828552246094
2016-08-26,69.5465316772461
2016-08-29,70.20208740234375
2016-08-30,71.28844451904297
2016-08-31,70.75465393066406
2016-09-01,70.38938903808594
2016-09-02,71.6537094116211
2016-09-06,71.31655883789062
2016-09-07,73.17086791992188
2016-09-08,73.03040313720703
2016-09-09,71.11988830566406
2016-09-12,72.15943908691406
2016-09-13,71.325927734375
2016-09-14,70.36131286621094
2016-09-15,70.60478973388672
2016-09-16,70.51114654541016
2016-09-19,71.03559875488281
2016-09-20,70.19270324707031
2016-09-21,70.6516342163086
2016-09-22,71.53195190429688
2016-09-23,71.28844451904297
2016-09-26,70.15526580810547
2016-09-27,70.36131286621094
2016-09-28,70.64227294921875
2016-09-29,70.48303985595703
2016-09-30,70.82954406738281
2016-10-03,69.818115234375
2016-10-04,69.77128601074219
2016-10-05,69.99604034423828
2016-10-06,69.86492156982422
2016-10-07,69.5184326171875
2016-10-10,71.12924194335938
2016-10-11,70.95130920410156
2016-10-12,72.00958251953125
2016-10-13,75.19377136230469
2016-10-14,75.22189331054688
2016-10-17,75.28743743896484
2016-10-18,76.81397247314453
2016-10-19,76.63603973388672
2016-10-20,76.80461120605469
2016-10-21,76.55175018310547
2016-10-24,76.53301239013672
2016-10-25,75.82125091552734
2016-10-26,73.92008209228516
2016-10-27,74.2760009765625
2016-10-28,72.40292358398438
2016-10-31,71.67241668701172
2016-11-01,70.61415100097656
2016-11-02,70.33320617675781
2016-11-03,68.7504653930664
2016-11-04,70.5486068725586
2016-11-07,74.56631469726562
2016-11-08,75.74629974365234
2016-11-09,67.57981872558594
2016-11-10,67.48615264892578
2016-11-11,65.16357421875
2016-11-14,67.3737564086914
2016-11-15,69.30302429199219
2016-11-16,68.87222290039062
2016-11-17,69.92115020751953
2016-11-18,67.79521179199219
2016-11-21,68.31031036376953
2016-11-22,65.64120483398438
2016-11-23,66.4934310913086
2016-11-25,66.85868835449219
2016-11-28,65.96900177001953
2016-11-29,66.98045349121094
2016-11-30,66.39043426513672
2016-12-01,66.68074798583984
2016-12-02,65.84724426269531
2016-12-05,66.1000747680664
2016-12-06,66.68074798583984
2016-12-07,67.39250183105469
2016-12-08,67.93567657470703
2016-12-09,68.6006088256836
2016-12-12,69.27494049072266
2016-12-13,69.25617980957031
2016-12-14,68.43206024169922
2016-12-15,69.73383331298828
2016-12-16,69.452880859375
2016-12-19,68.83477020263672
2016-12-20,68.69429016113281
2016-12-21,68.85350036621094
2016-12-22,69.26557159423828
2016-12-23,69.73383331298828
2016-12-27,69.64952850341797
2016-12-28,68.89094543457031
2016-12-29,69.19999694824219
2016-12-30,69.32176208496094
2017-01-03,69.73383331298828
2017-01-04,72.2343521118164
2017-01-05,71.93465423583984
2017-01-06,71.7567138671875
2017-01-09,73.91073608398438
2017-01-10,73.30197143554688
2017-01-11,74.2760009765625
2017-01-12,74.0980453491211
2017-01-13,74.36026763916016
2017-01-17,75.79312896728516
2017-01-18,74.6693344116211
2017-01-19,73.62979888916016
2017-01-20,74.65059661865234
2017-01-23,74.77233123779297
2017-01-24,75.23124694824219
2017-01-25,75.45600891113281
2017-01-26,75.18440246582031
2017-01-27,74.47264099121094
2017-01-30,74.25724792480469
2017-01-31,75.18440246582031
2017-02-01,76.75778198242188
2017-02-02,77.06684112548828
2017-02-03,78.48097229003906
2017-02-06,77.42271423339844
2017-02-07,77.3477783203125
2017-02-08,77.73178100585938
2017-02-09,78.33113098144531
2017-02-10,78.32176971435547
2017-02-13,78.43415832519531
2017-02-14,78.3967056274414
2017-02-15,78.93987274169922
2017-02-16,78.79940032958984
2017-02-17,79.25830078125
2017-02-21,80.2978515625
2017-02-22,80.45706939697266
2017-02-23,80.96279907226562
2017-02-24,81.5434341430664
2017-02-27,82.2083511352539
2017-02-28,81.70264434814453
2017-03-01,82.45184326171875
2017-03-02,81.79630279541016
2017-03-03,82.9107666015625
2017-03-06,82.2083511352539
2017-03-07,81.1313705444336
2017-03-08,80.99089050292969
2017-03-09,81.37486267089844
2017-03-10,80.30721282958984
2017-03-13,79.59545135498047
2017-03-14,78.36859130859375
2017-03-15,80.11991119384766
2017-03-16,78.9024429321289
2017-03-17,79.22086334228516
2017-03-20,78.59336853027344
2017-03-21,77.37586975097656
2017-03-22,77.30096435546875
2017-03-23,77.89097595214844
2017-03-24,80.57880401611328
2017-03-27,84.74635314941406
2017-03-28,83.94093322753906
2017-03-29,83.52888488769531
2017-03-30,83.58506774902344
2017-03-31,83.3415756225586
2017-04-03,83.65999603271484
2017-04-04,82.10533905029297
2017-04-05,82.85457611083984
2017-04-06,83.08870697021484
2017-04-07,82.32077026367188
2017-04-10,82.64852905273438
2017-04-11,82.41439819335938
2017-04-12,82.6017074584961
2017-04-13,82.15216827392578
2017-04-17,80.21356201171875
2017-04-18,79.80150604248047
2017-04-19,79.2396011352539
2017-04-20,78.78070068359375
2017-04-21,78.24687194824219
2017-04-24,78.91178131103516
2017-04-25,79.2396011352539
2017-04-26,78.23749542236328
2017-04-27,78.14383697509766
2017-04-28,78.86494445800781
2017-05-01,78.53720092773438
2017-05-02,79.36131286621094
2017-05-03,77.59127807617188
2017-05-04,78.18131256103516
2017-05-05,78.20004272460938
2017-05-08,78.53720092773438
2017-05-09,78.7900390625
2017-05-10,80.12930297851562
2017-05-11,79.87640380859375
2017-05-12,79.2396011352539
2017-05-15,78.49972534179688
2017-05-16,78.190673828125
2017-05-17,76.39254760742188
2017-05-18,76.10221862792969
2017-05-19,76.93572235107422
2017-05-22,77.09494018554688
2017-05-23,76.72969055175781
2017-05-24,77.19793701171875
2017-05-25,77.83480072021484
2017-05-26,77.45081329345703
2017-05-30,76.78585815429688
2017-05-31,76.71094512939453
2017-06-01,78.43415832519531
2017-06-02,78.04083251953125
2017-06-05,77.16985321044922
2017-06-06,77.2447738647461
2017-06-07,77.43206787109375
2017-06-08,77.54446411132812
2017-06-09,78.26557159423828
2017-06-12,79.47371673583984
2017-06-13,79.46434783935547
2017-06-14,79.93258666992188
2017-06-15,78.6870346069336
2017-06-16,78.11576843261719
2017-06-19,79.2396011352539
2017-06-20,78.42481231689453
2017-06-21,78.7151107788086
2017-06-22,80.6724624633789
2017-06-23,80.76609802246094
2017-06-26,81.12200927734375
2017-06-27,80.55069732666016
2017-06-28,81.45913696289062
2017-06-29,81.29991912841797
2017-06-30,81.6651611328125
2017-07-03,81.65582275390625
2017-07-05,81.70264434814453
2017-07-06,79.44560241699219
2017-07-07,80.6724624633789
2017-07-10,80.42897033691406
2017-07-11,80.91596221923828
2017-07-12,80.96279907226562
2017-07-13,81.07518005371094
2017-07-14,81.1407241821289
2017-07-17,81.00961303710938
2017-07-18,80.41963195800781
2017-07-19,79.82022094726562
2017-07-20,80.31658935546875
2017-07-21,80.28852844238281
2017-07-24,80.62562561035156
2017-07-25,76.96381378173828
2017-07-26,76.4487075805664
2017-07-27,74.88470458984375
2017-07-28,75.33425903320312
2017-07-31,75.2406234741211
2017-08-01,74.24787902832031
2017-08-02,73.9669418334961
2017-08-03,73.94820404052734
2017-08-04,73.8639144897461
2017-08-07,73.50801086425781
2017-08-08,73.17086791992188
2017-08-09,72.97421264648438
2017-08-10,72.87118530273438
2017-08-11,74.33220672607422
2017-08-14,74.47264099121094
2017-08-15,74.21978759765625
2017-08-16,73.97628784179688
2017-08-17,72.85247802734375
2017-08-18,72.60897064208984
2017-08-21,73.29261779785156
2017-08-22,73.78899383544922
2017-08-23,73.89200592041016
2017-08-24,74.22916412353516
2017-08-25,74.46328735351562
2017-08-28,74.13552856445312
2017-08-29,72.66515350341797
2017-08-30,72.47785186767578
2017-08-31,73.66726684570312
