,MDLZ
2020-05-01,45.71800231933594
2020-05-04,45.14088821411133
2020-05-05,45.375335693359375
2020-05-06,45.21303176879883
2020-05-07,45.2310676574707
2020-05-08,45.898353576660156
2020-05-11,45.799163818359375
2020-05-12,45.44748306274414
2020-05-13,44.690025329589844
2020-05-14,44.653953552246094
2020-05-15,45.05072021484375
2020-05-18,45.96147918701172
2020-05-19,44.98759841918945
2020-05-20,44.861366271972656
2020-05-21,44.437538146972656
2020-05-22,44.81626892089844
2020-05-26,44.71708297729492
2020-05-27,45.40238571166992
2020-05-28,46.35823440551758
2020-05-29,46.99846267700195
2020-06-01,47.115692138671875
2020-06-02,47.088645935058594
2020-06-03,46.97142028808594
2020-06-04,46.250030517578125
2020-06-05,47.36818313598633
2020-06-08,48.342063903808594
2020-06-09,47.74691390991211
2020-06-10,47.89118957519531
2020-06-11,45.5647087097168
2020-06-12,45.745052337646484
2020-06-15,46.18690490722656
2020-06-16,47.413272857666016
2020-06-17,47.53049087524414
2020-06-18,47.87315368652344
2020-06-19,47.395233154296875
2020-06-22,47.205875396728516
2020-06-23,46.81812286376953
2020-06-24,45.66389465332031
2020-06-25,45.83523178100586
2020-06-26,45.1589241027832
2020-06-29,45.87084197998047
2020-06-30,46.369632720947266
2020-07-01,46.32429885864258
2020-07-02,46.69611740112305
2020-07-06,46.81401824951172
2020-07-07,46.70518493652344
2020-07-08,46.46939468383789
2020-07-09,45.580631256103516
2020-07-10,46.65076446533203
2020-07-13,46.841224670410156
2020-07-14,47.92949295043945
2020-07-15,47.67556381225586
2020-07-16,48.101810455322266
2020-07-17,49.035911560058594
2020-07-20,48.446434020996094
2020-07-21,49.008705139160156
2020-07-22,49.47121810913086
2020-07-23,49.7704963684082
2020-07-24,49.76142501831055
2020-07-27,50.40532684326172
2020-07-28,50.523216247558594
2020-07-29,51.50266647338867
2020-07-30,50.57762908935547
2020-07-31,50.32371139526367
2020-08-03,50.32371139526367
2020-08-04,50.40532684326172
2020-08-05,50.01535415649414
