,EQIX
2020-05-22,621.0758056640625
2020-05-26,609.943115234375
2020-05-27,626.1924438476562
2020-05-28,642.7015380859375
2020-05-29,646.6688232421875
2020-06-01,658.2928466796875
2020-06-02,645.7975463867188
2020-06-03,638.6600341796875
2020-06-04,616.58935546875
2020-06-05,624.3016357421875
2020-06-08,626.8414916992188
2020-06-09,640.7271118164062
2020-06-10,644.7223510742188
2020-06-11,612.4366455078125
2020-06-12,627.2123413085938
2020-06-15,643.79541015625
2020-06-16,646.2703247070312
2020-06-17,647.0118408203125
2020-06-18,645.6307373046875
2020-06-19,659.4607543945312
2020-06-22,646.2146606445312
2020-06-23,643.9436645507812
2020-06-24,639.2533569335938
2020-06-25,645.9366455078125
2020-06-26,636.388916015625
2020-06-29,638.59521484375
2020-06-30,650.9977416992188
2020-07-01,674.9779663085938
2020-07-02,665.9307861328125
2020-07-06,669.8798217773438
2020-07-07,668.3966674804688
2020-07-08,667.729248046875
2020-07-09,675.4600219726562
2020-07-10,664.2439575195312
2020-07-13,649.9039306640625
2020-07-14,664.5405883789062
2020-07-15,661.7318115234375
2020-07-16,661.9266357421875
2020-07-17,671.3258056640625
2020-07-20,678.3798217773438
2020-07-21,672.9479370117188
2020-07-22,681.7910766601562
2020-07-23,682.8756713867188
2020-07-24,683.5245361328125
2020-07-27,698.9210815429688
2020-07-28,697.5585327148438
2020-07-29,713.7523193359375
2020-07-30,721.1217041015625
2020-07-31,728.1014404296875
2020-08-03,722.2061767578125
2020-08-04,735.4708251953125
2020-08-05,736.0362548828125
2020-08-06,734.2008056640625
2020-08-07,733.8671875
2020-08-10,725.5617065429688
2020-08-11,702.7864990234375
2020-08-12,716.52392578125
2020-08-13,713.8637084960938
2020-08-14,706.3461303710938
2020-08-17,715.6804809570312
2020-08-18,731.8929443359375
2020-08-19,724.3217163085938
2020-08-20,730.0885009765625
2020-08-21,727.5399169921875
2020-08-24,718.5173950195312
2020-08-25,725.2518920898438
2020-08-26,727.3817749023438
2020-08-27,734.4974975585938
2020-08-28,732.0511474609375
2020-08-31,734.618408203125
2020-09-01,734.636962890625
2020-09-02,743.76171875
2020-09-03,709.197265625
2020-09-04,699.6445922851562
2020-09-08,689.2918090820312
2020-09-09,700.7978515625
2020-09-10,690.98486328125
2020-09-11,695.5611572265625
2020-09-14,703.2348022460938
2020-09-15,714.7781372070312
2020-09-16,713.7457275390625
2020-09-17,702.8721923828125
2020-09-18,699.5422973632812
2020-09-21,693.4776000976562
2020-09-22,697.61669921875
2020-09-23,679.6369018554688
2020-09-24,682.4832153320312
2020-09-25,698.8447265625
2020-09-28,711.3923950195312
2020-09-29,710.1367797851562
2020-09-30,707.0392456054688
2020-10-01,714.6851806640625
2020-10-02,723.6611938476562
2020-10-05,733.2045288085938
2020-10-06,735.5951538085938
2020-10-07,747.156982421875
2020-10-08,766.8204956054688
2020-10-09,771.4248046875
2020-10-12,776.6799926757812
2020-10-13,768.410888671875
2020-10-14,760.309326171875
2020-10-15,757.9189453125
2020-10-16,760.5790405273438
2020-10-19,753.426025390625
2020-10-20,748.7196044921875
2020-10-21,747.0639038085938
2020-10-22,723.2427368164062
2020-10-23,722.7589111328125
2020-10-26,716.6663818359375
2020-10-27,719.2986450195312
2020-10-28,703.2628784179688
2020-10-29,688.94775390625
2020-10-30,680.1671142578125
2020-11-02,686.7526245117188
2020-11-03,699.7376708984375
2020-11-04,723.0007934570312
2020-11-05,726.4981689453125
2020-11-06,738.9063720703125
2020-11-09,691.301025390625
2020-11-10,676.0093994140625
2020-11-11,707.7090454101562
2020-11-12,707.2066650390625
2020-11-13,707.6719360351562
2020-11-16,702.351318359375
2020-11-17,701.1843872070312
2020-11-18,685.4466552734375
2020-11-19,681.9649658203125
2020-11-20,679.6593627929688
2020-11-23,664.1082153320312
2020-11-24,646.2980346679688
2020-11-25,647.3807983398438
2020-11-27,653.8963012695312
2020-11-30,651.347900390625
2020-12-01,665.153564453125
2020-12-02,644.655029296875
2020-12-03,646.550048828125
2020-12-04,661.1864013671875
2020-12-07,651.1240234375
2020-12-08,649.005126953125
2020-12-09,633.2484130859375
2020-12-10,641.2667846679688
2020-12-11,643.0121459960938
2020-12-14,644.1043701171875
2020-12-15,649.3410034179688
2020-12-16,644.2537231445312
2020-12-17,665.302978515625
