,WMT
2017-04-24,21.74211311340332
2017-04-25,21.820613861083984
2017-04-26,21.931102752685547
2017-04-27,21.934001922607422
2017-04-28,21.85841178894043
2017-05-01,21.87295150756836
2017-05-02,21.957263946533203
2017-05-03,22.027042388916016
2017-05-04,22.195676803588867
2017-05-05,22.24219512939453
2017-05-08,22.1317138671875
2017-05-09,22.306161880493164
2017-05-10,22.449581146240234
2017-05-11,22.282747268676758
2017-05-12,22.159818649291992
2017-05-15,22.32957649230957
2017-05-16,21.984201431274414
2017-05-17,21.987125396728516
2017-05-18,22.695444107055664
2017-05-19,23.055458068847656
2017-05-22,22.991060256958008
2017-05-23,22.973506927490234
2017-05-24,22.873987197875977
2017-05-25,22.92081642150879
2017-05-26,22.86812973022461
2017-05-30,22.873987197875977
2017-05-31,23.00569725036621
2017-06-01,23.359859466552734
2017-06-02,23.304244995117188
2017-06-05,23.491565704345703
2017-06-06,23.10228729248047
2017-06-07,23.166677474975586
2017-06-08,23.10228729248047
2017-06-09,23.24570655822754
2017-06-12,23.193025588989258
2017-06-13,23.27497673034668
2017-06-14,23.386201858520508
2017-06-15,23.0964298248291
2017-06-16,22.022253036499023
2017-06-19,22.098356246948242
2017-06-20,22.110057830810547
2017-06-21,22.31494140625
2017-06-22,22.104198455810547
2017-06-23,21.905174255371094
2017-06-26,22.098356246948242
2017-06-27,22.247629165649414
2017-06-28,22.39397430419922
2017-06-29,22.224212646484375
2017-06-30,22.151037216186523
2017-07-03,22.057369232177734
2017-07-05,22.045665740966797
2017-07-06,22.089570999145508
2017-07-07,22.0485897064209
2017-07-10,21.433937072753906
2017-07-11,21.504188537597656
2017-07-12,21.64175033569336
2017-07-13,21.96663475036621
2017-07-14,22.34421157836914
2017-07-17,22.352994918823242
2017-07-18,22.303232192993164
2017-07-19,22.206647872924805
2017-07-20,22.250553131103516
2017-07-21,22.28860092163086
2017-07-24,22.505191802978516
2017-07-25,22.982280731201172
2017-07-26,23.093509674072266
2017-07-27,23.351072311401367
2017-07-28,23.359859466552734
2017-07-31,23.41254425048828
2017-08-01,23.561813354492188
2017-08-02,23.570600509643555
2017-08-03,23.670108795166016
2017-08-04,23.555965423583984
2017-08-07,23.790115356445312
2017-08-08,23.88085174560547
2017-08-09,24.036951065063477
2017-08-10,23.75714683532715
2017-08-11,23.68056869506836
2017-08-14,23.76892852783203
2017-08-15,23.789541244506836
2017-08-16,23.851396560668945
2017-08-17,23.474395751953125
2017-08-18,23.359529495239258
2017-08-21,23.477336883544922
2017-08-22,23.568645477294922
2017-08-23,23.55097198486328
2017-08-24,23.073827743530273
2017-08-25,23.159236907958984
2017-08-28,22.982526779174805
2017-08-29,23.20047378540039
2017-08-30,23.132732391357422
2017-08-31,22.994300842285156
2017-09-01,23.08266258239746
2017-09-05,23.503849029541016
2017-09-06,23.586318969726562
2017-09-07,23.598093032836914
2017-09-08,23.232873916625977
2017-09-11,23.29178810119629
2017-09-12,23.447891235351562
2017-09-13,23.521520614624023
2017-09-14,23.468502044677734
2017-09-15,23.674678802490234
2017-09-18,23.56275749206543
2017-09-19,23.577484130859375
2017-09-20,23.710018157958984
2017-09-21,23.565698623657227
2017-09-22,23.424325942993164
2017-09-25,23.31239891052246
2017-09-26,23.383087158203125
2017-09-27,23.353633880615234
2017-09-28,23.253496170043945
2017-09-29,23.01491928100586
2017-10-02,23.106229782104492
2017-10-03,23.3330135345459
2017-10-04,23.294723510742188
2017-10-05,23.388980865478516
2017-10-06,23.26822280883789
2017-10-09,23.71885871887207
2017-10-10,24.779176712036133
2017-10-11,25.25044059753418
2017-10-12,25.35941505432129
2017-10-13,25.512571334838867
2017-10-16,25.25338363647461
2017-10-17,25.32406997680664
2017-10-18,25.394756317138672
2017-10-19,25.447772979736328
2017-10-20,25.75409507751465
2017-10-23,26.110477447509766
2017-10-24,25.91313934326172
2017-10-25,26.060407638549805
2017-10-26,26.101640701293945
2017-10-27,25.969100952148438
2017-10-30,25.609771728515625
2017-10-31,25.715797424316406
2017-11-01,25.9013614654541
2017-11-02,26.1546573638916
2017-11-03,26.41384506225586
2017-11-06,26.125207901000977
2017-11-07,26.198833465576172
2017-11-08,26.584674835205078
2017-11-09,26.596460342407227
2017-11-10,26.779067993164062
2017-11-13,26.799686431884766
2017-11-14,26.829139709472656
2017-11-15,26.458019256591797
2017-11-16,29.34151840209961
2017-11-17,28.708274841308594
2017-11-20,28.711217880249023
2017-11-21,28.428457260131836
2017-11-22,28.396059036254883
2017-11-24,28.457918167114258
2017-11-27,28.457918167114258
2017-11-28,28.502094268798828
2017-11-29,28.734779357910156
2017-11-30,28.637582778930664
2017-12-01,28.672927856445312
2017-12-04,28.57278823852539
2017-12-05,28.814300537109375
2017-12-06,28.652311325073242
2017-12-07,28.65526580810547
2017-12-08,28.587173461914062
2017-12-11,28.69968032836914
2017-12-12,28.631580352783203
2017-12-13,28.9454345703125
2017-12-14,28.758899688720703
2017-12-15,28.75297737121582
2017-12-18,28.986888885498047
2017-12-19,29.253366470336914
2017-12-20,29.238563537597656
2017-12-21,29.034263610839844
2017-12-22,29.078670501708984
2017-12-26,29.359954833984375
2017-12-27,29.389558792114258
2017-12-28,29.431015014648438
2017-12-29,29.238563537597656
2018-01-02,29.19118881225586
2018-01-03,29.445819854736328
2018-01-04,29.47246742248535
2018-01-05,29.647165298461914
2018-01-08,30.085363388061523
2018-01-09,29.72414207458496
2018-01-10,29.510955810546875
2018-01-11,29.614593505859375
2018-01-12,29.866262435913086
2018-01-16,29.812963485717773
2018-01-17,30.408103942871094
2018-01-18,30.88184356689453
2018-01-19,30.96770668029785
2018-01-22,31.22234344482422
2018-01-23,31.355579376220703
2018-01-24,31.32301902770996
2018-01-25,31.56284523010254
2018-01-26,32.09282684326172
2018-01-29,32.4362907409668
2018-01-30,31.89742088317871
2018-01-31,31.56284523010254
2018-02-01,31.24306297302246
2018-02-02,30.935144424438477
2018-02-05,29.635318756103516
2018-02-06,29.875152587890625
