,EQR
2016-04-08,52.36980056762695
2016-04-11,51.214866638183594
2016-04-12,51.27153015136719
2016-04-13,49.996116638183594
2016-04-14,49.15294647216797
2016-04-15,50.22994613647461
2016-04-18,50.48504638671875
2016-04-19,50.839317321777344
2016-04-20,49.698516845703125
2016-04-21,49.4717903137207
2016-04-22,50.06698226928711
2016-04-25,50.49211120605469
2016-04-26,49.97487258911133
2016-04-27,48.71363067626953
2016-04-28,48.84824752807617
2016-04-29,48.231807708740234
2016-05-02,48.99705123901367
2016-05-03,49.053749084472656
2016-05-04,49.911094665527344
2016-05-05,50.11659622192383
2016-05-06,50.435455322265625
2016-05-09,50.931427001953125
2016-05-10,51.26446533203125
2016-05-11,49.50013732910156
2016-05-12,49.51430130004883
2016-05-13,49.0324821472168
2016-05-16,49.42219543457031
2016-05-17,48.29558563232422
2016-05-18,47.96963882446289
2016-05-19,47.34610366821289
2016-05-20,47.80667495727539
2016-05-23,47.856266021728516
2016-05-24,48.16804504394531
2016-05-25,48.77739334106445
2016-05-26,48.706539154052734
2016-05-27,48.6923713684082
2016-05-31,49.0395622253418
2016-06-01,47.02724838256836
2016-06-02,47.11936569213867
2016-06-03,46.0352668762207
2016-06-06,45.07870864868164
2016-06-07,45.46133041381836
2016-06-08,45.546348571777344
2016-06-09,45.67390060424805
2016-06-10,45.64555740356445
2016-06-13,45.51801300048828
2016-06-14,45.73767852783203
2016-06-15,46.43915557861328
2016-06-16,46.942222595214844
2016-06-17,46.63045883178711
2016-06-20,46.65169906616211
2016-06-21,46.765079498291016
2016-06-22,47.02724838256836
2016-06-23,47.18717575073242
2016-06-24,46.76593780517578
2016-06-27,47.101505279541016
2016-06-28,48.40095138549805
2016-06-29,48.55803680419922
2016-06-30,49.17920684814453
2016-07-01,49.26487350463867
2016-07-05,49.8217887878418
2016-07-06,49.42195510864258
2016-07-07,49.47906494140625
2016-07-08,50.335845947265625
2016-07-11,50.52863311767578
2016-07-12,50.70712661743164
2016-07-13,50.628604888916016
2016-07-14,50.30015182495117
2016-07-15,49.67184829711914
2016-07-18,49.850341796875
2016-07-19,50.48579788208008
2016-07-20,50.04311752319336
2016-07-21,49.94316101074219
2016-07-22,50.207340240478516
2016-07-25,50.093101501464844
2016-07-26,49.850341796875
2016-07-27,47.094364166259766
2016-07-28,47.729801177978516
2016-07-29,48.54376220703125
2016-08-01,48.807918548583984
2016-08-02,48.02968215942383
2016-08-03,47.13007736206055
2016-08-04,47.37996292114258
2016-08-05,48.001129150390625
2016-08-08,48.76508712768555
2016-08-09,49.00784683227539
2016-08-10,48.022552490234375
2016-08-11,47.36567306518555
2016-08-12,47.37996292114258
2016-08-15,47.50846862792969
2016-08-16,47.115787506103516
2016-08-17,47.308570861816406
2016-08-18,46.86589050292969
2016-08-19,46.68025207519531
2016-08-22,46.65169143676758
2016-08-23,46.44465255737305
2016-08-24,46.27329635620117
2016-08-25,46.84446716308594
2016-08-26,46.08765411376953
2016-08-29,46.41607666015625
2016-08-30,46.18046951293945
2016-08-31,46.31612014770508
2016-09-01,45.987693786621094
2016-09-02,46.1162109375
2016-09-06,46.40894317626953
2016-09-07,46.923011779785156
2016-09-08,45.987693786621094
2016-09-09,44.83817672729492
2016-09-12,45.559295654296875
2016-09-13,44.788204193115234
2016-09-14,45.41650390625
2016-09-15,45.951995849609375
2016-09-16,45.99483108520508
2016-09-19,46.50176239013672
2016-09-20,46.55888366699219
2016-09-21,47.13007736206055
2016-09-22,48.52800369262695
2016-09-23,48.58832550048828
2016-09-26,48.62602996826172
2016-09-27,48.69388961791992
2016-09-28,49.39510726928711
2016-09-29,48.58078384399414
2016-09-30,48.50538635253906
2016-10-03,47.57041931152344
2016-10-04,47.13309097290039
2016-10-05,46.30367660522461
2016-10-06,46.26597595214844
2016-10-07,45.84373474121094
2016-10-10,45.87389373779297
2016-10-11,45.617523193359375
2016-10-12,46.107635498046875
2016-10-13,46.107635498046875
2016-10-14,46.29613494873047
2016-10-17,46.25089645385742
2016-10-18,46.05486297607422
2016-10-19,46.17549514770508
2016-10-20,46.01715087890625
2016-10-21,46.01715087890625
2016-10-24,45.77585983276367
2016-10-25,45.519500732421875
2016-10-26,46.107635498046875
2016-10-27,45.12742233276367
2016-10-28,45.376251220703125
2016-10-31,46.56004333496094
2016-11-01,45.85880661010742
2016-11-02,45.896514892578125
2016-11-03,46.22073745727539
2016-11-04,46.43940734863281
2016-11-07,46.45448684692383
2016-11-08,47.17832565307617
2016-11-09,46.205657958984375
2016-11-10,45.22544860839844
2016-11-11,45.278221130371094
2016-11-14,45.994537353515625
2016-11-15,44.71271896362305
2016-11-16,45.187744140625
2016-11-17,44.47896957397461
2016-11-18,44.471439361572266
2016-11-21,44.34324645996094
2016-11-22,45.2857666015625
2016-11-23,44.64485168457031
2016-11-25,44.81074523925781
2016-11-28,45.22544860839844
2016-11-29,45.60999298095703
2016-11-30,45.24806213378906
2016-12-01,45.014312744140625
2016-12-02,45.617523193359375
2016-12-05,46.0623893737793
2016-12-06,46.590187072753906
2016-12-07,47.22356033325195
2016-12-08,47.42715072631836
2016-12-09,47.40452575683594
2016-12-12,47.51763153076172
2016-12-13,47.61565017700195
2016-12-14,47.344207763671875
2016-12-15,47.50254440307617
2016-12-16,48.29425048828125
2016-12-19,48.362117767333984
2016-12-20,48.565711975097656
2016-12-21,47.849388122558594
2016-12-22,47.86003112792969
2016-12-23,47.8448371887207
2016-12-27,48.027244567871094
2016-12-28,47.82202911376953
2016-12-29,48.39966583251953
2016-12-30,48.9164924621582
2017-01-03,48.36166763305664
2017-01-04,48.85569381713867
2017-01-05,49.51693344116211
2017-01-06,49.69174575805664
2017-01-09,49.00010681152344
2017-01-10,48.551673889160156
2017-01-11,48.11846160888672
2017-01-12,48.726478576660156
2017-01-13,48.179256439208984
2017-01-17,48.24766159057617
2017-01-18,48.338863372802734
2017-01-19,47.88283157348633
2017-01-20,48.15644836425781
2017-01-23,47.898040771484375
2017-01-24,47.34320831298828
2017-01-25,46.894779205322266
2017-01-26,46.75796890258789
2017-01-27,46.37794876098633
2017-01-30,46.134742736816406
2017-01-31,46.18793869018555
2017-02-01,45.52670669555664
2017-02-02,46.18033218383789
2017-02-03,45.891510009765625
2017-02-06,46.028324127197266
2017-02-07,46.10432434082031
2017-02-08,46.68195724487305
2017-02-09,46.67436599731445
2017-02-10,47.06959533691406
2017-02-13,47.229190826416016
2017-02-14,47.12279510498047
2017-02-15,46.86438751220703
2017-02-16,47.03158187866211
2017-02-17,46.80356979370117
2017-02-21,47.44200134277344
2017-02-22,47.06959533691406
2017-02-23,47.700416564941406
2017-02-24,47.71562957763672
2017-02-27,48.08045196533203
2017-02-28,47.93603515625
2017-03-01,47.898040771484375
2017-03-02,48.08045196533203
2017-03-03,47.36600112915039
2017-03-06,47.44200134277344
2017-03-07,47.54081726074219
2017-03-08,47.63201904296875
2017-03-09,47.221595764160156
2017-03-10,47.09238815307617
2017-03-13,47.556007385253906
2017-03-14,47.37360382080078
2017-03-15,48.20206069946289
2017-03-16,48.179256439208984
2017-03-17,48.209651947021484
2017-03-20,48.027244567871094
2017-03-21,47.87522888183594
2017-03-22,48.16404724121094
2017-03-23,48.38164138793945
2017-03-24,48.220741271972656
2017-03-27,47.65380096435547
2017-03-28,47.81468200683594
2017-03-29,47.722755432128906
2017-03-30,47.646148681640625
2017-03-31,47.66912078857422
2017-04-03,47.607826232910156
2017-04-04,47.7534065246582
2017-04-05,48.274375915527344
2017-04-06,48.190101623535156
2017-04-07,48.297367095947266
2017-04-10,48.64212417602539
2017-04-11,48.97156524658203
2017-04-12,48.603824615478516
2017-04-13,48.450584411621094
2017-04-17,49.11711883544922
2017-04-18,49.3316535949707
2017-04-19,49.2933235168457
2017-04-20,49.33930587768555
2017-04-21,49.247379302978516
2017-04-24,49.18608093261719
2017-04-25,49.74535369873047
2017-04-26,50.01350402832031
2017-04-27,49.438907623291016
2017-04-28,49.47721481323242
2017-05-01,49.66874694824219
2017-05-02,49.592140197753906
2017-05-03,48.97156524658203
2017-05-04,49.34696960449219
2017-05-05,50.174400329589844
2017-05-08,49.8143196105957
2017-05-09,49.676414489746094
2017-05-10,49.91391372680664
2017-05-11,49.65341567993164
2017-05-12,49.722381591796875
2017-05-15,49.676414489746094
2017-05-16,49.431243896484375
2017-05-17,49.2933235168457
2017-05-18,50.11309814453125
2017-05-19,50.220367431640625
2017-05-22,50.074806213378906
2017-05-23,49.74535369873047
2017-05-24,49.95221710205078
2017-05-25,49.852622985839844
2017-05-26,49.92923355102539
2017-05-30,50.036495208740234
2017-05-31,49.86794662475586
2017-06-01,49.74535369873047
2017-06-02,51.116756439208984
2017-06-05,51.65304183959961
2017-06-06,51.25465774536133
2017-06-07,51.40021514892578
2017-06-08,51.66836929321289
2017-06-09,51.81392288208008
2017-06-12,51.2929573059082
2017-06-13,51.41554260253906
2017-06-14,51.476844787597656
2017-06-15,51.92119598388672
2017-06-16,52.53410339355469
2017-06-19,52.19700622558594
2017-06-20,52.219993591308594
2017-06-21,52.105072021484375
2017-06-22,51.74536895751953
2017-06-23,51.876590728759766
2017-06-26,51.82257080078125
2017-06-27,51.25910949707031
2017-06-28,51.22823715209961
2017-06-29,51.17421340942383
2017-06-30,50.81143569946289
2017-07-03,51.38261032104492
2017-07-05,51.54469680786133
2017-07-06,50.085880279541016
2017-07-07,50.15534973144531
2017-07-10,49.96239471435547
2017-07-11,49.715389251708984
2017-07-12,50.20938491821289
2017-07-13,50.17850875854492
2017-07-14,50.525840759277344
2017-07-17,51.1356086730957
2017-07-18,50.98124694824219
2017-07-19,51.83799743652344
2017-07-20,51.83799743652344
2017-07-21,51.83799743652344
2017-07-24,51.44437026977539
2017-07-25,50.996681213378906
2017-07-26,51.99235916137695
2017-07-27,52.100433349609375
2017-07-28,52.26252746582031
2017-07-31,52.53266525268555
2017-08-01,52.36286926269531
2017-08-02,52.30111312866211
2017-08-03,51.946067810058594
2017-08-04,51.96149826049805
2017-08-07,51.89974594116211
2017-08-08,51.83027267456055
2017-08-09,51.984657287597656
2017-08-10,51.7762565612793
2017-08-11,51.699066162109375
2017-08-14,52.470924377441406
2017-08-15,52.72563934326172
2017-08-16,52.41690444946289
2017-08-17,52.21622085571289
2017-08-18,51.84571075439453
2017-08-21,52.308837890625
2017-08-22,52.285675048828125
2017-08-23,52.470924377441406
2017-08-24,52.463218688964844
