,CTSH
2020-02-24,62.75830078125
2020-02-25,60.02159118652344
2020-02-26,58.90455627441406
2020-02-27,58.01093292236328
2020-02-28,56.717044830322266
2020-03-02,57.089393615722656
2020-03-03,55.48831558227539
2020-03-04,57.871307373046875
2020-03-05,55.786197662353516
2020-03-06,54.213050842285156
2020-03-09,50.22898483276367
2020-03-10,51.923133850097656
2020-03-11,49.46568298339844
2020-03-12,45.59332275390625
2020-03-13,48.981632232666016
2020-03-16,40.56669235229492
2020-03-17,46.63588333129883
2020-03-18,44.187721252441406
2020-03-19,43.27549362182617
2020-03-20,41.050743103027344
2020-03-23,38.732913970947266
2020-03-24,43.20100784301758
2020-03-25,44.39251708984375
2020-03-26,46.375240325927734
2020-03-27,43.433738708496094
2020-03-30,44.103946685791016
2020-03-31,43.256874084472656
2020-04-01,39.570674896240234
2020-04-02,41.22760009765625
2020-04-03,40.39914321899414
2020-04-06,45.0999755859375
2020-04-07,44.494903564453125
2020-04-08,47.83667755126953
2020-04-09,50.52685546875
2020-04-13,49.05610275268555
2020-04-14,50.33137130737305
2020-04-15,48.34864807128906
2020-04-16,47.91115951538086
2020-04-17,50.08934783935547
2020-04-20,48.89784622192383
2020-04-21,47.46433639526367
2020-04-22,48.64653015136719
2020-04-23,49.00956344604492
2020-04-24,50.08934783935547
2020-04-27,52.165164947509766
2020-04-28,52.62127685546875
2020-04-29,55.134586334228516
2020-04-30,54.00824737548828
2020-05-01,52.59334945678711
2020-05-04,52.4909553527832
2020-05-05,53.18910217285156
2020-05-06,53.60798645019531
2020-05-07,54.69709396362305
2020-05-08,53.20772171020508
2020-05-11,51.70903778076172
2020-05-12,49.53083419799805
2020-05-13,46.05875015258789
2020-05-14,47.231624603271484
2020-05-15,46.71034240722656
2020-05-18,49.46568298339844
2020-05-19,48.11967086791992
2020-05-20,49.12917709350586
2020-05-21,48.362709045410156
2020-05-22,48.091636657714844
2020-05-26,49.783485412597656
2020-05-27,51.737060546875
2020-05-28,50.19476318359375
2020-05-29,49.540462493896484
2020-06-01,49.40024948120117
2020-06-02,49.82087326049805
2020-06-03,51.737060546875
2020-06-04,51.970741271972656
2020-06-05,54.045833587646484
2020-06-08,54.75623321533203
2020-06-09,53.45695495605469
2020-06-10,53.774757385253906
2020-06-11,50.157371520996094
2020-06-12,51.222965240478516
2020-06-15,51.10144805908203
2020-06-16,51.75575637817383
2020-06-17,51.867923736572266
2020-06-18,51.307090759277344
2020-06-19,50.62473678588867
2020-06-22,50.33497619628906
2020-06-23,51.59684371948242
2020-06-24,50.288238525390625
2020-06-25,51.961395263671875
2020-06-26,51.606204986572266
2020-06-29,52.80264663696289
2020-06-30,53.111106872558594
2020-07-01,52.73720932006836
2020-07-02,52.41940689086914
2020-07-06,52.58766174316406
2020-07-07,52.20442581176758
2020-07-08,52.0642204284668
2020-07-09,51.671627044677734
2020-07-10,52.13898849487305
2020-07-13,52.77461242675781
2020-07-14,52.78395462036133
2020-07-15,55.77507781982422
2020-07-16,57.06499099731445
2020-07-17,57.420196533203125
2020-07-20,57.68191909790039
2020-07-21,57.597782135009766
2020-07-22,57.91559600830078
2020-07-23,58.02775955200195
2020-07-24,57.766048431396484
2020-07-27,59.28964614868164
2020-07-28,58.55120849609375
2020-07-29,60.560874938964844
2020-07-30,64.66429901123047
2020-07-31,63.86044692993164
2020-08-03,63.59873580932617
2020-08-04,63.486568450927734
2020-08-05,63.02853775024414
2020-08-06,63.16876220703125
2020-08-07,63.075286865234375
2020-08-10,62.72943878173828
2020-08-11,62.18730545043945
2020-08-12,62.6079216003418
2020-08-13,62.53314208984375
2020-08-14,62.56118392944336
2020-08-17,63.13136291503906
2020-08-18,62.83225631713867
2020-08-19,62.52379608154297
2020-08-20,62.17680740356445
2020-08-21,61.632877349853516
2020-08-24,63.41472244262695
2020-08-25,62.777008056640625
2020-08-26,63.53663635253906
2020-08-27,63.2177848815918
2020-08-28,63.48035430908203
2020-08-31,62.70198059082031
2020-09-01,62.80513000488281
2020-09-02,64.54010772705078
2020-09-03,62.9458122253418
2020-09-04,62.65507507324219
2020-09-08,61.52033615112305
2020-09-09,62.279964447021484
2020-09-10,61.48282241821289
2020-09-11,63.93989181518555
2020-09-14,64.98086547851562
2020-09-15,65.76862335205078
2020-09-16,66.32193756103516
2020-09-17,65.75926208496094
2020-09-18,64.57760620117188
2020-09-21,63.19902801513672
2020-09-22,64.00553894042969
2020-09-23,62.917659759521484
2020-09-24,62.7394905090332
2020-09-25,63.84612274169922
2020-09-28,65.00897216796875
2020-09-29,64.7088851928711
2020-09-30,65.10276794433594
2020-10-01,65.01836395263672
2020-10-02,64.57760620117188
2020-10-05,66.51885986328125
2020-10-06,65.4872817993164
2020-10-07,67.74738311767578
2020-10-08,68.37574005126953
2020-10-09,68.53515625
2020-10-12,69.98875427246094
2020-10-13,68.66645812988281
2020-10-14,69.36042785644531
2020-10-15,69.13536071777344
2020-10-16,68.79776000976562
2020-10-19,67.70988464355469
2020-10-20,68.78836059570312
2020-10-21,68.35697174072266
2020-10-22,68.8165054321289
2020-10-23,69.51049041748047
2020-10-26,68.18817901611328
2020-10-27,68.82587432861328
2020-10-28,66.67828369140625
2020-10-29,66.603271484375
2020-10-30,66.97838592529297
2020-11-02,66.3969497680664
2020-11-03,67.46605682373047
2020-11-04,68.47888946533203
2020-11-05,69.6230239868164
2020-11-06,69.60425567626953
2020-11-09,69.285400390625
2020-11-10,70.42951965332031
2020-11-11,71.9863052368164
2020-11-12,71.4798812866211
2020-11-13,72.38956451416016
2020-11-16,72.96161651611328
2020-11-17,72.21137237548828
2020-11-18,70.25514221191406
2020-11-19,71.6658706665039
2020-11-20,71.38372802734375
2020-11-23,72.60637664794922
2020-11-24,74.06414794921875
2020-11-25,73.87605285644531
2020-11-27,73.74440002441406
2020-11-30,73.48104858398438
2020-12-01,73.97952270507812
2020-12-02,73.47162628173828
2020-12-03,74.07355499267578
2020-12-04,76.23670196533203
2020-12-07,75.73823547363281
2020-12-08,75.11751556396484
2020-12-09,74.30868530273438
2020-12-10,73.7161636352539
2020-12-11,73.83842468261719
2020-12-14,74.47796630859375
2020-12-15,75.73823547363281
2020-12-16,74.60023498535156
2020-12-17,76.86682891845703
2020-12-18,76.1990737915039
2020-12-21,75.68180847167969
2020-12-22,76.1990737915039
2020-12-23,76.17085266113281
2020-12-24,76.24610137939453
2020-12-28,76.52827453613281
2020-12-29,75.71002960205078
2020-12-30,76.24610137939453
2020-12-31,77.07372283935547
2021-01-04,74.69428253173828
2021-01-05,74.91060638427734
2021-01-06,75.38084411621094
2021-01-07,76.13325500488281
2021-01-08,77.07372283935547
2021-01-11,75.37142944335938
2021-01-12,74.90119171142578
2021-01-13,74.87297821044922
2021-01-14,75.28679656982422
2021-01-15,75.46548461914062
2021-01-19,75.0140609741211
2021-01-20,77.03611755371094
2021-01-21,76.06739807128906
2021-01-22,75.76644897460938
2021-01-25,75.26799011230469
2021-01-26,74.8165512084961
2021-01-27,71.6188735961914
2021-01-28,74.20523834228516
2021-01-29,73.3117446899414
2021-02-01,74.1488037109375
2021-02-02,75.28679656982422
2021-02-03,74.6190414428711
2021-02-04,70.24573516845703
2021-02-05,70.0670394897461
2021-02-08,71.33670043945312
2021-02-09,71.6282730102539
2021-02-10,71.51539611816406
2021-02-11,72.39006805419922
2021-02-12,72.38067626953125
2021-02-16,71.58123779296875
2021-02-17,72.10957336425781
2021-02-18,70.59058380126953
2021-02-19,69.47730255126953
2021-02-22,69.1093521118164
2021-02-23,68.76025390625
2021-02-24,70.69437408447266
2021-02-25,69.23199462890625
2021-02-26,69.32633972167969
2021-03-01,70.60002899169922
2021-03-02,70.71326446533203
2021-03-03,69.0244369506836
2021-03-04,68.3073959350586
2021-03-05,69.5433349609375
2021-03-08,68.58100128173828
2021-03-09,70.18489837646484
2021-03-10,71.7227554321289
2021-03-11,73.1568374633789
2021-03-12,73.37384033203125
2021-03-15,74.7890625
2021-03-16,73.6474380493164
2021-03-17,73.61912536621094
2021-03-18,72.08128356933594
2021-03-19,72.22279357910156
2021-03-22,72.39263916015625
2021-03-23,71.92090606689453
2021-03-24,72.59075164794922
2021-03-25,72.74169921875
2021-03-26,74.76073455810547
2021-03-29,73.6474380493164
2021-03-30,74.12860107421875
2021-03-31,73.70405578613281
2021-04-01,74.42109680175781
2021-04-05,75.78913879394531
2021-04-06,75.15699768066406
2021-04-07,74.7324447631836
2021-04-08,75.53439331054688
2021-04-09,75.99668884277344
2021-04-12,75.69477081298828
2021-04-13,75.89291381835938
2021-04-14,74.96830749511719
2021-04-15,75.26077270507812
2021-04-16,76.06273651123047
2021-04-19,75.85516357421875
2021-04-20,75.10983276367188
2021-04-21,74.7701644897461
2021-04-22,74.5720443725586
2021-04-23,74.24183654785156
2021-04-26,75.06265258789062
2021-04-27,75.42117309570312
2021-04-28,75.6476058959961
2021-04-29,76.76089477539062
2021-04-30,75.85516357421875
2021-05-03,77.55341339111328
2021-05-04,76.6571044921875
2021-05-05,76.85523986816406
2021-05-06,70.8736343383789
2021-05-07,70.59058380126953
2021-05-10,69.82638549804688
2021-05-11,68.53382110595703
2021-05-12,66.73179626464844
2021-05-13,67.26013946533203
2021-05-14,66.99595642089844
2021-05-17,66.64688110351562
2021-05-18,66.95822143554688
2021-05-19,66.96769714355469
2021-05-20,67.49783325195312
2021-05-21,67.4410171508789
2021-05-24,67.30850982666016
2021-05-25,67.21383666992188
2021-05-26,67.21383666992188
2021-05-27,67.32744598388672
2021-05-28,67.74396514892578
2021-06-01,67.39370727539062
2021-06-02,67.48836517333984
2021-06-03,67.02447509765625
2021-06-04,67.68714904785156
2021-06-07,67.49783325195312
