,EIX
2021-12-06,59.904144287109375
2021-12-07,59.09580612182617
2021-12-08,58.75315475463867
2021-12-09,58.43684387207031
2021-12-10,58.92008972167969
2021-12-13,58.76193618774414
2021-12-14,58.29627227783203
2021-12-15,59.13096237182617
2021-12-16,59.710845947265625
2021-12-17,58.60379409790039
2021-12-20,58.99037551879883
2021-12-21,59.0782470703125
2021-12-22,59.41211700439453
2021-12-23,59.45604705810547
2021-12-27,59.41211700439453
2021-12-28,59.92171859741211
2021-12-29,60.13258743286133
2021-12-30,60.0349235534668
2021-12-31,60.58531188964844
2022-01-03,59.92841720581055
2022-01-04,59.182735443115234
2022-01-05,57.87782669067383
2022-01-06,57.36296844482422
2022-01-07,57.700294494628906
2022-01-10,58.26841354370117
2022-01-11,57.132171630859375
2022-01-12,57.194305419921875
2022-01-13,56.874732971191406
2022-01-14,56.590675354003906
2022-01-18,56.590675354003906
2022-01-19,56.368751525878906
2022-01-20,56.26222229003906
2022-01-21,55.90714645385742
2022-01-24,55.276878356933594
2022-01-25,54.83303451538086
2022-01-26,55.134849548339844
2022-01-27,54.593353271484375
2022-01-28,55.05495834350586
2022-01-31,55.73847961425781
2022-02-01,54.744258880615234
2022-02-02,54.957313537597656
2022-02-03,54.4957160949707
2022-02-04,54.29153823852539
2022-02-07,54.646610260009766
2022-02-08,54.62886428833008
2022-02-09,54.83303451538086
2022-02-10,53.767799377441406
2022-02-11,53.48373031616211
2022-02-14,53.3150749206543
2022-02-15,53.11977005004883
2022-02-16,53.1907958984375
2022-02-17,53.48373031616211
2022-02-18,53.20854187011719
2022-02-22,53.33282470703125
2022-02-23,52.39186096191406
2022-02-24,52.51613998413086
2022-02-25,55.3478889465332
2022-02-28,56.29772186279297
2022-03-01,56.50190353393555
2022-03-02,57.24756622314453
2022-03-03,57.922218322753906
2022-03-04,58.224029541015625
2022-03-07,58.756656646728516
2022-03-08,57.851192474365234
2022-03-09,58.11750793457031
2022-03-10,58.374935150146484
2022-03-11,57.513877868652344
2022-03-14,57.36296844482422
2022-03-15,58.70338439941406
2022-03-16,58.86317443847656
2022-03-17,58.756656646728516
2022-03-18,57.38960266113281
2022-03-21,58.090885162353516
2022-03-22,58.534732818603516
2022-03-23,59.12060546875
2022-03-24,59.44017791748047
2022-03-25,61.06466293334961
2022-03-28,61.4374885559082
2022-03-29,61.89909744262695
2022-03-30,62.28467559814453
2022-03-31,62.85856246948242
2022-04-01,63.70146179199219
2022-04-04,63.48625564575195
2022-04-05,63.0289421081543
2022-04-06,64.14981842041016
2022-04-07,63.38760757446289
2022-04-08,64.5174560546875
2022-04-11,63.48625564575195
2022-04-12,64.45470428466797
2022-04-13,64.97476959228516
2022-04-14,64.41881561279297
2022-04-18,64.33811950683594
2022-04-19,64.39192199707031
2022-04-20,65.23482513427734
2022-04-21,65.19894409179688
2022-04-22,64.22154235839844
2022-04-25,63.90771484375
2022-04-26,62.97514724731445
2022-04-27,63.13654327392578
2022-04-28,63.48625564575195
2022-04-29,61.68389892578125
2022-05-02,60.894798278808594
2022-05-03,61.35211944580078
2022-05-04,63.091712951660156
2022-05-05,61.71078109741211
2022-05-06,63.03791809082031
2022-05-09,62.822696685791016
2022-05-10,60.51818084716797
2022-05-11,61.35211944580078
2022-05-12,58.15986633300781
2022-05-13,58.69789123535156
2022-05-16,59.711158752441406
2022-05-17,59.773929595947266
2022-05-18,59.0296745300293
2022-05-19,59.04759979248047
2022-05-20,59.04759979248047
2022-05-23,59.58560562133789
2022-05-24,61.04723358154297
