,WRB
2019-02-11,20.966007232666016
2019-02-12,21.06792449951172
2019-02-13,21.300495147705078
2019-02-14,21.125415802001953
2019-02-15,21.27174949645996
2019-02-19,21.418094635009766
2019-02-20,21.58272361755371
2019-02-21,21.535690307617188
2019-02-22,21.572275161743164
2019-02-25,21.357988357543945
2019-02-26,21.496490478515625
2019-02-27,21.702938079833984
2019-02-28,21.86234474182129
2019-03-01,22.040048599243164
2019-03-04,21.927677154541016
2019-03-05,21.90676498413086
2019-03-06,21.716001510620117
2019-03-07,21.6297664642334
2019-03-08,21.637605667114258
2019-03-11,21.69770622253418
2019-03-12,21.794401168823242
2019-03-13,21.68706512451172
2019-03-14,21.823196411132812
2019-03-15,21.896501541137695
2019-03-18,22.006452560424805
2019-03-19,21.749897003173828
2019-03-20,21.66874122619629
2019-03-21,21.980274200439453
2019-03-22,21.867708206176758
2019-03-25,21.980274200439453
2019-03-26,22.016925811767578
2019-03-27,22.15043830871582
2019-03-28,22.15043830871582
2019-03-29,22.179243087768555
2019-04-01,22.205419540405273
2019-04-02,22.134733200073242
2019-04-03,22.293115615844727
2019-04-04,22.332387924194336
2019-04-05,22.45412254333496
2019-04-08,22.406997680664062
2019-04-09,22.28526496887207
2019-04-10,22.332387924194336
2019-04-11,22.54836654663086
2019-04-12,22.756492614746094
2019-04-15,22.725078582763672
2019-04-16,23.023523330688477
2019-04-17,22.74471664428711
2019-04-18,22.913570404052734
2019-04-22,22.701519012451172
2019-04-23,22.964622497558594
2019-04-24,23.74608039855957
2019-04-25,23.804983139038086
2019-04-26,23.86388397216797
2019-04-29,23.852102279663086
2019-04-30,24.072011947631836
2019-05-01,24.064157485961914
2019-05-02,24.009180068969727
2019-05-03,24.150548934936523
2019-05-06,24.158403396606445
2019-05-07,23.938501358032227
2019-05-08,23.80891227722168
2019-05-09,23.81283187866211
2019-05-10,24.138769149780273
2019-05-13,23.95420265197754
2019-05-14,24.07594108581543
2019-05-15,24.17803382873535
2019-05-16,24.386167526245117
2019-05-17,24.26050567626953
2019-05-20,24.30370330810547
2019-05-21,24.350826263427734
2019-05-22,24.43721580505371
2019-05-23,24.181962966918945
2019-05-24,24.370458602905273
2019-05-28,24.2133846282959
2019-05-29,24.38224220275879
2019-05-30,24.350826263427734
2019-05-31,24.42543601989746
2019-06-03,24.60999870300293
2019-06-04,24.735658645629883
2019-06-05,25.049814224243164
2019-06-06,25.132280349731445
2019-06-07,25.254016876220703
2019-06-10,25.269725799560547
2019-06-11,25.167625427246094
2019-06-12,25.41109848022461
2019-06-13,25.473920822143555
2019-06-14,25.768436431884766
2019-06-17,25.76447868347168
2019-06-18,26.030052185058594
2019-06-19,26.31940460205078
2019-06-20,26.48191261291504
2019-06-21,26.509668350219727
2019-06-24,26.442279815673828
2019-06-25,26.458133697509766
2019-06-26,25.788259506225586
2019-06-27,25.788259506225586
2019-06-28,26.133102416992188
2019-07-01,26.32733154296875
2019-07-02,26.42245864868164
2019-07-03,26.695960998535156
2019-07-05,26.739566802978516
2019-07-08,26.688034057617188
2019-07-09,26.8703670501709
2019-07-10,26.8703670501709
2019-07-11,26.858476638793945
2019-07-12,26.902080535888672
2019-07-15,27.048738479614258
2019-07-16,27.108196258544922
2019-07-17,26.878292083740234
