,BWA
2016-09-21,26.427696228027344
2016-09-22,27.210683822631836
2016-09-23,27.202939987182617
2016-09-26,26.923852920532227
2016-09-27,26.73779296875
2016-09-28,26.970367431640625
2016-09-29,26.59050178527832
2016-09-30,27.272705078125
2016-10-03,27.28046226501465
2016-10-04,27.171924591064453
2016-10-05,28.14096450805664
2016-10-06,27.528533935546875
2016-10-07,27.668075561523438
2016-10-10,27.985923767089844
2016-10-11,27.567293167114258
2016-10-12,27.59830093383789
2016-10-13,26.776554107666016
2016-10-14,26.877336502075195
2016-10-17,26.481962203979492
2016-10-18,26.07884407043457
2016-10-19,27.040136337280273
2016-10-20,27.102153778076172
2016-10-21,26.970367431640625
2016-10-24,27.497528076171875
2016-10-25,27.094398498535156
2016-10-26,27.435501098632812
2016-10-27,27.474266052246094
2016-10-28,27.62156105041504
2016-10-31,27.784358978271484
2016-11-01,27.342477798461914
2016-11-02,26.947105407714844
2016-11-03,26.536231994628906
2016-11-04,26.427696228027344
2016-11-07,27.3037166595459
2016-11-08,27.419994354248047
2016-11-09,26.38118553161621
2016-11-10,27.288209915161133
2016-11-11,26.65251922607422
2016-11-14,26.528486251831055
2016-11-15,26.714536666870117
2016-11-16,26.73779296875
2016-11-17,27.427749633789062
2016-11-18,27.660320281982422
2016-11-21,28.03243637084961
2016-11-22,27.7611026763916
2016-11-23,27.435501098632812
2016-11-25,27.660320281982422
2016-11-28,27.435501098632812
2016-11-29,26.820636749267578
2016-11-30,27.707908630371094
2016-12-01,28.66524314880371
2016-12-02,28.073720932006836
2016-12-05,29.17892074584961
2016-12-06,30.478708267211914
2016-12-07,32.37779998779297
2016-12-08,32.40114212036133
2016-12-09,32.58015060424805
2016-12-12,31.988624572753906
2016-12-13,31.73178482055664
2016-12-14,30.595447540283203
2016-12-15,30.712194442749023
2016-12-16,30.930131912231445
2016-12-19,31.01573944091797
2016-12-20,31.428245544433594
2016-12-21,31.576120376586914
2016-12-22,30.844505310058594
2016-12-23,30.92234230041504
2016-12-27,31.210323333740234
2016-12-28,30.611013412475586
2016-12-29,30.73554801940918
2016-12-30,30.69662857055664
2017-01-03,31.186965942382812
2017-01-04,31.770700454711914
2017-01-05,31.73178482055664
2017-01-06,31.988624572753906
2017-01-09,31.770700454711914
2017-01-10,31.73178482055664
2017-01-11,31.22588348388672
2017-01-12,31.124704360961914
2017-01-13,31.365982055664062
2017-01-17,30.969045639038086
2017-01-18,30.961246490478516
2017-01-19,30.992395401000977
2017-01-20,31.02352523803711
2017-01-23,30.743328094482422
2017-01-24,31.467164993286133
2017-01-25,32.14427947998047
2017-01-26,31.739578247070312
2017-01-27,31.443803787231445
2017-01-30,31.568340301513672
2017-01-31,31.778484344482422
2017-02-01,31.934144973754883
2017-02-02,31.49828338623047
2017-02-03,31.599472045898438
2017-02-06,31.576120376586914
2017-02-07,31.210323333740234
2017-02-08,31.490507125854492
2017-02-09,31.638399124145508
2017-02-10,32.40114212036133
2017-02-13,32.43227005004883
2017-02-14,32.29996109008789
2017-02-15,32.619056701660156
2017-02-16,32.206546783447266
2017-02-17,32.98486328125
2017-02-21,33.17945861816406
2017-02-22,33.28841018676758
2017-02-23,33.05492401123047
2017-02-24,32.32330322265625
2017-02-27,33.15110397338867
2017-02-28,32.948062896728516
2017-03-01,33.572818756103516
2017-03-02,33.689964294433594
2017-03-03,33.54938888549805
2017-03-06,32.72159194946289
2017-03-07,32.55759811401367
2017-03-08,32.75282287597656
2017-03-09,32.456058502197266
2017-03-10,32.635684967041016
2017-03-13,33.276065826416016
2017-03-14,33.59625244140625
2017-03-15,34.32252883911133
2017-03-16,34.0882453918457
2017-03-17,33.3931999206543
2017-03-20,33.24481964111328
2017-03-21,31.89377784729004
2017-03-22,32.393592834472656
2017-03-23,32.1827278137207
2017-03-24,32.237403869628906
2017-03-27,32.174922943115234
2017-03-28,32.60444641113281
2017-03-29,32.74501419067383
2017-03-30,32.768455505371094
2017-03-31,32.635684967041016
2017-04-03,31.503318786621094
2017-04-04,30.214746475219727
2017-04-05,29.816469192504883
2017-04-06,29.668087005615234
2017-04-07,29.69932746887207
2017-04-10,29.675899505615234
2017-04-11,29.87112808227539
2017-04-12,30.136667251586914
2017-04-13,29.68370246887207
2017-04-17,30.253799438476562
2017-04-18,30.339702606201172
2017-04-19,30.964454650878906
2017-04-20,31.31588363647461
2017-04-21,30.85513687133789
2017-04-24,31.589218139648438
2017-04-25,31.89377784729004
2017-04-26,32.06558609008789
2017-04-27,32.90901565551758
2017-04-28,33.01835250854492
2017-05-01,33.4166374206543
2017-05-02,31.925025939941406
2017-05-03,32.018741607666016
2017-05-04,32.27643585205078
2017-05-05,32.58881378173828
2017-05-08,32.49510955810547
2017-05-09,32.72159194946289
2017-05-10,32.90901565551758
2017-05-11,32.666927337646484
2017-05-12,32.526344299316406
2017-05-15,32.8153076171875
2017-05-16,32.96367263793945
2017-05-17,31.190937042236328
2017-05-18,31.33930778503418
2017-05-19,31.550172805786133
2017-05-22,32.30769348144531
2017-05-23,31.878173828125
2017-05-24,32.05778121948242
2017-05-25,31.57360076904297
2017-05-26,32.01093673706055
2017-05-30,33.060977935791016
2017-05-31,33.311729431152344
2017-06-01,34.76144790649414
2017-06-02,34.69091033935547
2017-06-05,34.72225570678711
2017-06-06,34.4166374206543
2017-06-07,34.259918212890625
2017-06-08,33.24904251098633
2017-06-09,33.66436767578125
2017-06-12,34.21289825439453
2017-06-13,34.424476623535156
2017-06-14,33.8837776184082
2017-06-15,33.946475982666016
2017-06-16,32.12063217163086
2017-06-19,32.38706588745117
2017-06-20,31.916898727416992
2017-06-21,32.15198516845703
2017-06-22,32.018768310546875
2017-06-23,32.28519821166992
2017-06-26,32.81806182861328
2017-06-27,32.183326721191406
2017-06-28,32.261688232421875
2017-06-29,32.3165397644043
2017-06-30,33.19420623779297
2017-07-03,33.836769104003906
2017-07-05,33.836769104003906
2017-07-06,33.69571304321289
2017-07-07,34.549861907958984
2017-07-10,35.32564163208008
2017-07-11,35.678279876708984
2017-07-12,35.740966796875
2017-07-13,36.20330047607422
2017-07-14,36.25032424926758
2017-07-17,36.21897888183594
2017-07-18,36.195465087890625
2017-07-19,36.642127990722656
2017-07-20,36.2738151550293
2017-07-21,35.20027160644531
2017-07-24,35.04352951049805
2017-07-25,35.921207427978516
2017-07-26,35.93686294555664
2017-07-27,36.84587860107422
2017-07-28,36.759666442871094
2017-07-31,36.6264533996582
2017-08-01,35.91337203979492
2017-08-02,36.16412353515625
2017-08-03,35.95254135131836
2017-08-04,36.579437255859375
2017-08-07,36.438385009765625
2017-08-08,36.80669403076172
2017-08-09,36.46188735961914
2017-08-10,35.1845817565918
2017-08-11,34.99652862548828
2017-08-14,35.39616012573242
2017-08-15,35.458866119384766
2017-08-16,35.54505157470703
2017-08-17,34.95734405517578
2017-08-18,34.74577331542969
2017-08-21,34.96516799926758
2017-08-22,35.20811080932617
2017-08-23,35.03570556640625
2017-08-24,34.753604888916016
2017-08-25,34.604705810546875
2017-08-28,34.67523956298828
2017-08-29,34.76927185058594
