,PHM
2019-05-01,29.37723159790039
2019-05-02,29.762168884277344
2019-05-03,29.8372802734375
2019-05-06,29.799728393554688
2019-05-07,29.546226501464844
2019-05-08,29.180068969726562
2019-05-09,29.602567672729492
2019-05-10,29.611955642700195
2019-05-13,29.34907341003418
2019-05-14,30.109554290771484
2019-05-15,29.978111267089844
2019-05-16,30.35365867614746
2019-05-17,30.494487762451172
2019-05-20,29.91239356994629
2019-05-21,30.297330856323242
2019-05-22,30.156494140625
2019-05-23,29.658897399902344
2019-05-24,30.156494140625
2019-05-28,29.743389129638672
2019-05-29,29.34907341003418
2019-05-30,29.602567672729492
2019-05-31,29.10495948791504
2019-06-03,29.752788543701172
2019-06-04,29.987499237060547
2019-06-05,30.10016632080078
2019-06-06,29.865446090698242
2019-06-07,30.74797821044922
2019-06-10,30.729198455810547
2019-06-11,30.51326560974121
2019-06-12,30.194049835205078
2019-06-13,30.617990493774414
2019-06-14,30.947717666625977
2019-06-17,30.76873016357422
2019-06-18,30.994829177856445
2019-06-19,30.34478187561035
2019-06-20,30.834667205810547
2019-06-21,30.052738189697266
2019-06-24,30.28826141357422
2019-06-25,29.562849044799805
2019-06-26,29.355592727661133
2019-06-27,29.723003387451172
2019-06-28,29.788955688476562
2019-07-01,30.259994506835938
2019-07-02,30.58030891418457
2019-07-03,30.78756332397461
2019-07-05,30.09041976928711
2019-07-08,30.44841766357422
2019-07-09,30.137527465820312
2019-07-10,30.759305953979492
2019-07-11,30.79698944091797
2019-07-12,31.62603187561035
2019-07-15,31.220932006835938
2019-07-16,31.63545799255371
2019-07-17,31.541244506835938
2019-07-18,31.503568649291992
2019-07-19,31.305715560913086
2019-07-22,31.541244506835938
2019-07-23,28.912805557250977
2019-07-24,29.110647201538086
2019-07-25,30.015056610107422
2019-07-26,30.015056610107422
2019-07-29,29.647634506225586
2019-07-30,30.241153717041016
2019-07-31,29.685319900512695
2019-08-01,30.00563621520996
2019-08-02,29.525163650512695
2019-08-05,29.308486938476562
2019-08-06,29.1389102935791
2019-08-07,29.9962100982666
2019-08-08,30.627410888671875
2019-08-09,30.212890625
2019-08-12,29.65705680847168
2019-08-13,30.382469177246094
2019-08-14,29.82663345336914
2019-08-15,29.581693649291992
2019-08-16,30.212890625
2019-08-19,30.627410888671875
2019-08-20,30.759305953979492
2019-08-21,30.985408782958984
2019-08-22,31.239765167236328
2019-08-23,30.806413650512695
2019-08-26,31.26803207397461
2019-08-27,31.45644187927246
2019-08-28,31.48471450805664
2019-08-29,31.729660034179688
2019-08-30,31.84270668029785
2019-09-03,32.02171325683594
2019-09-04,32.46449279785156
2019-09-05,32.26665115356445
2019-09-06,32.56812286376953
2019-09-09,32.747108459472656
2019-09-10,32.276065826416016
2019-09-11,32.756534576416016
2019-09-12,33.03916549682617
2019-09-13,33.20874786376953
2019-09-16,33.16163635253906
2019-09-17,33.464054107666016
2019-09-18,32.991539001464844
2019-09-19,33.51130676269531
2019-09-20,33.71922302246094
2019-09-23,33.70030975341797
2019-09-24,34.04053497314453
2019-09-25,34.2011833190918
2019-09-26,34.191741943359375
2019-09-27,33.9460334777832
2019-09-30,34.54140853881836
2019-10-01,34.42799758911133
2019-10-02,34.22954177856445
2019-10-03,34.182281494140625
2019-10-04,35.05174255371094
2019-10-07,34.730411529541016
2019-10-08,34.60756301879883
2019-10-09,34.8721809387207
2019-10-10,34.919429779052734
