,SPGI
2017-06-05,134.90188598632812
2017-06-06,134.46282958984375
2017-06-07,136.40597534179688
2017-06-08,136.03233337402344
2017-06-09,137.1533966064453
2017-06-12,136.10708618164062
2017-06-13,136.8638153076172
2017-06-14,137.71395874023438
2017-06-15,138.67620849609375
2017-06-16,138.72286987304688
2017-06-19,139.5730438232422
2017-06-20,137.5364532470703
2017-06-21,135.66799926757812
2017-06-22,135.8175048828125
2017-06-23,137.05064392089844
2017-06-26,136.6488800048828
2017-06-27,136.48072814941406
2017-06-28,139.10589599609375
2017-06-29,136.43405151367188
2017-06-30,136.38735961914062
2017-07-03,136.13511657714844
2017-07-05,137.82603454589844
2017-07-06,136.72369384765625
2017-07-07,139.0030975341797
2017-07-10,139.01254272460938
2017-07-11,138.1717071533203
2017-07-12,139.61038208007812
2017-07-13,139.8065948486328
2017-07-14,139.63844299316406
2017-07-17,139.6758270263672
2017-07-18,140.01217651367188
2017-07-19,140.3110809326172
2017-07-20,141.17991638183594
2017-07-21,143.73031616210938
2017-07-24,144.60848999023438
2017-07-25,144.94480895996094
2017-07-26,144.41232299804688
2017-07-27,143.35662841796875
2017-07-28,143.3753204345703
2017-07-31,143.48741149902344
2017-08-01,144.45901489257812
2017-08-02,142.0207061767578
2017-08-03,141.9272918701172
2017-08-04,141.0958251953125
2017-08-07,141.0210418701172
2017-08-08,138.5267333984375
2017-08-09,140.8529052734375
2017-08-10,138.58273315429688
2017-08-11,138.64816284179688
2017-08-14,140.63803100585938
2017-08-15,141.534912109375
2017-08-16,142.25424194335938
2017-08-17,140.10557556152344
2017-08-18,140.2269744873047
2017-08-21,140.12420654296875
2017-08-22,142.78675842285156
2017-08-23,141.33871459960938
2017-08-24,141.87266540527344
2017-08-25,141.70404052734375
2017-08-28,142.37855529785156
2017-08-29,141.3761444091797
2017-08-30,143.8304901123047
2017-08-31,144.57054138183594
2017-09-01,143.9991455078125
2017-09-05,143.4932861328125
2017-09-06,141.6384735107422
2017-09-07,141.82583618164062
2017-09-08,142.32232666015625
2017-09-11,143.10919189453125
2017-09-12,143.88674926757812
2017-09-13,143.75559997558594
2017-09-14,143.9991455078125
2017-09-15,144.26141357421875
2017-09-18,144.6642303466797
2017-09-19,145.7696075439453
2017-09-20,145.97572326660156
2017-09-21,145.90077209472656
2017-09-22,146.90309143066406
2017-09-25,145.68527221679688
2017-09-26,145.26376342773438
2017-09-27,144.98272705078125
2017-09-28,145.6946258544922
2017-09-29,146.42535400390625
2017-10-02,147.55880737304688
2017-10-03,149.14193725585938
2017-10-04,149.50730895996094
2017-10-05,148.98269653320312
2017-10-06,148.4299774169922
2017-10-09,149.10447692871094
2017-10-10,148.75787353515625
2017-10-11,148.9452362060547
2017-10-12,150.93115234375
2017-10-13,151.58692932128906
2017-10-16,152.18641662597656
2017-10-17,151.45578002929688
2017-10-18,150.959228515625
2017-10-19,149.357421875
2017-10-20,151.3339385986328
2017-10-23,151.84913635253906
2017-10-24,151.6618194580078
2017-10-25,150.74383544921875
2017-10-26,154.56581115722656
2017-10-27,151.90538024902344
2017-10-30,146.36915588378906
2017-10-31,146.5752410888672
2017-11-01,146.6595458984375
2017-11-02,145.6665802001953
2017-11-03,148.65480041503906
2017-11-06,148.60800170898438
2017-11-07,149.0107879638672
2017-11-08,149.9381866455078
2017-11-09,147.92416381835938
2017-11-10,147.01551818847656
2017-11-13,148.03659057617188
2017-11-14,149.22628784179688
2017-11-15,148.77662658691406
2017-11-16,149.9756317138672
2017-11-17,150.43470764160156
2017-11-20,151.93350219726562
2017-11-21,153.3480224609375
2017-11-22,152.89833068847656
2017-11-24,153.76022338867188
2017-11-27,154.3893585205078
2017-11-28,155.73233032226562
2017-11-29,154.6992950439453
2017-11-30,155.4036102294922
2017-12-01,156.0515899658203
2017-12-04,157.26304626464844
2017-12-05,157.66688537597656
2017-12-06,158.3524169921875
2017-12-07,159.20704650878906
2017-12-08,160.78472900390625
2017-12-11,161.2449188232422
2017-12-12,162.0618896484375
2017-12-13,158.71868896484375
2017-12-14,157.38514709472656
2017-12-15,158.7562255859375
2017-12-18,160.5029296875
2017-12-19,161.52659606933594
2017-12-20,159.65777587890625
2017-12-21,158.50270080566406
2017-12-22,157.6105499267578
2017-12-26,157.22544860839844
2017-12-27,159.0849151611328
2017-12-28,159.50755310058594
2017-12-29,159.0849151611328
2018-01-02,157.8828582763672
2018-01-03,160.41845703125
2018-01-04,162.82257080078125
2018-01-05,165.00135803222656
2018-01-08,166.39120483398438
2018-01-09,166.44757080078125
2018-01-10,164.91677856445312
2018-01-11,165.65867614746094
2018-01-12,166.82318115234375
2018-01-16,165.12339782714844
2018-01-17,166.02491760253906
2018-01-18,167.7622833251953
2018-01-19,170.1100616455078
2018-01-22,171.0585479736328
2018-01-23,171.79103088378906
2018-01-24,171.96009826660156
2018-01-25,170.81439208984375
2018-01-26,172.60806274414062
2018-01-29,170.0161590576172
2018-01-30,169.35874938964844
2018-01-31,170.07249450683594
2018-02-01,170.91769409179688
2018-02-02,166.53207397460938
2018-02-05,156.23001098632812
2018-02-06,169.00192260742188
2018-02-07,171.565673828125
2018-02-08,162.75685119628906
2018-02-09,166.6916961669922
2018-02-12,169.37754821777344
2018-02-13,170.86134338378906
2018-02-14,174.7023162841797
2018-02-15,177.4163360595703
2018-02-16,177.75440979003906
2018-02-20,176.4584197998047
2018-02-21,176.15792846679688
2018-02-22,176.4114990234375
2018-02-23,180.47926330566406
2018-02-26,182.01406860351562
2018-02-27,181.86341857910156
2018-02-28,180.6016387939453
2018-03-01,178.4547576904297
2018-03-02,177.9839630126953
2018-03-05,179.25515747070312
2018-03-06,179.8389434814453
2018-03-07,178.62429809570312
2018-03-08,181.2607879638672
2018-03-09,183.57716369628906
2018-03-12,184.51878356933594
2018-03-13,184.45285034179688
2018-03-14,181.1477813720703
2018-03-15,181.45852661132812
2018-03-16,181.270263671875
2018-03-19,179.33050537109375
2018-03-20,184.22683715820312
2018-03-21,182.49429321289062
2018-03-22,178.0404510498047
2018-03-23,175.60171508789062
2018-03-26,180.11207580566406
