,IBM
2016-10-06,104.33386993408203
2016-10-07,103.52918243408203
2016-10-10,104.4269790649414
2016-10-11,102.94389343261719
2016-10-12,102.61138153076172
2016-10-13,102.23230743408203
2016-10-14,102.71776580810547
2016-10-17,102.93060302734375
2016-10-18,100.2371597290039
2016-10-19,100.59624481201172
2016-10-20,100.76918029785156
2016-10-21,99.51224517822266
2016-10-24,100.13739776611328
2016-10-25,100.34355163574219
2016-10-26,100.96208190917969
2016-10-27,101.9862289428711
2016-10-28,101.49410247802734
2016-10-31,102.21236419677734
2016-11-01,101.61383056640625
2016-11-02,101.0551528930664
2016-11-03,101.33448028564453
2016-11-04,101.3743896484375
2016-11-07,103.56240844726562
2016-11-08,104.13286590576172
2016-11-09,103.89128112792969
2016-11-10,107.52184295654297
2016-11-11,108.22650909423828
2016-11-14,106.17295837402344
2016-11-15,106.48163604736328
2016-11-16,106.89774322509766
2016-11-17,107.239990234375
2016-11-18,107.63591766357422
2016-11-21,109.23311614990234
2016-11-22,109.16602325439453
2016-11-23,108.70297241210938
2016-11-25,109.48139953613281
2016-11-28,110.40750122070312
2016-11-29,109.7431411743164
2016-11-30,108.864013671875
2016-12-01,107.25340270996094
2016-12-02,107.38762664794922
2016-12-05,107.26680755615234
2016-12-06,107.60910034179688
2016-12-07,110.58869171142578
2016-12-08,110.97124481201172
2016-12-09,111.74971008300781
2016-12-12,111.065185546875
2016-12-13,112.93753814697266
2016-12-14,113.08517456054688
2016-12-15,112.7563705444336
2016-12-16,111.89061737060547
2016-12-19,111.85707092285156
2016-12-20,112.47447204589844
2016-12-21,112.29329681396484
2016-12-22,112.11209106445312
2016-12-23,111.87720489501953
2016-12-27,112.165771484375
2016-12-28,111.52823638916016
2016-12-29,111.80338287353516
2016-12-30,111.39401245117188
2017-01-03,112.19934844970703
2017-01-04,113.58849334716797
2017-01-05,113.21265411376953
2017-01-06,113.76966094970703
2017-01-09,112.50804138183594
2017-01-10,111.07861328125
2017-01-11,112.57511901855469
2017-01-12,112.7093734741211
2017-01-13,112.29997253417969
2017-01-17,112.66909790039062
2017-01-18,111.93761444091797
2017-01-19,111.94429779052734
2017-01-20,114.45418548583984
2017-01-23,114.77627563476562
2017-01-24,118.04452514648438
2017-01-25,119.64839172363281
2017-01-26,119.8967056274414
2017-01-27,118.9840316772461
2017-01-30,117.97740173339844
2017-01-31,117.11843872070312
2017-02-01,116.96405029296875
2017-02-02,117.15866088867188
2017-02-03,117.99079895019531
2017-02-06,118.01766204833984
2017-02-07,119.76251983642578
2017-02-08,119.16050720214844
2017-02-09,119.86392974853516
2017-02-10,120.85826873779297
2017-02-13,121.31824493408203
2017-02-14,121.83900451660156
2017-02-15,122.88743591308594
2017-02-16,122.71835327148438
2017-02-17,122.20429992675781
2017-02-21,121.92697143554688
2017-02-22,122.52897644042969
2017-02-23,122.86715698242188
2017-02-24,122.6642074584961
2017-02-27,121.34523010253906
2017-02-28,121.62934112548828
2017-03-01,123.07008361816406
2017-03-02,122.10955810546875
2017-03-03,121.7849349975586
2017-03-06,122.06900024414062
2017-03-07,122.00811004638672
2017-03-08,121.37906646728516
2017-03-09,119.8436508178711
2017-03-10,120.2833251953125
2017-03-13,119.35665893554688
2017-03-14,118.85609436035156
2017-03-15,118.91699981689453
2017-03-16,119.88423919677734
2017-03-17,118.80879211425781
2017-03-20,118.84262084960938
2017-03-21,117.61156463623047
2017-03-22,118.2203369140625
2017-03-23,118.24736022949219
2017-03-24,117.57772827148438
2017-03-27,117.53717041015625
2017-03-28,118.03767395019531
2017-03-29,117.65218353271484
2017-03-30,117.59803009033203
2017-03-31,117.78742980957031
2017-04-03,118.03092193603516
2017-04-04,118.0444564819336
2017-04-05,116.93512725830078
2017-04-06,116.64429473876953
2017-04-07,116.43463134765625
2017-04-10,115.79879760742188
2017-04-11,115.37947845458984
2017-04-12,115.4335708618164
2017-04-13,114.66921997070312
2017-04-17,115.73118591308594
2017-04-18,115.02095794677734
2017-04-19,109.36629486083984
2017-04-20,109.77888488769531
2017-04-21,108.48020935058594
2017-04-24,108.73049926757812
2017-04-25,108.48699951171875
2017-04-26,108.2637939453125
2017-04-27,108.43963623046875
2017-04-28,108.41932678222656
2017-05-01,107.43858337402344
2017-05-02,107.61444854736328
2017-05-03,107.29653930664062
2017-05-04,107.58061981201172
2017-05-05,104.87504577636719
2017-05-08,104.5198974609375
2017-05-09,103.89152526855469
2017-05-10,103.30413055419922
2017-05-11,102.89431762695312
2017-05-12,102.7031021118164
2017-05-15,103.481689453125
2017-05-16,104.96381378173828
2017-05-17,103.08557891845703
2017-05-18,102.98313903808594
2017-05-19,103.802734375
2017-05-22,104.2535171508789
2017-05-23,103.83686828613281
2017-05-24,104.16471099853516
2017-05-25,104.63599395751953
2017-05-26,104.15104675292969
2017-05-30,103.63196563720703
2017-05-31,104.24667358398438
2017-06-01,104.27400970458984
2017-06-02,103.85053253173828
2017-06-05,104.09642028808594
2017-06-06,104.06910705566406
2017-06-07,103.11974334716797
2017-06-08,103.88465881347656
2017-06-09,105.25070190429688
2017-06-12,105.98833465576172
2017-06-13,105.35311889648438
2017-06-14,105.05261993408203
2017-06-15,105.33265686035156
2017-06-16,106.12495422363281
2017-06-19,105.7561264038086
2017-06-20,105.83124542236328
2017-06-21,105.0389633178711
2017-06-22,105.45559692382812
2017-06-23,105.25751495361328
2017-06-26,106.0224838256836
2017-06-27,105.69464874267578
2017-06-28,106.08396911621094
2017-06-29,105.27120971679688
2017-06-30,105.0662841796875
2017-07-03,106.26155853271484
2017-07-05,104.9570083618164
2017-07-06,104.06224822998047
2017-07-07,104.45838928222656
2017-07-10,104.7862548828125
2017-07-11,104.62915802001953
2017-07-12,104.97747039794922
2017-07-13,104.9296875
2017-07-14,105.34632873535156
2017-07-17,104.5062026977539
2017-07-18,105.18238830566406
2017-07-19,100.76338195800781
2017-07-20,100.85216522216797
2017-07-21,100.45600891113281
2017-07-24,99.71155548095703
2017-07-25,99.84813690185547
2017-07-26,99.2812728881836
2017-07-27,99.08317565917969
2017-07-28,98.55043029785156
2017-07-31,98.80996704101562
2017-08-01,99.24028015136719
2017-08-02,98.65973663330078
2017-08-03,98.99440002441406
2017-08-04,99.14464569091797
2017-08-07,97.99038696289062
2017-08-08,98.0870361328125
2017-08-09,97.85234069824219
2017-08-10,97.90064239501953
2017-08-11,97.90064239501953
2017-08-14,98.23194885253906
2017-08-15,98.05937957763672
2017-08-16,98.35620880126953
2017-08-17,97.1137924194336
2017-08-18,96.42357635498047
2017-08-21,96.85841369628906
2017-08-22,97.32776641845703
2017-08-23,98.10771179199219
2017-08-24,98.6598892211914
2017-08-25,99.2120590209961
2017-08-28,98.36309814453125
2017-08-29,98.79793548583984
2017-08-30,98.39761352539062
2017-08-31,98.72200775146484
2017-09-01,99.44673156738281
2017-09-05,98.72891235351562
2017-09-06,99.26726531982422
2017-09-07,98.63228607177734
2017-09-08,98.32166290283203
2017-09-11,99.98511505126953
2017-09-12,100.60631561279297
2017-09-13,100.76504516601562
2017-09-14,100.4544448852539
2017-09-15,99.95751190185547
