,ALB
2021-11-16,263.8359680175781
2021-11-17,264.726806640625
2021-11-18,265.95660400390625
2021-11-19,272.5120849609375
2021-11-22,274.8068542480469
2021-11-23,266.440673828125
2021-11-24,265.78228759765625
2021-11-26,258.39404296875
2021-11-29,267.1475830078125
2021-11-30,258.0454406738281
2021-12-01,251.61585998535156
2021-12-02,253.10704040527344
2021-12-03,243.5014190673828
2021-12-06,240.66424560546875
2021-12-07,251.3060302734375
2021-12-08,256.25408935546875
2021-12-09,249.31130981445312
2021-12-10,254.54017639160156
2021-12-13,240.916015625
2021-12-14,236.10353088378906
2021-12-15,232.1915283203125
2021-12-16,223.9668426513672
2021-12-17,222.948486328125
2021-12-20,211.56198120117188
2021-12-21,217.4007110595703
2021-12-22,218.4481658935547
2021-12-23,221.03781127929688
2021-12-27,226.08123779296875
2021-12-28,225.790283203125
2021-12-29,225.52842712402344
2021-12-30,227.29360961914062
2021-12-31,226.7310791015625
2022-01-03,229.54373168945312
2022-01-04,235.27577209472656
2022-01-05,228.54473876953125
2022-01-06,226.35281372070312
2022-01-07,228.913330078125
2022-01-10,220.13580322265625
2022-01-11,232.93833923339844
2022-01-12,233.8112335205078
2022-01-13,228.14710998535156
2022-01-14,226.63404846191406
2022-01-18,219.48597717285156
2022-01-19,213.07501220703125
2022-01-20,210.6114959716797
2022-01-21,206.34397888183594
2022-01-24,205.53895568847656
2022-01-25,199.80694580078125
2022-01-26,199.42868041992188
2022-01-27,199.244384765625
2022-01-28,200.02027893066406
2022-01-31,214.09339904785156
2022-02-01,218.41909790039062
2022-02-02,214.82083129882812
2022-02-03,208.5843963623047
2022-02-04,209.51548767089844
2022-02-07,213.16229248046875
2022-02-08,219.86424255371094
2022-02-09,229.31092834472656
2022-02-10,228.9326934814453
2022-02-11,223.93775939941406
2022-02-14,220.8244171142578
2022-02-15,234.1216278076172
2022-02-16,238.5928192138672
2022-02-17,191.08758544921875
2022-02-18,185.01609802246094
2022-02-22,186.0732879638672
2022-02-23,176.51988220214844
2022-02-24,178.65362548828125
2022-02-25,186.1702880859375
2022-02-28,189.99163818359375
2022-03-01,180.82618713378906
2022-03-02,185.36526489257812
2022-03-03,180.7195281982422
2022-03-04,173.6781005859375
2022-03-07,166.9082489013672
2022-03-08,175.29783630371094
2022-03-09,181.4954071044922
2022-03-10,182.6980743408203
2022-03-11,179.19676208496094
2022-03-14,170.98178100585938
2022-03-15,176.47137451171875
2022-03-16,185.49134826660156
2022-03-17,190.85134887695312
2022-03-18,192.66880798339844
2022-03-21,193.09642028808594
2022-03-22,199.82196044921875
2022-03-23,202.35862731933594
2022-03-24,208.13169860839844
2022-03-25,211.46530151367188
2022-03-28,208.31634521484375
2022-03-29,216.22760009765625
2022-03-30,216.87875366210938
2022-03-31,214.93496704101562
2022-04-01,218.59902954101562
2022-04-04,219.68756103515625
2022-04-05,211.1931610107422
2022-04-06,205.5270233154297
2022-04-07,205.8963165283203
2022-04-08,205.0702362060547
2022-04-11,200.21072387695312
2022-04-12,199.2582550048828
2022-04-13,206.52806091308594
2022-04-14,204.9633026123047
2022-04-18,203.777587890625
2022-04-19,212.019287109375
2022-04-20,211.08624267578125
2022-04-21,201.4158935546875
2022-04-22,195.00135803222656
2022-04-25,192.8826141357422
2022-04-26,182.4833221435547
2022-04-27,186.82769775390625
2022-04-28,189.77255249023438
2022-04-29,187.4108428955078
2022-05-02,186.04049682617188
2022-05-03,191.5802764892578
2022-05-04,209.41461181640625
2022-05-05,229.85357666015625
2022-05-06,235.59750366210938
2022-05-09,215.41119384765625
2022-05-10,215.2070770263672
2022-05-11,207.0431671142578
2022-05-12,207.45135498046875
2022-05-13,222.38941955566406
2022-05-16,219.95968627929688
2022-05-17,232.50686645507812
2022-05-18,229.3481903076172
2022-05-19,232.361083984375
2022-05-20,229.7952880859375
2022-05-23,236.1125946044922
2022-05-24,236.31668090820312
2022-05-25,230.83522033691406
2022-05-26,247.8822479248047
2022-05-27,263.3062438964844
2022-05-31,253.10137939453125
2022-06-01,233.37184143066406
2022-06-02,244.22792053222656
2022-06-03,243.71282958984375
2022-06-06,250.5452880859375
2022-06-07,250.64247131347656
2022-06-08,246.49246215820312
2022-06-09,235.35174560546875
2022-06-10,230.57229614257812
2022-06-13,216.31178283691406
2022-06-14,217.39230346679688
2022-06-15,209.3616180419922
2022-06-16,196.79486083984375
2022-06-17,206.40245056152344
2022-06-21,210.57839965820312
2022-06-22,210.4907684326172
2022-06-23,207.9404754638672
2022-06-24,218.81344604492188
2022-06-27,220.5948028564453
2022-06-28,217.25599670410156
2022-06-29,206.2564239501953
2022-06-30,203.42379760742188
2022-07-01,199.69561767578125
2022-07-05,195.10113525390625
2022-07-06,193.0277557373047
2022-07-07,197.60279846191406
2022-07-08,200.4549102783203
2022-07-11,194.50735473632812
2022-07-12,190.6136932373047
2022-07-13,190.78890991210938
2022-07-14,191.43138122558594
2022-07-15,195.3639373779297
2022-07-18,198.45941162109375
2022-07-19,205.8962860107422
2022-07-20,213.67384338378906
2022-07-21,219.60195922851562
2022-07-22,215.57200622558594
2022-07-25,221.51954650878906
2022-07-26,219.11524963378906
2022-07-27,228.0608673095703
