,IR
2022-04-18,46.47487258911133
2022-04-19,47.80072784423828
2022-04-20,49.20634078979492
2022-04-21,47.62129211425781
2022-04-22,45.7969856262207
2022-04-25,45.527828216552734
2022-04-26,43.67361831665039
2022-04-27,44.12221145629883
2022-04-28,44.93966293334961
2022-04-29,43.823150634765625
2022-05-02,44.411319732666016
2022-05-03,45.06925964355469
2022-05-04,46.843719482421875
2022-05-05,45.38826751708984
2022-05-06,43.66364288330078
2022-05-09,43.11536407470703
2022-05-10,42.22813415527344
2022-05-11,42.54713439941406
2022-05-12,42.79636001586914
2022-05-13,43.51411819458008
2022-05-16,43.2947998046875
2022-05-17,44.70041275024414
2022-05-18,43.49418258666992
2022-05-19,44.16239547729492
2022-05-20,44.83061599731445
2022-05-23,45.219581604003906
2022-05-24,44.920379638671875
2022-05-25,45.75814437866211
2022-05-26,47.21426773071289
2022-05-27,48.3612174987793
2022-05-31,47.024776458740234
2022-06-01,47.12451171875
2022-06-02,48.44101333618164
2022-06-03,48.72025680541992
2022-06-06,49.19899368286133
2022-06-07,50.26614761352539
2022-06-08,50.14645767211914
2022-06-09,48.470924377441406
2022-06-10,46.3166618347168
2022-06-13,44.06266021728515
2022-06-14,43.65375518798828
2022-06-15,44.44165802001953
2022-06-16,41.96824264526367
2022-06-17,41.13047409057617
2022-06-21,41.74882507324219
2022-06-22,41.64909362792969
2022-06-23,40.85121536254883
2022-06-24,43.21492385864258
2022-06-27,43.27476501464844
2022-06-28,42.69630432128906
2022-06-29,42.16770935058594
2022-06-30,41.96824264526367
2022-07-01,42.18766021728515
2022-07-05,41.3299446105957
2022-07-06,41.35985565185547
2022-07-07,43.035404205322266
2022-07-08,42.33725357055664
2022-07-11,41.8585319519043
2022-07-12,41.619171142578125
2022-07-13,40.72156524658203
2022-07-14,39.74415969848633
2022-07-15,40.8911018371582
2022-07-18,41.11052703857422
2022-07-19,43.15507507324219
2022-07-20,43.95295715332031
2022-07-21,44.84059143066406
2022-07-22,44.42171096801758
2022-07-25,44.2421875
2022-07-26,44.571311950683594
2022-07-27,46.73554229736328
2022-07-28,48.03209686279297
2022-07-29,49.6677360534668
2022-08-01,48.9995231628418
2022-08-02,48.57065963745117
2022-08-03,49.75749969482422
2022-08-04,49.64778900146485
2022-08-05,49.65776443481445
2022-08-08,49.867210388183594
2022-08-09,49.41840744018555
2022-08-10,51.173728942871094
2022-08-11,51.722267150878906
2022-08-12,53.457645416259766
2022-08-15,53.357913970947266
2022-08-16,53.84679412841797
2022-08-17,52.449989318847656
2022-08-18,52.459964752197266
2022-08-19,51.70170593261719
2022-08-22,49.4767951965332
2022-08-23,49.317161560058594
2022-08-24,49.546630859375
2022-08-25,50.69401168823242
2022-08-26,48.17976379394531
2022-08-29,47.74076843261719
2022-08-30,47.59110641479492
2022-08-31,47.261863708496094
2022-09-01,48.269554138183594
2022-09-02,47.63102340698242
2022-09-06,47.56117248535156
2022-09-07,48.61875534057617
2022-09-08,49.19743728637695
2022-09-09,50.11532974243164
2022-09-12,51.43231964111328
2022-09-13,49.44686508178711
2022-09-14,49.48677062988281
2022-09-15,49.19743728637695
2022-09-16,47.082271575927734
2022-09-19,48.34937286376953
2022-09-20,47.082271575927734
2022-09-21,46.044647216796875
2022-09-22,44.70771026611328
2022-09-23,43.96939849853515
2022-09-26,43.22110748291016
