,UNH
2017-08-18,170.80404663085938
2017-08-21,171.88714599609375
2017-08-22,174.35763549804688
2017-08-23,173.86529541015625
2017-08-24,174.32183837890625
2017-08-25,173.97276306152344
2017-08-28,174.6261749267578
2017-08-29,176.0941162109375
2017-08-30,175.333251953125
2017-08-31,178.0364990234375
2017-09-01,178.79736328125
2017-09-05,178.4034881591797
2017-09-06,177.571044921875
2017-09-07,178.05625915527344
2017-09-08,177.6788787841797
2017-09-11,179.32315063476562
2017-09-12,177.42733764648438
2017-09-13,178.1999969482422
2017-09-14,177.660888671875
2017-09-15,178.06524658203125
2017-09-18,178.07421875
2017-09-19,174.89352416992188
2017-09-20,175.88189697265625
2017-09-21,175.39666748046875
2017-09-22,173.43792724609375
2017-09-25,172.28785705566406
2017-09-26,173.1414337158203
2017-09-27,174.74981689453125
2017-09-28,176.19635009765625
2017-09-29,175.97174072265625
2017-10-02,177.40036010742188
2017-10-03,178.46954345703125
2017-10-04,180.13177490234375
2017-10-05,177.81362915039062
2017-10-06,177.95736694335938
2017-10-09,176.37600708007812
2017-10-10,174.9204559326172
2017-10-11,175.44163513183594
2017-10-12,173.33909606933594
2017-10-13,172.9796600341797
2017-10-16,173.5906982421875
2017-10-17,183.1956787109375
2017-10-18,184.39967346191406
2017-10-19,182.62069702148438
2017-10-20,186.43031311035156
2017-10-23,185.9989776611328
2017-10-24,187.02330017089844
2017-10-25,186.49317932128906
2017-10-26,187.92178344726562
2017-10-27,191.02163696289062
2017-10-30,188.13743591308594
2017-10-31,188.88320922851562
2017-11-01,188.2632598876953
2017-11-02,189.6738739013672
2017-11-03,191.2642364501953
2017-11-06,190.59034729003906
2017-11-07,191.1114959716797
2017-11-08,189.37738037109375
2017-11-09,190.08721923828125
2017-11-10,189.6468963623047
2017-11-13,191.0755615234375
2017-11-14,190.2220001220703
2017-11-15,188.55975341796875
2017-11-16,189.70083618164062
2017-11-17,188.59568786621094
2017-11-20,188.91012573242188
2017-11-21,191.02163696289062
2017-11-22,189.78170776367188
2017-11-24,190.94076538085938
2017-11-27,190.84194946289062
2017-11-28,194.2023468017578
2017-11-29,200.2582244873047
2017-11-30,205.70347595214844
2017-12-01,204.4503936767578
2017-12-04,199.61814880371094
2017-12-05,198.41912841796875
2017-12-06,198.283935546875
2017-12-07,198.4732208251953
2017-12-08,201.8629913330078
2017-12-11,200.8352508544922
2017-12-12,200.58282470703125
2017-12-13,202.25965881347656
2017-12-14,199.46490478515625
2017-12-15,199.978759765625
2017-12-18,200.7450714111328
2017-12-19,200.17710876464844
2017-12-20,200.48365783691406
2017-12-21,199.8616180419922
2017-12-22,198.33798217773438
2017-12-26,197.97732543945312
2017-12-27,198.71665954589844
2017-12-28,200.8352508544922
2017-12-29,198.75267028808594
2018-01-02,199.38372802734375
2018-01-03,201.47532653808594
2018-01-04,202.3497772216797
2018-01-05,206.2083740234375
2018-01-08,202.6292724609375
2018-01-09,203.6390380859375
2018-01-10,202.12442016601562
2018-01-11,203.197265625
2018-01-12,206.12721252441406
2018-01-16,209.96780395507812
2018-01-17,214.9532928466797
2018-01-18,219.2175750732422
2018-01-19,219.38882446289062
2018-01-22,219.5781707763672
2018-01-23,221.06568908691406
2018-01-24,220.74111938476562
2018-01-25,221.03863525390625
2018-01-26,224.0046844482422
2018-01-29,223.049072265625
2018-01-30,213.3485565185547
2018-01-31,213.4657440185547
2018-02-01,212.05935668945312
2018-02-02,209.04824829101562
2018-02-05,198.35601806640625
2018-02-06,203.00794982910156
2018-02-07,203.5849151611328
2018-02-08,195.1465301513672
2018-02-09,199.20346069335938
2018-02-12,203.4676971435547
2018-02-13,204.3241729736328
2018-02-14,206.25343322753906
2018-02-15,203.76524353027344
2018-02-16,206.78536987304688
2018-02-20,204.34217834472656
2018-02-21,202.96286010742188
2018-02-22,204.72984313964844
2018-02-23,207.49757385253906
2018-02-26,211.01353454589844
2018-02-27,209.62522888183594
2018-02-28,203.89144897460938
2018-03-01,202.3497772216797
2018-03-02,203.01690673828125
2018-03-05,205.89285278320312
2018-03-06,203.90945434570312
2018-03-07,204.89215087890625
2018-03-08,203.2730712890625
2018-03-09,203.9062042236328
2018-03-12,201.50018310546875
2018-03-13,205.27206420898438
2018-03-14,203.86099243164062
2018-03-15,207.5695037841797
2018-03-16,206.1042022705078
2018-03-19,203.56248474121094
2018-03-20,205.12734985351562
2018-03-21,201.54539489746094
2018-03-22,194.66200256347656
2018-03-23,192.2559814453125
2018-03-26,198.15347290039062
2018-03-27,197.14942932128906
2018-03-28,197.6378936767578
2018-03-29,193.5675506591797
2018-04-02,196.46197509765625
2018-04-03,203.1373291015625
2018-04-04,206.94540405273438
2018-04-05,207.19862365722656
2018-04-06,202.57656860351562
2018-04-09,201.46401977539062
2018-04-10,205.1363525390625
2018-04-11,200.71324157714844
2018-04-12,202.8297882080078
2018-04-13,202.8660430908203
2018-04-16,208.3292999267578
2018-04-17,215.77357482910156
2018-04-18,213.82879638671875
2018-04-19,213.24993896484375
2018-04-20,212.61672973632812
2018-04-23,211.96548461914062
2018-04-24,211.85696411132812
2018-04-25,212.47206115722656
2018-04-26,214.3986358642578
2018-04-27,217.24790954589844
2018-04-30,213.82879638671875
2018-05-01,214.23585510253906
2018-05-02,211.16954040527344
2018-05-03,211.79360961914062
2018-05-04,213.37652587890625
2018-05-07,211.458984375
2018-05-08,209.8760528564453
2018-05-09,207.3253173828125
2018-05-10,211.39564514160156
2018-05-11,215.52931213378906
2018-05-14,219.70819091796875
2018-05-15,216.63282775878906
2018-05-16,218.64085388183594
2018-05-17,219.76243591308594
2018-05-18,221.2820587158203
2018-05-21,224.23077392578125
2018-05-22,221.7705078125
2018-05-23,220.9383544921875
2018-05-24,219.55445861816406
2018-05-25,221.5625
2018-05-29,219.04788208007812
2018-05-30,221.55340576171875
2018-05-31,218.45089721679688
2018-06-01,220.11521911621094
2018-06-04,221.27301025390625
2018-06-05,221.0921173095703
2018-06-06,224.90921020507812
2018-06-07,225.2076873779297
2018-06-08,226.74533081054688
2018-06-11,229.54937744140625
2018-06-12,229.3684844970703
2018-06-13,228.72628784179688
2018-06-14,230.95138549804688
2018-06-15,232.3583221435547
2018-06-18,231.35081481933594
2018-06-19,229.67152404785156
2018-06-20,229.48089599609375
2018-06-21,228.64576721191406
2018-06-22,230.8968963623047
2018-06-25,227.57469177246094
2018-06-26,226.7213897705078
2018-06-27,225.26905822753906
2018-06-28,222.30081176757812
2018-06-29,222.70016479492188
2018-07-02,224.6427001953125
2018-07-03,224.18890380859375
2018-07-05,227.38406372070312
2018-07-06,227.62008666992188
2018-07-09,230.26150512695312
2018-07-10,231.95896911621094
2018-07-11,231.0966033935547
2018-07-12,232.421875
2018-07-13,234.82737731933594
2018-07-16,233.26609802246094
2018-07-17,227.1934051513672
2018-07-18,231.8500518798828
2018-07-19,229.58981323242188
2018-07-20,229.38101196289062
2018-07-23,229.4173126220703
2018-07-24,230.34320068359375
2018-07-25,231.34169006347656
2018-07-26,233.2842254638672
2018-07-27,232.3311309814453
2018-07-30,230.41580200195312
2018-07-31,229.8531036376953
2018-08-01,229.9891815185547
2018-08-02,232.44911193847656
2018-08-03,233.48391723632812
2018-08-06,233.06642150878906
2018-08-07,233.8742218017578
2018-08-08,234.92721557617188
2018-08-09,237.45065307617188
2018-08-10,236.33416748046875
2018-08-13,236.83340454101562
2018-08-14,239.16627502441406
2018-08-15,236.56112670898438
2018-08-16,238.82131958007812
2018-08-17,238.1223602294922
2018-08-20,238.18589782714844
2018-08-21,237.5414276123047
2018-08-22,236.67909240722656
2018-08-23,237.2964324951172
2018-08-24,239.89239501953125
2018-08-27,242.43409729003906
2018-08-28,243.73207092285156
2018-08-29,244.17691040039062
2018-08-30,243.62313842773438
2018-08-31,243.68670654296875
2018-09-04,243.73207092285156
2018-09-05,242.94236755371094
2018-09-06,245.5927734375
2018-09-07,244.34495544433594
2018-09-10,236.5577850341797
2018-09-11,237.7509765625
2018-09-12,239.23544311523438
2018-09-13,241.80389404296875
2018-09-14,241.63995361328125
2018-09-17,240.32838439941406
2018-09-18,239.80023193359375
2018-09-19,241.65818786621094
2018-09-20,242.62353515625
2018-09-21,242.878662109375
2018-09-24,243.5070037841797
2018-09-25,240.00059509277344
2018-09-26,239.4541015625
2018-09-27,241.038818359375
2018-09-28,242.30482482910156
2018-10-01,245.091796875
2018-10-02,246.48532104492188
2018-10-03,246.7312774658203
2018-10-04,244.38140869140625
2018-10-05,245.18296813964844
2018-10-08,245.0098419189453
2018-10-09,246.01171875
2018-10-10,239.60894775390625
2018-10-11,234.18060302734375
2018-10-12,236.448486328125
2018-10-15,237.0313720703125
2018-10-16,248.25222778320312
2018-10-17,243.45240783691406
2018-10-18,243.006103515625
2018-10-19,241.630859375
2018-10-22,238.7982940673828
2018-10-23,241.23013305664062
2018-10-24,233.45201110839844
2018-10-25,240.6654052734375
2018-10-26,235.14602661132812
2018-10-29,233.6341552734375
2018-10-30,235.2371368408203
2018-10-31,238.03323364257812
2018-11-01,237.6506805419922
2018-11-02,237.7235870361328
2018-11-05,237.7235870361328
2018-11-06,240.02786254882812
2018-11-07,250.12841796875
2018-11-08,251.96824645996094
2018-11-09,251.87710571289062
2018-11-12,248.07913208007812
2018-11-13,245.20115661621094
2018-11-14,241.3212127685547
2018-11-15,241.30299377441406
2018-11-16,246.92242431640625
2018-11-19,242.31396484375
2018-11-20,238.16986083984375
2018-11-21,237.30462646484375
2018-11-23,238.2791290283203
2018-11-26,242.4141082763672
2018-11-27,246.9589385986328
2018-11-28,255.8845672607422
2018-11-29,257.3418884277344
2018-11-30,257.0768127441406
2018-12-03,261.6179504394531
2018-12-04,254.50936889648438
2018-12-06,252.95611572265625
2018-12-07,245.94810485839844
2018-12-10,243.5268096923828
2018-12-11,244.1572723388672
2018-12-12,247.28204345703125
2018-12-13,248.661865234375
2018-12-14,242.1471405029297
2018-12-17,235.7969512939453
2018-12-18,231.13710021972656
2018-12-19,228.70672607421875
2018-12-20,221.5159454345703
2018-12-21,217.769775390625
2018-12-24,212.8358612060547
2018-12-26,222.34738159179688
2018-12-27,224.74127197265625
2018-12-28,224.9879608154297
2018-12-31,227.61940002441406
2019-01-02,222.47531127929688
2019-01-03,216.40841674804688
2019-01-04,218.93930053710938
2019-01-07,219.35960388183594
2019-01-08,222.29257202148438
2019-01-09,222.61236572265625
2019-01-10,223.73619079589844
2019-01-11,226.2945556640625
2019-01-14,226.65090942382812
2019-01-15,234.7005157470703
2019-01-16,238.8944091796875
2019-01-17,237.3502197265625
2019-01-18,242.58572387695312
2019-01-22,242.75930786132812
2019-01-23,243.97454833984375
2019-01-24,243.16134643554688
2019-01-25,244.91558837890625
2019-01-28,243.74612426757812
2019-01-29,244.26686096191406
2019-01-30,247.03538513183594
2019-01-31,246.88011169433594
2019-02-01,245.52783203125
2019-02-04,245.06178283691406
2019-02-05,243.3257293701172
2019-02-06,246.24049377441406
2019-02-07,245.78367614746094
2019-02-08,239.29638671875
2019-02-11,234.947265625
2019-02-12,240.7583465576172
2019-02-13,241.0323944091797
2019-02-14,242.430419921875
2019-02-15,247.72987365722656
2019-02-19,247.0718994140625
2019-02-20,246.24966430664062
2019-02-21,243.40805053710938
2019-02-22,244.05679321289062
2019-02-25,241.7633514404297
2019-02-26,240.28317260742188
2019-02-27,228.49656677246094
2019-02-28,221.31494140625
2019-03-01,224.90573120117188
2019-03-04,215.6500244140625
