,BA
2017-08-21,223.40040588378906
2017-08-22,227.2583770751953
2017-08-23,225.6848602294922
2017-08-24,226.3009796142578
2017-08-25,223.59947204589844
2017-08-28,224.82225036621094
2017-08-29,227.95980834960938
2017-08-30,227.93138122558594
2017-08-31,227.17306518554688
2017-09-01,227.80813598632812
2017-09-05,224.65164184570312
2017-09-06,222.39564514160156
2017-09-07,223.99758911132812
2017-09-08,226.33889770507812
2017-09-11,228.05458068847656
2017-09-12,228.0451202392578
2017-09-13,229.32476806640625
2017-09-14,232.4528350830078
2017-09-15,236.0264129638672
2017-09-18,239.8938446044922
2017-09-19,239.30615234375
2017-09-20,242.14981079101562
2017-09-21,242.69961547851562
2017-09-22,243.08824157714844
2017-09-25,241.06922912597656
2017-09-26,240.48150634765625
2017-09-27,241.97918701171875
2017-09-28,241.0218505859375
2017-09-29,240.96495056152344
2017-10-02,242.65220642089844
2017-10-03,242.14981079101562
2017-10-04,242.4342041015625
2017-10-05,245.40113830566406
2017-10-06,245.10723876953125
2017-10-09,244.92718505859375
2017-10-10,247.33480834960938
2017-10-11,247.8182373046875
2017-10-12,248.26376342773438
2017-10-13,247.15469360351562
2017-10-16,246.21630859375
2017-10-17,245.14517211914062
2017-10-18,246.49124145507812
2017-10-19,245.54327392578125
2017-10-20,250.955810546875
2017-10-23,248.65237426757812
2017-10-24,252.14060974121094
2017-10-25,244.9556121826172
2017-10-26,245.7612762451172
2017-10-27,243.09771728515625
2017-10-30,245.7423553466797
2017-10-31,244.53851318359375
2017-11-01,245.0314178466797
2017-11-02,248.9462432861328
2017-11-03,248.11212158203125
2017-11-06,250.31121826171875
2017-11-07,252.26385498046875
2017-11-08,251.7331085205078
2017-11-09,250.35125732421875
2017-11-10,248.5882110595703
2017-11-13,250.0843963623047
2017-11-14,249.45545959472656
2017-11-15,250.5037384033203
2017-11-16,251.30422973632812
2017-11-17,249.93191528320312
2017-11-20,252.1905059814453
2017-11-21,254.43954467773438
2017-11-22,252.68606567382812
2017-11-24,253.38177490234375
2017-11-27,253.09580993652344
2017-11-28,255.39254760742188
2017-11-29,256.6410217285156
2017-11-30,263.7884521484375
2017-12-01,258.6232604980469
2017-12-04,264.9034118652344
2017-12-05,262.5876770019531
2017-12-06,265.1893310546875
2017-12-07,268.7153625488281
2017-12-08,272.460693359375
2017-12-11,269.8494873046875
2017-12-12,276.3108215332031
2017-12-13,278.1214294433594
2017-12-14,280.0655212402344
2017-12-15,280.12274169921875
2017-12-18,282.2193298339844
2017-12-19,283.2771301269531
2017-12-20,283.8965759277344
2017-12-21,281.1614685058594
2017-12-22,281.22821044921875
2017-12-26,281.4759826660156
2017-12-27,281.7237548828125
2017-12-28,282.41943359375
2017-12-29,281.0471496582031
2018-01-02,282.88641357421875
2018-01-03,283.80126953125
2018-01-04,282.7243957519531
2018-01-05,294.3223571777344
2018-01-08,295.57073974609375
2018-01-09,303.4615173339844
2018-01-10,305.2055358886719
2018-01-11,312.6960144042969
2018-01-12,320.40570068359375
2018-01-16,319.40509033203125
2018-01-17,334.510009765625
2018-01-18,324.1700744628906
2018-01-19,321.85430908203125
2018-01-22,322.11163330078125
2018-01-23,319.8148193359375
2018-01-24,318.9571838378906
2018-01-25,326.9813537597656
2018-01-26,327.0862121582031
2018-01-29,324.7990417480469
2018-01-30,321.8352355957031
2018-01-31,337.7121276855469
2018-02-01,340.1612548828125
2018-02-02,332.5087585449219
2018-02-05,313.4202880859375
2018-02-06,324.88482666015625
2018-02-07,331.755859375
2018-02-08,315.71441650390625
2018-02-09,318.7503356933594
2018-02-12,329.2562561035156
2018-02-13,328.6433410644531
2018-02-14,330.26190185546875
2018-02-15,341.3807373046875
2018-02-16,340.02081298828125
2018-02-20,338.4023132324219
2018-02-21,337.4637756347656
2018-02-22,340.86358642578125
2018-02-23,341.572265625
2018-02-26,348.1037902832031
2018-02-27,349.2147216796875
2018-02-28,346.8874816894531
2018-03-01,334.8971252441406
2018-03-02,330.0895080566406
2018-03-05,337.8276672363281
2018-03-06,334.1596984863281
2018-03-07,332.3592529296875
2018-03-08,333.97772216796875
2018-03-09,339.5227966308594
2018-03-12,329.6298522949219
2018-03-13,324.3433532714844
2018-03-14,316.2890625
2018-03-15,316.0209045410156
2018-03-16,316.49017333984375
2018-03-19,317.72564697265625
2018-03-20,323.3473205566406
2018-03-21,322.8397521972656
2018-03-22,306.089599609375
2018-03-23,307.4207763671875
2018-03-26,315.0536804199219
2018-03-27,307.5357360839844
2018-03-28,306.4822082519531
2018-03-29,314.009765625
2018-04-02,308.7998962402344
2018-04-03,316.82537841796875
2018-04-04,313.58837890625
2018-04-05,322.1693420410156
2018-04-06,312.32415771484375
2018-04-09,308.83819580078125
2018-04-10,320.6657409667969
2018-04-11,313.5117492675781
2018-04-12,323.2036437988281
2018-04-13,315.3505554199219
2018-04-16,317.7351989746094
2018-04-17,322.47576904296875
2018-04-18,326.5747375488281
2018-04-19,326.2299499511719
2018-04-20,324.3433532714844
2018-04-23,324.5060729980469
2018-04-24,315.1398010253906
2018-04-25,328.35601806640625
2018-04-26,328.2890319824219
2018-04-27,326.4598083496094
2018-04-30,319.449462890625
2018-05-01,315.5995788574219
2018-05-02,310.475830078125
2018-05-03,316.70086669921875
2018-05-04,320.2826232910156
2018-05-07,326.02880859375
2018-05-08,324.05596923828125
2018-05-09,329.9266357421875
2018-05-10,331.1586608886719
2018-05-11,329.6090393066406
2018-05-14,331.65911865234375
2018-05-15,329.2817687988281
2018-05-16,328.1749267578125
2018-05-17,331.22601318359375
2018-05-18,338.0499267578125
2018-05-21,350.2637634277344
2018-05-22,341.6977233886719
2018-05-23,345.73046875
2018-05-24,345.52838134765625
2018-05-25,346.5774230957031
2018-05-29,339.2530517578125
2018-05-30,344.748779296875
2018-05-31,338.945068359375
2018-06-01,343.3339538574219
2018-06-04,347.1934814453125
2018-06-05,346.5871276855469
2018-06-06,357.6170654296875
2018-06-07,354.7007751464844
2018-06-08,355.63433837890625
2018-06-11,357.02032470703125
2018-06-12,356.71234130859375
2018-06-13,350.1963806152344
2018-06-14,348.820068359375
2018-06-15,344.45037841796875
2018-06-18,341.42822265625
2018-06-19,328.3193359375
2018-06-20,329.8304443359375
2018-06-21,324.9891662597656
2018-06-22,326.19232177734375
2018-06-25,318.7716064453125
2018-06-26,318.8678283691406
2018-06-27,317.4433898925781
2018-06-28,322.0921325683594
2018-06-29,322.9198913574219
2018-07-02,323.46844482421875
2018-07-03,320.4366455078125
2018-07-05,320.67730712890625
2018-07-06,322.0824890136719
2018-07-09,329.0893249511719
2018-07-10,334.1326599121094
2018-07-11,327.81884765625
2018-07-12,333.04510498046875
2018-07-13,337.6264953613281
2018-07-16,342.73724365234375
2018-07-17,343.48797607421875
2018-07-18,346.71221923828125
2018-07-19,341.9961242675781
2018-07-20,341.58221435546875
2018-07-23,340.01336669921875
2018-07-24,344.82574462890625
2018-07-25,342.5639953613281
2018-07-26,345.83636474609375
2018-07-27,347.116455078125
2018-07-30,337.8863220214844
2018-07-31,342.9296875
2018-08-01,339.52252197265625
2018-08-02,336.6062927246094
2018-08-03,335.3646545410156
2018-08-06,333.5648498535156
2018-08-07,337.5976257324219
2018-08-08,334.7294006347656
2018-08-09,332.4563903808594
2018-08-10,328.2876281738281
2018-08-13,327.27203369140625
2018-08-14,328.0265197753906
2018-08-15,320.8883972167969
2018-08-16,334.6423645019531
2018-08-17,335.048583984375
2018-08-20,339.246337890625
2018-08-21,342.17706298828125
2018-08-22,338.5596618652344
2018-08-23,336.0932312011719
2018-08-24,337.93096923828125
2018-08-27,342.1480712890625
2018-08-28,339.70098876953125
2018-08-29,338.71441650390625
2018-08-30,335.53216552734375
2018-08-31,331.556884765625
2018-09-04,334.90350341796875
2018-09-05,335.3194274902344
2018-09-06,339.7590026855469
2018-09-07,337.8342590332031
2018-09-10,330.6573486328125
2018-09-11,333.9362487792969
2018-09-12,341.8288879394531
2018-09-13,343.81170654296875
2018-09-14,348.00946044921875
2018-09-17,344.2953186035156
2018-09-18,351.6656188964844
2018-09-19,353.25189208984375
2018-09-20,355.41845703125
2018-09-21,360.03216552734375
2018-09-24,355.93109130859375
2018-09-25,355.196044921875
2018-09-26,353.068115234375
2018-09-27,355.3507385253906
2018-09-28,359.71295166015625
2018-10-01,369.7624816894531
2018-10-02,373.70880126953125
2018-10-03,379.4444885253906
2018-10-04,377.2101745605469
2018-10-05,373.8055114746094
2018-10-08,373.12847900390625
2018-10-09,372.8092956542969
2018-10-10,355.42816162109375
2018-10-11,346.37481689453125
2018-10-12,348.309326171875
2018-10-15,347.1196594238281
2018-10-16,356.1826171875
2018-10-17,353.5227355957031
2018-10-18,347.5742492675781
2018-10-19,344.5855407714844
2018-10-22,344.3146667480469
2018-10-23,338.5789794921875
2018-10-24,343.0282287597656
2018-10-25,351.8493957519531
2018-10-26,347.49688720703125
2018-10-29,324.59283447265625
2018-10-30,338.4435729980469
2018-10-31,343.2313537597656
2018-11-01,351.17230224609375
2018-11-02,346.02667236328125
2018-11-05,350.1180725097656
2018-11-06,354.4609069824219
2018-11-07,359.82904052734375
2018-11-08,360.2760314941406
2018-11-09,358.8865051269531
2018-11-12,346.9249267578125
2018-11-13,339.6177673339844
2018-11-14,334.9632873535156
2018-11-15,331.9024963378906
2018-11-16,326.4415588378906
2018-11-19,311.8563537597656
2018-11-20,308.7080993652344
2018-11-21,308.3388366699219
2018-11-23,303.4803466796875
2018-11-26,307.406005859375
2018-11-27,309.0287780761719
2018-11-28,324.06085205078125
2018-11-29,332.8644714355469
2018-11-30,336.94561767578125
2018-12-03,349.77197265625
2018-12-04,332.8061218261719
2018-12-06,322.50616455078125
2018-12-07,314.07183837890625
2018-12-10,317.1132507324219
2018-12-11,312.9155578613281
2018-12-12,317.44366455078125
2018-12-13,316.2581787109375
2018-12-14,309.7283630371094
2018-12-17,307.1825256347656
2018-12-18,318.7748718261719
2018-12-19,310.5057067871094
2018-12-20,304.189697265625
2018-12-21,295.9302673339844
2018-12-24,285.8343200683594
2018-12-26,305.0447998046875
2018-12-27,308.1639709472656
2018-12-28,307.4254455566406
2018-12-31,313.3721923828125
2019-01-02,314.6451110839844
2019-01-03,302.10052490234375
2019-01-04,317.82257080078125
2019-01-07,318.82342529296875
2019-01-08,330.8919372558594
2019-01-09,334.0984802246094
2019-01-10,342.6300048828125
2019-01-11,342.91180419921875
2019-01-14,340.4436950683594
2019-01-15,342.2704772949219
2019-01-16,342.0955810546875
2019-01-17,348.9266357421875
2019-01-18,354.406982421875
2019-01-22,347.770263671875
2019-01-23,348.460205078125
2019-01-24,348.12982177734375
2019-01-25,353.8919982910156
2019-01-28,352.69677734375
2019-01-29,354.5818786621094
2019-01-30,376.7463073730469
2019-01-31,374.7057189941406
2019-02-01,376.4645080566406
2019-02-04,385.763671875
2019-02-05,398.570556640625
2019-02-06,399.4742431640625
2019-02-07,395.6802673339844
2019-02-08,395.4263610839844
2019-02-11,394.4888610839844
2019-02-12,401.10028076171875
2019-02-13,400.96356201171875
2019-02-14,400.22137451171875
2019-02-15,408.18048095703125
2019-02-19,406.5105285644531
2019-02-20,411.6766357421875
2019-02-21,407.79962158203125
2019-02-22,414.1180725097656
2019-02-25,416.8720397949219
2019-02-26,416.77435302734375
2019-02-27,425.2413024902344
2019-02-28,429.6554260253906
2019-03-01,430.29998779296875
2019-03-04,422.5556945800781
2019-03-05,420.0458679199219
2019-03-06,414.5184631347656
2019-03-07,412.6629638671875
2019-03-08,412.6434631347656
2019-03-11,390.6411437988281
2019-03-12,366.6173095703125
2019-03-13,368.3067626953125
2019-03-14,364.5567321777344
2019-03-15,370.1134338378906
2019-03-18,363.56060791015625
2019-03-19,364.68365478515625
2019-03-20,367.3497314453125
2019-03-21,363.9707946777344
2019-03-22,353.68743896484375
2019-03-25,361.7832336425781
2019-03-26,361.7051086425781
2019-03-27,365.4454345703125
2019-03-28,365.6700134277344
2019-03-29,372.486572265625
2019-04-01,382.3695068359375
2019-04-02,381.5980224609375
2019-04-03,375.728759765625
2019-04-04,386.58831787109375
2019-04-05,382.7503662109375
2019-04-08,365.7481384277344
