,TFX
2019-12-12,348.2489013671875
2019-12-13,351.599853515625
2019-12-16,355.9084167480469
2019-12-17,358.7808837890625
2019-12-18,362.2393798828125
2019-12-19,364.8186950683594
2019-12-20,364.2422180175781
2019-12-23,365.6978759765625
2019-12-24,365.3755187988281
2019-12-26,364.1933288574219
2019-12-27,363.4215393066406
2019-12-30,362.84515380859375
2019-12-31,367.7789001464844
2020-01-02,369.78173828125
2020-01-03,366.0007629394531
2020-01-06,370.2702331542969
2020-01-07,369.70355224609375
2020-01-08,370.7294006347656
2020-01-09,370.6806640625
2020-01-10,369.98687744140625
2020-01-13,369.47894287109375
2020-01-14,374.32476806640625
2020-01-15,371.64776611328125
2020-01-16,375.5362243652344
2020-01-17,374.9012145996094
2020-01-21,375.1063537597656
2020-01-22,377.4609069824219
2020-01-23,375.96612548828125
2020-01-24,371.2765197753906
2020-01-27,369.8110046386719
2020-01-28,371.6282958984375
2020-01-29,370.6512756347656
2020-01-30,371.7454833984375
2020-01-31,362.9623107910156
2020-02-03,365.0726623535156
2020-02-04,374.4517517089844
2020-02-05,376.6011962890625
2020-02-06,372.6345520019531
2020-02-07,366.4404296875
2020-02-10,368.1306457519531
2020-02-11,370.1139221191406
2020-02-12,368.7070617675781
2020-02-13,372.9961242675781
2020-02-14,377.7539978027344
2020-02-18,378.8385009765625
2020-02-19,386.0487060546875
2020-02-20,375.5166320800781
2020-02-21,361.8779296875
2020-02-24,353.27056884765625
2020-02-25,340.1006774902344
2020-02-26,337.3553771972656
2020-02-27,329.3439636230469
2020-02-28,327.64227294921875
2020-03-02,345.822998046875
2020-03-03,329.68634033203125
2020-03-04,343.6421203613281
2020-03-05,332.9723205566406
2020-03-06,339.28033447265625
2020-03-09,326.9284973144531
2020-03-10,348.5221862792969
2020-03-11,334.5468444824219
2020-03-12,291.1539611816406
2020-03-13,311.407958984375
2020-03-16,276.43536376953125
2020-03-17,257.0518493652344
2020-03-18,239.65367126464844
2020-03-19,248.79774475097656
2020-03-20,238.47030639648438
2020-03-23,220.34832763671875
2020-03-24,250.2451629638672
2020-03-25,274.675048828125
2020-03-26,283.6038818359375
2020-03-27,276.2887268066406
2020-03-30,281.9902038574219
2020-03-31,286.4107666015625
2020-04-01,273.63836669921875
2020-04-02,288.7970275878906
2020-04-03,287.88751220703125
2020-04-06,314.37115478515625
2020-04-07,301.5987854003906
2020-04-08,314.4982604980469
2020-04-09,318.3907775878906
2020-04-13,313.97015380859375
2020-04-14,323.642333984375
2020-04-15,323.7500305175781
2020-04-16,322.8111877441406
2020-04-17,339.0455322265625
2020-04-20,337.2558898925781
2020-04-21,321.1192932128906
2020-04-22,326.6742248535156
2020-04-23,327.0653076171875
2020-04-24,330.9381103515625
2020-04-27,342.37066650390625
2020-04-28,332.7767333984375
2020-04-29,345.35357666015625
2020-04-30,328.01397705078125
2020-05-01,322.11676025390625
2020-05-04,318.6058349609375
2020-05-05,333.2462158203125
2020-05-06,329.2951965332031
2020-05-07,335.71063232421875
2020-05-08,332.8061218261719
2020-05-11,339.79864501953125
2020-05-12,332.7376403808594
2020-05-13,330.5470275878906
2020-05-14,327.3163757324219
2020-05-15,328.628173828125
2020-05-18,345.6523742675781
2020-05-19,338.3786315917969
2020-05-20,344.85931396484375
2020-05-21,344.1055603027344
2020-05-22,355.5986022949219
2020-05-26,342.6371154785156
2020-05-27,340.3170166015625
2020-05-28,350.7527770996094
2020-05-29,355.2265930175781
2020-06-01,357.7914733886719
2020-06-02,357.50762939453125
2020-06-03,363.077880859375
2020-06-04,358.887939453125
2020-06-05,368.6580505371094
2020-06-08,367.1797790527344
2020-06-09,359.4557189941406
2020-06-10,359.0152282714844
2020-06-11,343.54754638671875
2020-06-12,344.8397216796875
2020-06-15,352.2799072265625
2020-06-16,356.5090637207031
2020-06-17,360.07244873046875
2020-06-18,357.879638671875
2020-06-19,360.64031982421875
2020-06-22,360.35638427734375
2020-06-23,360.7185974121094
2020-06-24,347.8354187011719
2020-06-25,347.4927673339844
2020-06-26,348.3836669921875
2020-06-29,347.9626770019531
2020-06-30,356.3230285644531
2020-07-01,361.1689147949219
2020-07-02,360.4053649902344
2020-07-06,360.4053649902344
2020-07-07,353.1022644042969
2020-07-08,352.68133544921875
2020-07-09,349.45074462890625
2020-07-10,347.3165588378906
2020-07-13,342.8720397949219
2020-07-14,354.72735595703125
2020-07-15,366.5336608886719
2020-07-16,362.1575927734375
2020-07-17,373.8465576171875
2020-07-20,376.7050476074219
2020-07-21,377.2729187011719
2020-07-22,381.2181091308594
2020-07-23,380.6600646972656
2020-07-24,379.50494384765625
2020-07-27,376.90081787109375
2020-07-28,376.5778503417969
2020-07-29,392.5545349121094
2020-07-30,377.0672607421875
2020-07-31,365.2512512207031
2020-08-03,365.78961181640625
2020-08-04,360.5130310058594
2020-08-05,366.3770446777344
2020-08-06,361.79547119140625
2020-08-07,365.642822265625
2020-08-10,368.48175048828125
2020-08-11,367.36578369140625
2020-08-12,368.0999755859375
2020-08-13,374.400390625
2020-08-14,370.8435974121094
2020-08-17,367.17901611328125
2020-08-18,366.4538269042969
2020-08-19,364.30792236328125
2020-08-20,363.27911376953125
2020-08-21,364.14141845703125
2020-08-24,363.3770751953125
2020-08-25,369.8735046386719
2020-08-26,368.3547668457031
2020-08-27,372.6170959472656
2020-08-28,377.2615661621094
2020-08-31,385.03173828125
2020-09-01,390.322998046875
2020-09-02,399.95489501953125
2020-09-03,388.5886535644531
2020-09-04,381.5434875488281
2020-09-08,374.2436218261719
2020-09-09,381.6219177246094
2020-09-10,370.4516296386719
2020-09-11,363.1027526855469
2020-09-14,364.38641357421875
2020-09-15,362.3775939941406
2020-09-16,350.6880187988281
2020-09-17,339.59613037109375
2020-09-18,331.1498718261719
2020-09-21,320.1167907714844
2020-09-22,325.14337158203125
2020-09-23,324.1047668457031
2020-09-24,322.8799133300781
2020-09-25,329.0432434082031
2020-09-28,335.0007019042969
2020-09-29,328.77862548828125
2020-09-30,333.56036376953125
2020-10-01,330.4443664550781
2020-10-02,329.1313781738281
2020-10-05,332.46282958984375
2020-10-06,329.5919189453125
2020-10-07,341.0169372558594
2020-10-08,347.1998291015625
2020-10-09,356.1850280761719
2020-10-12,360.2121887207031
2020-10-13,355.2443542480469
2020-10-14,357.155029296875
2020-10-15,354.5094909667969
2020-10-16,358.0271301269531
2020-10-19,354.3429260253906
2020-10-20,354.5094909667969
2020-10-21,351.82464599609375
2020-10-22,360.8001403808594
2020-10-23,358.85992431640625
2020-10-26,350.1589660644531
2020-10-27,344.3778076171875
2020-10-28,328.2789001464844
2020-10-29,320.0677185058594
2020-10-30,311.81744384765625
2020-11-02,313.52239990234375
2020-11-03,325.4961853027344
2020-11-04,322.12548828125
2020-11-05,330.4737854003906
2020-11-06,329.17059326171875
2020-11-09,356.6259460449219
2020-11-10,361.02545166015625
2020-11-11,355.6558837890625
2020-11-12,349.87908935546875
2020-11-13,357.3918151855469
2020-11-16,368.0037841796875
2020-11-17,368.2784118652344
2020-11-18,363.0508728027344
2020-11-19,365.1105041503906
2020-11-20,363.48236083984375
2020-11-23,365.9637451171875
2020-11-24,374.28076171875
2020-11-25,366.47369384765625
2020-11-27,363.91387939453125
2020-11-30,375.388916015625
2020-12-01,373.1528015136719
2020-12-02,373.06451416015625
2020-12-03,370.720458984375
2020-12-04,379.5277099609375
2020-12-07,375.496826171875
2020-12-08,375.5948791503906
2020-12-09,374.0354309082031
2020-12-10,375.97735595703125
2020-12-11,376.0460205078125
2020-12-14,373.3489685058594
2020-12-15,385.1279602050781
2020-12-16,389.68853759765625
2020-12-17,395.1513977050781
2020-12-18,401.03594970703125
2020-12-21,391.34600830078125
2020-12-22,389.2080078125
2020-12-23,389.6493225097656
2020-12-24,397.26983642578125
2020-12-28,398.740966796875
2020-12-29,398.2310485839844
2020-12-30,399.72174072265625
2020-12-31,403.6546630859375
2021-01-04,395.376953125
2021-01-05,392.7289123535156
2021-01-06,397.2404479980469
2021-01-07,396.0145568847656
2021-01-08,405.4298400878906
2021-01-11,396.0929260253906
2021-01-12,389.4237060546875
2021-01-13,390.1004943847656
2021-01-14,380.20440673828125
2021-01-15,380.90087890625
2021-01-19,378.40972900390625
2021-01-20,385.7261962890625
2021-01-21,381.244140625
2021-01-22,379.0079345703125
2021-01-25,374.7906799316406
2021-01-26,375.4379577636719
2021-01-27,365.0909118652344
2021-01-28,374.1629333496094
2021-01-29,370.3674011230469
2021-02-01,372.0346984863281
2021-02-02,383.87255859375
2021-02-03,381.78350830078125
2021-02-04,390.9929504394531
2021-02-05,391.10076904296875
2021-02-08,390.96356201171875
2021-02-09,392.5818176269531
2021-02-10,395.4554443359375
2021-02-11,398.7312316894531
2021-02-12,398.37811279296875
2021-02-16,396.720703125
2021-02-17,395.5436706542969
2021-02-18,396.0537414550781
2021-02-19,382.92120361328125
2021-02-22,379.1060791015625
2021-02-23,387.5504455566406
2021-02-24,392.6896667480469
2021-02-25,394.7394714355469
2021-02-26,390.46331787109375
2021-03-01,395.9163818359375
2021-03-02,396.0145568847656
2021-03-03,394.6806640625
2021-03-04,383.77508544921875
2021-03-05,394.3076477050781
2021-03-08,392.9825134277344
2021-03-09,399.2646484375
2021-03-10,410.9162292480469
2021-03-11,407.0782165527344
2021-03-12,415.7064208984375
2021-03-15,421.537109375
2021-03-16,412.0843811035156
2021-03-17,408.79595947265625
2021-03-18,399.4316101074219
2021-03-19,393.698974609375
2021-03-22,395.2499694824219
2021-03-23,391.93218994140625
2021-03-24,396.2315979003906
2021-03-25,402.7297058105469
2021-03-26,405.4192199707031
2021-03-29,408.0696105957031
2021-03-30,407.1567687988281
2021-03-31,407.81439208984375
2021-04-01,406.52850341796875
2021-04-05,414.7150573730469
2021-04-06,415.57879638671875
2021-04-07,411.8880615234375
2021-04-08,412.4181213378906
2021-04-09,419.2303771972656
2021-04-12,418.4450988769531
2021-04-13,421.3899230957031
2021-04-14,419.0537109375
2021-04-15,423.3039855957031
2021-04-16,424.5997619628906
2021-04-19,423.84393310546875
2021-04-20,423.9126281738281
2021-04-21,430.2144470214844
2021-04-22,431.2647399902344
2021-04-23,435.5445556640625
2021-04-26,431.9126281738281
2021-04-27,430.7347106933594
2021-04-28,435.68194580078125
2021-04-29,409.52239990234375
2021-04-30,414.7052307128906
2021-05-03,409.5027160644531
2021-05-04,405.0855407714844
2021-05-05,402.78863525390625
2021-05-06,400.04022216796875
2021-05-07,404.9580078125
2021-05-10,400.13836669921875
2021-05-11,393.3456115722656
2021-05-12,378.8572998046875
2021-05-13,385.2334289550781
2021-05-14,386.10784912109375
2021-05-17,386.3436584472656
2021-05-18,386.6187744140625
2021-05-19,383.65167236328125
2021-05-20,391.0299987792969
2021-05-21,394.4784240722656
2021-05-24,396.3942565917969
2021-05-25,398.47705078125
2021-05-26,393.3289794921875
2021-05-27,395.6672058105469
2021-05-28,395.13665771484375
2021-06-01,385.5773620605469
2021-06-02,382.72821044921875
2021-06-03,384.3787536621094
2021-06-04,388.2987060546875
2021-06-07,385.8818359375
2021-06-08,382.87554931640625
2021-06-09,386.4124755859375
2021-06-10,389.4481506347656
2021-06-11,386.638427734375
2021-06-14,388.760498046875
2021-06-15,389.3598327636719
2021-06-16,389.02581787109375
2021-06-17,395.9619140625
2021-06-18,389.90997314453125
2021-06-21,393.27001953125
2021-06-22,397.7008972167969
2021-06-23,401.0020446777344
2021-06-24,393.79071044921875
2021-06-25,404.9809265136719
2021-06-28,399.2630310058594
2021-06-29,401.4637451171875
2021-06-30,394.7436828613281
2021-07-01,399.7051696777344
2021-07-02,402.8097229003906
2021-07-06,405.3739013671875
