,CBOE
2018-06-19,96.49231719970703
2018-06-20,95.59342193603516
2018-06-21,95.34577941894531
2018-06-22,96.29051208496094
2018-06-25,95.52920532226562
2018-06-26,97.01512908935547
2018-06-27,95.34577941894531
2018-06-28,95.21736145019531
2018-06-29,95.45582580566406
2018-07-02,95.16232299804688
2018-07-03,93.94241333007812
2018-07-05,94.41935729980469
2018-07-06,92.44734954833984
2018-07-09,94.66700744628906
2018-07-10,94.3826904296875
2018-07-11,93.69475555419922
2018-07-12,94.59362030029297
2018-07-13,94.3826904296875
2018-07-16,95.14397430419922
2018-07-17,96.19878387451172
2018-07-18,97.24443054199219
2018-07-19,96.0887222290039
2018-07-20,95.96031951904297
2018-07-23,95.65762329101562
