,VST
2021-05-17,14.53603458404541
2021-05-18,14.746038436889648
2021-05-19,15.09300708770752
2021-05-20,15.047350883483888
2021-05-21,15.229966163635254
2021-05-24,15.21170425415039
2021-05-25,14.773432731628418
2021-05-26,14.819085121154783
2021-05-27,14.663864135742188
2021-05-28,14.764300346374512
2021-06-01,15.019960403442385
2021-06-02,15.2938814163208
2021-06-03,15.859983444213867
2021-06-04,15.88737678527832
2021-06-07,16.079124450683594
2021-06-08,16.57217788696289
2021-06-09,16.690874099731445
2021-06-10,16.590435028076172
2021-06-11,17.010446548461914
2021-06-14,16.791309356689453
2021-06-15,16.94780731201172
2021-06-16,16.699249267578125
2021-06-17,16.708459854125977
2021-06-18,16.08246612548828
2021-06-21,16.49672508239746
2021-06-22,16.45989990234375
2021-06-23,16.340227127075195
2021-06-24,16.80051612854004
2021-06-25,16.92939567565918
2021-06-28,17.3160400390625
2021-06-29,16.92939567565918
2021-06-30,17.076688766479492
2021-07-01,17.380477905273438
2021-07-02,17.52777099609375
2021-07-06,16.88336944580078
2021-07-07,17.849971771240234
2021-07-08,17.260807037353516
2021-07-09,17.785531997680664
2021-07-12,17.77632713317871
2021-07-13,17.325244903564453
2021-07-14,17.306835174560547
2021-07-15,17.325244903564453
2021-07-16,17.3160400390625
2021-07-19,16.377050399780273
2021-07-20,16.745281219482422
2021-07-21,16.86495590209961
2021-07-22,17.33445167541504
2021-07-23,17.583009719848633
2021-07-26,17.583009719848633
2021-07-27,17.739505767822266
2021-07-28,17.92361831665039
2021-07-29,17.84076690673828
2021-07-30,17.62903594970703
2021-08-02,17.472536087036133
2021-08-03,17.44491958618164
2021-08-04,17.408096313476562
2021-08-05,16.81892967224121
2021-08-06,17.08589744567871
2021-08-09,17.389686584472656
2021-08-10,17.021455764770508
2021-08-11,16.892574310302734
2021-08-12,16.92939567565918
2021-08-13,16.9386043548584
2021-08-16,16.551959991455078
2021-08-17,16.708459854125977
2021-08-18,16.579580307006836
2021-08-19,16.386259078979492
2021-08-20,16.69005012512207
2021-08-23,16.59798812866211
2021-08-24,16.984634399414062
2021-08-25,17.490949630737305
2021-08-26,17.021455764770508
2021-08-27,17.19636344909668
2021-08-30,17.352861404418945
2021-08-31,17.573802947998047
2021-09-01,17.62903594970703
2021-09-02,17.74871253967285
2021-09-03,17.59221076965332
2021-09-07,17.343656539916992
2021-09-08,17.675064086914062
2021-09-09,17.398889541625977
2021-09-10,16.975425720214844
2021-09-13,17.122718811035156
2021-09-14,16.57037353515625
2021-09-15,17.11807632446289
2021-09-16,16.61678695678711
2021-09-17,16.514673233032227
2021-09-20,16.106216430664062
2021-09-21,16.143348693847656
2021-09-22,16.180484771728516
2021-09-23,16.347578048706055
2021-09-24,16.301162719726562
2021-09-27,15.88341999053955
2021-09-28,15.567793846130373
2021-09-29,15.734892845153809
2021-09-30,15.874138832092283
2021-10-01,15.642059326171877
2021-10-04,15.799872398376465
2021-10-05,16.11549949645996
2021-10-06,16.319726943969727
2021-10-07,16.66320037841797
2021-10-08,16.61678695678711
2021-10-11,16.31044578552246
2021-10-12,16.56108856201172
2021-10-13,18.389862060546875
2021-10-14,18.167068481445312
2021-10-15,18.26918601989746
2021-10-18,17.94427490234375
2021-10-19,17.832876205444336
2021-10-20,17.92570686340332
2021-10-21,17.730762481689453
2021-10-22,17.74004554748535
2021-10-25,18.102087020874023
2021-10-26,18.102087020874023
2021-10-27,18.25061798095703
2021-10-28,18.427000045776367
2021-10-29,18.18563461303711
2021-11-01,18.575525283813477
2021-11-02,18.445566177368164
2021-11-03,18.26918601989746
2021-11-04,17.832876205444336
2021-11-05,19.0304012298584
2021-11-08,18.324880599975582
2021-11-09,17.95355796813965
2021-11-10,18.046388626098633
2021-11-11,18.19491958618164
2021-11-12,18.241334915161133
2021-11-15,18.993267059326172
2021-11-16,18.974700927734375
2021-11-17,18.75190544128418
2021-11-18,18.705493927001953
2021-11-19,18.612661361694336
2021-11-22,18.826173782348633
2021-11-23,19.141799926757812
2021-11-24,19.141799926757812
2021-11-26,18.714773178100582
2021-11-29,18.649791717529297
2021-11-30,18.454845428466797
2021-12-01,19.076814651489254
2021-12-02,19.457420349121097
2021-12-03,19.225341796875
2021-12-06,19.420289993286133
2021-12-07,19.42957305908203
2021-12-08,19.689502716064453
2021-12-09,19.392438888549805
2021-12-10,19.51312255859375
2021-12-13,19.24390983581543
2021-12-14,19.281042098999023
2021-12-15,19.35584831237793
2021-12-16,19.570913314819336
2021-12-17,19.85143280029297
2021-12-20,19.720521926879883
2021-12-21,20.393770217895508
2021-12-22,20.880002975463867
2021-12-23,20.5994873046875
2021-12-27,20.749094009399418
2021-12-28,20.618186950683594
2021-12-29,20.44987678527832
2021-12-30,20.936111450195312
2021-12-31,21.291439056396484
2022-01-03,21.263381958007812
2022-01-04,21.05767059326172
2022-01-05,20.674291610717773
2022-01-06,20.870655059814453
2022-01-07,21.235332489013672
2022-01-10,21.00156021118164
2022-01-11,21.04831886291504
2022-01-12,21.44104385375977
2022-01-13,21.141822814941406
2022-01-14,21.12312126159668
2022-01-18,20.98286247253418
2022-01-19,21.020263671875
2022-01-20,20.31896591186523
2022-01-21,20.309614181518555
2022-01-24,20.534032821655273
2022-01-25,20.262863159179688
2022-01-26,20.1319522857666
2022-01-27,19.926240921020508
2022-01-28,20.262863159179688
2022-01-31,20.393770217895508
2022-02-01,20.244159698486328
2022-02-02,20.79585075378418
2022-02-03,20.43117332458496
2022-02-04,20.41247177124023
2022-02-07,20.552732467651367
2022-02-08,20.823904037475582
2022-02-09,21.02961540222168
2022-02-10,20.646240234375
2022-02-11,20.393770217895508
2022-02-14,20.197404861450195
2022-02-15,20.37506675720215
2022-02-16,20.309614181518555
2022-02-17,20.09454917907715
2022-02-18,20.05714988708496
2022-02-22,19.832733154296875
2022-02-23,19.458703994750977
2022-02-24,20.272214889526367
2022-02-25,20.477924346923828
2022-02-28,21.338184356689453
2022-03-01,20.50597763061523
2022-03-02,20.777145385742188
2022-03-03,20.552732467651367
2022-03-04,21.04831886291504
2022-03-07,20.908058166503903
2022-03-08,21.179224014282227
2022-03-09,21.263381958007812
2022-03-10,21.179224014282227
2022-03-11,20.973512649536133
2022-03-14,20.964160919189453
2022-03-15,20.880002975463867
2022-03-16,21.12312126159668
2022-03-17,20.861305236816406
2022-03-18,20.954811096191406
2022-03-21,20.775789260864254
2022-03-22,21.09614372253418
2022-03-23,20.54023551940918
2022-03-24,20.775789260864254
2022-03-25,21.42591667175293
2022-03-28,21.7745361328125
2022-03-29,21.81222152709961
2022-03-30,21.76511573791504
2022-03-31,21.906444549560547
2022-04-01,22.085466384887695
2022-04-04,21.98181915283203
2022-04-05,22.217376708984375
2022-04-06,22.61310386657715
2022-04-07,22.726171493530273
2022-04-08,23.09363174438477
2022-04-11,22.61310386657715
2022-04-12,22.660213470458984
2022-04-13,22.424665451049805
2022-04-14,22.641372680664062
2022-04-18,23.40456199645996
2022-04-19,23.385717391967773
2022-04-20,24.74250602722168
2022-04-21,24.252553939819336
2022-04-22,23.88509178161621
2022-04-25,23.56473922729492
2022-04-26,23.46109390258789
