,LOW
2016-05-13,64.13082885742188
2016-05-16,65.83216857910156
2016-05-17,65.03707122802734
2016-05-18,67.20013427734375
2016-05-19,68.27738189697266
2016-05-20,68.24320983886719
2016-05-23,67.43099212646484
2016-05-24,68.05513763427734
2016-05-25,68.34577178955078
2016-05-26,68.53388977050781
2016-05-27,68.69631958007812
2016-05-31,68.50823974609375
2016-06-01,68.62794494628906
2016-06-02,69.046875
2016-06-03,68.40562438964844
2016-06-06,67.0718994140625
2016-06-07,68.00379943847656
2016-06-08,67.43949890136719
2016-06-09,67.25996398925781
2016-06-10,66.95222473144531
2016-06-13,66.25967407226562
2016-06-14,65.0456314086914
2016-06-15,65.86639404296875
2016-06-16,66.83250427246094
2016-06-17,67.0462417602539
2016-06-20,67.19158935546875
2016-06-21,66.96927642822266
2016-06-22,66.98638916015625
2016-06-23,67.17449188232422
2016-06-24,65.88348388671875
2016-06-27,65.25082397460938
2016-06-28,66.71280670166016
2016-06-29,66.48197174072266
2016-06-30,67.68744659423828
2016-07-01,68.05513763427734
2016-07-05,67.90119934082031
2016-07-06,68.47403717041016
2016-07-07,68.80743408203125
2016-07-08,70.39767456054688
2016-07-11,70.79097747802734
2016-07-12,70.91068267822266
2016-07-13,69.80775451660156
2016-07-14,70.21814727783203
2016-07-15,69.82487487792969
2016-07-18,70.34007263183594
2016-07-19,69.91073608398438
2016-07-20,69.73041534423828
2016-07-21,68.82024383544922
2016-07-22,69.24957275390625
2016-07-25,69.5415267944336
2016-07-26,69.60160064697266
2016-07-27,69.34403991699219
2016-07-28,70.64058685302734
2016-07-29,70.649169921875
2016-08-01,70.67493438720703
2016-08-02,70.38298797607422
2016-08-03,70.4259262084961
2016-08-04,69.49860382080078
2016-08-05,70.16831970214844
2016-08-08,70.08245086669922
2016-08-09,69.84205627441406
2016-08-10,69.53292846679688
2016-08-11,70.07386779785156
2016-08-12,70.16831970214844
2016-08-15,70.0137710571289
2016-08-16,69.96224212646484
2016-08-17,66.01249694824219
2016-08-18,65.62611389160156
2016-08-19,66.81962585449219
2016-08-22,66.36454010009766
2016-08-23,66.37313079833984
2016-08-24,66.08120727539062
2016-08-25,66.51908874511719
2016-08-26,66.0296630859375
2016-08-29,66.27009582519531
2016-08-30,65.73771667480469
2016-08-31,65.73771667480469
2016-09-01,65.63469696044922
2016-09-02,66.08120727539062
2016-09-06,65.26548767089844
2016-09-07,64.77606201171875
2016-09-08,63.65121078491211
2016-09-09,61.624813079833984
2016-09-12,62.25163269042969
2016-09-13,61.0323600769043
2016-09-14,61.06671142578125
2016-09-15,61.22983169555664
2016-09-16,60.92074966430664
2016-09-19,61.22983169555664
2016-09-20,61.281368255615234
2016-09-21,61.865264892578125
2016-09-22,61.8909912109375
2016-09-23,62.12285232543945
2016-09-26,60.800533294677734
2016-09-27,61.39300537109375
2016-09-28,61.616241455078125
2016-09-29,61.83091735839844
2016-09-30,62.002655029296875
2016-10-03,61.98546600341797
2016-10-04,62.42335510253906
2016-10-05,62.03697967529297
2016-10-06,61.89959716796875
2016-10-07,61.22126770019531
2016-10-10,60.937896728515625
2016-10-11,60.182289123535156
2016-10-12,61.23844909667969
2016-10-13,61.049530029296875
2016-10-14,61.26417922973633
2016-10-17,60.38408279418945
2016-10-18,60.6084098815918
2016-10-19,60.047542572021484
2016-10-20,60.30640411376953
2016-10-21,60.96220016479492
