,LIN
2021-07-15,278.3963317871094
2021-07-16,276.5089416503906
2021-07-19,271.36138916015625
2021-07-20,276.794921875
2021-07-21,280.4458312988281
2021-07-22,281.41815185546875
2021-07-23,284.84033203125
2021-07-26,284.5162353515625
2021-07-27,284.8784484863281
2021-07-28,282.98150634765625
2021-07-29,285.4504089355469
2021-07-30,293.0192565917969
2021-08-02,286.1843566894531
2021-08-03,288.7582092285156
2021-08-04,291.33197021484375
2021-08-05,290.578857421875
2021-08-06,291.5702819824219
2021-08-09,289.082275390625
2021-08-10,287.6714782714844
2021-08-11,291.9801330566406
2021-08-12,292.3233337402344
2021-08-13,294.93524169921875
2021-08-16,296.7940673828125
2021-08-17,296.95611572265625
2021-08-18,295.4214172363281
2021-08-19,296.6225280761719
2021-08-20,299.17724609375
2021-08-23,298.2048645019531
2021-08-24,297.8712463378906
2021-08-25,298.2239685058594
2021-08-26,296.7654724121094
2021-08-27,299.8349609375
2021-08-30,300.79766845703125
2021-08-31,299.8825378417969
2021-09-01,299.205810546875
2021-09-02,301.8361511230469
2021-09-03,299.78924560546875
2021-09-07,301.9029846191406
2021-09-08,298.0293273925781
2021-09-09,299.0910339355469
2021-09-10,296.92938232421875
2021-09-13,299.8561706542969
2021-09-14,298.3640441894531
2021-09-15,300.84136962890625
2021-09-16,299.4544677734375
2021-09-17,295.8581237792969
2021-09-20,289.0574951171875
2021-09-21,291.6878662109375
2021-09-22,292.7399597167969
2021-09-23,296.8623962402344
2021-09-24,296.7572326660156
2021-09-27,295.7529296875
2021-09-28,286.8768310546875
2021-09-29,286.12115478515625
2021-09-30,280.6118469238281
2021-10-01,284.8872375488281
2021-10-04,281.8265686035156
2021-10-05,284.8681335449219
2021-10-06,283.1656799316406
2021-10-07,286.14031982421875
2021-10-08,283.2995910644531
2021-10-11,282.00830078125
2021-10-12,282.9360656738281
2021-10-13,287.890625
2021-10-14,295.33203125
2021-10-15,294.8250427246094
2021-10-18,294.5668640136719
2021-10-19,297.158935546875
2021-10-20,297.6754150390625
2021-10-21,297.7615051269531
2021-10-22,300.4779052734375
2021-10-25,302.8977966308594
2021-10-26,302.98388671875
2021-10-27,305.088134765625
2021-10-28,304.12213134765625
2021-10-29,305.30816650390625
2021-11-01,308.9140319824219
2021-11-02,313.3139343261719
2021-11-03,314.1172790527344
2021-11-04,317.07281494140625
2021-11-05,317.5415344238281
2021-11-08,322.84039306640625
2021-11-09,323.8829650878906
2021-11-10,321.9700012207031
2021-11-11,321.05181884765625
2021-11-12,322.3525695800781
2021-11-15,319.4736022949219
2021-11-16,318.4788818359375
2021-11-17,317.0536804199219
2021-11-18,316.5945739746094
2021-11-19,317.7327880859375
2021-11-22,315.38946533203125
2021-11-23,315.87725830078125
2021-11-24,313.0077819824219
2021-11-26,306.6185302734375
2021-11-29,306.7810974121094
2021-11-30,304.29425048828125
2021-12-01,304.4377136230469
2021-12-02,310.9347839355469
2021-12-03,307.7677917480469
2021-12-06,311.9231872558594
2021-12-07,317.3165283203125
2021-12-08,319.754150390625
2021-12-09,318.727294921875
2021-12-10,320.531494140625
2021-12-13,320.7138366699219
2021-12-14,321.0113220214844
2021-12-15,327.59466552734375
2021-12-16,326.29913330078125
2021-12-17,320.3683166503906
2021-12-20,316.9999084472656
2021-12-21,319.4662780761719
2021-12-22,321.8270263671875
2021-12-23,325.4930725097656
2021-12-27,329.5716552734375
2021-12-28,329.9267272949219
2021-12-29,331.47174072265625
2021-12-30,330.4449462890625
2021-12-31,332.4602355957031
2022-01-03,324.984375
2022-01-04,330.90557861328125
2022-01-05,332.44110107421875
2022-01-06,324.3797607421875
2022-01-07,322.7196044921875
2022-01-10,321.90374755859375
2022-01-11,322.86346435546875
2022-01-12,327.5274963378906
2022-01-13,319.96527099609375
2022-01-14,315.3780212402344
2022-01-18,308.20928955078125
2022-01-19,309.1977844238281
2022-01-20,308.708251953125
2022-01-21,303.3724670410156
2022-01-24,303.410888671875
2022-01-25,300.94451904296875
2022-01-26,296.4723815917969
2022-01-27,298.7947998046875
2022-01-28,302.2400817871094
2022-01-31,305.8292541503906
2022-02-01,308.44915771484375
2022-02-02,309.293701171875
2022-02-03,299.2266845703125
2022-02-04,285.96405029296875
2022-02-07,284.5148620605469
2022-02-08,286.66448974609375
2022-02-09,291.88519287109375
2022-02-10,296.3956604003906
2022-02-11,282.8450927734375
2022-02-14,281.6742248535156
2022-02-15,289.72589111328125
2022-02-16,291.57806396484375
2022-02-17,286.9140930175781
2022-02-18,290.6471862792969
