,GIS
2016-01-28,40.943172454833984
2016-01-29,41.90724182128906
2016-02-01,42.025901794433594
2016-02-02,41.380706787109375
2016-02-03,41.28430938720703
2016-02-04,40.87643814086914
2016-02-05,41.06182861328125
2016-02-08,41.321388244628906
2016-02-09,41.484527587890625
2016-02-10,41.595767974853516
2016-02-11,41.51421356201172
2016-02-12,42.18904495239258
2016-02-16,42.760074615478516
2016-02-17,43.116031646728516
2016-02-18,43.45717239379883
2016-02-19,43.54615783691406
2016-02-22,43.28659439086914
2016-02-23,43.62031555175781
2016-02-24,43.72414779663086
2016-02-25,44.59920883178711
2016-02-26,43.75380325317383
2016-02-29,43.64256286621094
2016-03-01,44.02819061279297
2016-03-02,44.146846771240234
2016-03-03,44.339656829833984
2016-03-04,44.643707275390625
2016-03-07,44.21358871459961
2016-03-08,44.458316802978516
2016-03-09,44.82169723510742
2016-03-10,44.88843536376953
2016-03-11,45.2814826965332
2016-03-14,45.15542221069336
2016-03-15,45.41497039794922
2016-03-16,45.52618408203125
2016-03-17,45.8154182434082
2016-03-18,45.82285690307617
2016-03-21,45.4594612121582
2016-03-22,45.08125305175781
2016-03-23,45.244388580322266
2016-03-24,45.50395202636719
2016-03-28,45.889591217041016
2016-03-29,46.675662994384766
2016-03-30,46.9500617980957
2016-03-31,46.979705810546875
2016-04-01,48.173683166503906
2016-04-04,48.47031784057617
2016-04-05,47.66938781738281
2016-04-06,47.565582275390625
2016-04-07,47.14727783203125
2016-04-08,47.2817268371582
2016-04-11,46.96802520751953
2016-04-12,47.4012451171875
2016-04-13,46.82609558105469
2016-04-14,46.39288330078125
2016-04-15,46.64683151245117
2016-04-18,46.70658874511719
2016-04-19,46.594547271728516
2016-04-20,46.041805267333984
2016-04-21,44.90644073486328
2016-04-22,45.23509979248047
2016-04-25,45.6309928894043
2016-04-26,45.347145080566406
2016-04-27,45.660858154296875
2016-04-28,45.75796127319336
2016-04-29,45.81772232055664
2016-05-02,46.47503662109375
2016-05-03,46.04927062988281
2016-05-04,46.11650085449219
2016-05-05,46.37046432495117
2016-05-06,46.39288330078125
2016-05-09,46.855979919433594
2016-05-10,47.6029167175293
2016-05-11,47.81208038330078
2016-05-12,48.342411041259766
2016-05-13,48.19300842285156
2016-05-16,48.2303581237793
2016-05-17,47.05018615722656
2016-05-18,46.602020263671875
2016-05-19,46.99789047241211
2016-05-20,46.64683151245117
2016-05-23,46.83356857299805
2016-05-24,46.60948181152344
2016-05-25,46.57960510253906
2016-05-26,46.960548400878906
2016-05-27,46.960548400878906
2016-05-31,46.89332580566406
2016-06-01,47.18463134765625
2016-06-02,47.22944641113281
2016-06-03,47.57304382324219
2016-06-06,47.49088668823242
2016-06-07,47.819541931152344
2016-06-08,48.11832046508789
2016-06-09,48.80550003051758
2016-06-10,48.8577995300293
2016-06-13,48.43948745727539
2016-06-14,48.581417083740234
2016-06-15,48.46937561035156
2016-06-16,49.1341667175293
2016-06-17,49.15657424926758
2016-06-20,49.20885467529297
2016-06-21,49.6869010925293
2016-06-22,49.597259521484375
2016-06-23,49.87363815307617
2016-06-24,49.40306091308594
2016-06-27,49.44042205810547
2016-06-28,49.11922073364258
2016-06-29,50.68781661987305
2016-06-30,53.272247314453125
2016-07-01,53.7353515625
2016-07-05,53.86233901977539
2016-07-06,54.198463439941406
2016-07-07,54.15334701538086
2016-07-08,54.484195709228516
2016-07-11,53.99543380737305
2016-07-12,53.702186584472656
2016-07-13,54.09318923950195
2016-07-14,54.20597457885742
2016-07-15,54.15334701538086
2016-07-18,54.34885025024414
2016-07-19,54.619544982910156
2016-07-20,53.9127197265625
2016-07-21,53.5443000793457
2016-07-22,53.55180740356445
2016-07-25,53.90520477294922
2016-07-26,53.59690856933594
2016-07-27,53.048030853271484
2016-07-28,53.64204406738281
2016-07-29,54.05559539794922
2016-08-01,53.860103607177734
2016-08-02,53.363834381103516
2016-08-03,52.469051361083984
2016-08-04,53.002899169921875
2016-08-05,53.048030853271484
2016-08-08,53.1081657409668
2016-08-09,53.33376693725586
2016-08-10,53.43149948120117
2016-08-11,53.43903732299805
2016-08-12,53.514225006103516
2016-08-15,53.416465759277344
2016-08-16,53.01041793823242
2016-08-17,53.055545806884766
2016-08-18,53.58939743041992
2016-08-19,53.72475814819336
2016-08-22,53.80746078491211
2016-08-23,53.461570739746094
2016-08-24,53.386390686035156
2016-08-25,53.67964172363281
2016-08-26,53.28862762451172
2016-08-29,53.702186584472656
2016-08-30,53.01796340942383
2016-08-31,53.25103759765625
2016-09-01,52.71718215942383
2016-09-02,53.341278076171875
2016-09-06,53.31119918823242
2016-09-07,51.01784133911133
2016-09-08,50.73211669921875
2016-09-09,48.9124641418457
2016-09-12,49.83732223510742
2016-09-13,49.326026916503906
2016-09-14,49.235782623291016
2016-09-15,49.28089141845703
2016-09-16,49.01772689819336
2016-09-19,49.03276824951172
2016-09-20,48.64928436279297
2016-09-21,49.07035446166992
2016-09-22,48.91998291015625
2016-09-23,48.61168670654297
2016-09-26,48.04774856567383
2016-09-27,48.06278610229492
2016-09-28,48.1830940246582
2016-09-29,47.86729431152344
2016-09-30,48.03271484375
2016-10-03,48.03271484375
2016-10-04,47.40861129760742
2016-10-05,47.2495002746582
2016-10-06,47.294960021972656
2016-10-07,47.07523727416992
2016-10-10,47.31011962890625
2016-10-11,46.938838958740234
2016-10-12,47.07523727416992
2016-10-13,47.14342498779297
2016-10-14,46.810054779052734
2016-10-17,46.802459716796875
2016-10-18,46.90853500366211
2016-10-19,46.650936126708984
2016-10-20,46.21903991699219
2016-10-21,45.99931716918945
2016-10-24,46.13569641113281
2016-10-25,46.29480743408203
2016-10-26,46.09781265258789
2016-10-27,46.00689697265625
2016-10-28,46.71912384033203
2016-10-31,46.961585998535156
2016-11-01,46.696388244628906
2016-11-02,46.50697326660156
2016-11-03,46.30998229980469
2016-11-04,45.953853607177734
2016-11-07,46.847930908203125
2016-11-08,48.272377014160156
2016-11-09,47.53744125366211
2016-11-10,46.27207565307617
2016-11-11,46.24934768676758
2016-11-14,46.37058639526367
2016-11-15,46.446346282958984
2016-11-16,46.41604232788086
2016-11-17,46.491817474365234
2016-11-18,46.41604232788086
2016-11-21,46.696388244628906
2016-11-22,47.49195861816406
2016-11-23,46.582733154296875
