,SO
2021-08-20,59.3775634765625
2021-08-23,58.80424880981445
2021-08-24,57.975154876708984
2021-08-25,58.09864044189453
2021-08-26,58.336769104003906
2021-08-27,58.20448684692383
2021-08-30,57.99279022216797
2021-08-31,57.975154876708984
2021-09-01,58.63666915893555
2021-09-02,58.96300506591797
2021-09-03,58.45143508911133
2021-09-07,58.380882263183594
2021-09-08,59.36873245239258
2021-09-09,59.25407791137695
2021-09-10,58.39852523803711
2021-09-13,58.50436782836914
2021-09-14,58.18683624267578
2021-09-15,58.22212219238281
2021-09-16,57.666446685791016
2021-09-17,56.57273864746094
2021-09-20,56.41397476196289
2021-09-21,56.28166961669922
2021-09-22,56.10527038574219
2021-09-23,55.9200439453125
2021-09-24,55.70836639404297
2021-09-27,55.07330322265625
2021-09-28,54.632301330566406
2021-09-29,55.24971008300781
2021-09-30,54.658756256103516
2021-10-01,54.46471405029297
2021-10-04,55.06448745727539
2021-10-05,54.73814010620117
2021-10-06,55.32909393310547
2021-10-07,55.27616500854492
2021-10-08,55.17914581298828
2021-10-11,54.61465835571289
2021-10-12,54.77342224121094
2021-10-13,55.135047912597656
2021-10-14,55.79655456542969
2021-10-15,55.68190383911133
2021-10-18,55.082122802734375
2021-10-19,55.54077911376953
2021-10-20,56.1934700012207
2021-10-21,56.59038543701172
2021-10-22,55.523136138916016
2021-10-25,55.399654388427734
2021-10-26,55.81420135498047
2021-10-27,55.24971008300781
2021-10-28,55.337913513183594
2021-10-29,54.967464447021484
2021-11-01,55.10858154296875
2021-11-02,55.117408752441406
2021-11-03,55.17033004760742
2021-11-04,55.12622833251953
2021-11-05,55.65544128417969
2021-11-08,55.23207092285156
2021-11-09,55.87593460083008
2021-11-10,56.32577896118164
2021-11-11,55.6113395690918
2021-11-12,55.1656608581543
2021-11-15,55.441986083984375
2021-11-16,55.26371765136719
2021-11-17,55.415245056152344
2021-11-18,54.93391036987305
2021-11-19,55.86091232299805
2021-11-22,56.26202392578125
2021-11-23,56.16397476196289
2021-11-24,56.244197845458984
2021-11-26,55.29936599731445
2021-11-29,55.99461364746094
2021-11-30,54.46149444580078
2021-12-01,54.49715042114258
2021-12-02,55.27262496948242
2021-12-03,56.00353240966797
2021-12-06,57.63471221923828
2021-12-07,57.4653434753418
2021-12-08,57.71491622924805
2021-12-09,57.55447769165039
2021-12-10,58.009071350097656
2021-12-13,58.98955535888672
2021-12-14,58.8023681640625
2021-12-15,59.49761962890625
2021-12-16,60.2107048034668
2021-12-17,59.57783889770508
2021-12-20,59.82742691040039
2021-12-21,59.1767463684082
2021-12-22,59.40848922729492
2021-12-23,59.31044387817383
2021-12-27,59.6848030090332
2021-12-28,60.371158599853516
2021-12-29,60.67420196533203
2021-12-30,60.932701110839844
2021-12-31,61.128787994384766
2022-01-03,60.76333236694336
2022-01-04,60.76333236694336
2022-01-05,60.83464813232422
2022-01-06,60.76333236694336
2022-01-07,61.182281494140625
2022-01-10,61.08423614501953
2022-01-11,60.29983901977539
2022-01-12,60.41571807861328
2022-01-13,60.923770904541016
2022-01-14,61.20009994506836
2022-01-18,60.62071990966797
2022-01-19,60.905948638916016
2022-01-20,60.50484848022461
2022-01-21,60.44245529174805
2022-01-24,60.050262451171875
2022-01-25,59.94329833984375
2022-01-26,59.738277435302734
2022-01-27,60.6385612487793
2022-01-28,61.503170013427734
2022-01-31,61.93992233276367
2022-02-01,60.60289764404297
2022-02-02,61.33380889892578
2022-02-03,61.72600555419922
2022-02-04,61.226844787597656
2022-02-07,60.29983901977539
2022-02-08,60.513763427734375
2022-02-09,60.68312454223633
2022-02-10,58.7845458984375
2022-02-11,59.53327178955078
2022-02-14,58.695411682128906
2022-02-15,57.95558166503906
2022-02-16,57.82188415527344
2022-02-17,57.750579833984375
2022-02-18,57.4263916015625
2022-02-22,57.894657135009766
2022-02-23,56.588905334472656
2022-02-24,56.62492752075195
2022-02-25,58.5700569152832
2022-02-28,58.32691192626953
2022-03-01,57.72355651855469
2022-03-02,58.14680480957031
2022-03-03,59.794776916503906
2022-03-04,60.85736846923828
2022-03-07,62.34325408935547
2022-03-08,61.07350158691406
2022-03-09,60.44314956665039
2022-03-10,61.784934997558594
2022-03-11,61.85696029663086
2022-03-14,61.829952239990234
2022-03-15,61.829952239990234
2022-03-16,61.70386505126953
2022-03-17,61.60482406616211
2022-03-18,61.26262664794922
2022-03-21,62.037071228027344
2022-03-22,61.974021911621094
2022-03-23,61.947025299072266
2022-03-24,62.40628433227539
2022-03-25,63.874141693115234
2022-03-28,63.937171936035156
2022-03-29,64.89173126220703
2022-03-30,65.28794860839844
2022-03-31,65.29695892333984
2022-04-01,66.74681854248047
2022-04-04,65.84628295898438
2022-04-05,66.95394134521484
2022-04-06,68.89906311035156
2022-04-07,68.22366333007812
2022-04-08,68.88105010986328
2022-04-11,67.07099914550781
2022-04-12,68.02555084228516
2022-04-13,67.86345672607422
2022-04-14,68.43079376220703
2022-04-18,68.28668975830078
2022-04-19,68.68292999267578
2022-04-20,68.89005279541016
2022-04-21,68.8540267944336
2022-04-22,68.35874938964844
2022-04-25,67.51223754882812
2022-04-26,66.40460205078125
2022-04-27,66.17048645019531
2022-04-28,68.06156158447266
2022-04-29,66.08941650390625
2022-05-02,65.92733001708984
2022-05-03,65.84628295898438
2022-05-04,67.15204620361328
2022-05-05,66.6927719116211
2022-05-06,67.2420883178711
2022-05-09,66.84587097167969
2022-05-10,65.9183120727539
2022-05-11,66.62074279785156
2022-05-12,66.71077728271484
2022-05-13,66.93800354003906
2022-05-16,67.48332214355469
2022-05-17,67.39244079589844
2022-05-18,67.0925064086914
2022-05-19,66.64717102050781
2022-05-20,66.7198715209961
2022-05-23,67.39244079589844
2022-05-24,68.79208374023438
2022-05-25,68.79208374023438
2022-05-26,68.42855072021484
2022-05-27,69.13746643066406
2022-05-31,68.76482391357422
2022-06-01,68.66486358642578
2022-06-02,69.02839660644531
2022-06-03,68.40127563476562
2022-06-06,68.48308563232422
2022-06-07,68.79208374023438
2022-06-08,67.82869720458984
2022-06-09,66.24726867675781
2022-06-10,65.56561279296875
2022-06-13,62.48455810546875
2022-06-14,60.694087982177734
2022-06-15,60.50322723388672
2022-06-16,60.23965835571289
2022-06-17,59.43076705932617
2022-06-21,61.030372619628906
2022-06-22,61.52116394042969
2022-06-23,62.966251373291016
2022-06-24,63.46613693237305
2022-06-27,63.95692825317383
2022-06-28,64.18414306640625
2022-06-29,64.22958374023438
2022-06-30,64.8112564086914
2022-07-01,66.4744873046875
2022-07-05,64.36590576171875
2022-07-06,64.9566879272461
2022-07-07,64.7930908203125
2022-07-08,64.70220184326172
2022-07-11,65.22932434082031
2022-07-12,65.42019653320312
2022-07-13,64.71128845214844
2022-07-14,65.31112670898438
2022-07-15,65.7383041381836
2022-07-18,65.15662384033203
2022-07-19,65.2111587524414
2022-07-20,64.47498321533203
2022-07-21,64.39317321777344
2022-07-22,65.38384246826172
2022-07-25,66.06549835205078
2022-07-26,66.81077575683594
