,FOXA
2022-09-08,32.51005172729492
2022-09-09,33.47992706298828
2022-09-12,33.75149154663086
2022-09-13,32.48095703125
2022-09-14,32.51005172729492
2022-09-15,33.51872253417969
2022-09-16,32.65553283691406
2022-09-19,33.324745178222656
2022-09-20,33.20835876464844
2022-09-21,31.734161376953125
2022-09-22,31.14253807067871
2022-09-23,30.75458717346191
2022-09-26,30.1823673248291
2022-09-27,30.01749038696289
2022-09-28,30.49272346496582
2022-09-29,29.590744018554688
2022-09-30,29.75562286376953
2022-10-03,30.31814765930176
2022-10-04,31.258920669555664
2022-10-05,30.589712142944336
2022-10-06,30.230857849121097
2022-10-07,30.424835205078125
2022-10-10,30.20176124572754
2022-10-11,29.74592399597168
2022-10-12,29.571346282958984
2022-10-13,30.744890213012695
2022-10-14,30.599409103393555
2022-10-17,27.718894958496097
2022-10-18,28.320215225219727
2022-10-19,28.436599731445312
2022-10-20,28.135940551757812
2022-10-21,28.543285369873047
2022-10-24,28.727561950683594
2022-10-25,28.94093132019043
2022-10-26,28.097145080566406
2022-10-27,27.32124900817871
2022-10-28,27.97106170654297
2022-10-31,28.000158309936523
2022-11-01,29.610143661499023
2022-11-02,29.144603729248047
2022-11-03,29.047618865966797
2022-11-04,28.94093132019043
2022-11-07,28.262022018432617
2022-11-08,28.455997467041016
2022-11-09,27.58311462402344
2022-11-10,28.55298614501953
2022-11-11,29.600444793701172
2022-11-14,29.49375915527344
2022-11-15,29.82351303100586
2022-11-16,29.571346282958984
2022-11-17,29.707128524780273
2022-11-18,29.998090744018555
2022-11-21,29.590744018554688
2022-11-22,29.968992233276367
2022-11-23,30.143569946289062
2022-11-25,30.347244262695312
2022-11-28,30.065982818603516
2022-11-29,30.7642879486084
2022-11-30,31.47229385375977
2022-12-01,31.132837295532227
2022-12-02,31.569278717041016
2022-12-05,31.04554748535156
2022-12-06,30.065982818603516
2022-12-07,29.77502059936523
2022-12-08,30.065982818603516
2022-12-09,30.366641998291016
2022-12-12,30.58001136779785
2022-12-13,31.0649471282959
2022-12-14,30.841875076293945
2022-12-15,29.77502059936523
2022-12-16,29.813814163208008
2022-12-19,28.601476669311523
2022-12-20,29.047618865966797
2022-12-21,29.416168212890625
2022-12-22,29.581045150756836
2022-12-23,29.833213806152344
2022-12-27,29.697431564331055
2022-12-28,29.20279884338379
2022-12-29,29.639236450195312
2022-12-30,29.45496368408203
2023-01-03,29.35797691345215
2023-01-04,30.33754539489746
2023-01-05,29.920501708984375
2023-01-06,30.793384552001953
2023-01-09,30.32784652709961
2023-01-10,30.92916488647461
2023-01-11,31.103740692138672
2023-01-12,31.23952293395996
2023-01-13,31.355911254882812
2023-01-17,30.812782287597656
2023-01-18,30.531518936157227
2023-01-19,30.366641998291016
2023-01-20,30.609106063842773
2023-01-23,31.68566131591797
2023-01-24,31.68566131591797
2023-01-25,32.48095703125
2023-01-26,32.936798095703125
2023-01-27,32.83011245727539
2023-01-30,32.645835876464844
2023-01-31,32.917396545410156
2023-02-01,33.2762565612793
2023-02-02,33.926063537597656
2023-02-03,33.55751037597656
2023-02-06,32.94649887084961
2023-02-07,33.024085998535156
2023-02-08,34.46919631958008
2023-02-09,34.663169860839844
2023-02-10,34.731056213378906
2023-02-13,34.61466979980469
2023-02-14,34.68256759643555
2023-02-15,36.0015869140625
2023-02-16,35.62333679199219
2023-02-17,35.9142951965332
2023-02-21,35.08020782470703
2023-02-22,35.40996170043945
2023-02-23,35.245086669921875
2023-02-24,34.80864715576172
2023-02-27,34.6049690246582
2023-02-28,34.204524993896484
2023-03-01,33.98964309692383
2023-03-02,34.29242706298828
2023-03-03,34.106849670410156
2023-03-06,33.98964309692383
2023-03-07,33.882205963134766
2023-03-08,33.696632385253906
2023-03-09,32.49527359008789
2023-03-10,32.36830139160156
2023-03-13,31.528324127197266
2023-03-14,32.133888244628906
2023-03-15,31.76273727416992
2023-03-16,32.17295455932617
2023-03-17,31.967845916748047
2023-03-20,32.651546478271484
2023-03-21,32.944557189941406
2023-03-22,32.544105529785156
2023-03-23,32.885955810546875
2023-03-24,32.290164947509766
2023-03-27,32.84688949584961
2023-03-28,31.99714469909668
2023-03-29,32.3975944519043
2023-03-30,32.885955810546875
2023-03-31,33.25710678100586
2023-04-03,33.38408279418945
2023-04-04,33.081302642822266
2023-04-05,32.95433044433594
2023-04-06,32.67108154296875
2023-04-10,33.1399040222168
2023-04-11,33.39384841918945
2023-04-12,32.944557189941406
2023-04-13,33.14966583251953
2023-04-14,32.63201141357422
2023-04-17,33.198509216308594
2023-04-18,33.208274841308594
2023-04-19,33.051998138427734
2023-04-20,32.915260314941406
2023-04-21,32.837120056152344
2023-04-24,31.879941940307617
2023-04-25,31.684598922729492
2023-04-26,31.71389961242676
2023-04-27,32.094818115234375
2023-04-28,32.485504150390625
2023-05-01,32.52457046508789
2023-05-02,32.290164947509766
2023-05-03,31.938547134399418
2023-05-04,30.434406280517575
2023-05-05,31.22554397583008
2023-05-08,31.42088508605957
2023-05-09,30.942296981811523
2023-05-10,30.463706970214844
2023-05-11,29.9558162689209
2023-05-12,30.004650115966797
2023-05-15,30.28789710998535
2023-05-16,29.819076538085938
2023-05-17,30.649280548095703
2023-05-18,30.366037368774418
2023-05-19,30.61021423339844
2023-05-22,30.580913543701172
2023-05-23,30.61998176574707
2023-05-24,30.307432174682617
2023-05-25,30.346500396728516
2023-05-26,30.66881561279297
2023-05-30,30.74695205688477
2023-05-31,30.473474502563477
2023-06-01,30.580913543701172
2023-06-02,31.127872467041016
2023-06-05,31.440420150756836
2023-06-06,31.782272338867188
2023-06-07,32.57341003417969
2023-06-08,33.051998138427734
2023-06-09,32.75898361206055
2023-06-12,32.710147857666016
2023-06-13,32.534339904785156
2023-06-14,32.51480484008789
2023-06-15,32.885955810546875
2023-06-16,32.85665512084961
2023-06-20,32.475738525390625
2023-06-21,32.41713333129883
2023-06-22,32.133888244628906
2023-06-23,31.90924072265625
2023-06-26,32.465972900390625
2023-06-27,33.55989074707031
2023-06-28,33.53059005737305
2023-06-29,33.608726501464844
2023-06-30,33.208274841308594
2023-07-03,33.520816802978516
2023-07-05,33.413387298583984
2023-07-06,33.247344970703125
2023-07-07,33.286415100097656
2023-07-10,32.915260314941406
2023-07-11,32.944557189941406
2023-07-12,32.885955810546875
2023-07-13,32.895729064941406
2023-07-14,32.41713333129883
2023-07-17,32.661312103271484
2023-07-18,33.208274841308594
2023-07-19,32.93479537963867
2023-07-20,32.9933967590332
2023-07-21,32.72968292236328
2023-07-24,32.426902770996094
2023-07-25,32.2022590637207
2023-07-26,32.37806701660156
2023-07-27,32.329227447509766
2023-07-28,32.465972900390625
2023-07-31,32.67108154296875
2023-08-01,32.485504150390625
2023-08-02,32.55387878417969
2023-08-03,32.19248962402344
2023-08-04,32.290164947509766
2023-08-07,32.309696197509766
2023-08-08,34.11661911010742
2023-08-09,33.8431396484375
2023-08-10,33.68686294555664
2023-08-11,33.7943000793457
2023-08-14,33.051998138427734
2023-08-15,33.21803665161133
2023-08-16,32.80781936645508
2023-08-17,32.1827278137207
2023-08-18,32.67108154296875
2023-08-21,32.426902770996094
2023-08-22,32.094818115234375
2023-08-23,32.17295455932617
2023-08-24,31.82134056091309
2023-08-25,31.67483139038086
2023-08-28,32.00691223144531
2023-08-29,32.400726318359375
2023-08-30,32.88314437866211
2023-08-31,32.54840850830078
2023-09-01,30.500591278076172
2023-09-05,30.943628311157227
2023-09-06,30.894399642944336
2023-09-07,30.382448196411133
2023-09-08,30.874711990356445
2023-09-11,31.189760208129883
2023-09-12,31.622949600219727
2023-09-13,30.894399642944336
2023-09-14,31.53434181213379
2023-09-15,31.38666343688965
2023-09-18,31.298057556152344
2023-09-19,31.593416213989254
2023-09-20,30.66796112060547
2023-09-21,31.642641067504883
2023-09-22,30.864866256713867
2023-09-25,30.727031707763672
2023-09-26,30.471057891845703
2023-09-27,30.44152069091797
2023-09-28,30.65811538696289
2023-09-29,30.717187881469727
2023-10-02,30.372604370117188
2023-10-03,29.732662200927734
2023-10-04,29.840959548950195
2023-10-05,29.732662200927734
2023-10-06,29.909875869750977
2023-10-09,30.500591278076172
2023-10-10,30.786104202270508
2023-10-11,30.70734214782715
2023-10-12,30.274150848388672
2023-10-13,30.471057891845703
2023-10-16,31.13068962097168
2023-10-17,31.41619873046875
2023-10-18,31.07161521911621
2023-10-19,30.372604370117188
2023-10-20,30.146163940429688
2023-10-23,30.028018951416016
2023-10-24,29.97879409790039
2023-10-25,29.781888961791992
2023-10-26,29.338851928710938
2023-10-27,28.984424591064453
2023-10-30,29.132102966308594
2023-10-31,29.91971969604492
2023-11-01,29.988637924194336
2023-11-02,30.471057891845703
2023-11-03,31.327592849731445
2023-11-06,30.81563949584961
2023-11-07,30.461212158203125
2023-11-08,30.05755615234375
2023-11-09,29.2207088470459
2023-11-10,29.66374397277832
2023-11-13,29.132102966308594
2023-11-14,29.624364852905273
2023-11-15,29.99848365783691
2023-11-16,29.614519119262695
2023-11-17,29.890186309814453
2023-11-20,30.16585350036621
2023-11-21,29.840959548950195
2023-11-22,29.890186309814453
2023-11-24,29.99848365783691
2023-11-27,29.752351760864254
2023-11-28,29.397924423217773
2023-11-29,29.122257232666016
2023-11-30,29.082876205444336
2023-12-01,29.732662200927734
2023-12-04,29.781888961791992
2023-12-05,29.0238037109375
2023-12-06,28.757980346679688
2023-12-07,28.87612533569336
2023-12-08,29.476686477661133
