,LLY
2015-06-17,70.12848663330078
2015-06-18,69.71713256835938
2015-06-19,69.37289428710938
2015-06-22,69.6163558959961
2015-06-23,69.4064712524414
2015-06-24,69.062255859375
2015-06-25,71.19475555419922
2015-06-26,72.07627868652344
2015-06-29,70.33839416503906
2015-06-30,70.09491729736328
2015-07-01,71.23673248291016
2015-07-02,72.31976318359375
2015-07-06,72.49606323242188
2015-07-07,74.49423217773438
2015-07-08,73.2516860961914
2015-07-09,73.44476318359375
2015-07-10,74.12481689453125
2015-07-13,74.56977844238281
2015-07-14,74.51941680908203
2015-07-15,72.52123260498047
2015-07-16,73.18449401855469
2015-07-17,73.35242462158203
2015-07-20,73.7721939086914
2015-07-21,71.84122467041016
2015-07-22,72.52123260498047
2015-07-23,72.84028625488281
2015-07-24,71.1275634765625
2015-07-27,70.64901733398438
2015-07-28,71.9335708618164
2015-07-29,71.43822479248047
2015-07-30,70.9764633178711
2015-07-31,70.9512710571289
2015-08-03,70.64063262939453
2015-08-04,70.56507873535156
2015-08-05,71.135986328125
2015-08-06,69.43164825439453
2015-08-07,69.07064056396484
2015-08-10,70.11170959472656
2015-08-11,70.13690948486328
2015-08-12,70.42405700683594
2015-08-13,70.12843322753906
2015-08-14,70.87171936035156
2015-08-17,70.50009155273438
2015-08-18,70.43251037597656
2015-08-19,70.75347137451172
2015-08-20,73.76029968261719
2015-08-21,71.3953857421875
2015-08-24,68.18582916259766
2015-08-25,66.09962463378906
2015-08-26,68.49833679199219
2015-08-27,70.72813415527344
2015-08-28,70.26358795166016
2015-08-31,69.55409240722656
2015-09-01,67.40034484863281
2015-09-02,69.09800720214844
2015-09-03,68.92064666748047
2015-09-04,67.83954620361328
2015-09-08,70.00173950195312
2015-09-09,68.4898681640625
2015-09-10,68.27872467041016
2015-09-11,69.089599609375
2015-09-14,69.16558837890625
2015-09-15,70.06932067871094
2015-09-16,71.32781982421875
2015-09-17,75.99852752685547
2015-09-18,74.74005126953125
2015-09-21,73.97991180419922
2015-09-22,74.15726470947266
2015-09-23,73.21974182128906
2015-09-24,72.08795928955078
2015-09-25,70.99839782714844
2015-09-28,67.34965515136719
2015-09-29,67.8057632446289
2015-09-30,70.6859130859375
2015-10-01,71.94438171386719
2015-10-02,73.9207763671875
2015-10-05,73.1183853149414
2015-10-06,71.09130096435547
2015-10-07,70.93927764892578
2015-10-08,70.75347137451172
2015-10-09,72.75523376464844
2015-10-12,67.09626007080078
2015-10-13,67.24833679199219
2015-10-14,66.93578338623047
2015-10-15,67.45101165771484
2015-10-16,68.8446273803711
2015-10-19,67.78042602539062
2015-10-20,65.7026596069336
2015-10-21,65.04386138916016
2015-10-22,65.01851654052734
2015-10-23,66.141845703125
2015-10-26,66.81754302978516
2015-10-27,68.3378677368164
2015-10-28,70.16222381591797
2015-10-29,69.25850677490234
2015-10-30,68.89530181884766
2015-11-02,69.29229736328125
2015-11-03,68.97978973388672
2015-11-04,68.45610809326172
2015-11-05,68.08447265625
2015-11-06,67.9577865600586
2015-11-09,67.02871704101562
2015-11-10,68.0486831665039
2015-11-11,68.59266662597656
2015-11-12,67.87866973876953
2015-11-13,67.61517333984375
2015-11-16,69.04315948486328
2015-11-17,69.10263061523438
2015-11-18,71.10005950927734
2015-11-19,71.15957641601562
2015-11-20,71.79706573486328
2015-11-23,72.02655029296875
2015-11-24,71.2955551147461
2015-11-25,71.17658233642578
2015-11-27,71.10005950927734
2015-11-30,69.73162841796875
2015-12-01,73.52247619628906
2015-12-02,71.87353515625
2015-12-03,70.59857940673828
2015-12-04,73.6244888305664
2015-12-07,73.42047882080078
2015-12-08,73.44598388671875
2015-12-09,71.278564453125
2015-12-10,72.1710433959961
2015-12-11,70.79407501220703
2015-12-14,71.97554016113281
2015-12-15,72.68951416015625
2015-12-16,73.34397888183594
2015-12-17,73.28448486328125
2015-12-18,72.05203247070312
2015-12-21,73.13150024414062
2015-12-22,73.02101135253906
2015-12-23,73.26747131347656
2015-12-24,72.97001647949219
2015-12-28,72.66398620605469
2015-12-29,73.30998229980469
2015-12-30,73.26747131347656
2015-12-31,71.6185531616211
2016-01-04,70.43710327148438
2016-01-05,71.49102020263672
2016-01-06,71.04055786132812
2016-01-07,69.1961441040039
2016-01-08,69.06015014648438
2016-01-11,68.2271728515625
2016-01-12,68.33767700195312
2016-01-13,67.4026870727539
2016-01-14,70.15660095214844
2016-01-15,69.0516357421875
2016-01-19,70.74309539794922
2016-01-20,70.224609375
2016-01-21,69.1876449584961
2016-01-22,70.10559844970703
2016-01-25,69.45111846923828
2016-01-26,69.66363525390625
2016-01-27,69.49362182617188
2016-01-28,65.28626251220703
2016-01-29,67.23272705078125
2016-02-01,66.63772583007812
2016-02-02,64.85277557373047
2016-02-03,64.67427825927734
2016-02-04,63.1358528137207
2016-02-05,63.16982650756836
2016-02-08,63.05934524536133
2016-02-09,62.67686462402344
2016-02-10,62.5399284362793
2016-02-11,61.1276969909668
2016-02-12,60.99931335449219
2016-02-16,62.76244354248047
2016-02-17,63.917911529541016
2016-02-18,62.882259368896484
2016-02-19,62.14619064331055
2016-02-22,62.48856735229492
2016-02-23,62.882259368896484
2016-02-24,63.42148971557617
2016-02-25,64.0377426147461
2016-02-26,62.993526458740234
2016-02-29,61.62411117553711
2016-03-01,62.257469177246094
2016-03-02,63.35298538208008
2016-03-03,62.693965911865234
2016-03-04,62.993526458740234
2016-03-07,62.82236099243164
2016-03-08,62.47999572753906
2016-03-09,62.94218826293945
2016-03-10,62.49711608886719
2016-03-11,63.89223098754883
2016-03-14,63.25886917114258
2016-03-15,60.973628997802734
2016-03-16,62.034942626953125
2016-03-17,59.1077880859375
2016-03-18,60.725433349609375
2016-03-21,60.12629699707031
2016-03-22,61.55564880371094
2016-03-23,60.91372299194336
2016-03-24,60.87092590332031
2016-03-28,60.44297790527344
2016-03-29,61.36734390258789
2016-03-30,61.4358024597168
2016-03-31,61.63267135620117
2016-04-01,62.83946228027344
2016-04-04,62.634063720703125
2016-04-05,62.514244079589844
2016-04-06,63.986366271972656
2016-04-07,63.840877532958984
2016-04-08,63.6696662902832
2016-04-11,63.293094635009766
2016-04-12,63.82374572753906
2016-04-13,64.3287124633789
2016-04-14,64.73101806640625
2016-04-15,64.64539337158203
2016-04-18,66.09186553955078
2016-04-19,66.1175308227539
2016-04-20,65.97203063964844
2016-04-21,66.22026062011719
2016-04-22,66.61394500732422
2016-04-25,66.70811462402344
2016-04-26,65.27873992919922
2016-04-27,65.48418426513672
2016-04-28,65.44136810302734
2016-04-29,64.64539337158203
2016-05-02,65.68960571289062
2016-05-03,65.26165771484375
2016-05-04,64.08051300048828
2016-05-05,64.42285919189453
2016-05-06,63.84944534301758
2016-05-09,64.69676208496094
2016-05-10,65.80084991455078
2016-05-11,65.7491455078125
2016-05-12,65.44760131835938
2016-05-13,65.76638793945312
2016-05-16,67.45513153076172
2016-05-17,65.8180923461914
2016-05-18,65.76638793945312
2016-05-19,64.02596282958984
2016-05-20,64.45673370361328
2016-05-23,63.82776641845703
2016-05-24,64.61182403564453
2016-05-25,64.22410583496094
2016-05-26,65.06849670410156
2016-05-27,64.61182403564453
2016-05-31,64.64632415771484
2016-06-01,64.5687484741211
2016-06-02,65.01680755615234
2016-06-03,64.72383880615234
2016-06-06,64.48257446289062
2016-06-07,64.36196899414062
2016-06-08,64.54290771484375
2016-06-09,64.12933349609375
2016-06-10,63.715763092041016
2016-06-13,63.638221740722656
2016-06-14,64.0345687866211
2016-06-15,63.50897979736328
2016-06-16,63.9742317199707
2016-06-17,63.638221740722656
2016-06-20,63.13850021362305
2016-06-21,62.526756286621094
2016-06-22,62.95756530761719
2016-06-23,63.707157135009766
2016-06-24,64.04316711425781
2016-06-27,64.52568054199219
2016-06-28,64.74970245361328
2016-06-29,67.33451080322266
2016-06-30,67.8514633178711
2016-07-01,68.02379608154297
2016-07-05,68.61831665039062
2016-07-06,68.94573211669922
2016-07-07,68.34259796142578
2016-07-08,68.63554382324219
2016-07-11,68.18750762939453
2016-07-12,68.64418029785156
2016-07-13,68.37705993652344
2016-07-14,69.43682098388672
2016-07-15,69.1180419921875
2016-07-18,68.88538360595703
2016-07-19,68.90264129638672
2016-07-20,69.16974639892578
2016-07-21,69.27310943603516
2016-07-22,70.2984390258789
2016-07-25,70.63448333740234
2016-07-26,70.7292251586914
2016-07-27,71.85792541503906
2016-07-28,71.45299530029297
2016-07-29,71.41853332519531
2016-08-01,71.66839599609375
2016-08-02,71.78901672363281
2016-08-03,71.27204132080078
2016-08-04,71.0135726928711
2016-08-05,70.2725830078125
2016-08-08,70.30706024169922
2016-08-09,70.22088623046875
2016-08-10,69.40235900878906
2016-08-11,69.85327911376953
2016-08-12,69.55843353271484
2016-08-15,69.59313201904297
2016-08-16,69.22893524169922
2016-08-17,69.46306610107422
2016-08-18,69.17694091796875
2016-08-19,68.5526123046875
2016-08-22,68.75204467773438
2016-08-23,68.99482727050781
2016-08-24,68.01500701904297
2016-08-25,67.64215087890625
2016-08-26,67.84159851074219
2016-08-29,68.15374755859375
2016-08-30,67.43408203125
2016-08-31,67.41670989990234
2016-09-01,66.96582794189453
2016-09-02,66.6363296508789
2016-09-06,68.07571411132812
2016-09-07,68.14506530761719
2016-09-08,69.27230072021484
2016-09-09,67.84159851074219
2016-09-12,68.56995391845703
2016-09-13,68.04969024658203
2016-09-14,67.88496398925781
2016-09-15,68.3445053100586
2016-09-16,68.3271713256836
2016-09-19,68.63931274414062
2016-09-20,69.26362609863281
2016-09-21,70.1220703125
2016-09-22,70.48622131347656
2016-09-23,70.3735122680664
2016-09-26,68.95147705078125
2016-09-27,70.13074493408203
2016-09-28,69.9832992553711
2016-09-29,69.14225006103516
2016-09-30,69.59313201904297
2016-10-03,70.23475646972656
2016-10-04,70.33016967773438
2016-10-05,70.88509368896484
2016-10-06,70.64229583740234
2016-10-07,71.17990112304688
2016-10-10,72.02099609375
2016-10-11,70.9371109008789
2016-10-12,69.80992126464844
2016-10-13,69.3676528930664
2016-10-14,68.73471069335938
