,T
2016-11-23,16.01698875427246
2016-11-25,16.215497970581055
2016-11-28,16.35196876525879
2016-11-29,16.32715606689453
2016-11-30,15.975634574890137
2016-12-01,16.079021453857422
2016-12-02,15.967358589172363
2016-12-05,15.975634574890137
2016-12-06,16.273393630981445
2016-12-07,16.72830581665039
2016-12-08,16.711763381958008
2016-12-09,16.69935417175293
2016-12-12,17.005380630493164
2016-12-13,17.104639053344727
2016-12-14,16.997116088867188
2016-12-15,17.162538528442383
2016-12-16,17.232845306396484
2016-12-19,17.418941497802734
2016-12-20,17.563684463500977
2016-12-21,17.518198013305664
2016-12-22,17.667072296142578
2016-12-23,17.67120933532715
2016-12-27,17.638124465942383
2016-12-28,17.58436393737793
2016-12-29,17.642261505126953
2016-12-30,17.588497161865234
2017-01-03,17.791141510009766
2017-01-04,17.6877498626709
2017-01-05,17.638124465942383
2017-01-06,17.352046966552734
2017-01-09,17.133676528930664
2017-01-10,17.13787078857422
2017-01-11,17.05388641357422
2017-01-12,17.221858978271484
2017-01-13,17.200864791870117
2017-01-17,17.26385498046875
2017-01-18,17.133676528930664
2017-01-19,17.21766471862793
2017-01-20,17.40663719177246
2017-01-23,17.637603759765625
2017-01-24,17.36884307861328
2017-01-25,17.381441116333008
2017-01-26,17.541017532348633
2017-01-27,17.641807556152344
2017-01-30,17.562013626098633
2017-01-31,17.704795837402344
2017-02-01,17.662799835205078
2017-02-02,17.29325294494629
2017-02-03,17.322649002075195
2017-02-06,17.242860794067383
2017-02-07,17.26805305480957
2017-02-08,17.305850982666016
2017-02-09,17.347850799560547
2017-02-10,17.377243041992188
2017-02-13,17.070680618286133
2017-02-14,17.11267852783203
2017-02-15,17.26805305480957
2017-02-16,17.322649002075195
2017-02-17,17.419233322143555
2017-02-21,17.524221420288086
2017-02-22,17.46542739868164
2017-02-23,17.616607666015625
2017-02-24,17.788787841796875
2017-02-27,17.562013626098633
2017-02-28,17.549415588378906
2017-03-01,17.654399871826172
2017-03-02,17.6669979095459
2017-03-03,17.641807556152344
2017-03-06,17.62080955505371
2017-03-07,17.587215423583984
2017-03-08,17.541017532348633
2017-03-09,17.612407684326172
2017-03-10,17.78458595275879
2017-03-13,17.79298210144043
2017-03-14,17.675392150878906
2017-03-15,17.885372161865234
2017-03-16,17.82238006591797
2017-03-17,17.893768310546875
2017-03-20,17.813982009887695
2017-03-21,17.67120361328125
2017-03-22,17.49062728881836
2017-03-23,17.49062728881836
2017-03-24,17.503219604492188
2017-03-27,17.423433303833008
2017-03-28,17.45282554626465
2017-03-29,17.40663719177246
2017-03-30,17.536819458007812
2017-03-31,17.44862937927246
2017-04-03,17.4570255279541
2017-04-04,17.507421493530273
2017-04-05,17.431833267211914
2017-04-06,17.320384979248047
2017-04-07,17.316120147705078
2017-04-10,17.22652816772461
2017-04-11,17.19666862487793
2017-04-12,17.303319931030273
2017-04-13,17.183870315551758
2017-04-17,17.19239616394043
2017-04-18,17.171070098876953
2017-04-19,17.171070098876953
2017-04-20,17.217994689941406
2017-04-21,17.034555435180664
2017-04-24,17.07295036315918
2017-04-25,17.03882598876953
2017-04-26,17.25212287902832
2017-04-27,17.026029586791992
2017-04-28,16.906570434570312
2017-05-01,16.680463790893555
2017-05-02,16.616479873657227
2017-05-03,16.381845474243164
2017-05-04,16.21546173095703
2017-05-05,16.450098037719727
2017-05-08,16.454364776611328
2017-05-09,16.3050479888916
2017-05-10,16.403173446655273
2017-05-11,16.39890480041504
2017-05-12,16.420238494873047
2017-05-15,16.4628963470459
2017-05-16,16.292253494262695
2017-05-17,15.980826377868652
2017-05-18,16.18986701965332
2017-05-19,16.313579559326172
2017-05-22,16.317852020263672
2017-05-23,16.34344482421875
2017-05-24,16.275190353393555
2017-05-25,16.30931854248047
2017-05-26,16.262388229370117
2017-05-30,16.445831298828125
2017-05-31,16.437299728393555
2017-06-01,16.582345962524414
2017-06-02,16.582345962524414
2017-06-05,16.55675506591797
2017-06-06,16.522624969482422
2017-06-07,16.53542137145996
2017-06-08,16.424503326416016
2017-06-09,16.548219680786133
2017-06-12,16.66766929626465
2017-06-13,16.50129508972168
2017-06-14,16.518356323242188
2017-06-15,16.569549560546875
2017-06-16,16.620744705200195
2017-06-19,16.59941291809082
2017-06-20,16.492755889892578
2017-06-21,16.275190353393555
2017-06-22,16.253860473632812
2017-06-23,16.18986701965332
2017-06-26,16.275190353393555
2017-06-27,16.083215713500977
2017-06-28,16.18560218811035
2017-06-29,16.049083709716797
2017-06-30,16.09601593017578
2017-07-03,16.258127212524414
2017-07-05,16.262388229370117
2017-07-06,16.13599395751953
2017-07-07,16.049196243286133
2017-07-10,15.984095573425293
2017-07-11,15.88427734375
2017-07-12,15.984095573425293
2017-07-13,15.715020179748535
2017-07-14,15.754074096679688
2017-07-17,15.793143272399902
2017-07-18,15.619539260864258
2017-07-19,15.680298805236816
2017-07-20,15.849555969238281
2017-07-21,15.84521770477295
2017-07-24,15.723699569702148
2017-07-25,15.71935749053955
2017-07-26,16.504892349243164
2017-07-27,17.10381317138672
2017-07-28,16.925872802734375
2017-07-31,16.925872802734375
2017-08-01,16.87379264831543
2017-08-02,16.609054565429688
2017-08-03,16.613391876220703
2017-08-04,16.678491592407227
2017-08-07,16.71755027770996
2017-08-08,16.64811134338379
2017-08-09,16.64811134338379
2017-08-10,16.574337005615234
2017-08-11,16.53527069091797
2017-08-14,16.7088680267334
2017-08-15,16.561311721801758
2017-08-16,16.591690063476562
2017-08-17,16.31827163696289
2017-08-18,16.21845245361328
2017-08-21,16.309595108032227
2017-08-22,16.483190536499023
2017-08-23,16.457149505615234
2017-08-24,16.35299301147461
2017-08-25,16.487533569335938
2017-08-28,16.465829849243164
2017-08-29,16.42677116394043
