,C
2016-10-12,37.608734130859375
2016-10-13,37.43112564086914
2016-10-14,37.539249420166016
2016-10-17,37.531524658203125
2016-10-18,37.83270263671875
2016-10-19,38.211097717285156
2016-10-20,38.288333892822266
2016-10-21,38.28061294555664
2016-10-24,38.288333892822266
2016-10-25,38.29606246948242
2016-10-26,38.620391845703125
2016-10-27,38.55860900878906
2016-10-28,38.27287673950195
2016-10-31,37.95625305175781
2016-11-01,37.79408264160156
2016-11-02,37.48518753051758
2016-11-03,37.33795928955078
2016-11-04,37.32247543334961
2016-11-07,38.60090255737305
2016-11-08,38.67063903808594
2016-11-09,39.972320556640625
2016-11-10,41.53742218017578
2016-11-11,40.933074951171875
2016-11-14,42.3664665222168
2016-11-15,42.963069915771484
2016-11-16,42.32773208618164
2016-11-17,42.963069915771484
2016-11-18,42.97083282470703
2016-11-21,43.032798767089844
2016-11-22,43.4666862487793
2016-11-23,43.923831939697266
2016-11-25,43.99357223510742
2016-11-28,42.97856521606445
2016-11-29,43.017303466796875
2016-11-30,43.69139099121094
2016-12-01,44.373226165771484
2016-12-02,43.40471267700195
2016-12-05,44.38097381591797
2016-12-06,44.876834869384766
2016-12-07,45.76012420654297
2016-12-08,46.60466384887695
2016-12-09,46.519432067871094
2016-12-12,46.1397819519043
2016-12-13,46.325740814208984
2016-12-14,46.062294006347656
2016-12-15,46.66664123535156
2016-12-16,46.29474639892578
2016-12-19,46.225013732910156
2016-12-20,47.10829162597656
2016-12-21,47.069541931152344
2016-12-22,46.868099212646484
2016-12-23,47.255516052246094
2016-12-27,47.332984924316406
2016-12-28,46.519432067871094
2016-12-29,46.008060455322266
2016-12-30,46.04680252075195
2017-01-03,46.945579528808594
2017-01-04,47.5809326171875
2017-01-05,46.751869201660156
2017-01-06,46.914588928222656
2017-01-09,46.658897399902344
2017-01-10,46.66664123535156
2017-01-11,46.457454681396484
2017-01-12,45.89183807373047
2017-01-13,46.2017707824707
2017-01-17,45.2332649230957
2017-01-18,44.46619415283203
2017-01-19,43.90059280395508
2017-01-20,43.47444534301758
2017-01-23,43.14127731323242
2017-01-24,43.96257400512695
2017-01-25,44.69863510131836
2017-01-26,44.442962646484375
2017-01-27,44.2492561340332
2017-01-30,43.861854553222656
2017-01-31,43.257503509521484
2017-02-01,43.427940368652344
2017-02-02,43.497886657714844
2017-02-03,44.8809928894043
2017-02-06,44.787750244140625
2017-02-07,44.43810272216797
2017-02-08,43.76207733154297
2017-02-09,44.49249267578125
2017-02-10,44.77997970581055
2017-02-13,45.805641174316406
2017-02-14,46.48943328857422
2017-02-15,47.010040283203125
2017-02-16,46.91679382324219
2017-02-17,46.75361633300781
2017-02-21,47.048892974853516
2017-02-22,47.10327911376953
2017-02-23,47.10327911376953
2017-02-24,46.27964401245117
2017-02-27,46.63706970214844
2017-02-28,46.47389602661133
2017-03-01,47.818153381347656
2017-03-02,47.111053466796875
2017-03-03,47.39855194091797
2017-03-06,46.83909225463867
2017-03-07,47.010040283203125
2017-03-08,47.48402786254883
2017-03-09,47.82592010498047
2017-03-10,47.77930450439453
2017-03-13,47.81037902832031
2017-03-14,47.740455627441406
2017-03-15,47.27423095703125
2017-03-16,47.515106201171875
2017-03-17,46.909027099609375
2017-03-20,46.302947998046875
2017-03-21,45.09855651855469
2017-03-22,44.88875961303711
2017-03-23,45.1063232421875
2017-03-24,45.121864318847656
2017-03-27,45.323890686035156
2017-03-28,46.17085647583008
2017-03-29,46.14754104614258
2017-03-30,47.017799377441406
2017-03-31,46.48167037963867
2017-04-03,46.37287521362305
2017-04-04,46.37287521362305
2017-04-05,46.302947998046875
2017-04-06,46.53606414794922
2017-04-07,46.17862319946289
2017-04-10,46.06207275390625
2017-04-11,45.86781692504883
2017-04-12,45.46375274658203
2017-04-13,45.09855651855469
2017-04-17,45.83673095703125
2017-04-18,45.393821716308594
2017-04-19,44.85769271850586
2017-04-20,45.38606262207031
2017-04-21,44.84991455078125
2017-04-24,46.186405181884766
2017-04-25,46.784706115722656
2017-04-26,46.6992301940918
2017-04-27,46.27072525024414
2017-04-28,46.06037521362305
2017-05-01,46.325279235839844
2017-05-02,46.52004623413086
2017-05-03,46.93296432495117
2017-05-04,46.90958023071289
2017-05-05,46.93296432495117
2017-05-08,47.135528564453125
2017-05-09,46.9251823425293
2017-05-10,47.034244537353516
2017-05-11,47.291351318359375
2017-05-12,47.579620361328125
2017-05-15,47.852294921875
2017-05-16,48.68594741821289
2017-05-17,46.73040008544922
2017-05-18,46.808311462402344
2017-05-19,47.602989196777344
2017-05-22,47.57181930541992
2017-05-23,48.07823181152344
2017-05-24,48.51454544067383
2017-05-25,48.26521682739258
2017-05-26,48.35872268676758
2017-05-30,48.023704528808594
2017-05-31,47.16669464111328
2017-06-01,47.587406158447266
2017-06-02,47.61078643798828
2017-06-05,47.719852447509766
2017-06-06,47.532867431640625
2017-06-07,48.210693359375
2017-06-08,49.246891021728516
2017-06-09,50.212974548339844
2017-06-12,50.111690521240234
2017-06-13,50.39996337890625
2017-06-14,50.42332458496094
2017-06-15,49.94028091430664
2017-06-16,49.77666473388672
2017-06-19,50.236351013183594
2017-06-20,49.792259216308594
2017-06-21,49.72993087768555
2017-06-22,49.56632614135742
2017-06-23,49.4027099609375
2017-06-26,49.69097900390625
2017-06-27,50.04157638549805
2017-06-28,50.781715393066406
2017-06-29,52.18408966064453
2017-06-30,52.10619354248047
2017-07-03,53.18134307861328
2017-07-05,53.329376220703125
2017-07-06,52.69050979614258
