,L
2018-03-16,49.583160400390625
2018-03-19,49.41840362548828
2018-03-20,49.8254508972168
2018-03-21,49.999900817871094
2018-03-22,48.69151306152344
2018-03-23,47.55757141113281
2018-03-26,48.57521057128906
2018-03-27,47.586631774902344
2018-03-28,47.91617202758789
2018-03-29,48.19723892211914
2018-04-02,47.150516510009766
2018-04-03,47.94524383544922
2018-04-04,48.39107131958008
2018-04-05,48.95319366455078
2018-04-06,47.85801315307617
2018-04-09,48.10030746459961
2018-04-10,48.87566375732422
2018-04-11,48.53644943237305
2018-04-12,48.982269287109375
2018-04-13,48.87566375732422
2018-04-16,49.44746398925781
2018-04-17,49.428096771240234
2018-04-18,49.44746398925781
2018-04-19,49.93204879760742
2018-04-20,49.98052215576172
2018-04-23,50.02899169921875
2018-04-24,49.699466705322266
2018-04-25,49.95144271850586
2018-04-26,50.10651397705078
2018-04-27,50.15497589111328
2018-04-30,50.84308624267578
2018-05-01,50.82369613647461
2018-05-02,49.51531219482422
2018-05-03,48.885353088378906
2018-05-04,49.399024963378906
2018-05-07,49.62192916870117
2018-05-08,49.650997161865234
2018-05-09,50.019290924072266
2018-05-10,50.2615852355957
2018-05-11,50.096824645996094
2018-05-14,49.68006896972656
2018-05-15,49.757598876953125
2018-05-16,49.718841552734375
2018-05-17,49.864219665527344
2018-05-18,49.72853469848633
2018-05-21,49.835140228271484
2018-05-22,49.70914840698242
2018-05-23,49.1373405456543
2018-05-24,48.59458923339844
2018-05-25,48.19723892211914
2018-05-29,46.56985092163086
2018-05-30,47.336483001708984
2018-05-31,47.42381286621094
2018-06-01,47.72463607788086
2018-06-04,48.17103576660156
2018-06-05,48.151607513427734
2018-06-06,48.24866485595703
2018-06-07,48.64653396606445
2018-06-08,48.927940368652344
2018-06-11,48.54949188232422
2018-06-12,48.306888580322266
2018-06-13,48.3457145690918
2018-06-14,48.14192581176758
2018-06-15,48.41363525390625
2018-06-18,48.452449798583984
2018-06-19,48.25836944580078
2018-06-20,47.734344482421875
2018-06-21,47.13270568847656
2018-06-22,47.32677459716797
2018-06-25,47.414119720458984
2018-06-26,47.20061492919922
2018-06-27,46.647491455078125
2018-06-28,46.86098098754883
2018-06-29,46.85127639770508
2018-07-02,46.86098098754883
2018-07-03,46.87067794799805
2018-07-05,46.92890548706055
2018-07-06,47.45293426513672
2018-07-09,48.57860565185547
2018-07-10,48.433040618896484
2018-07-11,48.06428146362305
2018-07-12,47.89931869506836
2018-07-13,48.025474548339844
2018-07-16,48.335994720458984
2018-07-17,48.23896026611328
2018-07-18,48.695045471191406
2018-07-19,47.92842102050781
2018-07-20,48.151607513427734
2018-07-23,48.41363525390625
2018-07-24,48.559200286865234
2018-07-25,48.4039306640625
2018-07-26,48.64653396606445
2018-07-27,48.29718017578125
2018-07-30,48.3457145690918
2018-07-31,49.27729034423828
2018-08-01,50.063323974609375
2018-08-02,49.46167755126953
2018-08-03,49.62663269042969
