,BRO
2016-12-20,20.962621688842773
2016-12-21,20.897268295288086
2016-12-22,20.892606735229492
2016-12-23,20.953279495239258
2016-12-27,20.957950592041016
2016-12-28,20.813251495361328
2016-12-29,20.906612396240234
2016-12-30,20.939279556274414
2017-01-03,20.92061424255371
2017-01-04,21.266023635864258
2017-01-05,21.03263282775879
2017-01-06,20.962621688842773
2017-01-09,20.845930099487305
2017-01-10,20.822589874267578
2017-01-11,20.668548583984375
2017-01-12,20.514524459838867
2017-01-13,20.659217834472656
2017-01-17,20.528528213500977
2017-01-18,20.556528091430664
2017-01-19,20.481847763061523
2017-01-20,20.45850944519043
2017-01-23,20.27179718017578
2017-01-24,20.19244384765625
2017-01-25,20.164443969726562
2017-01-26,20.295141220092773
2017-01-27,20.19244384765625
2017-01-30,19.786357879638672
2017-01-31,19.664995193481445
2017-02-01,19.64392852783203
2017-02-02,19.78908920288086
2017-02-03,19.915523529052734
2017-02-06,19.765670776367188
2017-02-07,19.672027587890625
2017-02-08,19.615833282470703
2017-02-09,19.73290252685547
2017-02-10,20.126243591308594
2017-02-13,20.201160430908203
2017-02-14,20.182437896728516
2017-02-15,20.360380172729492
2017-02-16,20.49149513244629
2017-02-17,20.543001174926758
2017-02-21,20.290142059326172
2017-02-22,20.210538864135742
2017-02-23,20.20584487915039
2017-02-24,20.33228302001953
2017-02-27,20.379104614257812
2017-02-28,20.182437896728516
2017-03-01,20.543001174926758
2017-03-02,20.20584487915039
2017-03-03,20.416568756103516
2017-03-06,20.24799346923828
2017-03-07,20.201160430908203
2017-03-08,20.088783264160156
2017-03-09,20.140295028686523
2017-03-10,20.233945846557617
2017-03-13,20.262041091918945
2017-03-14,20.229263305664062
2017-03-15,20.379104614257812
2017-03-16,20.365062713623047
2017-03-17,20.49149513244629
2017-03-20,20.262041091918945
2017-03-21,19.920215606689453
2017-03-22,19.924888610839844
2017-03-23,19.89678955078125
2017-03-24,19.95298194885254
2017-03-27,19.901473999023438
2017-03-28,19.93425750732422
2017-03-29,19.831233978271484
2017-03-30,19.690757751464844
2017-03-31,19.536224365234375
2017-04-03,19.377010345458984
2017-04-04,19.489398956298828
2017-04-05,19.451936721801758
2017-04-06,19.587732315063477
2017-04-07,19.578371047973633
2017-04-10,19.64392852783203
2017-04-11,19.737581253051758
2017-04-12,19.498762130737305
2017-04-13,19.348915100097656
2017-04-17,19.634559631347656
2017-04-18,19.821874618530273
2017-04-19,19.63924217224121
2017-04-20,20.037275314331055
2017-04-21,19.901473999023438
2017-04-24,20.182437896728516
2017-04-25,20.173072814941406
2017-04-26,20.290142059326172
2017-04-27,20.35570526123047
2017-04-28,20.088783264160156
2017-05-01,20.149656295776367
2017-05-02,20.05600929260254
2017-05-03,20.05132484436035
2017-05-04,20.20399284362793
2017-05-05,20.236873626708984
2017-05-08,20.222782135009766
2017-05-09,20.025487899780273
2017-05-10,20.086549758911133
2017-05-11,20.001998901367188
2017-05-12,19.86577033996582
2017-05-15,19.92683982849121
2017-05-16,19.959716796875
2017-05-17,19.659080505371094
2017-05-18,19.776517868041992
2017-05-19,19.762420654296875
2017-05-22,19.94093132019043
2017-05-23,19.95032501220703
2017-05-24,19.94562530517578
2017-05-25,20.18050765991211
2017-05-26,20.138227462768555
2017-05-30,20.199291229248047
2017-05-31,20.40128517150879
2017-06-01,20.720718383789062
2017-06-02,20.579792022705078
2017-06-05,20.424776077270508
2017-06-06,20.232175827026367
2017-06-07,20.21808433532715
2017-06-08,20.396589279174805
2017-06-09,20.59857940673828
2017-06-12,20.67374038696289
2017-06-13,20.716020584106445
2017-06-14,20.692533493041992
2017-06-15,20.80997657775879
2017-06-16,20.824066162109375
2017-06-19,20.669042587280273
2017-06-20,20.55160903930664
2017-06-21,20.443565368652344
2017-06-22,20.27915382385254
2017-06-23,20.166410446166992
2017-06-26,20.26975440979004
2017-06-27,20.222782135009766
2017-06-28,20.452953338623047
2017-06-29,20.467056274414062
2017-06-30,20.232175827026367
2017-07-03,20.443565368652344
2017-07-05,20.27915382385254
2017-07-06,20.13352394104004
2017-07-07,20.274456024169922
2017-07-10,20.13352394104004
2017-07-11,20.06306266784668
2017-07-12,20.236873626708984
2017-07-13,20.236873626708984
2017-07-14,20.340219497680664
2017-07-17,20.20399284362793
2017-07-18,20.21338653564453
2017-07-19,20.561004638671875
2017-07-20,20.61267852783203
2017-07-21,20.70192527770996
2017-07-24,20.78647804260254
2017-07-25,20.974384307861328
2017-07-26,20.889827728271484
2017-07-27,20.67374038696289
2017-07-28,20.941497802734375
2017-07-31,20.950891494750977
2017-08-01,20.946197509765625
2017-08-02,20.86164093017578
2017-08-03,20.645559310913086
2017-08-04,20.69722557067871
2017-08-07,20.680736541748047
2017-08-08,20.600637435913086
2017-08-09,20.64304542541504
2017-08-10,20.4875431060791
2017-08-11,20.51581573486328
2017-08-14,20.69015884399414
2017-08-15,20.80324935913086
2017-08-16,20.751415252685547
2017-08-17,20.435714721679688
2017-08-18,20.558229446411133
2017-08-21,20.64775276184082
2017-08-22,20.779680252075195
2017-08-23,20.591209411621094
2017-08-24,20.64304542541504
2017-08-25,20.869213104248047
2017-08-28,21.279151916503906
2017-08-29,21.09067726135254
2017-08-30,21.161357879638672
2017-08-31,21.184911727905273
2017-09-01,21.227323532104492
2017-09-05,21.4299373626709
2017-09-06,21.61841583251953
2017-09-07,21.68909454345703
2017-09-08,22.678604125976562
2017-09-11,22.099035263061523
2017-09-12,22.066049575805664
2017-09-13,21.952964782714844
2017-09-14,21.835161209106445
2017-09-15,21.872861862182617
2017-09-18,22.10374641418457
