,EXC
2021-04-12,27.974390029907227
2021-04-13,28.243255615234375
2021-04-14,28.418325424194336
2021-04-15,28.61841583251953
2021-04-16,28.862262725830078
2021-04-19,28.4495906829834
2021-04-20,28.63717269897461
2021-04-21,28.562137603759766
2021-04-22,28.186973571777344
2021-04-23,28.0806827545166
2021-04-26,27.918113708496094
2021-04-27,27.849336624145508
2021-04-28,27.893104553222656
2021-04-29,28.068178176879883
2021-04-30,28.099441528320312
2021-05-03,28.068178176879883
2021-05-04,27.99940299987793
2021-05-05,27.217819213867188
2021-05-06,27.81182098388672
2021-05-07,27.936870574951172
2021-05-10,27.836830139160156
2021-05-11,27.786808013916016
2021-05-12,26.955204010009766
2021-05-13,28.016963958740234
2021-05-14,28.44594955444336
2021-05-17,28.44594955444336
2021-05-18,28.799240112304688
2021-05-19,28.729841232299805
2021-05-20,28.85601806640625
2021-05-21,28.919105529785156
2021-05-24,29.038970947265625
2021-05-25,28.332395553588867
2021-05-26,28.49642562866211
2021-05-27,28.136823654174805
2021-05-28,28.464872360229492
2021-06-01,28.477493286132812
2021-06-02,28.515348434448242
2021-06-03,28.874948501586914
2021-06-04,28.7676944732666
2021-06-07,28.931724548339844
2021-06-08,28.862323760986328
2021-06-09,29.247156143188477
2021-06-10,29.467958450317383
2021-06-11,29.594133377075195
2021-06-14,29.72031593322754
2021-06-15,29.72031593322754
2021-06-16,29.146215438842773
2021-06-17,29.020044326782227
2021-06-18,28.10527801513672
2021-06-21,28.206220626831055
2021-06-22,27.96648597717285
2021-06-23,27.852935791015625
2021-06-24,27.909711837768555
2021-06-25,28.155750274658203
2021-06-28,28.30716323852539
2021-06-29,28.111591339111328
2021-06-30,27.953872680664062
2021-07-01,28.376558303833008
2021-07-02,28.47118377685547
2021-07-06,28.313465118408203
2021-07-07,28.47118377685547
2021-07-08,28.34501075744629
2021-07-09,28.332395553588867
2021-07-12,28.56581687927246
2021-07-13,28.256689071655273
2021-07-14,28.477493286132812
2021-07-15,28.849706649780273
2021-07-16,29.01373863220215
2021-07-19,28.591053009033203
2021-07-20,29.057897567749023
2021-07-21,28.919105529785156
2021-07-22,29.02635383605957
2021-07-23,29.348098754882812
2021-07-26,29.278701782226562
2021-07-27,29.802316665649414
2021-07-28,29.638301849365234
2021-07-29,29.85279083251953
2021-07-30,29.524742126464844
2021-08-02,29.669841766357422
2021-08-03,29.890644073486328
2021-08-04,29.505815505981445
2021-08-05,30.073598861694336
2021-08-06,30.029438018798828
2021-08-09,29.922189712524414
2021-08-10,30.010509490966797
2021-08-11,30.40795135498047
2021-08-12,30.543413162231445
2021-08-13,30.746910095214844
2021-08-16,30.89316749572754
2021-08-17,30.753273010253906
2021-08-18,30.664236068725586
2021-08-19,31.026714324951172
2021-08-20,31.389184951782227
2021-08-23,31.198410034179688
2021-08-24,31.103015899658203
2021-08-25,31.09030532836914
2021-08-26,31.02035140991211
2021-08-27,31.217485427856445
2021-08-30,31.31923484802246
2021-08-31,31.172971725463867
2021-09-01,31.541807174682617
2021-09-02,31.859779357910156
2021-09-03,31.681718826293945
2021-09-07,31.484575271606445
2021-09-08,32.02510452270508
2021-09-09,31.942441940307617
2021-09-10,31.73894691467285
2021-09-13,32.15229034423828
2021-09-14,32.03783416748047
2021-09-15,32.33671569824219
2021-09-16,31.9106502532959
2021-09-17,31.7071590423584
2021-09-20,31.61176300048828
2021-09-21,31.172971725463867
2021-09-22,31.401905059814453
2021-09-23,31.573610305786133
2021-09-24,31.31287384033203
2021-09-27,31.09030532836914
2021-09-28,30.651525497436523
2021-09-29,30.924972534179688
2021-09-30,30.74054718017578
2021-10-01,30.390790939331055
2021-10-04,30.746910095214844
2021-10-05,30.74054718017578
2021-10-06,31.23021125793457
2021-10-07,30.975839614868164
2021-10-08,30.746910095214844
2021-10-11,30.250885009765625
2021-10-12,30.708751678466797
2021-10-13,31.211132049560547
2021-10-14,31.87885093688965
2021-10-15,31.675350189208984
2021-10-18,31.72623062133789
2021-10-19,31.99967384338379
2021-10-20,32.56564712524414
2021-10-21,32.47662353515625
2021-10-22,32.62923812866211
2021-10-25,32.80730056762695
2021-10-26,33.080745697021484
2021-10-27,33.05530548095703
2021-10-28,33.54496383666992
2021-10-29,33.82477569580078
2021-11-01,34.26992416381836
2021-11-02,34.17453384399414
2021-11-03,34.37166976928711
2021-11-04,34.40983200073242
2021-11-05,34.428897857666016
2021-11-08,33.78025817871094
2021-11-09,34.39710998535156
2021-11-10,34.626041412353516
2021-11-11,34.7850227355957
2021-11-12,34.83818054199219
2021-11-15,35.07512283325195
2021-11-16,34.74210739135742
2021-11-17,34.31303787231445
2021-11-18,34.28742218017578
2021-11-19,34.33224868774414
2021-11-22,34.556400299072266
2021-11-23,34.82536697387695
2021-11-24,34.90861511230469
2021-11-26,34.21697998046875
2021-11-29,34.690879821777344
2021-11-30,33.76869201660156
2021-12-01,33.486915588378906
2021-12-02,33.89037322998047
2021-12-03,33.77510070800781
2021-12-06,34.2810173034668
2021-12-07,34.53078079223633
2021-12-08,34.21697998046875
2021-12-09,34.03126525878906
2021-12-10,34.52437210083008
2021-12-13,34.671669006347656
2021-12-14,34.48595428466797
2021-12-15,35.02389144897461
2021-12-16,34.81256103515625
2021-12-17,34.27461624145508
2021-12-20,34.1977653503418
2021-12-21,34.5435905456543
2021-12-22,34.81896209716797
2021-12-23,34.895809173583984
2021-12-27,35.100746154785156
2021-12-28,35.61306381225586
2021-12-29,36.279090881347656
2021-12-30,36.72737503051758
2021-12-31,36.98994827270508
2022-01-03,36.54806137084961
2022-01-04,36.50963592529297
2022-01-05,36.4840202331543
2022-01-06,36.3303337097168
2022-01-07,36.27268981933594
2022-01-10,36.387962341308594
2022-01-11,35.619468688964844
2022-01-12,35.856422424316406
2022-01-13,36.17662811279297
2022-01-14,36.01652908325195
2022-01-18,35.8884391784668
2022-01-19,36.17662811279297
2022-01-20,36.49043273925781
2022-01-21,36.35594177246094
2022-01-24,35.92686462402344
2022-01-25,35.51701354980469
2022-01-26,35.67070388793945
2022-01-27,35.94607925415039
2022-01-28,36.714569091796875
2022-01-31,37.11162185668945
2022-02-01,37.0347785949707
2022-02-02,38.48191833496094
2022-02-03,39.31691360473633
2022-02-04,39.07449722290039
2022-02-07,39.18223571777344
2022-02-08,38.625572204589844
2022-02-09,38.24846649169922
2022-02-10,37.74568176269531
2022-02-11,37.82648849487305
2022-02-14,37.88933181762695
2022-02-15,37.476318359375
2022-02-16,37.70975875854492
2022-02-17,37.48530197143555
2022-02-18,37.37755584716797
2022-02-22,37.39551544189453
2022-02-23,36.78498458862305
2022-02-24,37.38972473144531
2022-02-25,38.5666389465332
2022-02-28,38.530433654785156
2022-03-01,38.23167419433594
2022-03-02,38.71149826049805
2022-03-03,39.04646682739258
2022-03-04,40.08757781982422
